,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
87,80,Atlanta Hawks,Marco Belinelli,Dallas Mavericks,W,10/18/2017,25:42,7,14,0.5,4,6,0.667,2,2,1.0,0,3,3,3,3,0,1,0,20,14.0,2018,2,SG,https://www.basketball-reference.com/players/b/belinma01.html,3,6-5,220,Atlanta Hawks,regular season
88,80,Atlanta Hawks,Marco Belinelli,Dallas Mavericks,W,10/18/2017,25:42,7,14,0.5,4,6,0.667,2,2,1.0,0,3,3,3,3,0,1,0,20,14.0,2018,457,SG,https://www.basketball-reference.com/players/b/belinma01.html,18,6-5,220,Philadelphia 76ers,regular season
89,81,Atlanta Hawks,John Collins,Dallas Mavericks,W,10/18/2017,22:24,6,10,0.6,0,0,,2,3,0.667,3,2,5,1,2,0,1,1,14,8.0,2018,7,PF,https://www.basketball-reference.com/players/c/collijo01.html,20,6-9,235,Atlanta Hawks,regular season
90,82,Atlanta Hawks,DeAndre' Bembry,Dallas Mavericks,W,10/18/2017,17:45,3,6,0.5,0,1,0.0,0,0,,1,5,6,1,2,1,2,0,6,13.0,2018,3,SF,https://www.basketball-reference.com/players/b/bembrde01.html,95,6-5,210,Atlanta Hawks,regular season
91,83,Atlanta Hawks,Mike Muscala,Dallas Mavericks,W,10/18/2017,13:32,2,3,0.667,0,1,0.0,0,0,,1,3,4,2,0,0,0,2,4,-5.0,2018,16,C,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Atlanta Hawks,regular season
92,84,Atlanta Hawks,Malcolm Delaney,Dallas Mavericks,W,10/18/2017,11:19,2,4,0.5,1,2,0.5,0,0,,0,1,1,0,0,0,1,1,5,-1.0,2018,9,PG,https://www.basketball-reference.com/players/d/delanma01.html,5,6-3,190,Atlanta Hawks,regular season
93,85,Atlanta Hawks,Luke Babbitt,Dallas Mavericks,W,10/18/2017,8:55,2,3,0.667,1,2,0.5,0,0,,1,0,1,0,0,0,0,0,5,17.0,2018,0,SF,https://www.basketball-reference.com/players/b/babbilu01.html,8,6-9,225,Atlanta Hawks,regular season
94,85,Atlanta Hawks,Luke Babbitt,Dallas Mavericks,W,10/18/2017,8:55,2,3,0.667,1,2,0.5,0,0,,1,0,1,0,0,0,0,0,5,17.0,2018,317,SF,https://www.basketball-reference.com/players/b/babbilu01.html,22,6-9,225,Miami Heat,regular season
95,86,Atlanta Hawks,Josh Magette,Dallas Mavericks,W,10/18/2017,4:14,1,1,1.0,1,1,1.0,0,0,,0,1,1,1,0,0,0,2,3,9.0,2018,14,PG,https://www.basketball-reference.com/players/m/magetjo01.html,11,6-1,160,Atlanta Hawks,regular season
206,182,Atlanta Hawks,Malcolm Delaney,Charlotte Hornets,L,10/20/2017,22:52,1,6,0.16699999999999998,0,2,0.0,1,2,0.5,0,2,2,4,1,1,0,1,3,-26.0,2018,9,PG,https://www.basketball-reference.com/players/d/delanma01.html,5,6-3,190,Atlanta Hawks,regular season
207,183,Atlanta Hawks,Marco Belinelli,Charlotte Hornets,L,10/20/2017,22:20,1,10,0.1,1,3,0.33299999999999996,2,2,1.0,0,4,4,2,0,0,2,1,5,-5.0,2018,2,SG,https://www.basketball-reference.com/players/b/belinma01.html,3,6-5,220,Atlanta Hawks,regular season
208,183,Atlanta Hawks,Marco Belinelli,Charlotte Hornets,L,10/20/2017,22:20,1,10,0.1,1,3,0.33299999999999996,2,2,1.0,0,4,4,2,0,0,2,1,5,-5.0,2018,457,SG,https://www.basketball-reference.com/players/b/belinma01.html,18,6-5,220,Philadelphia 76ers,regular season
209,184,Atlanta Hawks,Mike Muscala,Charlotte Hornets,L,10/20/2017,18:49,3,8,0.375,1,4,0.25,2,2,1.0,2,2,4,0,1,0,0,3,9,-2.0,2018,16,C,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Atlanta Hawks,regular season
210,185,Atlanta Hawks,Luke Babbitt,Charlotte Hornets,L,10/20/2017,16:04,2,7,0.28600000000000003,1,6,0.16699999999999998,2,2,1.0,0,1,1,0,1,0,1,2,7,-7.0,2018,0,SF,https://www.basketball-reference.com/players/b/babbilu01.html,8,6-9,225,Atlanta Hawks,regular season
211,185,Atlanta Hawks,Luke Babbitt,Charlotte Hornets,L,10/20/2017,16:04,2,7,0.28600000000000003,1,6,0.16699999999999998,2,2,1.0,0,1,1,0,1,0,1,2,7,-7.0,2018,317,SF,https://www.basketball-reference.com/players/b/babbilu01.html,22,6-9,225,Miami Heat,regular season
212,186,Atlanta Hawks,John Collins,Charlotte Hornets,L,10/20/2017,15:21,2,4,0.5,0,0,,1,2,0.5,0,2,2,0,1,2,2,6,5,-12.0,2018,7,PF,https://www.basketball-reference.com/players/c/collijo01.html,20,6-9,235,Atlanta Hawks,regular season
213,187,Atlanta Hawks,Josh Magette,Charlotte Hornets,L,10/20/2017,6:50,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.0,2018,14,PG,https://www.basketball-reference.com/players/m/magetjo01.html,11,6-1,160,Atlanta Hawks,regular season
214,188,Atlanta Hawks,Tyler Dorsey,Charlotte Hornets,L,10/20/2017,2:36,0,2,0.0,0,2,0.0,0,0,,0,1,1,0,0,0,0,0,0,2.0,2018,10,SG,https://www.basketball-reference.com/players/d/dorsety01.html,2,6-5,183,Atlanta Hawks,regular season
215,189,Atlanta Hawks,Nicolas Brussino,Charlotte Hornets,L,10/20/2017,2:36,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,2.0,2018,4,SF,https://www.basketball-reference.com/players/b/brussni01.html,16,6-7,195,Atlanta Hawks,regular season
