,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
99,90,Denver Nuggets,Gary Harris,Utah Jazz,L,10/18/2017,35:46,5,7,0.7140000000000001,3,3,1.0,1,1,1.0,1,4,5,3,1,0,1,2,14,0,2018,154,SG,https://www.basketball-reference.com/players/h/harriga01.html,14,6-4,210,Denver Nuggets,regular season
100,91,Denver Nuggets,Nikola Jokic,Utah Jazz,L,10/18/2017,35:33,3,10,0.3,1,4,0.25,0,0,,0,12,12,7,0,0,4,1,7,-9,2018,157,C,https://www.basketball-reference.com/players/j/jokicni01.html,15,7-0,284,Denver Nuggets,regular season
101,92,Denver Nuggets,Wilson Chandler,Utah Jazz,L,10/18/2017,34:21,4,11,0.364,1,4,0.25,0,0,,1,1,2,1,2,1,1,2,9,-23,2018,150,SF,https://www.basketball-reference.com/players/c/chandwi01.html,21,6-8,235,Denver Nuggets,regular season
102,93,Denver Nuggets,Paul Millsap,Utah Jazz,L,10/18/2017,33:30,7,15,0.467,1,5,0.2,4,5,0.8,1,5,6,1,0,0,5,3,19,-6,2018,160,PF,https://www.basketball-reference.com/players/m/millspa01.html,4,6-7,257,Denver Nuggets,regular season
103,94,Denver Nuggets,Jamal Murray,Utah Jazz,L,10/18/2017,19:59,2,6,0.33299999999999996,2,5,0.4,2,2,1.0,1,1,2,2,0,0,3,2,8,9,2018,163,PG,https://www.basketball-reference.com/players/m/murraja01.html,27,6-4,215,Denver Nuggets,regular season
379,345,Denver Nuggets,Nikola Jokic,Sacramento Kings,W,10/21/2017,30:32,0,3,0.0,0,1,0.0,0,0,,0,9,9,7,1,0,3,4,0,21,2018,157,C,https://www.basketball-reference.com/players/j/jokicni01.html,15,7-0,284,Denver Nuggets,regular season
380,346,Denver Nuggets,Gary Harris,Sacramento Kings,W,10/21/2017,29:59,7,11,0.636,3,6,0.5,0,1,0.0,0,0,0,1,1,0,3,3,17,14,2018,154,SG,https://www.basketball-reference.com/players/h/harriga01.html,14,6-4,210,Denver Nuggets,regular season
381,347,Denver Nuggets,Wilson Chandler,Sacramento Kings,W,10/21/2017,29:39,2,8,0.25,1,3,0.33299999999999996,0,0,,7,5,12,4,1,0,1,1,5,5,2018,150,SF,https://www.basketball-reference.com/players/c/chandwi01.html,21,6-8,235,Denver Nuggets,regular season
382,348,Denver Nuggets,Paul Millsap,Sacramento Kings,W,10/21/2017,28:54,6,11,0.545,2,3,0.667,4,5,0.8,1,8,9,2,0,1,3,1,18,8,2018,160,PF,https://www.basketball-reference.com/players/m/millspa01.html,4,6-7,257,Denver Nuggets,regular season
383,349,Denver Nuggets,Jamal Murray,Sacramento Kings,W,10/21/2017,19:54,1,9,0.111,0,4,0.0,0,0,,1,1,2,2,1,0,1,1,2,7,2018,163,PG,https://www.basketball-reference.com/players/m/murraja01.html,27,6-4,215,Denver Nuggets,regular season
