,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
18,15,Golden State Warriors,Klay Thompson,Houston Rockets,L,10/17/2017,38:09,6,14,0.429,4,7,0.5710000000000001,0,0,,0,6,6,3,2,2,1,0,16,0,2018,201,SG,https://www.basketball-reference.com/players/t/thompkl01.html,11,6-6,215,Golden State Warriors,regular season
19,16,Golden State Warriors,Kevin Durant,Houston Rockets,L,10/17/2017,37:38,7,15,0.467,2,5,0.4,4,5,0.8,1,4,5,7,0,4,8,4,20,11,2018,192,SF,https://www.basketball-reference.com/players/d/duranke01.html,35,6-10,240,Golden State Warriors,regular season
20,17,Golden State Warriors,Stephen Curry,Houston Rockets,L,10/17/2017,29:33,8,18,0.444,3,9,0.33299999999999996,3,3,1.0,0,5,5,4,1,0,2,4,22,9,2018,191,PG,https://www.basketball-reference.com/players/c/curryst01.html,30,6-3,185,Golden State Warriors,regular season
21,18,Golden State Warriors,Draymond Green,Houston Rockets,L,10/17/2017,27:39,2,6,0.33299999999999996,1,2,0.5,4,4,1.0,1,10,11,13,0,0,2,3,9,7,2018,193,PF,https://www.basketball-reference.com/players/g/greendr01.html,23,6-6,230,Golden State Warriors,regular season
22,19,Golden State Warriors,Zaza Pachulia,Houston Rockets,L,10/17/2017,10:14,2,2,1.0,0,0,,2,2,1.0,0,3,3,0,0,1,0,1,6,8,2018,200,C,https://www.basketball-reference.com/players/p/pachuza01.html,27,6-11,270,Golden State Warriors,regular season
263,240,Golden State Warriors,Kevin Durant,New Orleans Pelicans,W,10/20/2017,37:39,9,18,0.5,3,6,0.5,1,1,1.0,0,8,8,2,1,7,5,3,22,5,2018,192,SF,https://www.basketball-reference.com/players/d/duranke01.html,35,6-10,240,Golden State Warriors,regular season
264,241,Golden State Warriors,Klay Thompson,New Orleans Pelicans,W,10/20/2017,36:33,13,20,0.65,7,13,0.5379999999999999,0,0,,2,2,4,2,0,1,1,2,33,9,2018,201,SG,https://www.basketball-reference.com/players/t/thompkl01.html,11,6-6,215,Golden State Warriors,regular season
265,242,Golden State Warriors,Stephen Curry,New Orleans Pelicans,W,10/20/2017,35:07,7,16,0.43799999999999994,4,11,0.364,10,10,1.0,0,3,3,8,0,0,1,1,28,7,2018,191,PG,https://www.basketball-reference.com/players/c/curryst01.html,30,6-3,185,Golden State Warriors,regular season
266,243,Golden State Warriors,Draymond Green,New Orleans Pelicans,W,10/20/2017,34:34,3,11,0.273,2,7,0.28600000000000003,0,0,,0,5,5,9,0,0,5,4,8,4,2018,193,PF,https://www.basketball-reference.com/players/g/greendr01.html,23,6-6,230,Golden State Warriors,regular season
267,244,Golden State Warriors,Zaza Pachulia,New Orleans Pelicans,W,10/20/2017,20:38,3,6,0.5,0,0,,2,2,1.0,3,6,9,0,2,0,2,5,8,3,2018,200,C,https://www.basketball-reference.com/players/p/pachuza01.html,27,6-11,270,Golden State Warriors,regular season
329,300,Golden State Warriors,Kevin Durant,Memphis Grizzlies,L,10/21/2017,40:03,11,24,0.45799999999999996,4,9,0.444,3,6,0.5,2,11,13,3,1,3,6,2,29,-2,2018,192,SF,https://www.basketball-reference.com/players/d/duranke01.html,35,6-10,240,Golden State Warriors,regular season
330,301,Golden State Warriors,Klay Thompson,Memphis Grizzlies,L,10/21/2017,38:11,5,16,0.313,2,8,0.25,2,2,1.0,0,2,2,1,0,1,0,4,14,0,2018,201,SG,https://www.basketball-reference.com/players/t/thompkl01.html,11,6-6,215,Golden State Warriors,regular season
331,302,Golden State Warriors,Draymond Green,Memphis Grizzlies,L,10/21/2017,36:25,1,6,0.16699999999999998,0,5,0.0,1,2,0.5,1,6,7,6,2,1,3,5,3,-13,2018,193,PF,https://www.basketball-reference.com/players/g/greendr01.html,23,6-6,230,Golden State Warriors,regular season
332,303,Golden State Warriors,Stephen Curry,Memphis Grizzlies,L,10/21/2017,30:05,9,17,0.529,6,11,0.545,13,13,1.0,0,6,6,3,0,0,2,5,37,-6,2018,191,PG,https://www.basketball-reference.com/players/c/curryst01.html,30,6-3,185,Golden State Warriors,regular season
333,304,Golden State Warriors,Zaza Pachulia,Memphis Grizzlies,L,10/21/2017,12:12,0,2,0.0,0,0,,0,0,,2,4,6,0,2,0,2,4,0,-5,2018,200,C,https://www.basketball-reference.com/players/p/pachuza01.html,27,6-11,270,Golden State Warriors,regular season
482,440,Golden State Warriors,Kevin Durant,Dallas Mavericks,W,10/23/2017,33:16,9,15,0.6,4,6,0.667,3,4,0.75,0,8,8,6,0,1,2,1,25,25,2018,192,SF,https://www.basketball-reference.com/players/d/duranke01.html,35,6-10,240,Golden State Warriors,regular season
483,441,Golden State Warriors,Stephen Curry,Dallas Mavericks,W,10/23/2017,31:09,7,15,0.467,2,10,0.2,13,13,1.0,2,0,2,8,4,0,6,1,29,22,2018,191,PG,https://www.basketball-reference.com/players/c/curryst01.html,30,6-3,185,Golden State Warriors,regular season
