,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
13,10,Houston Rockets,Trevor Ariza,Golden State Warriors,W,10/17/2017,37:39,3,9,0.33299999999999996,2,5,0.4,0,0,,1,5,6,5,2,0,1,2,8,-8,2018,205,SF,https://www.basketball-reference.com/players/a/arizatr01.html,1,6-8,215,Houston Rockets,regular season
14,11,Houston Rockets,James Harden,Golden State Warriors,W,10/17/2017,36:24,10,23,0.435,4,9,0.444,3,4,0.75,1,5,6,11,1,0,3,2,27,1,2018,213,SG,https://www.basketball-reference.com/players/h/hardeja01.html,13,6-5,220,Houston Rockets,regular season
15,12,Houston Rockets,Ryan Anderson,Golden State Warriors,W,10/17/2017,33:17,5,12,0.41700000000000004,3,8,0.375,0,0,,3,5,8,1,1,1,0,3,13,8,2018,204,PF,https://www.basketball-reference.com/players/a/anderry01.html,33,6-9,240,Houston Rockets,regular season
16,13,Houston Rockets,Chris Paul,Golden State Warriors,W,10/17/2017,33:04,2,9,0.222,0,4,0.0,0,0,,1,7,8,10,2,1,1,4,4,-13,2018,221,PG,https://www.basketball-reference.com/players/p/paulch01.html,3,6-1,175,Houston Rockets,regular season
17,14,Houston Rockets,Clint Capela,Golden State Warriors,W,10/17/2017,18:10,6,10,0.6,0,0,,0,1,0.0,1,3,4,0,1,1,2,0,12,-23,2018,210,C,https://www.basketball-reference.com/players/c/capelca01.html,15,6-10,240,Houston Rockets,regular season
130,120,Houston Rockets,James Harden,Sacramento Kings,W,10/18/2017,37:46,8,21,0.381,4,14,0.28600000000000003,7,8,0.875,2,1,3,9,2,0,2,1,27,1,2018,213,SG,https://www.basketball-reference.com/players/h/hardeja01.html,13,6-5,220,Houston Rockets,regular season
131,121,Houston Rockets,Eric Gordon,Sacramento Kings,W,10/18/2017,34:49,7,23,0.304,4,13,0.308,7,8,0.875,1,3,4,3,0,0,3,2,25,14,2018,211,SG,https://www.basketball-reference.com/players/g/gordoer01.html,10,6-3,215,Houston Rockets,regular season
132,122,Houston Rockets,Trevor Ariza,Sacramento Kings,W,10/18/2017,32:26,0,6,0.0,0,5,0.0,2,2,1.0,0,2,2,2,0,0,0,1,2,-6,2018,205,SF,https://www.basketball-reference.com/players/a/arizatr01.html,1,6-8,215,Houston Rockets,regular season
133,123,Houston Rockets,Clint Capela,Sacramento Kings,W,10/18/2017,28:20,10,12,0.833,0,0,,2,2,1.0,5,12,17,1,3,1,2,2,22,9,2018,210,C,https://www.basketball-reference.com/players/c/capelca01.html,15,6-10,240,Houston Rockets,regular season
134,124,Houston Rockets,Ryan Anderson,Sacramento Kings,W,10/18/2017,25:41,2,7,0.28600000000000003,2,7,0.28600000000000003,4,4,1.0,1,4,5,0,0,0,0,1,10,5,2018,204,PF,https://www.basketball-reference.com/players/a/anderry01.html,33,6-9,240,Houston Rockets,regular season
324,295,Houston Rockets,James Harden,Dallas Mavericks,W,10/21/2017,30:45,10,19,0.526,6,13,0.462,3,4,0.75,0,3,3,7,2,0,5,5,29,31,2018,213,SG,https://www.basketball-reference.com/players/h/hardeja01.html,13,6-5,220,Houston Rockets,regular season
325,296,Houston Rockets,Trevor Ariza,Dallas Mavericks,W,10/21/2017,30:40,3,7,0.429,1,5,0.2,1,1,1.0,0,4,4,1,4,1,1,0,8,34,2018,205,SF,https://www.basketball-reference.com/players/a/arizatr01.html,1,6-8,215,Houston Rockets,regular season
326,297,Houston Rockets,Eric Gordon,Dallas Mavericks,W,10/21/2017,24:21,5,11,0.455,1,6,0.16699999999999998,7,8,0.875,0,1,1,2,0,0,1,2,18,11,2018,211,SG,https://www.basketball-reference.com/players/g/gordoer01.html,10,6-3,215,Houston Rockets,regular season
