,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
37,35,Indiana Pacers,Cory Joseph,Brooklyn Nets,W,10/18/2017,24:40,4,10,0.4,1,2,0.5,2,2,1.0,1,2,3,4,2,1,1,1,11,7.0,2018,233,PG,https://www.basketball-reference.com/players/j/josepco01.html,6,6-3,200,Indiana Pacers,regular season
38,36,Indiana Pacers,Lance Stephenson,Brooklyn Nets,W,10/18/2017,24:11,6,19,0.316,2,9,0.222,2,5,0.4,0,1,1,3,1,1,1,3,16,-2.0,2018,241,SG,https://www.basketball-reference.com/players/s/stephla01.html,1,6-6,230,Indiana Pacers,regular season
39,37,Indiana Pacers,Domantas Sabonis,Brooklyn Nets,W,10/18/2017,19:13,7,7,1.0,0,0,,2,3,0.667,4,3,7,1,0,0,1,3,16,-4.0,2018,240,C,https://www.basketball-reference.com/players/s/sabondo01.html,11,6-11,240,Indiana Pacers,regular season
40,38,Indiana Pacers,Damien Wilkins,Brooklyn Nets,W,10/18/2017,11:01,1,3,0.33299999999999996,0,2,0.0,0,0,,0,1,1,0,1,0,0,1,2,0.0,2018,244,SF,https://www.basketball-reference.com/players/w/wilkida02.html,12,6-6,225,Indiana Pacers,regular season
41,39,Indiana Pacers,T.J. Leaf,Brooklyn Nets,W,10/18/2017,9:30,0,1,0.0,0,1,0.0,0,0,,0,2,2,1,0,1,0,3,0,-3.0,2018,234,PF,https://www.basketball-reference.com/players/l/leaftj01.html,22,6-10,222,Indiana Pacers,regular season
228,202,Indiana Pacers,Cory Joseph,Portland Trail Blazers,L,10/20/2017,19:54,1,5,0.2,0,0,,5,5,1.0,0,0,0,2,0,0,1,3,7,-16.0,2018,233,PG,https://www.basketball-reference.com/players/j/josepco01.html,6,6-3,200,Indiana Pacers,regular season
229,203,Indiana Pacers,Lance Stephenson,Portland Trail Blazers,L,10/20/2017,19:41,1,5,0.2,0,2,0.0,2,4,0.5,0,2,2,2,0,0,0,0,4,-12.0,2018,241,SG,https://www.basketball-reference.com/players/s/stephla01.html,1,6-6,230,Indiana Pacers,regular season
230,204,Indiana Pacers,T.J. Leaf,Portland Trail Blazers,L,10/20/2017,19:26,7,11,0.636,2,3,0.667,1,1,1.0,1,3,4,1,0,0,0,2,17,-1.0,2018,234,PF,https://www.basketball-reference.com/players/l/leaftj01.html,22,6-10,222,Indiana Pacers,regular season
231,205,Indiana Pacers,Al Jefferson,Portland Trail Blazers,L,10/20/2017,16:07,4,6,0.667,0,0,,0,0,,0,2,2,1,0,1,0,1,8,-7.0,2018,232,C,https://www.basketball-reference.com/players/j/jeffeal01.html,25,6-10,289,Indiana Pacers,regular season
232,206,Indiana Pacers,Damien Wilkins,Portland Trail Blazers,L,10/20/2017,8:33,1,1,1.0,0,0,,0,0,,0,0,0,1,0,0,1,0,2,3.0,2018,244,SF,https://www.basketball-reference.com/players/w/wilkida02.html,12,6-6,225,Indiana Pacers,regular season
233,207,Indiana Pacers,Joe Young,Portland Trail Blazers,L,10/20/2017,3:51,2,2,1.0,0,0,,1,2,0.5,0,1,1,0,0,0,1,1,5,1.0,2018,245,PG,https://www.basketball-reference.com/players/y/youngjo01.html,3,6-2,180,Indiana Pacers,regular season
234,208,Indiana Pacers,Alex Poythress,Portland Trail Blazers,L,10/20/2017,3:51,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,1.0,2018,238,PF,https://www.basketball-reference.com/players/p/poythal01.html,0,6-9,235,Indiana Pacers,regular season
235,209,Indiana Pacers,Ike Anigbogu,Portland Trail Blazers,L,10/20/2017,2:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,5.0,2018,228,C,https://www.basketball-reference.com/players/a/anigbik01.html,13,6-10,250,Indiana Pacers,regular season
415,370,Indiana Pacers,Cory Joseph,Miami Heat,L,10/21/2017,27:08,4,10,0.4,0,0,,0,2,0.0,0,4,4,0,2,0,2,1,8,9.0,2018,233,PG,https://www.basketball-reference.com/players/j/josepco01.html,6,6-3,200,Indiana Pacers,regular season
416,371,Indiana Pacers,Lance Stephenson,Miami Heat,L,10/21/2017,18:18,2,9,0.222,0,2,0.0,0,1,0.0,1,1,2,1,1,0,2,3,4,2.0,2018,241,SG,https://www.basketball-reference.com/players/s/stephla01.html,1,6-6,230,Indiana Pacers,regular season
417,372,Indiana Pacers,T.J. Leaf,Miami Heat,L,10/21/2017,16:51,2,3,0.667,1,2,0.5,0,0,,0,3,3,0,0,0,1,1,5,2.0,2018,234,PF,https://www.basketball-reference.com/players/l/leaftj01.html,22,6-10,222,Indiana Pacers,regular season
418,373,Indiana Pacers,Al Jefferson,Miami Heat,L,10/21/2017,14:11,6,10,0.6,0,1,0.0,2,3,0.667,2,6,8,0,0,1,0,1,14,0.0,2018,232,C,https://www.basketball-reference.com/players/j/jeffeal01.html,25,6-10,289,Indiana Pacers,regular season
419,374,Indiana Pacers,Damien Wilkins,Miami Heat,L,10/21/2017,12:24,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-6.0,2018,244,SF,https://www.basketball-reference.com/players/w/wilkida02.html,12,6-6,225,Indiana Pacers,regular season
679,598,Indiana Pacers,Cory Joseph,Minnesota Timberwolves,W,10/24/2017,28:55,8,11,0.727,5,6,0.833,0,0,,1,4,5,2,3,0,1,1,21,12.0,2018,233,PG,https://www.basketball-reference.com/players/j/josepco01.html,6,6-3,200,Indiana Pacers,regular season
680,599,Indiana Pacers,T.J. Leaf,Minnesota Timberwolves,W,10/24/2017,19:17,5,10,0.5,1,2,0.5,0,0,,1,1,2,0,0,0,0,2,11,2.0,2018,234,PF,https://www.basketball-reference.com/players/l/leaftj01.html,22,6-10,222,Indiana Pacers,regular season
681,600,Indiana Pacers,Al Jefferson,Minnesota Timberwolves,W,10/24/2017,17:52,4,4,1.0,0,0,,0,1,0.0,1,2,3,1,0,0,1,1,8,9.0,2018,232,C,https://www.basketball-reference.com/players/j/jeffeal01.html,25,6-10,289,Indiana Pacers,regular season
682,601,Indiana Pacers,Lance Stephenson,Minnesota Timberwolves,W,10/24/2017,16:13,1,5,0.2,0,0,,0,0,,0,3,3,2,0,0,0,3,2,-8.0,2018,241,SG,https://www.basketball-reference.com/players/s/stephla01.html,1,6-6,230,Indiana Pacers,regular season
683,602,Indiana Pacers,Joe Young,Minnesota Timberwolves,W,10/24/2017,2:12,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,2,2.0,2018,245,PG,https://www.basketball-reference.com/players/y/youngjo01.html,3,6-2,180,Indiana Pacers,regular season
