,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
162,150,Los Angeles Clippers,Blake Griffin,Los Angeles Lakers,W,10/19/2017,33:52,12,23,0.522,3,6,0.5,2,2,1.0,2,10,12,3,2,0,4,2,29,20,2018,173,PF,https://www.basketball-reference.com/players/g/griffbl01.html,23,6-9,250,Detroit Pistons,regular season
163,150,Los Angeles Clippers,Blake Griffin,Los Angeles Lakers,W,10/19/2017,33:52,12,23,0.522,3,6,0.5,2,2,1.0,2,10,12,3,2,0,4,2,29,20,2018,252,PF,https://www.basketball-reference.com/players/g/griffbl01.html,32,6-9,250,Los Angeles Clippers,regular season
164,151,Los Angeles Clippers,Danilo Gallinari,Los Angeles Lakers,W,10/19/2017,33:03,3,13,0.231,2,6,0.33299999999999996,3,4,0.75,0,5,5,3,2,1,0,2,11,19,2018,251,SF,https://www.basketball-reference.com/players/g/gallida01.html,8,6-10,233,Los Angeles Clippers,regular season
165,152,Los Angeles Clippers,DeAndre Jordan,Los Angeles Lakers,W,10/19/2017,31:40,5,10,0.5,0,0,,4,4,1.0,9,15,24,1,1,0,1,3,14,11,2018,257,C,https://www.basketball-reference.com/players/j/jordade01.html,6,6-11,265,Los Angeles Clippers,regular season
166,153,Los Angeles Clippers,Patrick Beverley,Los Angeles Lakers,W,10/19/2017,24:07,4,12,0.33299999999999996,2,5,0.4,0,0,,3,0,3,1,2,1,1,3,10,20,2018,247,SG,https://www.basketball-reference.com/players/b/beverpa01.html,21,6-1,180,Los Angeles Clippers,regular season
167,154,Los Angeles Clippers,Milos Teodosic,Los Angeles Lakers,W,10/19/2017,21:27,2,9,0.222,2,6,0.33299999999999996,0,0,,0,1,1,6,0,1,2,2,6,12,2018,262,PG,https://www.basketball-reference.com/players/t/teodomi01.html,4,6-5,196,Los Angeles Clippers,regular season
400,365,Los Angeles Clippers,Danilo Gallinari,Phoenix Suns,W,10/21/2017,29:54,4,14,0.28600000000000003,3,8,0.375,1,1,1.0,1,7,8,1,0,0,2,2,12,24,2018,251,SF,https://www.basketball-reference.com/players/g/gallida01.html,8,6-10,233,Los Angeles Clippers,regular season
401,366,Los Angeles Clippers,DeAndre Jordan,Phoenix Suns,W,10/21/2017,27:41,3,5,0.6,0,0,,0,0,,3,10,13,0,0,0,0,3,6,21,2018,257,C,https://www.basketball-reference.com/players/j/jordade01.html,6,6-11,265,Los Angeles Clippers,regular season
402,367,Los Angeles Clippers,Blake Griffin,Phoenix Suns,W,10/21/2017,27:31,7,13,0.5379999999999999,3,5,0.6,12,14,0.857,1,7,8,4,1,1,3,2,29,15,2018,173,PF,https://www.basketball-reference.com/players/g/griffbl01.html,23,6-9,250,Detroit Pistons,regular season
403,367,Los Angeles Clippers,Blake Griffin,Phoenix Suns,W,10/21/2017,27:31,7,13,0.5379999999999999,3,5,0.6,12,14,0.857,1,7,8,4,1,1,3,2,29,15,2018,252,PF,https://www.basketball-reference.com/players/g/griffbl01.html,32,6-9,250,Los Angeles Clippers,regular season
404,368,Los Angeles Clippers,Patrick Beverley,Phoenix Suns,W,10/21/2017,26:11,6,8,0.75,2,2,1.0,1,2,0.5,0,2,2,2,5,0,2,4,15,21,2018,247,SG,https://www.basketball-reference.com/players/b/beverpa01.html,21,6-1,180,Los Angeles Clippers,regular season
405,369,Los Angeles Clippers,Milos Teodosic,Phoenix Suns,W,10/21/2017,10:31,2,3,0.667,1,1,1.0,0,0,,0,0,0,2,0,0,1,1,5,3,2018,262,PG,https://www.basketball-reference.com/players/t/teodomi01.html,4,6-5,196,Los Angeles Clippers,regular season
