,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
168,155,Los Angeles Lakers,Brandon Ingram,Los Angeles Clippers,L,10/19/2017,30:31,3,15,0.2,0,1,0.0,6,7,0.857,0,5,5,4,0,0,1,1,12,-2,2018,282,SF,https://www.basketball-reference.com/players/i/ingrabr01.html,14,6-7,190,Los Angeles Lakers,regular season
169,156,Los Angeles Lakers,Larry Nance,Los Angeles Clippers,L,10/19/2017,29:30,7,11,0.636,0,0,,0,2,0.0,3,9,12,0,0,1,3,3,14,3,2018,113,C,https://www.basketball-reference.com/players/n/nancela02.html,22-24,6-7,245,Cleveland Cavaliers,regular season
170,156,Los Angeles Lakers,Larry Nance,Los Angeles Clippers,L,10/19/2017,29:30,7,11,0.636,0,0,,0,2,0.0,3,9,12,0,0,1,3,3,14,3,2018,285,C,https://www.basketball-reference.com/players/n/nancela02.html,7,6-7,245,Los Angeles Lakers,regular season
171,157,Los Angeles Lakers,Lonzo Ball,Los Angeles Clippers,L,10/19/2017,29:21,1,6,0.16699999999999998,1,3,0.33299999999999996,0,2,0.0,0,9,9,4,1,1,2,1,3,-14,2018,268,PG,https://www.basketball-reference.com/players/b/balllo01.html,2,6-6,190,Los Angeles Lakers,regular season
172,158,Los Angeles Lakers,Brook Lopez,Los Angeles Clippers,L,10/19/2017,28:44,7,19,0.368,1,5,0.2,5,5,1.0,4,2,6,2,1,1,1,3,20,-1,2018,284,C,https://www.basketball-reference.com/players/l/lopezbr01.html,11,7-0,282,Los Angeles Lakers,regular season
173,159,Los Angeles Lakers,Luol Deng,Los Angeles Clippers,L,10/19/2017,13:08,1,2,0.5,0,0,,0,0,,0,0,0,1,1,0,1,0,2,-7,2018,276,SF,https://www.basketball-reference.com/players/d/denglu01.html,9,6-9,237,Los Angeles Lakers,regular season
274,250,Los Angeles Lakers,Lonzo Ball,Phoenix Suns,W,10/20/2017,37:27,12,27,0.444,4,9,0.444,1,2,0.5,2,9,11,9,1,0,4,4,29,1,2018,268,PG,https://www.basketball-reference.com/players/b/balllo01.html,2,6-6,190,Los Angeles Lakers,regular season
275,251,Los Angeles Lakers,Brandon Ingram,Phoenix Suns,W,10/20/2017,36:43,9,14,0.643,3,4,0.75,4,6,0.667,0,2,2,1,1,1,2,6,25,8,2018,282,SF,https://www.basketball-reference.com/players/i/ingrabr01.html,14,6-7,190,Los Angeles Lakers,regular season
276,252,Los Angeles Lakers,Corey Brewer,Phoenix Suns,W,10/20/2017,33:26,2,6,0.33299999999999996,0,0,,1,2,0.5,1,1,2,2,3,0,0,4,5,14,2018,271,SF,https://www.basketball-reference.com/players/b/breweco01.html,3,6-9,186,Los Angeles Lakers,regular season
277,252,Los Angeles Lakers,Corey Brewer,Phoenix Suns,W,10/20/2017,33:26,2,6,0.33299999999999996,0,0,,1,2,0.5,1,1,2,2,3,0,0,4,5,14,2018,422,SG,https://www.basketball-reference.com/players/b/breweco01.html,3,6-9,186,Oklahoma City Thunder,regular season
278,253,Los Angeles Lakers,Brook Lopez,Phoenix Suns,W,10/20/2017,32:16,6,10,0.6,2,5,0.4,5,7,0.7140000000000001,1,10,11,2,1,0,3,4,19,14,2018,284,C,https://www.basketball-reference.com/players/l/lopezbr01.html,11,7-0,282,Los Angeles Lakers,regular season
279,254,Los Angeles Lakers,Larry Nance,Phoenix Suns,W,10/20/2017,21:52,5,10,0.5,0,1,0.0,4,4,1.0,1,5,6,1,2,2,3,4,14,11,2018,113,C,https://www.basketball-reference.com/players/n/nancela02.html,22-24,6-7,245,Cleveland Cavaliers,regular season
280,254,Los Angeles Lakers,Larry Nance,Phoenix Suns,W,10/20/2017,21:52,5,10,0.5,0,1,0.0,4,4,1.0,1,5,6,1,2,2,3,4,14,11,2018,285,C,https://www.basketball-reference.com/players/n/nancela02.html,7,6-7,245,Los Angeles Lakers,regular season
433,395,Los Angeles Lakers,Lonzo Ball,New Orleans Pelicans,L,10/22/2017,36:24,3,13,0.231,0,5,0.0,2,2,1.0,1,7,8,13,1,0,5,1,8,-24,2018,268,PG,https://www.basketball-reference.com/players/b/balllo01.html,2,6-6,190,Los Angeles Lakers,regular season
434,396,Los Angeles Lakers,Kentavious Caldwell-Pope,New Orleans Pelicans,L,10/22/2017,30:55,7,11,0.636,2,4,0.5,4,4,1.0,1,1,2,1,2,1,2,1,20,-19,2018,273,SG,https://www.basketball-reference.com/players/c/caldwke01.html,1,6-5,204,Los Angeles Lakers,regular season
435,397,Los Angeles Lakers,Brandon Ingram,New Orleans Pelicans,L,10/22/2017,24:18,3,9,0.33299999999999996,0,1,0.0,1,2,0.5,0,2,2,4,0,0,1,5,7,16,2018,282,SF,https://www.basketball-reference.com/players/i/ingrabr01.html,14,6-7,190,Los Angeles Lakers,regular season
436,398,Los Angeles Lakers,Brook Lopez,New Orleans Pelicans,L,10/22/2017,17:34,2,8,0.25,1,3,0.33299999999999996,2,2,1.0,1,5,6,0,1,2,2,3,7,-9,2018,284,C,https://www.basketball-reference.com/players/l/lopezbr01.html,11,7-0,282,Los Angeles Lakers,regular season
