,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
82,75,Memphis Grizzlies,Mike Conley,New Orleans Pelicans,W,10/18/2017,32:41,9,15,0.6,4,9,0.444,5,7,0.7140000000000001,0,5,5,3,2,0,1,3,27,8,2018,295,PG,https://www.basketball-reference.com/players/c/conlemi01.html,11,6-1,175,Memphis Grizzlies,regular season
83,76,Memphis Grizzlies,Marc Gasol,New Orleans Pelicans,W,10/18/2017,29:22,6,18,0.33299999999999996,2,5,0.4,0,0,,3,8,11,4,0,3,2,6,14,8,2018,299,C,https://www.basketball-reference.com/players/g/gasolma01.html,33,6-11,255,Memphis Grizzlies,regular season
84,77,Memphis Grizzlies,Andrew Harrison,New Orleans Pelicans,W,10/18/2017,19:09,1,6,0.16699999999999998,0,0,,0,0,,0,2,2,1,0,1,1,2,2,-2,2018,301,PG,https://www.basketball-reference.com/players/h/harrian01.html,5,6-6,213,Memphis Grizzlies,regular season
85,78,Memphis Grizzlies,James Ennis,New Orleans Pelicans,W,10/18/2017,18:35,2,2,1.0,1,1,1.0,0,0,,1,0,1,2,0,0,0,0,5,-5,2018,170,SF,https://www.basketball-reference.com/players/e/ennisja01.html,33,6-6,215,Detroit Pistons,regular season
86,78,Memphis Grizzlies,James Ennis,New Orleans Pelicans,W,10/18/2017,18:35,2,2,1.0,1,1,1.0,0,0,,1,0,1,2,0,0,0,0,5,-5,2018,297,SF,https://www.basketball-reference.com/players/e/ennisja01.html,8,6-6,215,Memphis Grizzlies,regular season
87,79,Memphis Grizzlies,JaMychal Green,New Orleans Pelicans,W,10/18/2017,3:53,1,2,0.5,0,0,,0,0,,0,1,1,1,0,0,0,1,2,0,2018,300,PF,https://www.basketball-reference.com/players/g/greenja01.html,0,6-8,227,Memphis Grizzlies,regular season
334,305,Memphis Grizzlies,Marc Gasol,Golden State Warriors,W,10/21/2017,36:23,8,16,0.5,2,4,0.5,16,17,0.941,2,12,14,2,1,2,7,1,34,10,2018,299,C,https://www.basketball-reference.com/players/g/gasolma01.html,33,6-11,255,Memphis Grizzlies,regular season
335,306,Memphis Grizzlies,Mike Conley,Golden State Warriors,W,10/21/2017,32:00,3,14,0.214,1,6,0.16699999999999998,3,4,0.75,0,2,2,7,0,0,1,3,10,2,2018,295,PG,https://www.basketball-reference.com/players/c/conlemi01.html,11,6-1,175,Memphis Grizzlies,regular season
336,307,Memphis Grizzlies,Jarell Martin,Golden State Warriors,W,10/21/2017,28:30,3,8,0.375,0,1,0.0,2,2,1.0,1,4,5,0,2,0,0,3,8,0,2018,306,PF,https://www.basketball-reference.com/players/m/martija01.html,1,6-10,239,Memphis Grizzlies,regular season
337,308,Memphis Grizzlies,James Ennis,Golden State Warriors,W,10/21/2017,25:09,6,6,1.0,0,0,,1,2,0.5,1,3,4,3,1,0,0,4,13,13,2018,170,SF,https://www.basketball-reference.com/players/e/ennisja01.html,33,6-6,215,Detroit Pistons,regular season
338,308,Memphis Grizzlies,James Ennis,Golden State Warriors,W,10/21/2017,25:09,6,6,1.0,0,0,,1,2,0.5,1,3,4,3,1,0,0,4,13,13,2018,297,SF,https://www.basketball-reference.com/players/e/ennisja01.html,8,6-6,215,Memphis Grizzlies,regular season
339,309,Memphis Grizzlies,Andrew Harrison,Golden State Warriors,W,10/21/2017,14:55,1,3,0.33299999999999996,1,3,0.33299999999999996,2,2,1.0,0,0,0,0,0,0,0,1,5,8,2018,301,PG,https://www.basketball-reference.com/players/h/harrian01.html,5,6-6,213,Memphis Grizzlies,regular season
461,420,Memphis Grizzlies,Marc Gasol,Houston Rockets,W,10/23/2017,37:36,8,15,0.5329999999999999,0,3,0.0,10,10,1.0,0,5,5,2,0,2,4,4,26,19,2018,299,C,https://www.basketball-reference.com/players/g/gasolma01.html,33,6-11,255,Memphis Grizzlies,regular season
462,421,Memphis Grizzlies,James Ennis,Houston Rockets,W,10/23/2017,37:13,4,8,0.5,0,0,,6,7,0.857,2,9,11,1,1,0,3,4,14,10,2018,170,SF,https://www.basketball-reference.com/players/e/ennisja01.html,33,6-6,215,Detroit Pistons,regular season
463,421,Memphis Grizzlies,James Ennis,Houston Rockets,W,10/23/2017,37:13,4,8,0.5,0,0,,6,7,0.857,2,9,11,1,1,0,3,4,14,10,2018,297,SF,https://www.basketball-reference.com/players/e/ennisja01.html,8,6-6,215,Memphis Grizzlies,regular season
464,422,Memphis Grizzlies,Mike Conley,Houston Rockets,W,10/23/2017,28:02,3,10,0.3,2,5,0.4,9,9,1.0,0,3,3,4,0,0,2,3,17,6,2018,295,PG,https://www.basketball-reference.com/players/c/conlemi01.html,11,6-1,175,Memphis Grizzlies,regular season
465,423,Memphis Grizzlies,Jarell Martin,Houston Rockets,W,10/23/2017,20:49,5,9,0.556,1,2,0.5,0,0,,1,4,5,1,0,0,0,3,11,-6,2018,306,PF,https://www.basketball-reference.com/players/m/martija01.html,1,6-10,239,Memphis Grizzlies,regular season
