,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
42,40,Miami Heat,Justise Winslow,Orlando Magic,L,10/18/2017,23:16,4,8,0.5,1,1,1.0,1,2,0.5,1,3,4,2,1,0,1,2,10,-13.0,2018,334,PF,https://www.basketball-reference.com/players/w/winslju01.html,20,6-6,222,Miami Heat,regular season
43,41,Miami Heat,Tyler Johnson,Orlando Magic,L,10/18/2017,21:18,3,9,0.33299999999999996,1,3,0.33299999999999996,0,0,,0,2,2,1,0,0,1,2,7,1.0,2018,322,PG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186,Miami Heat,regular season
44,42,Miami Heat,James Johnson,Orlando Magic,L,10/18/2017,18:42,5,9,0.556,0,2,0.0,1,4,0.25,2,2,4,8,1,1,4,5,11,6.0,2018,321,PF,https://www.basketball-reference.com/players/j/johnsja01.html,16,6-7,240,Miami Heat,regular season
45,43,Miami Heat,Wayne Ellington,Orlando Magic,L,10/18/2017,9:57,1,5,0.2,0,4,0.0,1,1,1.0,0,0,0,0,1,0,1,0,3,-5.0,2018,319,SG,https://www.basketball-reference.com/players/e/ellinwa01.html,2,6-4,207,Miami Heat,regular season
46,44,Miami Heat,Bam Adebayo,Orlando Magic,L,10/18/2017,5:42,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,2,0,3.0,2018,316,C,https://www.basketball-reference.com/players/a/adebaba01.html,13,6-9,255,Miami Heat,regular season
420,375,Miami Heat,Kelly Olynyk,Indiana Pacers,W,10/21/2017,27:19,5,10,0.5,3,5,0.6,0,0,,1,8,9,4,2,1,2,3,13,-3.0,2018,326,PF,https://www.basketball-reference.com/players/o/olynyke01.html,9,6-11,240,Miami Heat,regular season
421,376,Miami Heat,Tyler Johnson,Indiana Pacers,W,10/21/2017,26:17,4,9,0.444,1,4,0.25,0,0,,0,3,3,2,0,2,1,3,9,5.0,2018,322,PG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186,Miami Heat,regular season
422,377,Miami Heat,Justise Winslow,Indiana Pacers,W,10/21/2017,25:27,3,8,0.375,0,1,0.0,0,0,,1,5,6,0,1,1,1,1,6,2.0,2018,334,PF,https://www.basketball-reference.com/players/w/winslju01.html,20,6-6,222,Miami Heat,regular season
423,378,Miami Heat,Wayne Ellington,Indiana Pacers,W,10/21/2017,15:24,3,8,0.375,2,6,0.33299999999999996,0,0,,0,3,3,1,1,0,2,0,8,5.0,2018,319,SG,https://www.basketball-reference.com/players/e/ellinwa01.html,2,6-4,207,Miami Heat,regular season
559,492,Miami Heat,Kelly Olynyk,Atlanta Hawks,W,10/23/2017,28:58,4,8,0.5,1,3,0.33299999999999996,1,3,0.33299999999999996,2,8,10,4,2,1,5,3,10,6.0,2018,326,PF,https://www.basketball-reference.com/players/o/olynyke01.html,9,6-11,240,Miami Heat,regular season
560,493,Miami Heat,Tyler Johnson,Atlanta Hawks,W,10/23/2017,26:50,1,9,0.111,0,4,0.0,4,4,1.0,2,2,4,0,2,0,2,0,6,4.0,2018,322,PG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186,Miami Heat,regular season
561,494,Miami Heat,Justise Winslow,Atlanta Hawks,W,10/23/2017,26:00,4,8,0.5,0,2,0.0,0,0,,2,3,5,1,1,0,0,2,8,7.0,2018,334,PF,https://www.basketball-reference.com/players/w/winslju01.html,20,6-6,222,Miami Heat,regular season
562,495,Miami Heat,Wayne Ellington,Atlanta Hawks,W,10/23/2017,24:50,6,9,0.667,6,8,0.75,2,2,1.0,1,1,2,2,1,0,1,1,20,15.0,2018,319,SG,https://www.basketball-reference.com/players/e/ellinwa01.html,2,6-4,207,Miami Heat,regular season
778,685,Miami Heat,Tyler Johnson,San Antonio Spurs,L,10/25/2017,33:16,7,13,0.5379999999999999,3,6,0.5,6,6,1.0,0,0,0,3,1,1,0,2,23,-7.0,2018,322,PG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186,Miami Heat,regular season
779,686,Miami Heat,Justise Winslow,San Antonio Spurs,L,10/25/2017,22:24,2,5,0.4,0,1,0.0,0,0,,0,1,1,1,0,0,0,3,4,-9.0,2018,334,PF,https://www.basketball-reference.com/players/w/winslju01.html,20,6-6,222,Miami Heat,regular season
780,687,Miami Heat,Kelly Olynyk,San Antonio Spurs,L,10/25/2017,12:07,2,3,0.667,1,1,1.0,0,0,,0,2,2,1,0,0,1,2,5,2.0,2018,326,PF,https://www.basketball-reference.com/players/o/olynyke01.html,9,6-11,240,Miami Heat,regular season
781,688,Miami Heat,Wayne Ellington,San Antonio Spurs,L,10/25/2017,6:18,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,2,0,-1.0,2018,319,SG,https://www.basketball-reference.com/players/e/ellinwa01.html,2,6-4,207,Miami Heat,regular season
782,689,Miami Heat,Okaro White,San Antonio Spurs,L,10/25/2017,0:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.0,2018,331,PF,https://www.basketball-reference.com/players/w/whiteok01.html,15,6-8,205,Miami Heat,regular season
1056,926,Miami Heat,Kelly Olynyk,Boston Celtics,L,10/28/2017,23:41,3,7,0.429,1,3,0.33299999999999996,7,8,0.875,2,7,9,1,1,3,4,1,14,3.0,2018,326,PF,https://www.basketball-reference.com/players/o/olynyke01.html,9,6-11,240,Miami Heat,regular season
1057,927,Miami Heat,Justise Winslow,Boston Celtics,L,10/28/2017,23:09,3,7,0.429,0,1,0.0,0,0,,3,9,12,3,1,2,1,4,6,3.0,2018,334,PF,https://www.basketball-reference.com/players/w/winslju01.html,20,6-6,222,Miami Heat,regular season
1058,928,Miami Heat,Tyler Johnson,Boston Celtics,L,10/28/2017,22:48,1,6,0.16699999999999998,0,3,0.0,0,0,,0,2,2,2,1,1,0,1,2,1.0,2018,322,PG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186,Miami Heat,regular season
1059,929,Miami Heat,Wayne Ellington,Boston Celtics,L,10/28/2017,17:04,1,7,0.14300000000000002,1,6,0.16699999999999998,0,0,,0,1,1,0,0,0,0,1,3,-10.0,2018,319,SG,https://www.basketball-reference.com/players/e/ellinwa01.html,2,6-4,207,Miami Heat,regular season
1229,1075,Miami Heat,Kelly Olynyk,Minnesota Timberwolves,L,10/30/2017,29:28,9,12,0.75,3,5,0.6,2,2,1.0,0,6,6,2,0,0,4,3,23,6.0,2018,326,PF,https://www.basketball-reference.com/players/o/olynyke01.html,9,6-11,240,Miami Heat,regular season
1230,1076,Miami Heat,Justise Winslow,Minnesota Timberwolves,L,10/30/2017,27:06,5,5,1.0,0,0,,0,0,,1,7,8,2,0,0,1,2,10,-13.0,2018,334,PF,https://www.basketball-reference.com/players/w/winslju01.html,20,6-6,222,Miami Heat,regular season
1231,1077,Miami Heat,Tyler Johnson,Minnesota Timberwolves,L,10/30/2017,22:50,4,7,0.5710000000000001,0,2,0.0,4,4,1.0,1,2,3,2,0,1,3,4,12,8.0,2018,322,PG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186,Miami Heat,regular season
1232,1078,Miami Heat,Okaro White,Minnesota Timberwolves,L,10/30/2017,16:34,2,2,1.0,1,1,1.0,1,2,0.5,1,0,1,0,1,1,0,1,6,6.0,2018,331,PF,https://www.basketball-reference.com/players/w/whiteok01.html,15,6-8,205,Miami Heat,regular season
1233,1079,Miami Heat,Wayne Ellington,Minnesota Timberwolves,L,10/30/2017,3:52,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,2,0,0.0,2018,319,SG,https://www.basketball-reference.com/players/e/ellinwa01.html,2,6-4,207,Miami Heat,regular season
1465,1284,Miami Heat,Tyler Johnson,Chicago Bulls,W,11/01/2017,31:37,5,12,0.41700000000000004,3,5,0.6,6,6,1.0,0,3,3,2,1,0,1,3,19,4.0,2018,322,PG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186,Miami Heat,regular season
1466,1285,Miami Heat,Justise Winslow,Chicago Bulls,W,11/01/2017,24:08,3,7,0.429,0,0,,2,3,0.667,0,5,5,0,1,0,1,1,8,6.0,2018,334,PF,https://www.basketball-reference.com/players/w/winslju01.html,20,6-6,222,Miami Heat,regular season
1467,1286,Miami Heat,Wayne Ellington,Chicago Bulls,W,11/01/2017,23:09,2,7,0.28600000000000003,2,6,0.33299999999999996,0,0,,0,2,2,4,1,0,0,1,6,7.0,2018,319,SG,https://www.basketball-reference.com/players/e/ellinwa01.html,2,6-4,207,Miami Heat,regular season
1468,1287,Miami Heat,Bam Adebayo,Chicago Bulls,W,11/01/2017,13:04,1,2,0.5,0,0,,2,2,1.0,0,4,4,0,2,0,0,0,4,8.0,2018,316,C,https://www.basketball-reference.com/players/a/adebaba01.html,13,6-9,255,Miami Heat,regular season
1469,1288,Miami Heat,Kelly Olynyk,Chicago Bulls,W,11/01/2017,8:34,3,4,0.75,1,1,1.0,1,1,1.0,0,2,2,0,0,0,0,5,8,1.0,2018,326,PF,https://www.basketball-reference.com/players/o/olynyke01.html,9,6-11,240,Miami Heat,regular season
1683,1476,Miami Heat,James Johnson,Denver Nuggets,L,11/03/2017,30:24,5,6,0.833,3,4,0.75,2,2,1.0,3,7,10,4,2,1,4,6,15,3.0,2018,321,PF,https://www.basketball-reference.com/players/j/johnsja01.html,16,6-7,240,Miami Heat,regular season
1684,1477,Miami Heat,Tyler Johnson,Denver Nuggets,L,11/03/2017,25:33,1,8,0.125,0,4,0.0,0,0,,0,1,1,2,0,2,1,2,2,-10.0,2018,322,PG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186,Miami Heat,regular season
1685,1478,Miami Heat,Kelly Olynyk,Denver Nuggets,L,11/03/2017,20:17,3,8,0.375,2,4,0.5,0,0,,1,5,6,1,1,0,5,1,8,-3.0,2018,326,PF,https://www.basketball-reference.com/players/o/olynyke01.html,9,6-11,240,Miami Heat,regular season
1686,1479,Miami Heat,Justise Winslow,Denver Nuggets,L,11/03/2017,13:30,1,2,0.5,1,1,1.0,0,2,0.0,1,2,3,0,1,0,3,0,3,-5.0,2018,334,PF,https://www.basketball-reference.com/players/w/winslju01.html,20,6-6,222,Miami Heat,regular season
1687,1480,Miami Heat,Wayne Ellington,Denver Nuggets,L,11/03/2017,12:27,0,4,0.0,0,4,0.0,0,0,,0,3,3,2,0,0,0,1,0,-1.0,2018,319,SG,https://www.basketball-reference.com/players/e/ellinwa01.html,2,6-4,207,Miami Heat,regular season
1688,1481,Miami Heat,Bam Adebayo,Denver Nuggets,L,11/03/2017,3:31,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,6.0,2018,316,C,https://www.basketball-reference.com/players/a/adebaba01.html,13,6-9,255,Miami Heat,regular season
1816,1592,Miami Heat,Tyler Johnson,Los Angeles Clippers,W,11/05/2017,33:21,7,15,0.467,3,10,0.3,2,2,1.0,0,2,2,3,3,0,2,3,19,1.0,2018,322,PG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186,Miami Heat,regular season
1817,1593,Miami Heat,James Johnson,Los Angeles Clippers,W,11/05/2017,28:42,5,11,0.455,0,1,0.0,4,4,1.0,1,1,2,5,0,1,6,1,14,-1.0,2018,321,PF,https://www.basketball-reference.com/players/j/johnsja01.html,16,6-7,240,Miami Heat,regular season
1818,1594,Miami Heat,Wayne Ellington,Los Angeles Clippers,W,11/05/2017,27:06,6,11,0.545,5,9,0.556,0,0,,0,1,1,2,0,1,0,2,17,-3.0,2018,319,SG,https://www.basketball-reference.com/players/e/ellinwa01.html,2,6-4,207,Miami Heat,regular season
1819,1595,Miami Heat,Kelly Olynyk,Los Angeles Clippers,W,11/05/2017,15:33,1,5,0.2,0,2,0.0,0,0,,0,4,4,1,1,2,1,2,2,0.0,2018,326,PF,https://www.basketball-reference.com/players/o/olynyke01.html,9,6-11,240,Miami Heat,regular season
1820,1596,Miami Heat,Bam Adebayo,Los Angeles Clippers,W,11/05/2017,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5.0,2018,316,C,https://www.basketball-reference.com/players/a/adebaba01.html,13,6-9,255,Miami Heat,regular season
1956,1719,Miami Heat,James Johnson,Golden State Warriors,L,11/06/2017,32:19,7,15,0.467,3,7,0.429,4,4,1.0,1,8,9,6,3,1,2,3,21,3.0,2018,321,PF,https://www.basketball-reference.com/players/j/johnsja01.html,16,6-7,240,Miami Heat,regular season
1957,1720,Miami Heat,Tyler Johnson,Golden State Warriors,L,11/06/2017,29:00,1,8,0.125,1,2,0.5,0,1,0.0,1,3,4,1,0,0,1,4,3,-15.0,2018,322,PG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186,Miami Heat,regular season
1958,1721,Miami Heat,Wayne Ellington,Golden State Warriors,L,11/06/2017,27:45,3,10,0.3,3,9,0.33299999999999996,0,0,,0,1,1,1,1,0,1,0,9,-7.0,2018,319,SG,https://www.basketball-reference.com/players/e/ellinwa01.html,2,6-4,207,Miami Heat,regular season
1959,1722,Miami Heat,Kelly Olynyk,Golden State Warriors,L,11/06/2017,18:23,3,4,0.75,0,0,,4,5,0.8,0,5,5,1,0,0,3,4,10,1.0,2018,326,PF,https://www.basketball-reference.com/players/o/olynyke01.html,9,6-11,240,Miami Heat,regular season
1960,1723,Miami Heat,Bam Adebayo,Golden State Warriors,L,11/06/2017,13:15,1,1,1.0,0,0,,1,1,1.0,2,4,6,0,1,2,1,0,3,-3.0,2018,316,C,https://www.basketball-reference.com/players/a/adebaba01.html,13,6-9,255,Miami Heat,regular season
1961,1724,Miami Heat,Derrick Walton,Golden State Warriors,L,11/06/2017,1:08,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,3.0,2018,330,PG,https://www.basketball-reference.com/players/w/waltode01.html,14,6-0,189,Miami Heat,regular season
2134,1876,Miami Heat,Wayne Ellington,Phoenix Suns,W,11/08/2017,34:17,4,9,0.444,4,9,0.444,3,4,0.75,0,3,3,0,0,0,0,1,15,6.0,2018,319,SG,https://www.basketball-reference.com/players/e/ellinwa01.html,2,6-4,207,Miami Heat,regular season
2135,1877,Miami Heat,James Johnson,Phoenix Suns,W,11/08/2017,29:21,5,7,0.7140000000000001,2,4,0.5,3,3,1.0,1,6,7,5,2,0,1,4,15,5.0,2018,321,PF,https://www.basketball-reference.com/players/j/johnsja01.html,16,6-7,240,Miami Heat,regular season
2136,1878,Miami Heat,Kelly Olynyk,Phoenix Suns,W,11/08/2017,18:10,4,5,0.8,1,2,0.5,1,2,0.5,3,6,9,2,0,0,1,1,10,0.0,2018,326,PF,https://www.basketball-reference.com/players/o/olynyke01.html,9,6-11,240,Miami Heat,regular season
2295,2022,Miami Heat,Tyler Johnson,Utah Jazz,W,11/10/2017,32:31,4,10,0.4,2,3,0.667,1,2,0.5,0,4,4,1,0,2,0,3,11,9.0,2018,322,PG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186,Miami Heat,regular season
2296,2023,Miami Heat,James Johnson,Utah Jazz,W,11/10/2017,22:52,1,3,0.33299999999999996,0,1,0.0,0,0,,0,3,3,2,2,0,3,3,2,0.0,2018,321,PF,https://www.basketball-reference.com/players/j/johnsja01.html,16,6-7,240,Miami Heat,regular season
2297,2024,Miami Heat,Kelly Olynyk,Utah Jazz,W,11/10/2017,17:15,2,5,0.4,1,4,0.25,2,3,0.667,0,6,6,2,1,0,1,3,7,5.0,2018,326,PF,https://www.basketball-reference.com/players/o/olynyke01.html,9,6-11,240,Miami Heat,regular season
2298,2025,Miami Heat,Wayne Ellington,Utah Jazz,W,11/10/2017,15:14,2,3,0.667,1,2,0.5,0,0,,0,1,1,0,0,0,0,0,5,-15.0,2018,319,SG,https://www.basketball-reference.com/players/e/ellinwa01.html,2,6-4,207,Miami Heat,regular season
2477,2179,Miami Heat,Tyler Johnson,Detroit Pistons,L,11/12/2017,33:18,2,7,0.28600000000000003,2,7,0.28600000000000003,0,0,,0,4,4,5,0,1,0,3,6,-14.0,2018,322,PG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186,Miami Heat,regular season
2478,2180,Miami Heat,James Johnson,Detroit Pistons,L,11/12/2017,26:03,3,8,0.375,0,1,0.0,4,5,0.8,0,3,3,2,1,0,0,2,10,-23.0,2018,321,PF,https://www.basketball-reference.com/players/j/johnsja01.html,16,6-7,240,Miami Heat,regular season
2479,2181,Miami Heat,Kelly Olynyk,Detroit Pistons,L,11/12/2017,16:09,3,5,0.6,2,4,0.5,0,1,0.0,0,2,2,0,0,0,2,4,8,-8.0,2018,326,PF,https://www.basketball-reference.com/players/o/olynyke01.html,9,6-11,240,Miami Heat,regular season
2480,2182,Miami Heat,Wayne Ellington,Detroit Pistons,L,11/12/2017,9:24,2,4,0.5,2,4,0.5,0,0,,0,1,1,1,0,0,1,0,6,-3.0,2018,319,SG,https://www.basketball-reference.com/players/e/ellinwa01.html,2,6-4,207,Miami Heat,regular season
2687,2367,Miami Heat,Tyler Johnson,Washington Wizards,L,11/15/2017,31:24,4,11,0.364,3,7,0.429,4,4,1.0,1,1,2,2,0,1,0,4,15,-11.0,2018,322,PG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186,Miami Heat,regular season
2688,2368,Miami Heat,James Johnson,Washington Wizards,L,11/15/2017,26:45,1,5,0.2,1,1,1.0,2,3,0.667,1,1,2,2,0,0,2,2,5,-6.0,2018,321,PF,https://www.basketball-reference.com/players/j/johnsja01.html,16,6-7,240,Miami Heat,regular season
2689,2369,Miami Heat,Kelly Olynyk,Washington Wizards,L,11/15/2017,11:52,2,4,0.5,1,2,0.5,0,0,,1,2,3,0,1,0,0,2,5,0.0,2018,326,PF,https://www.basketball-reference.com/players/o/olynyke01.html,9,6-11,240,Miami Heat,regular season
2690,2370,Miami Heat,Wayne Ellington,Washington Wizards,L,11/15/2017,8:02,1,3,0.33299999999999996,1,1,1.0,0,0,,0,0,0,0,0,0,1,1,3,1.0,2018,319,SG,https://www.basketball-reference.com/players/e/ellinwa01.html,2,6-4,207,Miami Heat,regular season
2826,2493,Miami Heat,James Johnson,Washington Wizards,W,11/17/2017,31:13,7,14,0.5,2,4,0.5,4,6,0.667,2,3,5,4,0,0,1,2,20,-4.0,2018,321,PF,https://www.basketball-reference.com/players/j/johnsja01.html,16,6-7,240,Miami Heat,regular season
2827,2494,Miami Heat,Wayne Ellington,Washington Wizards,W,11/17/2017,21:10,1,4,0.25,1,4,0.25,1,1,1.0,0,3,3,0,0,0,0,2,4,2.0,2018,319,SG,https://www.basketball-reference.com/players/e/ellinwa01.html,2,6-4,207,Miami Heat,regular season
2828,2495,Miami Heat,Tyler Johnson,Washington Wizards,W,11/17/2017,20:22,2,7,0.28600000000000003,1,4,0.25,2,2,1.0,0,5,5,3,0,1,2,1,7,5.0,2018,322,PG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186,Miami Heat,regular season
2829,2496,Miami Heat,Kelly Olynyk,Washington Wizards,W,11/17/2017,11:50,2,3,0.667,1,1,1.0,0,0,,3,1,4,0,1,1,1,4,5,12.0,2018,326,PF,https://www.basketball-reference.com/players/o/olynyke01.html,9,6-11,240,Miami Heat,regular season
2830,2497,Miami Heat,Bam Adebayo,Washington Wizards,W,11/17/2017,4:08,0,0,,0,0,,1,2,0.5,0,1,1,0,0,0,1,0,1,-7.0,2018,316,C,https://www.basketball-reference.com/players/a/adebaba01.html,13,6-9,255,Miami Heat,regular season
3090,2725,Miami Heat,James Johnson,Indiana Pacers,L,11/19/2017,26:52,3,8,0.375,3,6,0.5,1,2,0.5,1,3,4,6,0,0,3,2,10,2.0,2018,321,PF,https://www.basketball-reference.com/players/j/johnsja01.html,16,6-7,240,Miami Heat,regular season
3091,2726,Miami Heat,Tyler Johnson,Indiana Pacers,L,11/19/2017,26:34,2,8,0.25,0,3,0.0,0,0,,1,5,6,4,0,0,3,1,4,-14.0,2018,322,PG,https://www.basketball-reference.com/players/j/johnsty01.html,8,6-3,186,Miami Heat,regular season
3092,2727,Miami Heat,Wayne Ellington,Indiana Pacers,L,11/19/2017,24:49,7,12,0.583,7,12,0.583,0,0,,1,1,2,0,1,0,0,0,21,-2.0,2018,319,SG,https://www.basketball-reference.com/players/e/ellinwa01.html,2,6-4,207,Miami Heat,regular season
