,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
66,60,Milwaukee Bucks,Khris Middleton,Boston Celtics,W,10/18/2017,43:26,6,17,0.353,1,5,0.2,2,2,1.0,2,7,9,6,2,0,5,4,15,10,2018,346,SF,https://www.basketball-reference.com/players/m/middlkh01.html,22,6-7,222,Milwaukee Bucks,regular season
67,61,Milwaukee Bucks,Malcolm Brogdon,Boston Celtics,W,10/18/2017,41:26,6,10,0.6,3,5,0.6,4,4,1.0,0,1,1,4,0,0,2,2,19,10,2018,338,PG,https://www.basketball-reference.com/players/b/brogdma01.html,13,6-5,229,Milwaukee Bucks,regular season
68,62,Milwaukee Bucks,Giannis Antetokounmpo,Boston Celtics,W,10/18/2017,36:56,13,22,0.591,0,1,0.0,11,13,0.846,1,12,13,3,3,0,5,4,37,7,2018,335,PF,https://www.basketball-reference.com/players/a/antetgi01.html,34,6-11,242,Milwaukee Bucks,regular season
69,63,Milwaukee Bucks,Tony Snell,Boston Celtics,W,10/18/2017,29:29,2,4,0.5,1,3,0.33299999999999996,0,0,,0,4,4,1,0,0,0,4,5,-4,2018,353,SG,https://www.basketball-reference.com/players/s/snellto01.html,21,6-6,213,Milwaukee Bucks,regular season
70,64,Milwaukee Bucks,Thon Maker,Boston Celtics,W,10/18/2017,13:45,1,4,0.25,0,1,0.0,0,0,,2,1,3,0,1,0,1,1,2,-8,2018,345,C,https://www.basketball-reference.com/players/m/makerth01.html,7,7-0,221,Milwaukee Bucks,regular season
203,185,Milwaukee Bucks,Giannis Antetokounmpo,Cleveland Cavaliers,L,10/20/2017,38:32,15,22,0.682,0,1,0.0,4,6,0.667,2,6,8,8,3,1,2,2,34,-17,2018,335,PF,https://www.basketball-reference.com/players/a/antetgi01.html,34,6-11,242,Milwaukee Bucks,regular season
204,186,Milwaukee Bucks,Khris Middleton,Cleveland Cavaliers,L,10/20/2017,35:19,3,10,0.3,0,5,0.0,2,2,1.0,0,3,3,5,0,0,3,4,8,-4,2018,346,SF,https://www.basketball-reference.com/players/m/middlkh01.html,22,6-7,222,Milwaukee Bucks,regular season
205,187,Milwaukee Bucks,Malcolm Brogdon,Cleveland Cavaliers,L,10/20/2017,33:37,6,12,0.5,4,9,0.444,0,0,,0,2,2,1,2,0,2,2,16,-15,2018,338,PG,https://www.basketball-reference.com/players/b/brogdma01.html,13,6-5,229,Milwaukee Bucks,regular season
206,188,Milwaukee Bucks,Tony Snell,Cleveland Cavaliers,L,10/20/2017,31:37,3,7,0.429,3,7,0.429,0,0,,0,2,2,3,1,0,0,1,9,-5,2018,353,SG,https://www.basketball-reference.com/players/s/snellto01.html,21,6-6,213,Milwaukee Bucks,regular season
207,189,Milwaukee Bucks,Thon Maker,Cleveland Cavaliers,L,10/20/2017,16:59,3,5,0.6,1,1,1.0,0,0,,1,2,3,0,0,1,0,3,7,-3,2018,345,C,https://www.basketball-reference.com/players/m/makerth01.html,7,7-0,221,Milwaukee Bucks,regular season
368,335,Milwaukee Bucks,Giannis Antetokounmpo,Portland Trail Blazers,W,10/21/2017,39:20,17,23,0.7390000000000001,1,4,0.25,9,13,0.6920000000000001,2,6,8,4,2,2,2,3,44,3,2018,335,PF,https://www.basketball-reference.com/players/a/antetgi01.html,34,6-11,242,Milwaukee Bucks,regular season
369,336,Milwaukee Bucks,Tony Snell,Portland Trail Blazers,W,10/21/2017,34:29,7,8,0.875,3,4,0.75,0,0,,1,1,2,1,1,0,2,1,17,-3,2018,353,SG,https://www.basketball-reference.com/players/s/snellto01.html,21,6-6,213,Milwaukee Bucks,regular season
370,337,Milwaukee Bucks,Malcolm Brogdon,Portland Trail Blazers,W,10/21/2017,30:59,5,14,0.35700000000000004,0,0,,3,4,0.75,1,0,1,6,4,0,2,2,13,5,2018,338,PG,https://www.basketball-reference.com/players/b/brogdma01.html,13,6-5,229,Milwaukee Bucks,regular season
