,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
51,49,Philadelphia 76ers,Dario Saric,Washington Wizards,L,10/18/2017,22:42,1,5,0.2,0,2,0.0,1,1,1.0,1,2,3,2,0,1,0,3,3,-9.0,2018,474,PF,https://www.basketball-reference.com/players/s/saricda01.html,9,6-10,225,Philadelphia 76ers,regular season
52,50,Philadelphia 76ers,Timothe Luwawu-Cabarrot,Washington Wizards,L,10/18/2017,18:21,2,6,0.33299999999999996,1,3,0.33299999999999996,0,0,,1,1,2,2,1,0,0,2,5,-19.0,2018,468,SF,https://www.basketball-reference.com/players/l/luwawti01.html,7,6-7,220,Philadelphia 76ers,regular season
53,51,Philadelphia 76ers,Markelle Fultz,Washington Wizards,L,10/18/2017,17:54,5,9,0.556,0,0,,0,2,0.0,2,1,3,1,0,1,2,0,10,-18.0,2018,462,SG,https://www.basketball-reference.com/players/f/fultzma01.html,20,6-3,209,Philadelphia 76ers,regular season
54,52,Philadelphia 76ers,Amir Johnson,Washington Wizards,L,10/18/2017,15:08,2,7,0.28600000000000003,0,0,,1,2,0.5,1,4,5,1,0,0,1,6,5,-7.0,2018,466,C,https://www.basketball-reference.com/players/j/johnsam01.html,5,6-9,240,Philadelphia 76ers,regular season
55,53,Philadelphia 76ers,T.J. McConnell,Washington Wizards,L,10/18/2017,14:55,1,2,0.5,0,0,,0,0,,0,0,0,3,0,0,0,0,2,-14.0,2018,470,PG,https://www.basketball-reference.com/players/m/mccontj01.html,12,6-1,190,Philadelphia 76ers,regular season
263,232,Philadelphia 76ers,Dario Saric,Boston Celtics,L,10/20/2017,23:41,4,10,0.4,0,4,0.0,1,2,0.5,4,6,10,2,0,1,6,5,9,2.0,2018,474,PF,https://www.basketball-reference.com/players/s/saricda01.html,9,6-10,225,Philadelphia 76ers,regular season
264,233,Philadelphia 76ers,Markelle Fultz,Boston Celtics,L,10/20/2017,16:53,2,9,0.222,0,0,,2,2,1.0,1,2,3,1,1,0,0,4,6,-7.0,2018,462,SG,https://www.basketball-reference.com/players/f/fultzma01.html,20,6-3,209,Philadelphia 76ers,regular season
265,234,Philadelphia 76ers,Timothe Luwawu-Cabarrot,Boston Celtics,L,10/20/2017,14:17,1,4,0.25,0,2,0.0,0,0,,0,0,0,1,1,0,0,2,2,8.0,2018,468,SF,https://www.basketball-reference.com/players/l/luwawti01.html,7,6-7,220,Philadelphia 76ers,regular season
266,235,Philadelphia 76ers,T.J. McConnell,Boston Celtics,L,10/20/2017,12:19,1,2,0.5,0,1,0.0,2,2,1.0,1,3,4,0,2,0,1,5,4,-2.0,2018,470,PG,https://www.basketball-reference.com/players/m/mccontj01.html,12,6-1,190,Philadelphia 76ers,regular season
267,236,Philadelphia 76ers,Amir Johnson,Boston Celtics,L,10/20/2017,11:23,0,2,0.0,0,0,,0,0,,1,1,2,1,0,0,0,1,0,-1.0,2018,466,C,https://www.basketball-reference.com/players/j/johnsam01.html,5,6-9,240,Philadelphia 76ers,regular season
268,237,Philadelphia 76ers,Justin Anderson,Boston Celtics,L,10/20/2017,3:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4.0,2018,455,SF,https://www.basketball-reference.com/players/a/anderju01.html,1,6-6,230,Philadelphia 76ers,regular season
339,302,Philadelphia 76ers,Markelle Fultz,Toronto Raptors,L,10/21/2017,24:27,1,5,0.2,0,0,,4,8,0.5,0,1,1,2,0,0,1,2,6,-20.0,2018,462,SG,https://www.basketball-reference.com/players/f/fultzma01.html,20,6-3,209,Philadelphia 76ers,regular season
340,303,Philadelphia 76ers,Dario Saric,Toronto Raptors,L,10/21/2017,23:48,3,7,0.429,2,3,0.667,1,2,0.5,1,6,7,1,0,0,2,4,9,-16.0,2018,474,PF,https://www.basketball-reference.com/players/s/saricda01.html,9,6-10,225,Philadelphia 76ers,regular season
341,304,Philadelphia 76ers,Jahlil Okafor,Toronto Raptors,L,10/21/2017,22:09,4,7,0.5710000000000001,0,0,,2,4,0.5,4,5,9,0,0,2,2,4,10,-16.0,2018,56,C,https://www.basketball-reference.com/players/o/okafoja01.html,4,6-10,270,Brooklyn Nets,regular season
342,304,Philadelphia 76ers,Jahlil Okafor,Toronto Raptors,L,10/21/2017,22:09,4,7,0.5710000000000001,0,0,,2,4,0.5,4,5,9,0,0,2,2,4,10,-16.0,2018,471,C,https://www.basketball-reference.com/players/o/okafoja01.html,8,6-10,270,Philadelphia 76ers,regular season
