,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
88,80,Atlanta Hawks,Dennis Schroder,Dallas Mavericks,W,10/18/2017,34:17,13,26,0.5,1,3,0.33299999999999996,1,2,0.5,0,2,2,7,2,0,2,1,28,-3,2018,18,PG,https://www.basketball-reference.com/players/s/schrode01.html,17,6-1,172,Atlanta Hawks,regular season
89,81,Atlanta Hawks,Kent Bazemore,Dallas Mavericks,W,10/18/2017,26:38,3,7,0.429,1,1,1.0,0,0,,1,3,4,3,1,0,1,2,7,-5,2018,1,SG,https://www.basketball-reference.com/players/b/bazemke01.html,24,6-4,195,Atlanta Hawks,regular season
90,82,Atlanta Hawks,Taurean Waller-Prince,Dallas Mavericks,W,10/18/2017,25:51,4,10,0.4,0,0,,2,2,1.0,2,8,10,1,0,1,1,2,10,-5,2018,20,SF,https://www.basketball-reference.com/players/p/princta02.html,12,6-7,218,Atlanta Hawks,regular season
91,83,Atlanta Hawks,Dewayne Dedmon,Dallas Mavericks,W,10/18/2017,25:36,3,6,0.5,0,0,,3,4,0.75,2,5,7,1,0,3,4,2,9,-2,2018,8,C,https://www.basketball-reference.com/players/d/dedmode01.html,14,7-0,245,Atlanta Hawks,regular season
92,84,Atlanta Hawks,Ersan Ilyasova,Dallas Mavericks,W,10/18/2017,23:47,2,4,0.5,0,1,0.0,2,2,1.0,3,3,6,0,1,1,0,5,6,-10,2018,12,PF,https://www.basketball-reference.com/players/i/ilyaser01.html,7,6-9,235,Atlanta Hawks,regular season
93,84,Atlanta Hawks,Ersan Ilyasova,Dallas Mavericks,W,10/18/2017,23:47,2,4,0.5,0,1,0.0,2,2,1.0,3,3,6,0,1,1,0,5,6,-10,2018,464,PF,https://www.basketball-reference.com/players/i/ilyaser01.html,23,6-9,235,Philadelphia 76ers,regular season
174,160,Atlanta Hawks,Dennis Schroder,Charlotte Hornets,L,10/20/2017,31:39,11,21,0.524,0,2,0.0,3,3,1.0,1,2,3,5,1,0,3,2,25,-3,2018,18,PG,https://www.basketball-reference.com/players/s/schrode01.html,17,6-1,172,Atlanta Hawks,regular season
175,161,Atlanta Hawks,Taurean Waller-Prince,Charlotte Hornets,L,10/20/2017,29:03,6,13,0.462,2,4,0.5,1,1,1.0,0,6,6,2,1,0,2,4,15,-19,2018,20,SF,https://www.basketball-reference.com/players/p/princta02.html,12,6-7,218,Atlanta Hawks,regular season
176,162,Atlanta Hawks,Kent Bazemore,Charlotte Hornets,L,10/20/2017,26:04,5,9,0.556,1,2,0.5,0,0,,0,1,1,2,3,0,1,2,11,-5,2018,1,SG,https://www.basketball-reference.com/players/b/bazemke01.html,24,6-4,195,Atlanta Hawks,regular season
177,163,Atlanta Hawks,Dewayne Dedmon,Charlotte Hornets,L,10/20/2017,24:31,5,9,0.556,1,1,1.0,0,0,,2,5,7,2,1,1,1,2,11,-10,2018,8,C,https://www.basketball-reference.com/players/d/dedmode01.html,14,7-0,245,Atlanta Hawks,regular season
178,164,Atlanta Hawks,Ersan Ilyasova,Charlotte Hornets,L,10/20/2017,21:15,0,4,0.0,0,3,0.0,0,0,,1,5,6,1,1,0,1,5,0,-5,2018,12,PF,https://www.basketball-reference.com/players/i/ilyaser01.html,7,6-9,235,Atlanta Hawks,regular season
179,164,Atlanta Hawks,Ersan Ilyasova,Charlotte Hornets,L,10/20/2017,21:15,0,4,0.0,0,3,0.0,0,0,,1,5,6,1,1,0,1,5,0,-5,2018,464,PF,https://www.basketball-reference.com/players/i/ilyaser01.html,23,6-9,235,Philadelphia 76ers,regular season
406,370,Atlanta Hawks,Kent Bazemore,Brooklyn Nets,L,10/22/2017,31:43,4,12,0.33299999999999996,0,3,0.0,8,8,1.0,0,3,3,3,0,1,5,3,16,-4,2018,1,SG,https://www.basketball-reference.com/players/b/bazemke01.html,24,6-4,195,Atlanta Hawks,regular season
407,371,Atlanta Hawks,Dennis Schroder,Brooklyn Nets,L,10/22/2017,31:18,5,22,0.22699999999999998,0,4,0.0,7,7,1.0,3,1,4,8,2,0,2,3,17,-13,2018,18,PG,https://www.basketball-reference.com/players/s/schrode01.html,17,6-1,172,Atlanta Hawks,regular season
408,372,Atlanta Hawks,Taurean Waller-Prince,Brooklyn Nets,L,10/22/2017,22:40,3,8,0.375,1,1,1.0,2,2,1.0,1,0,1,1,1,0,3,3,9,-9,2018,20,SF,https://www.basketball-reference.com/players/p/princta02.html,12,6-7,218,Atlanta Hawks,regular season
409,373,Atlanta Hawks,Ersan Ilyasova,Brooklyn Nets,L,10/22/2017,22:28,3,10,0.3,1,5,0.2,2,2,1.0,1,6,7,0,2,0,0,3,9,-3,2018,12,PF,https://www.basketball-reference.com/players/i/ilyaser01.html,7,6-9,235,Atlanta Hawks,regular season
410,373,Atlanta Hawks,Ersan Ilyasova,Brooklyn Nets,L,10/22/2017,22:28,3,10,0.3,1,5,0.2,2,2,1.0,1,6,7,0,2,0,0,3,9,-3,2018,464,PF,https://www.basketball-reference.com/players/i/ilyaser01.html,23,6-9,235,Philadelphia 76ers,regular season
411,374,Atlanta Hawks,Dewayne Dedmon,Brooklyn Nets,L,10/22/2017,20:42,3,5,0.6,1,3,0.33299999999999996,0,0,,1,6,7,0,1,0,0,4,7,-8,2018,8,C,https://www.basketball-reference.com/players/d/dedmode01.html,14,7-0,245,Atlanta Hawks,regular season
451,410,Atlanta Hawks,Taurean Waller-Prince,Miami Heat,L,10/23/2017,36:58,9,14,0.643,2,3,0.667,0,0,,0,7,7,2,3,0,7,2,20,-4,2018,20,SF,https://www.basketball-reference.com/players/p/princta02.html,12,6-7,218,Atlanta Hawks,regular season
452,411,Atlanta Hawks,Malcolm Delaney,Miami Heat,L,10/23/2017,33:04,3,9,0.33299999999999996,1,2,0.5,3,4,0.75,0,4,4,1,2,0,3,5,10,-16,2018,9,PG,https://www.basketball-reference.com/players/d/delanma01.html,5,6-3,190,Atlanta Hawks,regular season
453,412,Atlanta Hawks,Kent Bazemore,Miami Heat,L,10/23/2017,30:30,6,17,0.353,1,4,0.25,7,10,0.7,1,3,4,4,2,0,1,1,20,-7,2018,1,SG,https://www.basketball-reference.com/players/b/bazemke01.html,24,6-4,195,Atlanta Hawks,regular season
454,413,Atlanta Hawks,Dewayne Dedmon,Miami Heat,L,10/23/2017,29:34,0,5,0.0,0,2,0.0,0,0,,0,6,6,1,1,0,0,1,0,-11,2018,8,C,https://www.basketball-reference.com/players/d/dedmode01.html,14,7-0,245,Atlanta Hawks,regular season
455,414,Atlanta Hawks,Mike Muscala,Miami Heat,L,10/23/2017,22:49,2,5,0.4,1,2,0.5,0,0,,1,3,4,0,0,0,3,1,5,0,2018,16,C,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Atlanta Hawks,regular season
697,640,Atlanta Hawks,Malcolm Delaney,Chicago Bulls,L,10/26/2017,35:22,3,11,0.273,0,3,0.0,0,0,,0,2,2,4,1,0,0,4,6,-15,2018,9,PG,https://www.basketball-reference.com/players/d/delanma01.html,5,6-3,190,Atlanta Hawks,regular season
698,641,Atlanta Hawks,Kent Bazemore,Chicago Bulls,L,10/26/2017,32:30,7,19,0.368,2,5,0.4,0,0,,0,5,5,3,3,1,4,2,16,3,2018,1,SG,https://www.basketball-reference.com/players/b/bazemke01.html,24,6-4,195,Atlanta Hawks,regular season
699,642,Atlanta Hawks,Mike Muscala,Chicago Bulls,L,10/26/2017,31:24,5,11,0.455,2,4,0.5,2,2,1.0,4,6,10,4,1,1,1,3,14,-6,2018,16,C,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Atlanta Hawks,regular season
700,643,Atlanta Hawks,Taurean Waller-Prince,Chicago Bulls,L,10/26/2017,28:23,1,7,0.14300000000000002,1,2,0.5,0,0,,0,2,2,2,2,0,3,3,3,-9,2018,20,SF,https://www.basketball-reference.com/players/p/princta02.html,12,6-7,218,Atlanta Hawks,regular season
701,644,Atlanta Hawks,Dewayne Dedmon,Chicago Bulls,L,10/26/2017,23:09,2,5,0.4,0,1,0.0,0,0,,1,9,10,4,0,1,0,3,4,-3,2018,8,C,https://www.basketball-reference.com/players/d/dedmode01.html,14,7-0,245,Atlanta Hawks,regular season
776,715,Atlanta Hawks,Taurean Waller-Prince,Denver Nuggets,L,10/27/2017,32:42,8,14,0.5710000000000001,3,5,0.6,0,0,,1,6,7,3,2,0,4,2,19,-1,2018,20,SF,https://www.basketball-reference.com/players/p/princta02.html,12,6-7,218,Atlanta Hawks,regular season
777,716,Atlanta Hawks,Dennis Schroder,Denver Nuggets,L,10/27/2017,32:30,7,16,0.43799999999999994,2,6,0.33299999999999996,4,4,1.0,1,2,3,6,1,0,0,1,20,4,2018,18,PG,https://www.basketball-reference.com/players/s/schrode01.html,17,6-1,172,Atlanta Hawks,regular season
778,717,Atlanta Hawks,Dewayne Dedmon,Denver Nuggets,L,10/27/2017,30:53,4,9,0.444,1,2,0.5,4,4,1.0,2,8,10,1,0,1,0,4,13,6,2018,8,C,https://www.basketball-reference.com/players/d/dedmode01.html,14,7-0,245,Atlanta Hawks,regular season
779,718,Atlanta Hawks,Ersan Ilyasova,Denver Nuggets,L,10/27/2017,29:46,3,11,0.273,1,5,0.2,0,0,,0,3,3,2,2,0,0,4,7,1,2018,12,PF,https://www.basketball-reference.com/players/i/ilyaser01.html,7,6-9,235,Atlanta Hawks,regular season
780,718,Atlanta Hawks,Ersan Ilyasova,Denver Nuggets,L,10/27/2017,29:46,3,11,0.273,1,5,0.2,0,0,,0,3,3,2,2,0,0,4,7,1,2018,464,PF,https://www.basketball-reference.com/players/i/ilyaser01.html,23,6-9,235,Philadelphia 76ers,regular season
781,719,Atlanta Hawks,Kent Bazemore,Denver Nuggets,L,10/27/2017,26:25,3,9,0.33299999999999996,1,3,0.33299999999999996,0,0,,2,4,6,4,1,2,3,1,7,-5,2018,1,SG,https://www.basketball-reference.com/players/b/bazemke01.html,24,6-4,195,Atlanta Hawks,regular season
916,845,Atlanta Hawks,Taurean Waller-Prince,Milwaukee Bucks,L,10/29/2017,37:55,7,20,0.35,3,9,0.33299999999999996,0,1,0.0,0,5,5,3,2,0,3,4,17,-16,2018,20,SF,https://www.basketball-reference.com/players/p/princta02.html,12,6-7,218,Atlanta Hawks,regular season
917,846,Atlanta Hawks,Dennis Schroder,Milwaukee Bucks,L,10/29/2017,35:26,8,16,0.5,2,3,0.667,3,4,0.75,0,2,2,8,3,0,3,2,21,-19,2018,18,PG,https://www.basketball-reference.com/players/s/schrode01.html,17,6-1,172,Atlanta Hawks,regular season
918,847,Atlanta Hawks,Kent Bazemore,Milwaukee Bucks,L,10/29/2017,32:07,2,9,0.222,1,4,0.25,10,10,1.0,0,2,2,6,2,0,4,3,15,-2,2018,1,SG,https://www.basketball-reference.com/players/b/bazemke01.html,24,6-4,195,Atlanta Hawks,regular season
919,848,Atlanta Hawks,Mike Muscala,Milwaukee Bucks,L,10/29/2017,28:52,3,5,0.6,2,2,1.0,2,2,1.0,0,2,2,1,0,1,1,5,10,-14,2018,16,C,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Atlanta Hawks,regular season
920,849,Atlanta Hawks,Dewayne Dedmon,Milwaukee Bucks,L,10/29/2017,17:25,4,5,0.8,0,0,,0,0,,0,5,5,0,0,0,2,1,8,-20,2018,8,C,https://www.basketball-reference.com/players/d/dedmode01.html,14,7-0,245,Atlanta Hawks,regular season
1144,1060,Atlanta Hawks,Taurean Waller-Prince,Philadelphia 76ers,L,11/01/2017,39:48,6,17,0.353,1,3,0.33299999999999996,4,6,0.667,1,10,11,3,2,2,1,3,17,-16,2018,20,SF,https://www.basketball-reference.com/players/p/princta02.html,12,6-7,218,Atlanta Hawks,regular season
1145,1061,Atlanta Hawks,Dennis Schroder,Philadelphia 76ers,L,11/01/2017,32:53,10,17,0.588,2,2,1.0,3,3,1.0,0,3,3,6,0,0,4,2,25,-12,2018,18,PG,https://www.basketball-reference.com/players/s/schrode01.html,17,6-1,172,Atlanta Hawks,regular season
1146,1062,Atlanta Hawks,Kent Bazemore,Philadelphia 76ers,L,11/01/2017,27:20,1,4,0.25,1,3,0.33299999999999996,5,8,0.625,0,4,4,3,4,0,3,4,8,-16,2018,1,SG,https://www.basketball-reference.com/players/b/bazemke01.html,24,6-4,195,Atlanta Hawks,regular season
1147,1063,Atlanta Hawks,Dewayne Dedmon,Philadelphia 76ers,L,11/01/2017,21:34,4,10,0.4,0,0,,2,3,0.667,4,5,9,0,0,1,3,5,10,-8,2018,8,C,https://www.basketball-reference.com/players/d/dedmode01.html,14,7-0,245,Atlanta Hawks,regular season
1148,1064,Atlanta Hawks,Mike Muscala,Philadelphia 76ers,L,11/01/2017,21:32,1,3,0.33299999999999996,0,0,,0,0,,0,4,4,0,2,0,1,3,2,-13,2018,16,C,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Atlanta Hawks,regular season
1322,1225,Atlanta Hawks,Kent Bazemore,Houston Rockets,L,11/03/2017,27:15,6,14,0.429,0,5,0.0,6,8,0.75,0,4,4,2,2,0,2,3,18,-14,2018,1,SG,https://www.basketball-reference.com/players/b/bazemke01.html,24,6-4,195,Atlanta Hawks,regular season
1323,1226,Atlanta Hawks,Dennis Schroder,Houston Rockets,L,11/03/2017,26:19,6,13,0.462,2,5,0.4,2,3,0.667,1,1,2,4,0,0,4,2,16,-24,2018,18,PG,https://www.basketball-reference.com/players/s/schrode01.html,17,6-1,172,Atlanta Hawks,regular season
1324,1227,Atlanta Hawks,Taurean Waller-Prince,Houston Rockets,L,11/03/2017,23:52,7,12,0.583,2,5,0.4,0,0,,0,3,3,2,0,0,3,1,16,-10,2018,20,SF,https://www.basketball-reference.com/players/p/princta02.html,12,6-7,218,Atlanta Hawks,regular season
1325,1228,Atlanta Hawks,Dewayne Dedmon,Houston Rockets,L,11/03/2017,22:24,4,5,0.8,1,2,0.5,0,0,,0,7,7,0,0,1,0,1,9,-10,2018,8,C,https://www.basketball-reference.com/players/d/dedmode01.html,14,7-0,245,Atlanta Hawks,regular season
1326,1229,Atlanta Hawks,Mike Muscala,Houston Rockets,L,11/03/2017,18:58,1,4,0.25,0,2,0.0,1,1,1.0,0,3,3,0,2,2,0,3,3,-17,2018,16,C,https://www.basketball-reference.com/players/m/muscami01.html,31,6-10,240,Atlanta Hawks,regular season
1455,1350,Atlanta Hawks,Luke Babbitt,Cleveland Cavaliers,W,11/05/2017,41:37,6,13,0.462,4,8,0.5,1,2,0.5,0,3,3,2,1,1,0,2,17,5,2018,0,SF,https://www.basketball-reference.com/players/b/babbilu01.html,8,6-9,225,Atlanta Hawks,regular season
1456,1350,Atlanta Hawks,Luke Babbitt,Cleveland Cavaliers,W,11/05/2017,41:37,6,13,0.462,4,8,0.5,1,2,0.5,0,3,3,2,1,1,0,2,17,5,2018,317,SF,https://www.basketball-reference.com/players/b/babbilu01.html,22,6-9,225,Miami Heat,regular season
1457,1351,Atlanta Hawks,Taurean Waller-Prince,Cleveland Cavaliers,W,11/05/2017,36:27,6,13,0.462,3,6,0.5,2,2,1.0,0,5,5,1,1,0,1,4,17,3,2018,20,SF,https://www.basketball-reference.com/players/p/princta02.html,12,6-7,218,Atlanta Hawks,regular season
1458,1352,Atlanta Hawks,Kent Bazemore,Cleveland Cavaliers,W,11/05/2017,35:24,4,11,0.364,2,6,0.33299999999999996,4,8,0.5,2,7,9,7,1,2,1,3,14,8,2018,1,SG,https://www.basketball-reference.com/players/b/bazemke01.html,24,6-4,195,Atlanta Hawks,regular season
1459,1353,Atlanta Hawks,Dennis Schroder,Cleveland Cavaliers,W,11/05/2017,30:59,9,13,0.6920000000000001,2,3,0.667,8,8,1.0,0,3,3,9,0,0,6,5,28,9,2018,18,PG,https://www.basketball-reference.com/players/s/schrode01.html,17,6-1,172,Atlanta Hawks,regular season
1460,1354,Atlanta Hawks,Dewayne Dedmon,Cleveland Cavaliers,W,11/05/2017,22:42,7,10,0.7,0,1,0.0,1,1,1.0,2,5,7,0,0,0,3,2,15,-3,2018,8,C,https://www.basketball-reference.com/players/d/dedmode01.html,14,7-0,245,Atlanta Hawks,regular season
