,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
0,0,Boston Celtics,Marcus Smart,Cleveland Cavaliers,L,10/17/2017,35:03,5,16,0.313,0,4,0.0,2,3,0.667,0,9,9,3,2,2,2,2,12,-8.0,2018,38,SG,https://www.basketball-reference.com/players/s/smartma01.html,36,6-3,220,Boston Celtics,regular season
1,1,Boston Celtics,Terry Rozier,Cleveland Cavaliers,L,10/17/2017,19:32,2,6,0.33299999999999996,1,3,0.33299999999999996,4,4,1.0,0,3,3,2,4,0,0,0,9,2.0,2018,36,PG,https://www.basketball-reference.com/players/r/roziete01.html,12,6-1,190,Boston Celtics,regular season
2,2,Boston Celtics,Aron Baynes,Cleveland Cavaliers,L,10/17/2017,19:06,2,2,1.0,0,0,,2,4,0.5,2,3,5,1,0,1,2,5,6,-14.0,2018,23,C,https://www.basketball-reference.com/players/b/baynear01.html,46,6-10,260,Boston Celtics,regular season
3,3,Boston Celtics,Semi Ojeleye,Cleveland Cavaliers,L,10/17/2017,8:39,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-12.0,2018,35,PF,https://www.basketball-reference.com/players/o/ojelese01.html,37,6-6,240,Boston Celtics,regular season
4,4,Boston Celtics,Shane Larkin,Cleveland Cavaliers,L,10/17/2017,4:49,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,2.0,2018,31,PG,https://www.basketball-reference.com/players/l/larkish01.html,8,5-11,175,Boston Celtics,regular season
70,64,Boston Celtics,Terry Rozier,Milwaukee Bucks,L,10/18/2017,26:48,6,12,0.5,3,5,0.6,0,0,,0,7,7,6,2,0,0,4,15,-11.0,2018,36,PG,https://www.basketball-reference.com/players/r/roziete01.html,12,6-1,190,Boston Celtics,regular season
71,65,Boston Celtics,Aron Baynes,Milwaukee Bucks,L,10/18/2017,15:58,2,3,0.667,0,0,,0,0,,1,1,2,0,0,0,0,4,4,-7.0,2018,23,C,https://www.basketball-reference.com/players/b/baynear01.html,46,6-10,260,Boston Celtics,regular season
72,66,Boston Celtics,Semi Ojeleye,Milwaukee Bucks,L,10/18/2017,11:39,1,2,0.5,1,2,0.5,0,0,,0,1,1,0,0,0,1,0,3,0.0,2018,35,PF,https://www.basketball-reference.com/players/o/ojelese01.html,37,6-6,240,Boston Celtics,regular season
73,67,Boston Celtics,Abdel Nader,Milwaukee Bucks,L,10/18/2017,11:26,2,4,0.5,0,1,0.0,0,0,,0,0,0,1,0,0,0,1,4,-4.0,2018,34,SF,https://www.basketball-reference.com/players/n/naderab01.html,28,6-5,225,Boston Celtics,regular season
74,68,Boston Celtics,Daniel Theis,Milwaukee Bucks,L,10/18/2017,4:45,2,3,0.667,0,0,,2,2,1.0,2,0,2,0,0,0,1,1,6,2.0,2018,40,C,https://www.basketball-reference.com/players/t/theisda01.html,27,6-8,245,Boston Celtics,regular season
257,226,Boston Celtics,Terry Rozier,Philadelphia 76ers,W,10/20/2017,30:28,6,11,0.545,2,6,0.33299999999999996,0,3,0.0,1,6,7,2,0,0,2,2,14,6.0,2018,36,PG,https://www.basketball-reference.com/players/r/roziete01.html,12,6-1,190,Boston Celtics,regular season
258,227,Boston Celtics,Shane Larkin,Philadelphia 76ers,W,10/20/2017,19:26,4,5,0.8,2,2,1.0,0,0,,0,2,2,4,0,0,1,0,10,16.0,2018,31,PG,https://www.basketball-reference.com/players/l/larkish01.html,8,5-11,175,Boston Celtics,regular season
