,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
20,20,Charlotte Hornets,Cody Zeller,Detroit Pistons,L,10/18/2017,23:24,3,5,0.6,0,0,,2,2,1.0,1,8,9,0,0,1,2,2,8,-4.0,2018,80,C,https://www.basketball-reference.com/players/z/zelleco01.html,40,7-0,240,Charlotte Hornets,regular season
21,21,Charlotte Hornets,Frank Kaminsky,Detroit Pistons,L,10/18/2017,23:12,1,9,0.111,0,5,0.0,2,2,1.0,0,4,4,2,0,0,0,0,4,-6.0,2018,70,PF,https://www.basketball-reference.com/players/k/kaminfr01.html,44,7-0,240,Charlotte Hornets,regular season
22,22,Charlotte Hornets,Malik Monk,Detroit Pistons,L,10/18/2017,21:28,1,9,0.111,1,6,0.16699999999999998,0,0,,0,0,0,1,0,0,3,1,3,-8.0,2018,74,SG,https://www.basketball-reference.com/players/m/monkma01.html,1,6-3,200,Charlotte Hornets,regular season
23,23,Charlotte Hornets,Treveon Graham,Detroit Pistons,L,10/18/2017,17:02,2,4,0.5,1,2,0.5,0,0,,0,2,2,3,0,0,0,1,5,8.0,2018,67,SG,https://www.basketball-reference.com/players/g/grahatr01.html,21,6-5,219,Charlotte Hornets,regular season
24,24,Charlotte Hornets,Julyan Stone,Detroit Pistons,L,10/18/2017,12:34,2,3,0.667,2,3,0.667,0,0,,0,3,3,1,2,0,1,3,6,-1.0,2018,77,SG,https://www.basketball-reference.com/players/s/stoneju01.html,32,6-6,200,Charlotte Hornets,regular season
216,190,Charlotte Hornets,Frank Kaminsky,Atlanta Hawks,W,10/20/2017,33:05,7,14,0.5,2,5,0.4,5,5,1.0,0,6,6,3,1,0,2,1,21,18.0,2018,70,PF,https://www.basketball-reference.com/players/k/kaminfr01.html,44,7-0,240,Charlotte Hornets,regular season
217,191,Charlotte Hornets,Treveon Graham,Atlanta Hawks,W,10/20/2017,24:09,3,6,0.5,1,4,0.25,2,2,1.0,1,1,2,0,0,0,0,1,9,5.0,2018,67,SG,https://www.basketball-reference.com/players/g/grahatr01.html,21,6-5,219,Charlotte Hornets,regular season
218,192,Charlotte Hornets,Malik Monk,Atlanta Hawks,W,10/20/2017,18:36,2,7,0.28600000000000003,2,5,0.4,0,0,,0,3,3,0,0,0,3,3,6,-13.0,2018,74,SG,https://www.basketball-reference.com/players/m/monkma01.html,1,6-3,200,Charlotte Hornets,regular season
219,193,Charlotte Hornets,Johnny O'Bryant,Atlanta Hawks,W,10/20/2017,14:06,2,6,0.33299999999999996,0,1,0.0,2,2,1.0,3,3,6,1,1,1,0,1,6,-18.0,2018,75,PF,https://www.basketball-reference.com/players/o/obryajo01.html,8,6-9,257,Charlotte Hornets,regular season
220,194,Charlotte Hornets,Julyan Stone,Atlanta Hawks,W,10/20/2017,5:42,0,1,0.0,0,1,0.0,0,0,,0,2,2,1,0,0,1,0,0,-12.0,2018,77,SG,https://www.basketball-reference.com/players/s/stoneju01.html,32,6-6,200,Charlotte Hornets,regular season
574,505,Charlotte Hornets,Frank Kaminsky,Milwaukee Bucks,L,10/23/2017,33:41,6,8,0.75,3,4,0.75,3,4,0.75,0,5,5,2,0,0,2,2,18,-8.0,2018,70,PF,https://www.basketball-reference.com/players/k/kaminfr01.html,44,7-0,240,Charlotte Hornets,regular season
575,506,Charlotte Hornets,Treveon Graham,Milwaukee Bucks,L,10/23/2017,20:00,2,3,0.667,0,0,,0,2,0.0,0,1,1,3,0,0,0,5,4,-9.0,2018,67,SG,https://www.basketball-reference.com/players/g/grahatr01.html,21,6-5,219,Charlotte Hornets,regular season
576,507,Charlotte Hornets,Malik Monk,Milwaukee Bucks,L,10/23/2017,18:02,1,6,0.16699999999999998,0,3,0.0,2,2,1.0,0,1,1,1,0,0,1,0,4,-10.0,2018,74,SG,https://www.basketball-reference.com/players/m/monkma01.html,1,6-3,200,Charlotte Hornets,regular season
577,508,Charlotte Hornets,Johnny O'Bryant,Milwaukee Bucks,L,10/23/2017,13:54,4,7,0.5710000000000001,0,0,,6,6,1.0,2,2,4,0,0,1,1,2,14,-12.0,2018,75,PF,https://www.basketball-reference.com/players/o/obryajo01.html,8,6-9,257,Charlotte Hornets,regular season
726,641,Charlotte Hornets,Frank Kaminsky,Denver Nuggets,W,10/25/2017,27:59,9,15,0.6,2,5,0.4,0,0,,1,3,4,3,0,1,1,3,20,18.0,2018,70,PF,https://www.basketball-reference.com/players/k/kaminfr01.html,44,7-0,240,Charlotte Hornets,regular season
727,642,Charlotte Hornets,Dwayne Bacon,Denver Nuggets,W,10/25/2017,25:05,2,4,0.5,1,1,1.0,0,0,,0,4,4,2,0,1,0,2,5,4.0,2018,64,SG,https://www.basketball-reference.com/players/b/bacondw01.html,7,6-6,221,Charlotte Hornets,regular season
728,643,Charlotte Hornets,Malik Monk,Denver Nuggets,W,10/25/2017,25:02,7,14,0.5,3,9,0.33299999999999996,0,0,,0,2,2,2,2,0,1,2,17,13.0,2018,74,SG,https://www.basketball-reference.com/players/m/monkma01.html,1,6-3,200,Charlotte Hornets,regular season
729,644,Charlotte Hornets,Johnny O'Bryant,Denver Nuggets,W,10/25/2017,19:33,3,7,0.429,1,3,0.33299999999999996,0,0,,0,3,3,1,0,0,2,1,7,-2.0,2018,75,PF,https://www.basketball-reference.com/players/o/obryajo01.html,8,6-9,257,Charlotte Hornets,regular season
730,645,Charlotte Hornets,Treveon Graham,Denver Nuggets,W,10/25/2017,15:38,0,2,0.0,0,0,,0,0,,1,2,3,0,0,0,0,1,0,-7.0,2018,67,SG,https://www.basketball-reference.com/players/g/grahatr01.html,21,6-5,219,Charlotte Hornets,regular season
731,646,Charlotte Hornets,Mangok Mathiang,Denver Nuggets,W,10/25/2017,3:28,0,2,0.0,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-5.0,2018,73,C,https://www.basketball-reference.com/players/m/mathima01.html,9,6-10,230,Charlotte Hornets,regular season
732,647,Charlotte Hornets,Marcus Paige,Denver Nuggets,W,10/25/2017,2:55,0,2,0.0,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-7.0,2018,76,PG,https://www.basketball-reference.com/players/p/paigema01.html,4,6-1,175,Charlotte Hornets,regular season
904,797,Charlotte Hornets,Frank Kaminsky,Houston Rockets,L,10/27/2017,29:32,3,11,0.273,1,5,0.2,1,1,1.0,0,4,4,0,0,1,1,1,8,-23.0,2018,70,PF,https://www.basketball-reference.com/players/k/kaminfr01.html,44,7-0,240,Charlotte Hornets,regular season
905,798,Charlotte Hornets,Dwayne Bacon,Houston Rockets,L,10/27/2017,29:07,0,6,0.0,0,4,0.0,1,2,0.5,0,4,4,1,0,0,2,2,1,-19.0,2018,64,SG,https://www.basketball-reference.com/players/b/bacondw01.html,7,6-6,221,Charlotte Hornets,regular season
906,799,Charlotte Hornets,Malik Monk,Houston Rockets,L,10/27/2017,27:43,3,9,0.33299999999999996,2,7,0.28600000000000003,2,2,1.0,1,2,3,2,1,0,0,1,10,-19.0,2018,74,SG,https://www.basketball-reference.com/players/m/monkma01.html,1,6-3,200,Charlotte Hornets,regular season
907,800,Charlotte Hornets,Johnny O'Bryant,Houston Rockets,L,10/27/2017,13:38,1,4,0.25,0,0,,0,0,,0,2,2,1,1,0,0,1,2,-14.0,2018,75,PF,https://www.basketball-reference.com/players/o/obryajo01.html,8,6-9,257,Charlotte Hornets,regular season
1161,1014,Charlotte Hornets,Dwayne Bacon,Orlando Magic,W,10/29/2017,27:09,2,6,0.33299999999999996,0,2,0.0,0,0,,0,8,8,1,1,0,1,3,4,4.0,2018,64,SG,https://www.basketball-reference.com/players/b/bacondw01.html,7,6-6,221,Charlotte Hornets,regular season
1162,1015,Charlotte Hornets,Treveon Graham,Orlando Magic,W,10/29/2017,21:31,2,8,0.25,0,0,,0,0,,4,3,7,3,1,0,0,2,4,-4.0,2018,67,SG,https://www.basketball-reference.com/players/g/grahatr01.html,21,6-5,219,Charlotte Hornets,regular season
1163,1016,Charlotte Hornets,Cody Zeller,Orlando Magic,W,10/29/2017,18:33,3,7,0.429,0,0,,0,0,,2,4,6,1,0,1,2,4,6,-7.0,2018,80,C,https://www.basketball-reference.com/players/z/zelleco01.html,40,7-0,240,Charlotte Hornets,regular season
1164,1017,Charlotte Hornets,Malik Monk,Orlando Magic,W,10/29/2017,17:57,1,8,0.125,0,3,0.0,0,0,,0,1,1,3,0,1,3,0,2,-8.0,2018,74,SG,https://www.basketball-reference.com/players/m/monkma01.html,1,6-3,200,Charlotte Hornets,regular season
1165,1018,Charlotte Hornets,Johnny O'Bryant,Orlando Magic,W,10/29/2017,4:16,2,3,0.667,1,1,1.0,0,0,,0,0,0,0,0,0,0,1,5,-3.0,2018,75,PF,https://www.basketball-reference.com/players/o/obryajo01.html,8,6-9,257,Charlotte Hornets,regular season
1256,1099,Charlotte Hornets,Malik Monk,Memphis Grizzlies,W,10/30/2017,23:39,5,15,0.33299999999999996,3,7,0.429,0,0,,0,4,4,3,0,1,1,3,13,3.0,2018,74,SG,https://www.basketball-reference.com/players/m/monkma01.html,1,6-3,200,Charlotte Hornets,regular season
1257,1100,Charlotte Hornets,Frank Kaminsky,Memphis Grizzlies,W,10/30/2017,22:56,4,9,0.444,1,1,1.0,0,1,0.0,1,5,6,2,0,0,0,1,9,0.0,2018,70,PF,https://www.basketball-reference.com/players/k/kaminfr01.html,44,7-0,240,Charlotte Hornets,regular season
1258,1101,Charlotte Hornets,Dwayne Bacon,Memphis Grizzlies,W,10/30/2017,19:52,1,7,0.14300000000000002,0,0,,0,0,,0,4,4,1,0,0,0,1,2,-8.0,2018,64,SG,https://www.basketball-reference.com/players/b/bacondw01.html,7,6-6,221,Charlotte Hornets,regular season
1259,1102,Charlotte Hornets,Cody Zeller,Memphis Grizzlies,W,10/30/2017,18:56,4,7,0.5710000000000001,0,0,,3,3,1.0,4,4,8,0,0,3,1,4,11,-4.0,2018,80,C,https://www.basketball-reference.com/players/z/zelleco01.html,40,7-0,240,Charlotte Hornets,regular season
1260,1103,Charlotte Hornets,Treveon Graham,Memphis Grizzlies,W,10/30/2017,15:26,1,3,0.33299999999999996,0,1,0.0,2,2,1.0,1,2,3,0,1,0,2,1,4,-17.0,2018,67,SG,https://www.basketball-reference.com/players/g/grahatr01.html,21,6-5,219,Charlotte Hornets,regular season
1400,1225,Charlotte Hornets,Frank Kaminsky,Milwaukee Bucks,W,11/01/2017,25:40,5,9,0.556,0,1,0.0,1,1,1.0,1,2,3,4,0,0,1,0,11,18.0,2018,70,PF,https://www.basketball-reference.com/players/k/kaminfr01.html,44,7-0,240,Charlotte Hornets,regular season
1401,1226,Charlotte Hornets,Treveon Graham,Milwaukee Bucks,W,11/01/2017,24:53,0,1,0.0,0,1,0.0,0,0,,1,1,2,5,1,0,1,6,0,16.0,2018,67,SG,https://www.basketball-reference.com/players/g/grahatr01.html,21,6-5,219,Charlotte Hornets,regular season
1402,1227,Charlotte Hornets,Dwayne Bacon,Milwaukee Bucks,W,11/01/2017,24:29,4,9,0.444,1,2,0.5,1,1,1.0,0,4,4,1,1,1,0,5,10,5.0,2018,64,SG,https://www.basketball-reference.com/players/b/bacondw01.html,7,6-6,221,Charlotte Hornets,regular season
1403,1228,Charlotte Hornets,Malik Monk,Milwaukee Bucks,W,11/01/2017,22:39,10,17,0.588,5,8,0.625,0,0,,0,2,2,1,1,0,0,1,25,6.0,2018,74,SG,https://www.basketball-reference.com/players/m/monkma01.html,1,6-3,200,Charlotte Hornets,regular season
1404,1229,Charlotte Hornets,Cody Zeller,Milwaukee Bucks,W,11/01/2017,18:43,2,5,0.4,0,0,,2,2,1.0,2,6,8,1,0,1,1,1,6,14.0,2018,80,C,https://www.basketball-reference.com/players/z/zelleco01.html,40,7-0,240,Charlotte Hornets,regular season
1674,1467,Charlotte Hornets,Frank Kaminsky,San Antonio Spurs,L,11/03/2017,24:46,2,9,0.222,0,4,0.0,2,2,1.0,0,4,4,1,1,0,2,2,6,-19.0,2018,70,PF,https://www.basketball-reference.com/players/k/kaminfr01.html,44,7-0,240,Charlotte Hornets,regular season
1675,1468,Charlotte Hornets,Treveon Graham,San Antonio Spurs,L,11/03/2017,23:53,1,3,0.33299999999999996,1,2,0.5,0,0,,0,3,3,1,2,0,2,0,3,-15.0,2018,67,SG,https://www.basketball-reference.com/players/g/grahatr01.html,21,6-5,219,Charlotte Hornets,regular season
1676,1469,Charlotte Hornets,Malik Monk,San Antonio Spurs,L,11/03/2017,17:53,1,5,0.2,0,2,0.0,0,0,,0,0,0,2,1,0,1,2,2,-18.0,2018,74,SG,https://www.basketball-reference.com/players/m/monkma01.html,1,6-3,200,Charlotte Hornets,regular season
1677,1470,Charlotte Hornets,Cody Zeller,San Antonio Spurs,L,11/03/2017,16:09,1,3,0.33299999999999996,0,0,,3,6,0.5,1,3,4,0,2,1,2,3,5,-10.0,2018,80,C,https://www.basketball-reference.com/players/z/zelleco01.html,40,7-0,240,Charlotte Hornets,regular season
