,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
23,20,Charlotte Hornets,Kemba Walker,Detroit Pistons,L,10/18/2017,35:26,6,13,0.462,1,3,0.33299999999999996,11,13,0.846,1,5,6,4,0,0,4,1,24,-11,2018,78,PG,https://www.basketball-reference.com/players/w/walkeke02.html,15,6-0,184,Charlotte Hornets,regular season
24,21,Charlotte Hornets,Dwight Howard,Detroit Pistons,L,10/18/2017,31:27,5,9,0.556,0,0,,0,2,0.0,1,14,15,1,1,2,3,2,10,-3,2018,69,C,https://www.basketball-reference.com/players/h/howardw01.html,12,6-10,265,Charlotte Hornets,regular season
25,22,Charlotte Hornets,Jeremy Lamb,Detroit Pistons,L,10/18/2017,28:21,4,10,0.4,0,3,0.0,7,8,0.875,0,4,4,2,1,0,2,2,15,-10,2018,72,SG,https://www.basketball-reference.com/players/l/lambje01.html,3,6-5,180,Charlotte Hornets,regular season
26,23,Charlotte Hornets,Marvin Williams,Detroit Pistons,L,10/18/2017,26:39,2,5,0.4,2,4,0.5,1,2,0.5,0,2,2,0,0,0,0,2,7,-10,2018,79,PF,https://www.basketball-reference.com/players/w/willima02.html,2,6-8,237,Charlotte Hornets,regular season
27,24,Charlotte Hornets,Dwayne Bacon,Detroit Pistons,L,10/18/2017,20:27,3,6,0.5,2,4,0.5,0,0,,0,2,2,2,0,0,2,1,8,-15,2018,64,SG,https://www.basketball-reference.com/players/b/bacondw01.html,7,6-6,221,Charlotte Hornets,regular season
180,165,Charlotte Hornets,Jeremy Lamb,Atlanta Hawks,W,10/20/2017,38:17,7,17,0.41200000000000003,0,5,0.0,1,1,1.0,2,3,5,2,0,1,2,4,15,26,2018,72,SG,https://www.basketball-reference.com/players/l/lambje01.html,3,6-5,180,Charlotte Hornets,regular season
181,166,Charlotte Hornets,Kemba Walker,Atlanta Hawks,W,10/20/2017,38:01,6,13,0.462,4,8,0.5,10,12,0.833,1,3,4,9,1,0,4,2,26,35,2018,78,PG,https://www.basketball-reference.com/players/w/walkeke02.html,15,6-0,184,Charlotte Hornets,regular season
182,167,Charlotte Hornets,Dwight Howard,Atlanta Hawks,W,10/20/2017,33:01,8,12,0.667,0,0,,4,8,0.5,4,11,15,0,0,1,6,5,20,34,2018,69,C,https://www.basketball-reference.com/players/h/howardw01.html,12,6-10,265,Charlotte Hornets,regular season
183,168,Charlotte Hornets,Dwayne Bacon,Atlanta Hawks,W,10/20/2017,19:15,2,4,0.5,2,3,0.667,0,0,,0,11,11,0,1,0,2,1,6,13,2018,64,SG,https://www.basketball-reference.com/players/b/bacondw01.html,7,6-6,221,Charlotte Hornets,regular season
184,169,Charlotte Hornets,Marvin Williams,Atlanta Hawks,W,10/20/2017,15:48,0,6,0.0,0,4,0.0,0,0,,1,2,3,1,1,1,1,0,0,2,2018,79,PF,https://www.basketball-reference.com/players/w/willima02.html,2,6-8,237,Charlotte Hornets,regular season
472,430,Charlotte Hornets,Kemba Walker,Milwaukee Bucks,L,10/23/2017,34:06,6,15,0.4,1,6,0.16699999999999998,2,2,1.0,0,2,2,6,1,0,3,0,15,3,2018,78,PG,https://www.basketball-reference.com/players/w/walkeke02.html,15,6-0,184,Charlotte Hornets,regular season
473,431,Charlotte Hornets,Dwight Howard,Milwaukee Bucks,L,10/23/2017,34:06,4,6,0.667,0,0,,0,9,0.0,7,15,22,1,0,4,2,4,8,3,2018,69,C,https://www.basketball-reference.com/players/h/howardw01.html,12,6-10,265,Charlotte Hornets,regular season
474,432,Charlotte Hornets,Jeremy Lamb,Milwaukee Bucks,L,10/23/2017,33:48,5,17,0.294,1,5,0.2,6,6,1.0,1,8,9,1,0,0,4,2,17,-18,2018,72,SG,https://www.basketball-reference.com/players/l/lambje01.html,3,6-5,180,Charlotte Hornets,regular season
475,433,Charlotte Hornets,Marvin Williams,Milwaukee Bucks,L,10/23/2017,28:00,3,10,0.3,2,5,0.4,1,3,0.33299999999999996,0,0,0,1,2,0,1,3,9,0,2018,79,PF,https://www.basketball-reference.com/players/w/willima02.html,2,6-8,237,Charlotte Hornets,regular season
476,434,Charlotte Hornets,Dwayne Bacon,Milwaukee Bucks,L,10/23/2017,24:23,2,6,0.33299999999999996,0,3,0.0,1,2,0.5,0,4,4,2,0,0,0,3,5,6,2018,64,SG,https://www.basketball-reference.com/players/b/bacondw01.html,7,6-6,221,Charlotte Hornets,regular season
594,545,Charlotte Hornets,Kemba Walker,Denver Nuggets,W,10/25/2017,32:21,4,9,0.444,2,4,0.5,9,9,1.0,0,4,4,5,0,0,1,0,19,26,2018,78,PG,https://www.basketball-reference.com/players/w/walkeke02.html,15,6-0,184,Charlotte Hornets,regular season
595,546,Charlotte Hornets,Jeremy Lamb,Denver Nuggets,W,10/25/2017,29:18,4,7,0.5710000000000001,3,5,0.6,5,6,0.833,0,2,2,4,1,1,1,1,16,20,2018,72,SG,https://www.basketball-reference.com/players/l/lambje01.html,3,6-5,180,Charlotte Hornets,regular season
596,547,Charlotte Hornets,Dwight Howard,Denver Nuggets,W,10/25/2017,26:46,4,7,0.5710000000000001,0,0,,7,11,0.636,5,15,20,0,0,2,7,4,15,15,2018,69,C,https://www.basketball-reference.com/players/h/howardw01.html,12,6-10,265,Charlotte Hornets,regular season
597,548,Charlotte Hornets,Marvin Williams,Denver Nuggets,W,10/25/2017,21:18,4,6,0.667,1,3,0.33299999999999996,0,0,,2,2,4,0,2,0,1,2,9,12,2018,79,PF,https://www.basketball-reference.com/players/w/willima02.html,2,6-8,237,Charlotte Hornets,regular season
598,549,Charlotte Hornets,Michael Kidd-Gilchrist,Denver Nuggets,W,10/25/2017,10:37,1,6,0.16699999999999998,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,2,-2,2018,71,SF,https://www.basketball-reference.com/players/k/kiddgmi01.html,14,6-6,232,Charlotte Hornets,regular season
