,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
5,5,Cleveland Cavaliers,J.R. Smith,Boston Celtics,W,10/17/2017,21:55,4,7,0.5710000000000001,1,3,0.33299999999999996,1,1,1.0,0,4,4,1,0,0,0,4,10,7.0,2018,119,SG,https://www.basketball-reference.com/players/s/smithjr01.html,5,6-6,225,Cleveland Cavaliers,regular season
6,6,Cleveland Cavaliers,Tristan Thompson,Boston Celtics,W,10/17/2017,19:36,2,3,0.667,0,0,,1,3,0.33299999999999996,1,5,6,2,0,0,2,3,5,5.0,2018,121,C,https://www.basketball-reference.com/players/t/thomptr01.html,13,6-9,254,Cleveland Cavaliers,regular season
7,7,Cleveland Cavaliers,Jeff Green,Boston Celtics,W,10/17/2017,14:14,3,8,0.375,0,1,0.0,0,0,,0,0,0,0,0,0,1,3,6,0.0,2018,106,PF,https://www.basketball-reference.com/players/g/greenje02.html,32,6-8,235,Cleveland Cavaliers,regular season
8,8,Cleveland Cavaliers,Iman Shumpert,Boston Celtics,W,10/17/2017,12:51,2,3,0.667,0,0,,0,0,,1,1,2,0,1,0,1,3,4,9.0,2018,118,SG,https://www.basketball-reference.com/players/s/shumpim01.html,4,6-5,215,Cleveland Cavaliers,regular season
9,9,Cleveland Cavaliers,Kyle Korver,Boston Celtics,W,10/17/2017,7:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.0,2018,111,SG,https://www.basketball-reference.com/players/k/korveky01.html,26,6-7,212,Cleveland Cavaliers,regular season
236,210,Cleveland Cavaliers,Tristan Thompson,Milwaukee Bucks,W,10/20/2017,24:28,4,6,0.667,0,0,,0,0,,3,5,8,0,0,0,0,0,8,16.0,2018,121,C,https://www.basketball-reference.com/players/t/thomptr01.html,13,6-9,254,Cleveland Cavaliers,regular season
237,211,Cleveland Cavaliers,J.R. Smith,Milwaukee Bucks,W,10/20/2017,22:37,3,11,0.273,1,6,0.16699999999999998,0,0,,0,4,4,2,0,0,2,1,7,15.0,2018,119,SG,https://www.basketball-reference.com/players/s/smithjr01.html,5,6-6,225,Cleveland Cavaliers,regular season
238,212,Cleveland Cavaliers,Kyle Korver,Milwaukee Bucks,W,10/20/2017,19:15,6,8,0.75,5,6,0.833,0,0,,0,3,3,1,1,0,0,0,17,14.0,2018,111,SG,https://www.basketball-reference.com/players/k/korveky01.html,26,6-7,212,Cleveland Cavaliers,regular season
239,213,Cleveland Cavaliers,Jeff Green,Milwaukee Bucks,W,10/20/2017,17:39,4,7,0.5710000000000001,0,2,0.0,2,2,1.0,1,0,1,1,1,0,1,1,10,10.0,2018,106,PF,https://www.basketball-reference.com/players/g/greenje02.html,32,6-8,235,Cleveland Cavaliers,regular season
240,214,Cleveland Cavaliers,Iman Shumpert,Milwaukee Bucks,W,10/20/2017,13:58,0,1,0.0,0,1,0.0,0,0,,1,1,2,1,1,0,1,1,0,3.0,2018,118,SG,https://www.basketball-reference.com/players/s/shumpim01.html,4,6-5,215,Cleveland Cavaliers,regular season
241,215,Cleveland Cavaliers,Channing Frye,Milwaukee Bucks,W,10/20/2017,1:14,1,1,1.0,1,1,1.0,0,0,,0,1,1,1,0,0,0,0,3,5.0,2018,105,C,https://www.basketball-reference.com/players/f/fryech01.html,8,7-0,255,Cleveland Cavaliers,regular season
242,215,Cleveland Cavaliers,Channing Frye,Milwaukee Bucks,W,10/20/2017,1:14,1,1,1.0,1,1,1.0,0,0,,0,1,1,1,0,0,0,0,3,5.0,2018,278,C,https://www.basketball-reference.com/players/f/fryech01.html,12,7-0,255,Los Angeles Lakers,regular season
243,216,Cleveland Cavaliers,Cedi Osman,Milwaukee Bucks,W,10/20/2017,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,5.0,2018,114,SF,https://www.basketball-reference.com/players/o/osmande01.html,16,6-7,230,Cleveland Cavaliers,regular season
244,217,Cleveland Cavaliers,Jose Calderon,Milwaukee Bucks,W,10/20/2017,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,5.0,2018,102,PG,https://www.basketball-reference.com/players/c/caldejo01.html,81,6-3,200,Cleveland Cavaliers,regular season
376,335,Cleveland Cavaliers,Iman Shumpert,Orlando Magic,L,10/21/2017,29:46,5,14,0.35700000000000004,4,5,0.8,7,10,0.7,1,6,7,2,0,1,1,1,21,13.0,2018,118,SG,https://www.basketball-reference.com/players/s/shumpim01.html,4,6-5,215,Cleveland Cavaliers,regular season
377,336,Cleveland Cavaliers,Tristan Thompson,Orlando Magic,L,10/21/2017,25:35,2,4,0.5,0,0,,0,0,,4,5,9,1,0,1,1,1,4,-21.0,2018,121,C,https://www.basketball-reference.com/players/t/thomptr01.html,13,6-9,254,Cleveland Cavaliers,regular season
378,337,Cleveland Cavaliers,Jeff Green,Orlando Magic,L,10/21/2017,20:49,2,6,0.33299999999999996,0,1,0.0,3,4,0.75,1,0,1,1,1,0,2,0,7,-17.0,2018,106,PF,https://www.basketball-reference.com/players/g/greenje02.html,32,6-8,235,Cleveland Cavaliers,regular season
379,338,Cleveland Cavaliers,J.R. Smith,Orlando Magic,L,10/21/2017,20:33,1,6,0.16699999999999998,0,4,0.0,0,0,,0,0,0,1,0,0,2,2,2,-33.0,2018,119,SG,https://www.basketball-reference.com/players/s/smithjr01.html,5,6-6,225,Cleveland Cavaliers,regular season
380,339,Cleveland Cavaliers,Kyle Korver,Orlando Magic,L,10/21/2017,13:12,1,5,0.2,0,2,0.0,0,0,,0,3,3,0,0,0,1,0,2,-22.0,2018,111,SG,https://www.basketball-reference.com/players/k/korveky01.html,26,6-7,212,Cleveland Cavaliers,regular season
381,340,Cleveland Cavaliers,Channing Frye,Orlando Magic,L,10/21/2017,8:21,2,3,0.667,1,1,1.0,0,0,,1,0,1,0,0,0,0,1,5,11.0,2018,105,C,https://www.basketball-reference.com/players/f/fryech01.html,8,7-0,255,Cleveland Cavaliers,regular season
382,340,Cleveland Cavaliers,Channing Frye,Orlando Magic,L,10/21/2017,8:21,2,3,0.667,1,1,1.0,0,0,,1,0,1,0,0,0,0,1,5,11.0,2018,278,C,https://www.basketball-reference.com/players/f/fryech01.html,12,7-0,255,Los Angeles Lakers,regular season
383,341,Cleveland Cavaliers,Cedi Osman,Orlando Magic,L,10/21/2017,8:21,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,2,0,11.0,2018,114,SF,https://www.basketball-reference.com/players/o/osmande01.html,16,6-7,230,Cleveland Cavaliers,regular season
384,342,Cleveland Cavaliers,Ante Zizic,Orlando Magic,L,10/21/2017,6:52,1,1,1.0,0,0,,2,3,0.667,2,2,4,0,0,2,0,0,4,13.0,2018,123,C,https://www.basketball-reference.com/players/z/zizican01.html,41,6-10,266,Cleveland Cavaliers,regular season
642,567,Cleveland Cavaliers,Jeff Green,Chicago Bulls,W,10/24/2017,23:53,4,6,0.667,1,1,1.0,7,8,0.875,0,2,2,2,0,0,0,1,16,10.0,2018,106,PF,https://www.basketball-reference.com/players/g/greenje02.html,32,6-8,235,Cleveland Cavaliers,regular season
643,568,Cleveland Cavaliers,Kyle Korver,Chicago Bulls,W,10/24/2017,22:37,4,7,0.5710000000000001,3,6,0.5,0,0,,0,3,3,1,0,1,1,1,11,10.0,2018,111,SG,https://www.basketball-reference.com/players/k/korveky01.html,26,6-7,212,Cleveland Cavaliers,regular season
