,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
28,25,Detroit Pistons,Stanley Johnson,Charlotte Hornets,W,10/18/2017,40:20,0,13,0.0,0,6,0.0,2,2,1.0,1,3,4,1,4,0,0,1,2,6,2018,177,SF,https://www.basketball-reference.com/players/j/johnsst04.html,7,6-6,242,Detroit Pistons,regular season
29,26,Detroit Pistons,Tobias Harris,Charlotte Hornets,W,10/18/2017,34:03,11,18,0.611,4,7,0.5710000000000001,1,1,1.0,2,8,10,3,0,0,1,3,27,10,2018,174,PF,https://www.basketball-reference.com/players/h/harrito02.html,34,6-8,226,Detroit Pistons,regular season
30,26,Detroit Pistons,Tobias Harris,Charlotte Hornets,W,10/18/2017,34:03,11,18,0.611,4,7,0.5710000000000001,1,1,1.0,2,8,10,3,0,0,1,3,27,10,2018,254,PF,https://www.basketball-reference.com/players/h/harrito02.html,34,6-8,226,Los Angeles Clippers,regular season
31,27,Detroit Pistons,Reggie Jackson,Charlotte Hornets,W,10/18/2017,27:10,5,10,0.5,0,1,0.0,3,3,1.0,1,4,5,8,1,0,0,2,13,10,2018,176,PG,https://www.basketball-reference.com/players/j/jacksre01.html,1,6-3,208,Detroit Pistons,regular season
32,28,Detroit Pistons,Avery Bradley,Charlotte Hornets,W,10/18/2017,23:19,7,10,0.7,0,0,,1,1,1.0,0,2,2,1,0,0,2,4,15,10,2018,165,SG,https://www.basketball-reference.com/players/b/bradlav01.html,22,6-3,180,Detroit Pistons,regular season
33,28,Detroit Pistons,Avery Bradley,Charlotte Hornets,W,10/18/2017,23:19,7,10,0.7,0,0,,1,1,1.0,0,2,2,1,0,0,2,4,15,10,2018,248,SG,https://www.basketball-reference.com/players/b/bradlav01.html,11,6-3,180,Los Angeles Clippers,regular season
34,29,Detroit Pistons,Andre Drummond,Charlotte Hornets,W,10/18/2017,22:21,3,9,0.33299999999999996,0,0,,2,2,1.0,5,8,13,4,1,2,0,3,8,8,2018,168,C,https://www.basketball-reference.com/players/d/drumman01.html,0,6-10,279,Detroit Pistons,regular season
218,200,Detroit Pistons,Tobias Harris,Washington Wizards,L,10/20/2017,33:41,5,10,0.5,1,1,1.0,4,5,0.8,1,2,3,1,1,0,0,2,15,2,2018,174,PF,https://www.basketball-reference.com/players/h/harrito02.html,34,6-8,226,Detroit Pistons,regular season
219,200,Detroit Pistons,Tobias Harris,Washington Wizards,L,10/20/2017,33:41,5,10,0.5,1,1,1.0,4,5,0.8,1,2,3,1,1,0,0,2,15,2,2018,254,PF,https://www.basketball-reference.com/players/h/harrito02.html,34,6-8,226,Los Angeles Clippers,regular season
220,201,Detroit Pistons,Avery Bradley,Washington Wizards,L,10/20/2017,32:58,6,13,0.462,3,6,0.5,3,4,0.75,1,1,2,2,1,0,5,3,18,-11,2018,165,SG,https://www.basketball-reference.com/players/b/bradlav01.html,22,6-3,180,Detroit Pistons,regular season
