,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
13,13,Golden State Warriors,Nick Young,Houston Rockets,L,10/17/2017,26:10,8,9,0.889,6,7,0.857,1,1,1.0,1,1,2,0,0,0,1,4,23,-10.0,2018,203,SG,https://www.basketball-reference.com/players/y/youngni01.html,6,6-7,210,Golden State Warriors,regular season
14,14,Golden State Warriors,Patrick McCaw,Houston Rockets,L,10/17/2017,18:39,2,3,0.667,0,0,,0,0,,1,2,3,1,1,1,0,1,4,-9.0,2018,198,SG,https://www.basketball-reference.com/players/m/mccawpa01.html,0,6-7,181,Golden State Warriors,regular season
15,15,Golden State Warriors,Shaun Livingston,Houston Rockets,L,10/17/2017,18:33,2,5,0.4,0,0,,2,2,1.0,1,0,1,5,0,0,1,2,6,-8.0,2018,196,PG,https://www.basketball-reference.com/players/l/livinsh01.html,34,6-7,192,Golden State Warriors,regular season
16,16,Golden State Warriors,Jordan Bell,Houston Rockets,L,10/17/2017,11:46,4,5,0.8,0,0,,0,0,,0,1,1,1,0,0,1,4,8,-2.0,2018,187,C,https://www.basketball-reference.com/players/b/belljo01.html,2,6-8,216,Golden State Warriors,regular season
17,17,Golden State Warriors,David West,Houston Rockets,L,10/17/2017,9:25,2,3,0.667,0,0,,0,0,,1,0,1,0,0,1,1,0,4,0.0,2018,202,C,https://www.basketball-reference.com/players/w/westda01.html,3,6-9,250,Golden State Warriors,regular season
18,18,Golden State Warriors,Kevon Looney,Houston Rockets,L,10/17/2017,7:46,0,0,,0,0,,1,2,0.5,0,2,2,0,1,0,0,2,1,-7.0,2018,197,C,https://www.basketball-reference.com/players/l/looneke01.html,5,6-9,222,Golden State Warriors,regular season
19,19,Golden State Warriors,Omri Casspi,Houston Rockets,L,10/17/2017,4:28,0,0,,0,0,,2,2,1.0,0,1,1,0,0,0,0,0,2,-4.0,2018,189,SF,https://www.basketball-reference.com/players/c/casspom01.html,18,6-9,225,Golden State Warriors,regular season
315,280,Golden State Warriors,Andre Iguodala,New Orleans Pelicans,W,10/20/2017,23:10,3,5,0.6,0,1,0.0,1,1,1.0,1,6,7,3,0,0,1,0,7,4.0,2018,194,SF,https://www.basketball-reference.com/players/i/iguodan01.html,9,6-6,215,Golden State Warriors,regular season
316,281,Golden State Warriors,Shaun Livingston,New Orleans Pelicans,W,10/20/2017,14:05,1,4,0.25,0,0,,0,2,0.0,2,3,5,1,1,0,2,1,2,2.0,2018,196,PG,https://www.basketball-reference.com/players/l/livinsh01.html,34,6-7,192,Golden State Warriors,regular season
317,282,Golden State Warriors,David West,New Orleans Pelicans,W,10/20/2017,12:51,4,5,0.8,1,1,1.0,2,4,0.5,1,0,1,2,0,0,0,4,11,1.0,2018,202,C,https://www.basketball-reference.com/players/w/westda01.html,3,6-9,250,Golden State Warriors,regular season
