,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
40,35,Indiana Pacers,Myles Turner,Brooklyn Nets,W,10/18/2017,33:57,8,13,0.615,1,3,0.33299999999999996,4,4,1.0,3,11,14,2,0,4,1,3,21,12,2018,243,C,https://www.basketball-reference.com/players/t/turnemy01.html,33,6-11,250,Indiana Pacers,regular season
41,36,Indiana Pacers,Thaddeus Young,Brooklyn Nets,W,10/18/2017,33:20,7,16,0.43799999999999994,1,5,0.2,2,2,1.0,5,6,11,3,2,2,2,3,17,13,2018,246,PF,https://www.basketball-reference.com/players/y/youngth01.html,21,6-8,235,Indiana Pacers,regular season
42,37,Indiana Pacers,Darren Collison,Brooklyn Nets,W,10/18/2017,30:11,9,12,0.75,1,3,0.33299999999999996,2,3,0.667,1,2,3,11,2,0,2,1,21,8,2018,231,PG,https://www.basketball-reference.com/players/c/collida01.html,2,6-0,175,Indiana Pacers,regular season
43,38,Indiana Pacers,Bojan Bogdanovic,Brooklyn Nets,W,10/18/2017,29:24,5,9,0.556,1,3,0.33299999999999996,3,3,1.0,0,0,0,0,0,0,3,2,14,3,2018,229,SF,https://www.basketball-reference.com/players/b/bogdabo02.html,44,6-8,226,Indiana Pacers,regular season
44,39,Indiana Pacers,Victor Oladipo,Brooklyn Nets,W,10/18/2017,24:33,6,12,0.5,2,6,0.33299999999999996,8,10,0.8,0,5,5,4,4,0,3,5,22,11,2018,237,SG,https://www.basketball-reference.com/players/o/oladivi01.html,4,6-4,213,Indiana Pacers,regular season
190,175,Indiana Pacers,Victor Oladipo,Portland Trail Blazers,L,10/20/2017,32:33,5,17,0.294,0,3,0.0,7,9,0.778,0,6,6,2,0,1,2,1,17,-18,2018,237,SG,https://www.basketball-reference.com/players/o/oladivi01.html,4,6-4,213,Indiana Pacers,regular season
191,176,Indiana Pacers,Darren Collison,Portland Trail Blazers,L,10/20/2017,31:25,5,9,0.556,1,3,0.33299999999999996,3,4,0.75,1,3,4,4,1,0,2,3,14,-3,2018,231,PG,https://www.basketball-reference.com/players/c/collida01.html,2,6-0,175,Indiana Pacers,regular season
192,177,Indiana Pacers,Thaddeus Young,Portland Trail Blazers,L,10/20/2017,29:06,4,8,0.5,0,2,0.0,0,0,,2,5,7,1,0,1,0,1,8,-15,2018,246,PF,https://www.basketball-reference.com/players/y/youngth01.html,21,6-8,235,Indiana Pacers,regular season
193,178,Indiana Pacers,Domantas Sabonis,Portland Trail Blazers,L,10/20/2017,28:57,1,5,0.2,0,1,0.0,1,4,0.25,2,6,8,1,0,1,3,4,3,-18,2018,240,C,https://www.basketball-reference.com/players/s/sabondo01.html,11,6-11,240,Indiana Pacers,regular season
194,179,Indiana Pacers,Bojan Bogdanovic,Portland Trail Blazers,L,10/20/2017,24:12,4,9,0.444,1,4,0.25,2,4,0.5,0,4,4,0,0,0,2,1,11,-10,2018,229,SF,https://www.basketball-reference.com/players/b/bogdabo02.html,44,6-8,226,Indiana Pacers,regular season
340,310,Indiana Pacers,Victor Oladipo,Miami Heat,L,10/21/2017,36:53,10,23,0.435,4,8,0.5,4,4,1.0,2,2,4,5,4,1,2,4,28,0,2018,237,SG,https://www.basketball-reference.com/players/o/oladivi01.html,4,6-4,213,Indiana Pacers,regular season
341,311,Indiana Pacers,Darren Collison,Miami Heat,L,10/21/2017,31:53,3,9,0.33299999999999996,2,4,0.5,2,2,1.0,1,2,3,8,0,1,1,1,10,-4,2018,231,PG,https://www.basketball-reference.com/players/c/collida01.html,2,6-0,175,Indiana Pacers,regular season
342,312,Indiana Pacers,Thaddeus Young,Miami Heat,L,10/21/2017,31:09,7,16,0.43799999999999994,0,1,0.0,0,0,,4,4,8,0,1,0,0,1,14,-6,2018,246,PF,https://www.basketball-reference.com/players/y/youngth01.html,21,6-8,235,Indiana Pacers,regular season
343,313,Indiana Pacers,Domantas Sabonis,Miami Heat,L,10/21/2017,30:22,6,10,0.6,0,1,0.0,6,8,0.75,3,9,12,2,1,1,2,4,18,2,2018,240,C,https://www.basketball-reference.com/players/s/sabondo01.html,11,6-11,240,Indiana Pacers,regular season
344,314,Indiana Pacers,Bojan Bogdanovic,Miami Heat,L,10/21/2017,20:51,3,6,0.5,0,0,,1,1,1.0,0,0,0,1,0,0,0,1,7,-19,2018,229,SF,https://www.basketball-reference.com/players/b/bogdabo02.html,44,6-8,226,Indiana Pacers,regular season
556,510,Indiana Pacers,Darren Collison,Minnesota Timberwolves,W,10/24/2017,33:39,6,11,0.545,1,5,0.2,2,2,1.0,1,4,5,16,2,0,1,1,15,21,2018,231,PG,https://www.basketball-reference.com/players/c/collida01.html,2,6-0,175,Indiana Pacers,regular season
