,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
189,168,Los Angeles Clippers,Austin Rivers,Los Angeles Lakers,W,10/19/2017,26:26,1,11,0.091,0,3,0.0,0,0,,0,0,0,2,2,0,1,2,2,-5.0,2018,261,SG,https://www.basketball-reference.com/players/r/riverau01.html,25,6-3,200,Los Angeles Clippers,regular season
190,169,Los Angeles Clippers,Lou Williams,Los Angeles Lakers,W,10/19/2017,24:41,5,12,0.41700000000000004,1,4,0.25,1,1,1.0,1,2,3,6,2,0,2,1,12,13.0,2018,266,SG,https://www.basketball-reference.com/players/w/willilo02.html,23,6-1,175,Los Angeles Clippers,regular season
191,170,Los Angeles Clippers,Wesley Johnson,Los Angeles Lakers,W,10/19/2017,19:49,4,7,0.5710000000000001,1,2,0.5,0,0,,1,4,5,1,1,0,0,1,9,5.0,2018,256,SF,https://www.basketball-reference.com/players/j/johnswe01.html,33,6-7,215,Los Angeles Clippers,regular season
192,171,Los Angeles Clippers,Willie Reed,Los Angeles Lakers,W,10/19/2017,13:03,3,6,0.5,0,0,,2,2,1.0,1,4,5,0,0,0,1,2,8,8.0,2018,184,C,https://www.basketball-reference.com/players/r/reedwi02.html,33,6-10,220,Detroit Pistons,regular season
193,171,Los Angeles Clippers,Willie Reed,Los Angeles Lakers,W,10/19/2017,13:03,3,6,0.5,0,0,,2,2,1.0,1,4,5,0,0,0,1,2,8,8.0,2018,260,C,https://www.basketball-reference.com/players/r/reedwi02.html,35,6-10,220,Los Angeles Clippers,regular season
194,172,Los Angeles Clippers,Sam Dekker,Los Angeles Lakers,W,10/19/2017,5:11,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-14.0,2018,249,PF,https://www.basketball-reference.com/players/d/dekkesa01.html,7,6-9,230,Los Angeles Clippers,regular season
195,173,Los Angeles Clippers,Sindarius Thornwell,Los Angeles Lakers,W,10/19/2017,3:24,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,1,2,3,-6.0,2018,263,SG,https://www.basketball-reference.com/players/t/thornsi01.html,0,6-5,215,Los Angeles Clippers,regular season
196,174,Los Angeles Clippers,Montrezl Harrell,Los Angeles Lakers,W,10/19/2017,3:17,2,3,0.667,0,0,,0,0,,0,0,0,0,0,0,1,0,4,-3.0,2018,253,C,https://www.basketball-reference.com/players/h/harremo01.html,5,6-7,240,Los Angeles Clippers,regular season
489,434,Los Angeles Clippers,Austin Rivers,Phoenix Suns,W,10/21/2017,32:55,2,7,0.28600000000000003,0,2,0.0,1,4,0.25,1,2,3,4,1,0,2,4,5,35.0,2018,261,SG,https://www.basketball-reference.com/players/r/riverau01.html,25,6-3,200,Los Angeles Clippers,regular season
490,435,Los Angeles Clippers,Lou Williams,Phoenix Suns,W,10/21/2017,24:13,7,13,0.5379999999999999,2,5,0.4,2,3,0.667,0,3,3,6,0,0,1,3,18,16.0,2018,266,SG,https://www.basketball-reference.com/players/w/willilo02.html,23,6-1,175,Los Angeles Clippers,regular season
491,436,Los Angeles Clippers,Wesley Johnson,Phoenix Suns,W,10/21/2017,14:13,1,3,0.33299999999999996,0,1,0.0,1,2,0.5,0,3,3,2,2,0,0,4,3,5.0,2018,256,SF,https://www.basketball-reference.com/players/j/johnswe01.html,33,6-7,215,Los Angeles Clippers,regular season
492,437,Los Angeles Clippers,Sam Dekker,Phoenix Suns,W,10/21/2017,13:44,3,6,0.5,1,2,0.5,0,0,,1,1,2,2,0,0,0,1,7,19.0,2018,249,PF,https://www.basketball-reference.com/players/d/dekkesa01.html,7,6-9,230,Los Angeles Clippers,regular season
493,438,Los Angeles Clippers,Willie Reed,Phoenix Suns,W,10/21/2017,12:50,6,6,1.0,0,0,,0,0,,2,2,4,0,1,0,0,4,12,10.0,2018,184,C,https://www.basketball-reference.com/players/r/reedwi02.html,33,6-10,220,Detroit Pistons,regular season
494,438,Los Angeles Clippers,Willie Reed,Phoenix Suns,W,10/21/2017,12:50,6,6,1.0,0,0,,0,0,,2,2,4,0,1,0,0,4,12,10.0,2018,260,C,https://www.basketball-reference.com/players/r/reedwi02.html,35,6-10,220,Los Angeles Clippers,regular season
495,439,Los Angeles Clippers,Montrezl Harrell,Phoenix Suns,W,10/21/2017,7:29,2,3,0.667,0,0,,0,0,,1,1,2,1,0,1,0,0,4,11.0,2018,253,C,https://www.basketball-reference.com/players/h/harremo01.html,5,6-7,240,Los Angeles Clippers,regular season
496,440,Los Angeles Clippers,Sindarius Thornwell,Phoenix Suns,W,10/21/2017,6:38,3,5,0.6,0,0,,2,2,1.0,0,0,0,1,2,0,0,1,8,14.0,2018,263,SG,https://www.basketball-reference.com/players/t/thornsi01.html,0,6-5,215,Los Angeles Clippers,regular season
497,441,Los Angeles Clippers,Brice Johnson,Phoenix Suns,W,10/21/2017,6:10,2,2,1.0,0,0,,2,2,1.0,0,4,4,1,0,0,1,3,6,16.0,2018,255,PF,https://www.basketball-reference.com/players/j/johnsbr02.html,11,6-10,230,Los Angeles Clippers,regular season
498,441,Los Angeles Clippers,Brice Johnson,Phoenix Suns,W,10/21/2017,6:10,2,2,1.0,0,0,,2,2,1.0,0,4,4,1,0,0,1,3,6,16.0,2018,304,PF,https://www.basketball-reference.com/players/j/johnsbr02.html,14,6-10,230,Memphis Grizzlies,regular season
714,631,Los Angeles Clippers,Lou Williams,Utah Jazz,W,10/24/2017,18:53,3,10,0.3,1,4,0.25,2,2,1.0,1,1,2,4,1,0,1,1,9,2.0,2018,266,SG,https://www.basketball-reference.com/players/w/willilo02.html,23,6-1,175,Los Angeles Clippers,regular season
715,632,Los Angeles Clippers,Wesley Johnson,Utah Jazz,W,10/24/2017,16:22,1,3,0.33299999999999996,1,2,0.5,2,2,1.0,0,1,1,0,2,2,0,3,5,2.0,2018,256,SF,https://www.basketball-reference.com/players/j/johnswe01.html,33,6-7,215,Los Angeles Clippers,regular season
716,633,Los Angeles Clippers,Willie Reed,Utah Jazz,W,10/24/2017,11:06,2,4,0.5,0,0,,0,0,,1,3,4,0,0,0,0,2,4,-5.0,2018,184,C,https://www.basketball-reference.com/players/r/reedwi02.html,33,6-10,220,Detroit Pistons,regular season
717,633,Los Angeles Clippers,Willie Reed,Utah Jazz,W,10/24/2017,11:06,2,4,0.5,0,0,,0,0,,1,3,4,0,0,0,0,2,4,-5.0,2018,260,C,https://www.basketball-reference.com/players/r/reedwi02.html,35,6-10,220,Los Angeles Clippers,regular season
718,634,Los Angeles Clippers,Sindarius Thornwell,Utah Jazz,W,10/24/2017,4:11,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,2,-5.0,2018,263,SG,https://www.basketball-reference.com/players/t/thornsi01.html,0,6-5,215,Los Angeles Clippers,regular season
879,774,Los Angeles Clippers,Lou Williams,Portland Trail Blazers,W,10/26/2017,18:32,5,9,0.556,2,4,0.5,1,2,0.5,0,0,0,1,0,0,0,0,13,6.0,2018,266,SG,https://www.basketball-reference.com/players/w/willilo02.html,23,6-1,175,Los Angeles Clippers,regular season
880,775,Los Angeles Clippers,Wesley Johnson,Portland Trail Blazers,W,10/26/2017,14:45,1,5,0.2,1,3,0.33299999999999996,0,0,,1,3,4,1,0,2,1,2,3,-5.0,2018,256,SF,https://www.basketball-reference.com/players/j/johnswe01.html,33,6-7,215,Los Angeles Clippers,regular season
881,776,Los Angeles Clippers,Sindarius Thornwell,Portland Trail Blazers,W,10/26/2017,8:32,1,2,0.5,0,0,,4,4,1.0,1,1,2,1,0,0,0,2,6,3.0,2018,263,SG,https://www.basketball-reference.com/players/t/thornsi01.html,0,6-5,215,Los Angeles Clippers,regular season
882,777,Los Angeles Clippers,Willie Reed,Portland Trail Blazers,W,10/26/2017,8:32,2,2,1.0,0,0,,1,3,0.33299999999999996,0,2,2,0,0,0,0,0,5,1.0,2018,184,C,https://www.basketball-reference.com/players/r/reedwi02.html,33,6-10,220,Detroit Pistons,regular season
883,777,Los Angeles Clippers,Willie Reed,Portland Trail Blazers,W,10/26/2017,8:32,2,2,1.0,0,0,,1,3,0.33299999999999996,0,2,2,0,0,0,0,0,5,1.0,2018,260,C,https://www.basketball-reference.com/players/r/reedwi02.html,35,6-10,220,Los Angeles Clippers,regular season
884,778,Los Angeles Clippers,Sam Dekker,Portland Trail Blazers,W,10/26/2017,3:49,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,2,0,-2.0,2018,249,PF,https://www.basketball-reference.com/players/d/dekkesa01.html,7,6-9,230,Los Angeles Clippers,regular season
1103,968,Los Angeles Clippers,Lou Williams,Detroit Pistons,L,10/28/2017,21:38,3,9,0.33299999999999996,1,4,0.25,3,3,1.0,0,2,2,3,0,0,2,1,10,-7.0,2018,266,SG,https://www.basketball-reference.com/players/w/willilo02.html,23,6-1,175,Los Angeles Clippers,regular season
1104,969,Los Angeles Clippers,Wesley Johnson,Detroit Pistons,L,10/28/2017,12:31,1,7,0.14300000000000002,0,3,0.0,0,0,,1,6,7,1,0,0,0,2,2,4.0,2018,256,SF,https://www.basketball-reference.com/players/j/johnswe01.html,33,6-7,215,Los Angeles Clippers,regular season
1105,970,Los Angeles Clippers,Willie Reed,Detroit Pistons,L,10/28/2017,11:36,2,3,0.667,0,0,,0,0,,0,2,2,0,0,1,3,3,4,-7.0,2018,184,C,https://www.basketball-reference.com/players/r/reedwi02.html,33,6-10,220,Detroit Pistons,regular season
1106,970,Los Angeles Clippers,Willie Reed,Detroit Pistons,L,10/28/2017,11:36,2,3,0.667,0,0,,0,0,,0,2,2,0,0,1,3,3,4,-7.0,2018,260,C,https://www.basketball-reference.com/players/r/reedwi02.html,35,6-10,220,Los Angeles Clippers,regular season
1107,971,Los Angeles Clippers,Sindarius Thornwell,Detroit Pistons,L,10/28/2017,9:00,1,3,0.33299999999999996,0,1,0.0,1,2,0.5,2,1,3,0,0,1,0,1,3,-9.0,2018,263,SG,https://www.basketball-reference.com/players/t/thornsi01.html,0,6-5,215,Los Angeles Clippers,regular season
1108,972,Los Angeles Clippers,Sam Dekker,Detroit Pistons,L,10/28/2017,2:47,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-2.0,2018,249,PF,https://www.basketball-reference.com/players/d/dekkesa01.html,7,6-9,230,Los Angeles Clippers,regular season
1321,1159,Los Angeles Clippers,Lou Williams,Golden State Warriors,L,10/30/2017,25:39,3,8,0.375,1,3,0.33299999999999996,10,11,0.909,0,1,1,3,0,0,3,0,17,-31.0,2018,266,SG,https://www.basketball-reference.com/players/w/willilo02.html,23,6-1,175,Los Angeles Clippers,regular season
1322,1160,Los Angeles Clippers,Sindarius Thornwell,Golden State Warriors,L,10/30/2017,17:06,1,3,0.33299999999999996,0,0,,0,0,,0,1,1,1,1,0,0,1,2,-17.0,2018,263,SG,https://www.basketball-reference.com/players/t/thornsi01.html,0,6-5,215,Los Angeles Clippers,regular season
1323,1161,Los Angeles Clippers,Wesley Johnson,Golden State Warriors,L,10/30/2017,16:35,3,7,0.429,0,2,0.0,2,2,1.0,0,1,1,0,0,1,1,2,8,-12.0,2018,256,SF,https://www.basketball-reference.com/players/j/johnswe01.html,33,6-7,215,Los Angeles Clippers,regular season
1324,1162,Los Angeles Clippers,Willie Reed,Golden State Warriors,L,10/30/2017,10:46,2,4,0.5,0,0,,2,2,1.0,4,4,8,0,0,1,0,1,6,-12.0,2018,184,C,https://www.basketball-reference.com/players/r/reedwi02.html,33,6-10,220,Detroit Pistons,regular season
1325,1162,Los Angeles Clippers,Willie Reed,Golden State Warriors,L,10/30/2017,10:46,2,4,0.5,0,0,,2,2,1.0,4,4,8,0,0,1,0,1,6,-12.0,2018,260,C,https://www.basketball-reference.com/players/r/reedwi02.html,35,6-10,220,Los Angeles Clippers,regular season
1326,1163,Los Angeles Clippers,Jawun Evans,Golden State Warriors,L,10/30/2017,6:31,3,5,0.6,0,0,,0,0,,0,0,0,1,0,0,0,0,6,-2.0,2018,250,PG,https://www.basketball-reference.com/players/e/evansja01.html,1,6-0,185,Los Angeles Clippers,regular season
1327,1164,Los Angeles Clippers,Sam Dekker,Golden State Warriors,L,10/30/2017,6:31,2,4,0.5,0,1,0.0,1,2,0.5,1,1,2,0,0,0,0,0,5,-2.0,2018,249,PF,https://www.basketball-reference.com/players/d/dekkesa01.html,7,6-9,230,Los Angeles Clippers,regular season
1328,1165,Los Angeles Clippers,Brice Johnson,Golden State Warriors,L,10/30/2017,6:31,2,3,0.667,0,0,,0,0,,0,2,2,0,0,0,0,1,4,-2.0,2018,255,PF,https://www.basketball-reference.com/players/j/johnsbr02.html,11,6-10,230,Los Angeles Clippers,regular season
1329,1165,Los Angeles Clippers,Brice Johnson,Golden State Warriors,L,10/30/2017,6:31,2,3,0.667,0,0,,0,0,,0,2,2,0,0,0,0,1,4,-2.0,2018,304,PF,https://www.basketball-reference.com/players/j/johnsbr02.html,14,6-10,230,Memphis Grizzlies,regular season
