,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
197,175,Los Angeles Lakers,Jordan Clarkson,Los Angeles Clippers,L,10/19/2017,22:31,7,16,0.43799999999999994,2,3,0.667,2,3,0.667,0,2,2,2,2,0,3,0,18,-11.0,2018,103,SG,https://www.basketball-reference.com/players/c/clarkjo01.html,8,6-4,194,Cleveland Cavaliers,regular season
198,175,Los Angeles Lakers,Jordan Clarkson,Los Angeles Clippers,L,10/19/2017,22:31,7,16,0.43799999999999994,2,3,0.667,2,3,0.667,0,2,2,2,2,0,3,0,18,-11.0,2018,275,SG,https://www.basketball-reference.com/players/c/clarkjo01.html,6,6-4,194,Los Angeles Lakers,regular season
199,176,Los Angeles Lakers,Kyle Kuzma,Los Angeles Clippers,L,10/19/2017,18:42,4,8,0.5,0,2,0.0,0,2,0.0,2,2,4,1,2,0,0,2,8,-17.0,2018,283,PF,https://www.basketball-reference.com/players/k/kuzmaky01.html,0,6-8,221,Los Angeles Lakers,regular season
200,177,Los Angeles Lakers,Julius Randle,Los Angeles Clippers,L,10/19/2017,17:58,4,8,0.5,0,1,0.0,1,2,0.5,2,4,6,1,0,1,2,2,9,-25.0,2018,287,C,https://www.basketball-reference.com/players/r/randlju01.html,30,6-8,250,Los Angeles Lakers,regular season
201,178,Los Angeles Lakers,Corey Brewer,Los Angeles Clippers,L,10/19/2017,16:26,1,2,0.5,0,1,0.0,0,0,,0,3,3,0,0,1,2,0,2,0.0,2018,271,SF,https://www.basketball-reference.com/players/b/breweco01.html,3,6-9,186,Los Angeles Lakers,regular season
202,178,Los Angeles Lakers,Corey Brewer,Los Angeles Clippers,L,10/19/2017,16:26,1,2,0.5,0,1,0.0,0,0,,0,3,3,0,0,1,2,0,2,0.0,2018,422,SG,https://www.basketball-reference.com/players/b/breweco01.html,3,6-9,186,Oklahoma City Thunder,regular season
203,179,Los Angeles Lakers,Alex Caruso,Los Angeles Clippers,L,10/19/2017,12:13,1,1,1.0,0,0,,0,0,,0,1,1,2,0,0,1,0,2,-10.0,2018,274,PG,https://www.basketball-reference.com/players/c/carusal01.html,4,6-5,186,Los Angeles Lakers,regular season
204,180,Los Angeles Lakers,Andrew Bogut,Los Angeles Clippers,L,10/19/2017,11:06,0,0,,0,0,,0,0,,0,2,2,1,1,2,3,3,0,-10.0,2018,270,C,https://www.basketball-reference.com/players/b/bogutan01.html,66,7-0,260,Los Angeles Lakers,regular season
205,181,Los Angeles Lakers,Tyler Ennis,Los Angeles Clippers,L,10/19/2017,9:50,1,3,0.33299999999999996,0,0,,0,0,,1,1,2,3,0,0,0,0,2,14.0,2018,277,PG,https://www.basketball-reference.com/players/e/ennisty01.html,10,6-3,194,Los Angeles Lakers,regular season
325,290,Los Angeles Lakers,Kyle Kuzma,Phoenix Suns,W,10/20/2017,28:24,6,7,0.857,1,2,0.5,2,3,0.667,0,3,3,2,0,0,0,0,15,-18.0,2018,283,PF,https://www.basketball-reference.com/players/k/kuzmaky01.html,0,6-8,221,Los Angeles Lakers,regular season
