,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
109,100,Minnesota Timberwolves,Jimmy Butler,San Antonio Spurs,L,10/18/2017,35:26,5,12,0.41700000000000004,2,3,0.667,0,0,,0,4,4,3,1,0,3,3,12,-19,2018,363,SG,https://www.basketball-reference.com/players/b/butleji01.html,23,6-7,230,Minnesota Timberwolves,regular season
110,101,Minnesota Timberwolves,Karl-Anthony Towns,San Antonio Spurs,L,10/18/2017,34:30,8,15,0.5329999999999999,0,1,0.0,2,2,1.0,2,11,13,1,2,1,2,4,18,0,2018,373,C,https://www.basketball-reference.com/players/t/townska01.html,32,6-11,248,Minnesota Timberwolves,regular season
111,102,Minnesota Timberwolves,Andrew Wiggins,San Antonio Spurs,L,10/18/2017,30:25,9,14,0.643,4,6,0.667,4,9,0.444,1,4,5,1,0,0,1,0,26,-19,2018,374,SF,https://www.basketball-reference.com/players/w/wiggian01.html,22,6-7,197,Minnesota Timberwolves,regular season
112,103,Minnesota Timberwolves,Taj Gibson,San Antonio Spurs,L,10/18/2017,27:09,3,11,0.273,0,2,0.0,0,0,,2,2,4,3,1,0,2,3,6,-17,2018,367,PF,https://www.basketball-reference.com/players/g/gibsota01.html,67,6-9,232,Minnesota Timberwolves,regular season
113,104,Minnesota Timberwolves,Jeff Teague,San Antonio Spurs,L,10/18/2017,24:54,3,6,0.5,1,2,0.5,4,5,0.8,0,2,2,6,1,1,1,1,11,-17,2018,372,PG,https://www.basketball-reference.com/players/t/teaguje01.html,0,6-3,195,Minnesota Timberwolves,regular season
247,225,Minnesota Timberwolves,Jimmy Butler,Utah Jazz,W,10/20/2017,38:35,5,14,0.35700000000000004,0,2,0.0,3,3,1.0,0,7,7,3,5,0,4,1,13,-2,2018,363,SG,https://www.basketball-reference.com/players/b/butleji01.html,23,6-7,230,Minnesota Timberwolves,regular season
248,226,Minnesota Timberwolves,Andrew Wiggins,Utah Jazz,W,10/20/2017,34:39,7,19,0.368,2,6,0.33299999999999996,5,6,0.833,3,2,5,0,0,0,2,1,21,4,2018,374,SF,https://www.basketball-reference.com/players/w/wiggian01.html,22,6-7,197,Minnesota Timberwolves,regular season
249,227,Minnesota Timberwolves,Jeff Teague,Utah Jazz,W,10/20/2017,32:52,3,10,0.3,0,3,0.0,4,4,1.0,0,2,2,4,2,0,3,2,10,1,2018,372,PG,https://www.basketball-reference.com/players/t/teaguje01.html,0,6-3,195,Minnesota Timberwolves,regular season
250,228,Minnesota Timberwolves,Karl-Anthony Towns,Utah Jazz,W,10/20/2017,32:29,7,12,0.583,0,1,0.0,6,8,0.75,0,10,10,1,1,2,1,3,20,-8,2018,373,C,https://www.basketball-reference.com/players/t/townska01.html,32,6-11,248,Minnesota Timberwolves,regular season
251,229,Minnesota Timberwolves,Taj Gibson,Utah Jazz,W,10/20/2017,26:17,2,5,0.4,0,1,0.0,0,0,,3,5,8,1,2,0,1,1,4,3,2018,367,PF,https://www.basketball-reference.com/players/g/gibsota01.html,67,6-9,232,Minnesota Timberwolves,regular season
417,380,Minnesota Timberwolves,Andrew Wiggins,Oklahoma City Thunder,W,10/22/2017,39:24,10,20,0.5,2,7,0.28600000000000003,5,8,0.625,1,6,7,4,2,0,1,2,27,15,2018,374,SF,https://www.basketball-reference.com/players/w/wiggian01.html,22,6-7,197,Minnesota Timberwolves,regular season
418,381,Minnesota Timberwolves,Jeff Teague,Oklahoma City Thunder,W,10/22/2017,39:12,5,10,0.5,1,1,1.0,8,8,1.0,1,5,6,9,1,0,3,2,19,14,2018,372,PG,https://www.basketball-reference.com/players/t/teaguje01.html,0,6-3,195,Minnesota Timberwolves,regular season
