,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
75,69,New Orleans Pelicans,Ian Clark,Memphis Grizzlies,L,10/18/2017,21:05,1,3,0.33299999999999996,1,3,0.33299999999999996,0,0,,0,3,3,2,1,0,1,3,3,-13.0,2018,377,SG,https://www.basketball-reference.com/players/c/clarkia01.html,2,6-3,175,New Orleans Pelicans,regular season
76,70,New Orleans Pelicans,Darius Miller,Memphis Grizzlies,L,10/18/2017,17:10,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,1,0,4,0,-12.0,2018,391,SF,https://www.basketball-reference.com/players/m/milleda01.html,21,6-6,225,New Orleans Pelicans,regular season
77,71,New Orleans Pelicans,Jordan Crawford,Memphis Grizzlies,L,10/18/2017,12:40,2,4,0.5,1,2,0.5,0,0,,1,0,1,3,0,0,2,4,5,-10.0,2018,380,SG,https://www.basketball-reference.com/players/c/crawfjo02.html,27,6-4,195,New Orleans Pelicans,regular season
78,72,New Orleans Pelicans,Tony Allen,Memphis Grizzlies,L,10/18/2017,10:53,0,1,0.0,0,0,,0,0,,0,2,2,0,0,2,1,2,0,-4.0,2018,375,SF,https://www.basketball-reference.com/players/a/allento01.html,24,6-4,213,New Orleans Pelicans,regular season
79,73,New Orleans Pelicans,Cheick Diallo,Memphis Grizzlies,L,10/18/2017,0:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.0,2018,383,PF,https://www.basketball-reference.com/players/d/diallch01.html,13,6-8,219,New Orleans Pelicans,regular season
321,286,New Orleans Pelicans,Ian Clark,Golden State Warriors,L,10/20/2017,26:42,5,7,0.7140000000000001,4,4,1.0,0,0,,0,1,1,3,1,0,0,2,14,-3.0,2018,377,SG,https://www.basketball-reference.com/players/c/clarkia01.html,2,6-3,175,New Orleans Pelicans,regular season
322,287,New Orleans Pelicans,Jordan Crawford,Golden State Warriors,L,10/20/2017,24:39,5,10,0.5,3,3,1.0,0,0,,1,1,2,6,0,1,2,2,13,-2.0,2018,380,SG,https://www.basketball-reference.com/players/c/crawfjo02.html,27,6-4,195,New Orleans Pelicans,regular season
323,288,New Orleans Pelicans,Darius Miller,Golden State Warriors,L,10/20/2017,20:09,2,5,0.4,0,3,0.0,0,0,,0,2,2,2,0,0,1,1,4,-14.0,2018,391,SF,https://www.basketball-reference.com/players/m/milleda01.html,21,6-6,225,New Orleans Pelicans,regular season
324,289,New Orleans Pelicans,Tony Allen,Golden State Warriors,L,10/20/2017,6:53,0,2,0.0,0,0,,0,0,,2,0,2,0,0,0,1,0,0,4.0,2018,375,SF,https://www.basketball-reference.com/players/a/allento01.html,24,6-4,213,New Orleans Pelicans,regular season
528,466,New Orleans Pelicans,Jameer Nelson,Los Angeles Lakers,W,10/22/2017,24:07,2,4,0.5,1,3,0.33299999999999996,0,0,,0,1,1,5,1,0,1,1,5,4.0,2018,183,PG,https://www.basketball-reference.com/players/n/nelsoja01.html,41,6-0,190,Detroit Pistons,regular season
