,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
76,70,New Orleans Pelicans,Anthony Davis,Memphis Grizzlies,L,10/18/2017,40:14,9,23,0.391,1,2,0.5,14,17,0.8240000000000001,7,11,18,0,0,1,5,5,33,-15,2018,382,PF,https://www.basketball-reference.com/players/d/davisan02.html,23,6-10,253,New Orleans Pelicans,regular season
77,71,New Orleans Pelicans,Jrue Holiday,Memphis Grizzlies,L,10/18/2017,38:30,2,11,0.182,0,3,0.0,0,0,,2,4,6,4,1,0,2,5,4,-2,2018,386,SG,https://www.basketball-reference.com/players/h/holidjr01.html,11,6-3,205,New Orleans Pelicans,regular season
78,72,New Orleans Pelicans,DeMarcus Cousins,Memphis Grizzlies,L,10/18/2017,38:24,9,21,0.429,3,9,0.33299999999999996,7,8,0.875,2,8,10,2,0,7,4,4,28,6,2018,379,C,https://www.basketball-reference.com/players/c/couside01.html,0,6-10,270,New Orleans Pelicans,regular season
79,73,New Orleans Pelicans,E'Twaun Moore,Memphis Grizzlies,L,10/18/2017,34:23,5,11,0.455,0,2,0.0,1,1,1.0,1,1,2,4,1,0,2,3,11,0,2018,393,SG,https://www.basketball-reference.com/players/m/mooreet01.html,55,6-3,191,New Orleans Pelicans,regular season
80,74,New Orleans Pelicans,Dante Cunningham,Memphis Grizzlies,L,10/18/2017,25:51,2,4,0.5,1,3,0.33299999999999996,2,3,0.667,3,6,9,0,1,1,0,1,7,-8,2018,47,SF,https://www.basketball-reference.com/players/c/cunnida01.html,44,6-8,230,Brooklyn Nets,regular season
81,74,New Orleans Pelicans,Dante Cunningham,Memphis Grizzlies,L,10/18/2017,25:51,2,4,0.5,1,3,0.33299999999999996,2,3,0.667,3,6,9,0,1,1,0,1,7,-8,2018,381,SF,https://www.basketball-reference.com/players/c/cunnida01.html,33,6-8,230,New Orleans Pelicans,regular season
268,245,New Orleans Pelicans,Anthony Davis,Golden State Warriors,L,10/20/2017,40:07,15,21,0.7140000000000001,3,4,0.75,2,5,0.4,5,10,15,5,3,1,4,1,35,-5,2018,382,PF,https://www.basketball-reference.com/players/d/davisan02.html,23,6-10,253,New Orleans Pelicans,regular season
269,246,New Orleans Pelicans,Jrue Holiday,Golden State Warriors,L,10/20/2017,34:37,5,17,0.294,2,6,0.33299999999999996,1,2,0.5,1,6,7,3,1,0,2,4,13,-6,2018,386,SG,https://www.basketball-reference.com/players/h/holidjr01.html,11,6-3,205,New Orleans Pelicans,regular season
270,247,New Orleans Pelicans,DeMarcus Cousins,Golden State Warriors,L,10/20/2017,32:36,11,23,0.478,3,8,0.375,10,13,0.769,4,10,14,5,3,1,7,5,35,6,2018,379,C,https://www.basketball-reference.com/players/c/couside01.html,0,6-10,270,New Orleans Pelicans,regular season
271,248,New Orleans Pelicans,Dante Cunningham,Golden State Warriors,L,10/20/2017,27:37,2,8,0.25,1,5,0.2,1,2,0.5,1,5,6,0,0,1,0,2,6,-12,2018,47,SF,https://www.basketball-reference.com/players/c/cunnida01.html,44,6-8,230,Brooklyn Nets,regular season
272,248,New Orleans Pelicans,Dante Cunningham,Golden State Warriors,L,10/20/2017,27:37,2,8,0.25,1,5,0.2,1,2,0.5,1,5,6,0,0,1,0,2,6,-12,2018,381,SF,https://www.basketball-reference.com/players/c/cunnida01.html,33,6-8,230,New Orleans Pelicans,regular season
273,249,New Orleans Pelicans,E'Twaun Moore,Golden State Warriors,L,10/20/2017,26:30,0,5,0.0,0,3,0.0,0,0,,2,0,2,2,0,0,0,2,0,-8,2018,393,SG,https://www.basketball-reference.com/players/m/mooreet01.html,55,6-3,191,New Orleans Pelicans,regular season
427,390,New Orleans Pelicans,Anthony Davis,Los Angeles Lakers,W,10/22/2017,39:00,9,18,0.5,1,5,0.2,8,10,0.8,3,14,17,3,3,3,3,1,27,8,2018,382,PF,https://www.basketball-reference.com/players/d/davisan02.html,23,6-10,253,New Orleans Pelicans,regular season
428,391,New Orleans Pelicans,Jrue Holiday,Los Angeles Lakers,W,10/22/2017,38:10,6,11,0.545,0,3,0.0,2,2,1.0,1,4,5,6,4,0,4,4,14,4,2018,386,SG,https://www.basketball-reference.com/players/h/holidjr01.html,11,6-3,205,New Orleans Pelicans,regular season
429,392,New Orleans Pelicans,DeMarcus Cousins,Los Angeles Lakers,W,10/22/2017,35:33,8,17,0.47100000000000003,1,6,0.16699999999999998,5,8,0.625,1,10,11,8,0,2,6,5,22,6,2018,379,C,https://www.basketball-reference.com/players/c/couside01.html,0,6-10,270,New Orleans Pelicans,regular season
430,393,New Orleans Pelicans,E'Twaun Moore,Los Angeles Lakers,W,10/22/2017,32:27,8,9,0.889,3,4,0.75,0,1,0.0,1,1,2,0,0,0,1,4,19,18,2018,393,SG,https://www.basketball-reference.com/players/m/mooreet01.html,55,6-3,191,New Orleans Pelicans,regular season
431,394,New Orleans Pelicans,Dante Cunningham,Los Angeles Lakers,W,10/22/2017,26:26,3,6,0.5,0,1,0.0,0,0,,0,4,4,1,1,0,0,2,6,9,2018,47,SF,https://www.basketball-reference.com/players/c/cunnida01.html,44,6-8,230,Brooklyn Nets,regular season
432,394,New Orleans Pelicans,Dante Cunningham,Los Angeles Lakers,W,10/22/2017,26:26,3,6,0.5,0,1,0.0,0,0,,0,4,4,1,1,0,0,2,6,9,2018,381,SF,https://www.basketball-reference.com/players/c/cunnida01.html,33,6-8,230,New Orleans Pelicans,regular season
567,520,New Orleans Pelicans,DeMarcus Cousins,Portland Trail Blazers,L,10/24/2017,38:57,12,23,0.522,3,10,0.3,12,17,0.706,2,11,13,3,1,3,8,4,39,6,2018,379,C,https://www.basketball-reference.com/players/c/couside01.html,0,6-10,270,New Orleans Pelicans,regular season
568,521,New Orleans Pelicans,Jrue Holiday,Portland Trail Blazers,L,10/24/2017,35:00,5,14,0.35700000000000004,1,4,0.25,3,3,1.0,0,5,5,7,1,1,3,3,14,-8,2018,386,SG,https://www.basketball-reference.com/players/h/holidjr01.html,11,6-3,205,New Orleans Pelicans,regular season
569,522,New Orleans Pelicans,Dante Cunningham,Portland Trail Blazers,L,10/24/2017,27:54,0,5,0.0,0,2,0.0,0,0,,1,4,5,0,1,0,0,3,0,-19,2018,47,SF,https://www.basketball-reference.com/players/c/cunnida01.html,44,6-8,230,Brooklyn Nets,regular season
