,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
157,145,Oklahoma City Thunder,Paul George,New York Knicks,W,10/19/2017,39:06,9,23,0.391,6,13,0.462,4,4,1.0,0,6,6,1,1,1,1,1,28,23,2018,427,SF,https://www.basketball-reference.com/players/g/georgpa01.html,13,6-8,220,Oklahoma City Thunder,regular season
158,146,Oklahoma City Thunder,Carmelo Anthony,New York Knicks,W,10/19/2017,33:41,8,20,0.4,3,10,0.3,3,5,0.6,0,1,1,1,2,2,2,4,22,1,2018,421,PF,https://www.basketball-reference.com/players/a/anthoca01.html,7,6-8,238,Oklahoma City Thunder,regular season
159,147,Oklahoma City Thunder,Russell Westbrook,New York Knicks,W,10/19/2017,33:18,7,12,0.583,0,1,0.0,7,10,0.7,2,8,10,16,0,1,7,4,21,29,2018,435,PG,https://www.basketball-reference.com/players/w/westbru01.html,0,6-3,200,Oklahoma City Thunder,regular season
160,148,Oklahoma City Thunder,Steven Adams,New York Knicks,W,10/19/2017,29:36,5,5,1.0,0,0,,2,3,0.667,2,3,5,1,5,3,1,3,12,27,2018,420,C,https://www.basketball-reference.com/players/a/adamsst01.html,12,6-11,265,Oklahoma City Thunder,regular season
161,149,Oklahoma City Thunder,Andre Roberson,New York Knicks,W,10/19/2017,20:58,3,7,0.429,0,2,0.0,0,0,,3,3,6,2,1,0,0,0,6,3,2018,433,SG,https://www.basketball-reference.com/players/r/roberan03.html,21,6-7,210,Oklahoma City Thunder,regular season
384,350,Oklahoma City Thunder,Paul George,Utah Jazz,L,10/21/2017,37:31,8,19,0.42100000000000004,3,9,0.33299999999999996,3,3,1.0,0,5,5,2,5,0,6,3,22,-14,2018,427,SF,https://www.basketball-reference.com/players/g/georgpa01.html,13,6-8,220,Oklahoma City Thunder,regular season
385,351,Oklahoma City Thunder,Carmelo Anthony,Utah Jazz,L,10/21/2017,36:35,12,26,0.462,2,8,0.25,0,0,,0,3,3,2,1,1,1,3,26,-5,2018,421,PF,https://www.basketball-reference.com/players/a/anthoca01.html,7,6-8,238,Oklahoma City Thunder,regular season
386,352,Oklahoma City Thunder,Russell Westbrook,Utah Jazz,L,10/21/2017,36:01,2,11,0.182,1,5,0.2,1,4,0.25,2,11,13,9,2,0,7,2,6,-18,2018,435,PG,https://www.basketball-reference.com/players/w/westbru01.html,0,6-3,200,Oklahoma City Thunder,regular season
387,353,Oklahoma City Thunder,Steven Adams,Utah Jazz,L,10/21/2017,32:47,3,6,0.5,0,0,,3,6,0.5,3,2,5,0,0,0,1,1,9,-6,2018,420,C,https://www.basketball-reference.com/players/a/adamsst01.html,12,6-11,265,Oklahoma City Thunder,regular season
388,354,Oklahoma City Thunder,Andre Roberson,Utah Jazz,L,10/21/2017,13:34,1,1,1.0,1,1,1.0,0,0,,0,2,2,0,0,0,0,0,3,-3,2018,433,SG,https://www.basketball-reference.com/players/r/roberan03.html,21,6-7,210,Oklahoma City Thunder,regular season
422,385,Oklahoma City Thunder,Paul George,Minnesota Timberwolves,L,10/22/2017,37:27,6,20,0.3,1,8,0.125,1,1,1.0,0,6,6,8,4,0,2,4,14,-4,2018,427,SF,https://www.basketball-reference.com/players/g/georgpa01.html,13,6-8,220,Oklahoma City Thunder,regular season
423,386,Oklahoma City Thunder,Carmelo Anthony,Minnesota Timberwolves,L,10/22/2017,37:02,9,19,0.474,2,7,0.28600000000000003,3,3,1.0,0,2,2,2,3,0,2,3,23,12,2018,421,PF,https://www.basketball-reference.com/players/a/anthoca01.html,7,6-8,238,Oklahoma City Thunder,regular season
