,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
50,45,Orlando Magic,Evan Fournier,Miami Heat,W,10/18/2017,34:25,9,17,0.529,3,5,0.6,2,2,1.0,0,1,1,3,1,0,1,0,23,2,2018,441,SF,https://www.basketball-reference.com/players/f/fournev01.html,10,6-7,205,Orlando Magic,regular season
51,46,Orlando Magic,Aaron Gordon,Miami Heat,W,10/18/2017,34:13,4,13,0.308,1,2,0.5,5,6,0.833,2,7,9,3,0,2,1,4,14,10,2018,442,PF,https://www.basketball-reference.com/players/g/gordoaa01.html,00,6-8,235,Orlando Magic,regular season
52,47,Orlando Magic,Elfrid Payton,Miami Heat,W,10/18/2017,31:43,6,12,0.5,1,1,1.0,0,2,0.0,0,3,3,9,3,1,4,2,13,9,2018,448,PG,https://www.basketball-reference.com/players/p/paytoel01.html,2,6-3,195,Orlando Magic,regular season
53,47,Orlando Magic,Elfrid Payton,Miami Heat,W,10/18/2017,31:43,6,12,0.5,1,1,1.0,0,2,0.0,0,3,3,9,3,1,4,2,13,9,2018,494,PG,https://www.basketball-reference.com/players/p/paytoel01.html,2,6-3,195,Phoenix Suns,regular season
54,48,Orlando Magic,Nikola Vucevic,Miami Heat,W,10/18/2017,31:37,6,12,0.5,0,3,0.0,7,8,0.875,2,10,12,1,2,2,1,1,19,11,2018,454,C,https://www.basketball-reference.com/players/v/vucevni01.html,9,6-11,260,Orlando Magic,regular season
55,49,Orlando Magic,Terrence Ross,Miami Heat,W,10/18/2017,31:12,5,11,0.455,3,7,0.429,2,2,1.0,0,6,6,4,2,0,1,0,15,18,2018,450,SG,https://www.basketball-reference.com/players/r/rosste01.html,31,6-6,206,Orlando Magic,regular season
230,210,Orlando Magic,Evan Fournier,Brooklyn Nets,L,10/20/2017,35:39,8,21,0.381,2,6,0.33299999999999996,4,4,1.0,2,7,9,5,2,0,2,3,22,-3,2018,441,SF,https://www.basketball-reference.com/players/f/fournev01.html,10,6-7,205,Orlando Magic,regular season
231,211,Orlando Magic,Nikola Vucevic,Brooklyn Nets,L,10/20/2017,35:13,17,22,0.773,6,8,0.75,1,2,0.5,1,11,12,3,0,0,4,5,41,15,2018,454,C,https://www.basketball-reference.com/players/v/vucevni01.html,9,6-11,260,Orlando Magic,regular season
232,212,Orlando Magic,Terrence Ross,Brooklyn Nets,L,10/20/2017,30:16,4,9,0.444,2,4,0.5,1,1,1.0,2,4,6,2,1,0,0,3,11,6,2018,450,SG,https://www.basketball-reference.com/players/r/rosste01.html,31,6-6,206,Orlando Magic,regular season
233,213,Orlando Magic,Jonathan Isaac,Brooklyn Nets,L,10/20/2017,22:39,4,5,0.8,1,1,1.0,0,0,,0,1,1,3,2,1,4,3,9,-3,2018,444,PF,https://www.basketball-reference.com/players/i/isaacjo01.html,1,6-11,230,Orlando Magic,regular season
234,214,Orlando Magic,Elfrid Payton,Brooklyn Nets,L,10/20/2017,14:30,2,6,0.33299999999999996,0,1,0.0,0,0,,0,1,1,4,1,0,2,0,4,10,2018,448,PG,https://www.basketball-reference.com/players/p/paytoel01.html,2,6-3,195,Orlando Magic,regular season
235,214,Orlando Magic,Elfrid Payton,Brooklyn Nets,L,10/20/2017,14:30,2,6,0.33299999999999996,0,1,0.0,0,0,,0,1,1,4,1,0,2,0,4,10,2018,494,PG,https://www.basketball-reference.com/players/p/paytoel01.html,2,6-3,195,Phoenix Suns,regular season
307,280,Orlando Magic,Nikola Vucevic,Cleveland Cavaliers,W,10/21/2017,28:12,11,16,0.688,1,3,0.33299999999999996,0,0,,1,6,7,5,1,3,0,2,23,28,2018,454,C,https://www.basketball-reference.com/players/v/vucevni01.html,9,6-11,260,Orlando Magic,regular season
308,281,Orlando Magic,D.J. Augustin,Cleveland Cavaliers,W,10/21/2017,26:58,4,6,0.667,3,4,0.75,1,2,0.5,0,4,4,10,1,0,1,2,12,19,2018,438,PG,https://www.basketball-reference.com/players/a/augusdj01.html,14,5-11,183,Orlando Magic,regular season
309,282,Orlando Magic,Evan Fournier,Cleveland Cavaliers,W,10/21/2017,26:40,4,9,0.444,3,5,0.6,2,2,1.0,0,3,3,4,1,2,1,1,13,27,2018,441,SF,https://www.basketball-reference.com/players/f/fournev01.html,10,6-7,205,Orlando Magic,regular season
310,283,Orlando Magic,Terrence Ross,Cleveland Cavaliers,W,10/21/2017,22:13,1,11,0.091,0,5,0.0,1,2,0.5,1,2,3,2,0,0,1,1,3,15,2018,450,SG,https://www.basketball-reference.com/players/r/rosste01.html,31,6-6,206,Orlando Magic,regular season
311,284,Orlando Magic,Jonathan Isaac,Cleveland Cavaliers,W,10/21/2017,21:26,2,6,0.33299999999999996,1,3,0.33299999999999996,0,0,,1,5,6,0,1,0,1,4,5,18,2018,444,PF,https://www.basketball-reference.com/players/i/isaacjo01.html,1,6-11,230,Orlando Magic,regular season
540,495,Orlando Magic,Aaron Gordon,Brooklyn Nets,W,10/24/2017,36:38,14,18,0.778,5,5,1.0,8,10,0.8,4,10,14,2,0,0,1,3,41,7,2018,442,PF,https://www.basketball-reference.com/players/g/gordoaa01.html,00,6-8,235,Orlando Magic,regular season
541,496,Orlando Magic,Evan Fournier,Brooklyn Nets,W,10/24/2017,36:10,9,15,0.6,2,5,0.4,8,8,1.0,1,5,6,4,3,0,1,4,28,22,2018,441,SF,https://www.basketball-reference.com/players/f/fournev01.html,10,6-7,205,Orlando Magic,regular season
542,497,Orlando Magic,Nikola Vucevic,Brooklyn Nets,W,10/24/2017,31:51,6,17,0.353,0,5,0.0,0,0,,0,9,9,1,0,3,1,1,12,16,2018,454,C,https://www.basketball-reference.com/players/v/vucevni01.html,9,6-11,260,Orlando Magic,regular season
543,498,Orlando Magic,D.J. Augustin,Brooklyn Nets,W,10/24/2017,28:58,5,8,0.625,1,3,0.33299999999999996,8,8,1.0,0,1,1,6,3,0,3,4,19,19,2018,438,PG,https://www.basketball-reference.com/players/a/augusdj01.html,14,5-11,183,Orlando Magic,regular season
544,499,Orlando Magic,Terrence Ross,Brooklyn Nets,W,10/24/2017,27:43,0,5,0.0,0,2,0.0,0,0,,0,1,1,1,1,1,1,3,0,10,2018,450,SG,https://www.basketball-reference.com/players/r/rosste01.html,31,6-6,206,Orlando Magic,regular season
766,705,Orlando Magic,Evan Fournier,San Antonio Spurs,W,10/27/2017,26:50,10,12,0.833,4,4,1.0,1,2,0.5,1,4,5,2,1,0,3,1,25,20,2018,441,SF,https://www.basketball-reference.com/players/f/fournev01.html,10,6-7,205,Orlando Magic,regular season
767,706,Orlando Magic,Aaron Gordon,San Antonio Spurs,W,10/27/2017,25:56,7,11,0.636,2,4,0.5,0,0,,1,5,6,2,0,1,1,1,16,20,2018,442,PF,https://www.basketball-reference.com/players/g/gordoaa01.html,00,6-8,235,Orlando Magic,regular season
768,707,Orlando Magic,D.J. Augustin,San Antonio Spurs,W,10/27/2017,24:28,3,5,0.6,1,2,0.5,0,0,,0,3,3,6,2,0,0,3,7,20,2018,438,PG,https://www.basketball-reference.com/players/a/augusdj01.html,14,5-11,183,Orlando Magic,regular season
769,708,Orlando Magic,Terrence Ross,San Antonio Spurs,W,10/27/2017,24:10,1,6,0.16699999999999998,0,3,0.0,0,0,,1,6,7,0,1,1,2,2,2,18,2018,450,SG,https://www.basketball-reference.com/players/r/rosste01.html,31,6-6,206,Orlando Magic,regular season
770,709,Orlando Magic,Nikola Vucevic,San Antonio Spurs,W,10/27/2017,22:56,6,9,0.667,3,3,1.0,0,0,,1,1,2,3,0,2,3,1,15,17,2018,454,C,https://www.basketball-reference.com/players/v/vucevni01.html,9,6-11,260,Orlando Magic,regular season
941,870,Orlando Magic,Evan Fournier,Charlotte Hornets,L,10/29/2017,37:52,8,15,0.5329999999999999,2,4,0.5,5,5,1.0,1,2,3,5,1,0,2,3,23,-4,2018,441,SF,https://www.basketball-reference.com/players/f/fournev01.html,10,6-7,205,Orlando Magic,regular season
942,871,Orlando Magic,Aaron Gordon,Charlotte Hornets,L,10/29/2017,36:09,7,16,0.43799999999999994,2,6,0.33299999999999996,1,2,0.5,2,7,9,4,2,2,3,4,17,-11,2018,442,PF,https://www.basketball-reference.com/players/g/gordoaa01.html,00,6-8,235,Orlando Magic,regular season
943,872,Orlando Magic,Terrence Ross,Charlotte Hornets,L,10/29/2017,33:45,6,15,0.4,1,5,0.2,4,5,0.8,1,4,5,2,1,1,3,2,17,-9,2018,450,SG,https://www.basketball-reference.com/players/r/rosste01.html,31,6-6,206,Orlando Magic,regular season
944,873,Orlando Magic,Nikola Vucevic,Charlotte Hornets,L,10/29/2017,32:43,6,17,0.353,2,8,0.25,1,2,0.5,2,8,10,3,1,0,1,4,15,-13,2018,454,C,https://www.basketball-reference.com/players/v/vucevni01.html,9,6-11,260,Orlando Magic,regular season
945,874,Orlando Magic,D.J. Augustin,Charlotte Hornets,L,10/29/2017,23:17,0,7,0.0,0,3,0.0,0,0,,0,0,0,5,0,0,0,1,0,-18,2018,438,PG,https://www.basketball-reference.com/players/a/augusdj01.html,14,5-11,183,Orlando Magic,regular season
1035,960,Orlando Magic,Evan Fournier,New Orleans Pelicans,W,10/30/2017,34:21,7,12,0.583,4,7,0.5710000000000001,2,2,1.0,0,3,3,4,1,0,5,1,20,15,2018,441,SF,https://www.basketball-reference.com/players/f/fournev01.html,10,6-7,205,Orlando Magic,regular season
1036,961,Orlando Magic,Nikola Vucevic,New Orleans Pelicans,W,10/30/2017,31:44,9,17,0.529,1,2,0.5,1,2,0.5,0,8,8,3,0,0,0,2,20,5,2018,454,C,https://www.basketball-reference.com/players/v/vucevni01.html,9,6-11,260,Orlando Magic,regular season
1037,962,Orlando Magic,Terrence Ross,New Orleans Pelicans,W,10/30/2017,30:42,3,7,0.429,1,3,0.33299999999999996,1,2,0.5,1,3,4,3,2,0,1,1,8,12,2018,450,SG,https://www.basketball-reference.com/players/r/rosste01.html,31,6-6,206,Orlando Magic,regular season
1038,963,Orlando Magic,D.J. Augustin,New Orleans Pelicans,W,10/30/2017,23:01,1,5,0.2,0,2,0.0,4,4,1.0,0,1,1,4,3,0,1,0,6,4,2018,438,PG,https://www.basketball-reference.com/players/a/augusdj01.html,14,5-11,183,Orlando Magic,regular season
1039,964,Orlando Magic,Aaron Gordon,New Orleans Pelicans,W,10/30/2017,18:20,7,13,0.5379999999999999,3,5,0.6,0,1,0.0,1,6,7,1,2,0,4,4,17,0,2018,442,PF,https://www.basketball-reference.com/players/g/gordoaa01.html,00,6-8,235,Orlando Magic,regular season
1186,1100,Orlando Magic,Evan Fournier,Memphis Grizzlies,W,11/01/2017,37:15,9,16,0.563,4,7,0.5710000000000001,0,0,,3,5,8,3,1,0,2,3,22,10,2018,441,SF,https://www.basketball-reference.com/players/f/fournev01.html,10,6-7,205,Orlando Magic,regular season
1187,1101,Orlando Magic,Aaron Gordon,Memphis Grizzlies,W,11/01/2017,34:24,7,11,0.636,2,4,0.5,3,4,0.75,0,7,7,2,2,1,1,0,19,14,2018,442,PF,https://www.basketball-reference.com/players/g/gordoaa01.html,00,6-8,235,Orlando Magic,regular season
1188,1102,Orlando Magic,Nikola Vucevic,Memphis Grizzlies,W,11/01/2017,31:47,3,11,0.273,1,3,0.33299999999999996,0,0,,1,4,5,4,1,0,4,3,7,9,2018,454,C,https://www.basketball-reference.com/players/v/vucevni01.html,9,6-11,260,Orlando Magic,regular season
