,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
56,50,Philadelphia 76ers,Ben Simmons,Washington Wizards,L,10/18/2017,34:40,7,14,0.5,0,0,,4,6,0.667,3,7,10,5,2,1,1,3,18,3,2018,475,PG,https://www.basketball-reference.com/players/s/simmobe01.html,25,6-10,240,Philadelphia 76ers,regular season
57,51,Philadelphia 76ers,J.J. Redick,Washington Wizards,L,10/18/2017,32:23,4,10,0.4,4,8,0.5,0,0,,0,2,2,4,1,0,2,4,12,17,2018,473,SG,https://www.basketball-reference.com/players/r/redicjj01.html,17,6-3,200,Philadelphia 76ers,regular season
58,52,Philadelphia 76ers,Robert Covington,Washington Wizards,L,10/18/2017,29:08,9,15,0.6,7,11,0.636,4,4,1.0,2,5,7,1,1,2,5,4,29,10,2018,459,SF,https://www.basketball-reference.com/players/c/covinro01.html,33,6-7,209,Philadelphia 76ers,regular season
59,53,Philadelphia 76ers,Jerryd Bayless,Washington Wizards,L,10/18/2017,27:52,5,10,0.5,3,7,0.429,0,0,,0,3,3,3,1,0,2,4,13,11,2018,456,SG,https://www.basketball-reference.com/players/b/bayleje01.html,0,6-3,200,Philadelphia 76ers,regular season
60,54,Philadelphia 76ers,Joel Embiid,Washington Wizards,L,10/18/2017,26:57,7,15,0.467,0,4,0.0,4,4,1.0,1,12,13,3,0,1,4,2,18,1,2018,461,C,https://www.basketball-reference.com/players/e/embiijo01.html,21,7-0,280,Philadelphia 76ers,regular season
213,195,Philadelphia 76ers,Ben Simmons,Boston Celtics,L,10/20/2017,36:54,4,11,0.364,0,0,,3,6,0.5,3,8,11,5,1,0,4,2,11,-7,2018,475,PG,https://www.basketball-reference.com/players/s/simmobe01.html,25,6-10,240,Philadelphia 76ers,regular season
214,196,Philadelphia 76ers,J.J. Redick,Boston Celtics,L,10/20/2017,35:53,7,16,0.43799999999999994,4,7,0.5710000000000001,1,1,1.0,0,0,0,4,0,0,0,1,19,-15,2018,473,SG,https://www.basketball-reference.com/players/r/redicjj01.html,17,6-3,200,Philadelphia 76ers,regular season
215,197,Philadelphia 76ers,Jerryd Bayless,Boston Celtics,L,10/20/2017,30:27,7,12,0.583,4,6,0.667,0,0,,0,1,1,1,1,0,0,4,18,-9,2018,456,SG,https://www.basketball-reference.com/players/b/bayleje01.html,0,6-3,200,Philadelphia 76ers,regular season
216,198,Philadelphia 76ers,Joel Embiid,Boston Celtics,L,10/20/2017,28:02,4,16,0.25,0,6,0.0,3,3,1.0,2,12,14,3,1,2,3,1,11,-4,2018,461,C,https://www.basketball-reference.com/players/e/embiijo01.html,21,7-0,280,Philadelphia 76ers,regular season
217,199,Philadelphia 76ers,Robert Covington,Boston Celtics,L,10/20/2017,27:07,5,10,0.5,2,6,0.33299999999999996,0,0,,2,0,2,2,0,1,2,5,12,-11,2018,459,SF,https://www.basketball-reference.com/players/c/covinro01.html,33,6-7,209,Philadelphia 76ers,regular season
