,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
137,123,Phoenix Suns,Troy Daniels,Portland Trail Blazers,L,10/18/2017,21:17,2,4,0.5,2,4,0.5,0,0,,0,1,1,0,1,0,1,2,6,-32.0,2018,484,SG,https://www.basketball-reference.com/players/d/danietr01.html,30,6-4,200,Phoenix Suns,regular season
138,124,Phoenix Suns,Dragan Bender,Portland Trail Blazers,L,10/18/2017,20:49,0,5,0.0,0,3,0.0,2,2,1.0,1,6,7,0,1,1,2,1,2,-10.0,2018,478,PF,https://www.basketball-reference.com/players/b/bendedr01.html,35,7-0,225,Phoenix Suns,regular season
139,125,Phoenix Suns,Tyler Ulis,Portland Trail Blazers,L,10/18/2017,14:40,0,3,0.0,0,1,0.0,1,2,0.5,0,0,0,2,1,0,2,2,1,-16.0,2018,497,PG,https://www.basketball-reference.com/players/u/ulisty01.html,8,5-10,160,Phoenix Suns,regular season
140,126,Phoenix Suns,Marquese Chriss,Portland Trail Blazers,L,10/18/2017,12:05,1,5,0.2,0,1,0.0,0,0,,1,0,1,0,0,1,2,5,2,-17.0,2018,483,PF,https://www.basketball-reference.com/players/c/chrisma01.html,0,6-9,240,Phoenix Suns,regular season
141,127,Phoenix Suns,Mike James,Portland Trail Blazers,L,10/18/2017,10:36,5,10,0.5,2,3,0.667,0,0,,1,1,2,1,1,0,1,1,12,1.0,2018,387,PG,https://www.basketball-reference.com/players/j/jamesmi02.html,5,6-1,189,New Orleans Pelicans,regular season
142,127,Phoenix Suns,Mike James,Portland Trail Blazers,L,10/18/2017,10:36,5,10,0.5,2,3,0.667,0,0,,1,1,2,1,1,0,1,1,12,1.0,2018,490,PG,https://www.basketball-reference.com/players/j/jamesmi02.html,55,6-1,189,Phoenix Suns,regular season
143,128,Phoenix Suns,Alec Peters,Portland Trail Blazers,L,10/18/2017,10:36,1,2,0.5,1,2,0.5,0,0,,0,3,3,0,0,1,0,0,3,1.0,2018,495,PF,https://www.basketball-reference.com/players/p/peteral01.html,25,6-9,232,Phoenix Suns,regular season
144,129,Phoenix Suns,Derrick Jones,Portland Trail Blazers,L,10/18/2017,10:36,0,1,0.0,0,1,0.0,0,0,,0,1,1,2,0,1,0,1,0,1.0,2018,323,SF,https://www.basketball-reference.com/players/j/jonesde02.html,5,6-6,210,Miami Heat,regular season
145,129,Phoenix Suns,Derrick Jones,Portland Trail Blazers,L,10/18/2017,10:36,0,1,0.0,0,1,0.0,0,0,,0,1,1,2,0,1,0,1,0,1.0,2018,491,SF,https://www.basketball-reference.com/players/j/jonesde02.html,10,6-6,210,Phoenix Suns,regular season
333,297,Phoenix Suns,Mike James,Los Angeles Lakers,L,10/20/2017,22:02,4,9,0.444,1,4,0.25,4,4,1.0,0,0,0,1,0,1,0,1,13,5.0,2018,387,PG,https://www.basketball-reference.com/players/j/jamesmi02.html,5,6-1,189,New Orleans Pelicans,regular season
334,297,Phoenix Suns,Mike James,Los Angeles Lakers,L,10/20/2017,22:02,4,9,0.444,1,4,0.25,4,4,1.0,0,0,0,1,0,1,0,1,13,5.0,2018,490,PG,https://www.basketball-reference.com/players/j/jamesmi02.html,55,6-1,189,Phoenix Suns,regular season
335,298,Phoenix Suns,Alex Len,Los Angeles Lakers,L,10/20/2017,21:11,1,4,0.25,0,0,,2,2,1.0,3,4,7,1,0,1,3,5,4,-5.0,2018,492,C,https://www.basketball-reference.com/players/l/lenal01.html,21,7-0,250,Phoenix Suns,regular season
336,299,Phoenix Suns,Dragan Bender,Los Angeles Lakers,L,10/20/2017,19:23,1,2,0.5,1,2,0.5,0,0,,0,7,7,0,1,2,2,1,3,16.0,2018,478,PF,https://www.basketball-reference.com/players/b/bendedr01.html,35,7-0,225,Phoenix Suns,regular season
337,300,Phoenix Suns,Marquese Chriss,Los Angeles Lakers,L,10/20/2017,17:55,1,3,0.33299999999999996,1,1,1.0,2,2,1.0,0,6,6,1,0,3,1,2,5,-5.0,2018,483,PF,https://www.basketball-reference.com/players/c/chrisma01.html,0,6-9,240,Phoenix Suns,regular season
338,301,Phoenix Suns,Troy Daniels,Los Angeles Lakers,L,10/20/2017,3:23,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,0,2,3,1.0,2018,484,SG,https://www.basketball-reference.com/players/d/danietr01.html,30,6-4,200,Phoenix Suns,regular season
479,426,Phoenix Suns,Alex Len,Los Angeles Clippers,L,10/21/2017,24:29,3,6,0.5,0,0,,9,11,0.818,1,6,7,2,0,1,1,2,15,-17.0,2018,492,C,https://www.basketball-reference.com/players/l/lenal01.html,21,7-0,250,Phoenix Suns,regular season
480,427,Phoenix Suns,Mike James,Los Angeles Clippers,L,10/21/2017,24:24,3,9,0.33299999999999996,0,2,0.0,4,5,0.8,0,3,3,6,1,0,2,3,10,-19.0,2018,387,PG,https://www.basketball-reference.com/players/j/jamesmi02.html,5,6-1,189,New Orleans Pelicans,regular season
481,427,Phoenix Suns,Mike James,Los Angeles Clippers,L,10/21/2017,24:24,3,9,0.33299999999999996,0,2,0.0,4,5,0.8,0,3,3,6,1,0,2,3,10,-19.0,2018,490,PG,https://www.basketball-reference.com/players/j/jamesmi02.html,55,6-1,189,Phoenix Suns,regular season
