,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
131,117,Portland Trail Blazers,Pat Connaughton,Phoenix Suns,W,10/18/2017,32:04,9,14,0.643,4,7,0.5710000000000001,2,2,1.0,0,2,2,2,0,0,1,2,24,34.0,2018,503,SG,https://www.basketball-reference.com/players/c/connapa01.html,5,6-5,209,Portland Trail Blazers,regular season
132,118,Portland Trail Blazers,Shabazz Napier,Phoenix Suns,W,10/18/2017,22:42,4,6,0.667,2,2,1.0,0,0,,0,3,3,3,2,0,1,2,10,17.0,2018,510,PG,https://www.basketball-reference.com/players/n/napiesh01.html,6,6-0,175,Portland Trail Blazers,regular season
133,119,Portland Trail Blazers,Caleb Swanigan,Phoenix Suns,W,10/18/2017,17:30,3,7,0.429,1,1,1.0,1,1,1.0,1,3,4,3,1,0,2,2,8,6.0,2018,513,PF,https://www.basketball-reference.com/players/s/swanica01.html,50,6-9,260,Portland Trail Blazers,regular season
134,120,Portland Trail Blazers,Ed Davis,Phoenix Suns,W,10/18/2017,13:53,4,7,0.5710000000000001,0,0,,2,2,1.0,3,4,7,0,0,1,1,1,10,26.0,2018,504,C,https://www.basketball-reference.com/players/d/davised01.html,17,6-9,218,Portland Trail Blazers,regular season
135,121,Portland Trail Blazers,Jake Layman,Phoenix Suns,W,10/18/2017,12:00,1,4,0.25,1,2,0.5,0,0,,0,0,0,1,2,0,0,2,3,5.0,2018,506,SF,https://www.basketball-reference.com/players/l/laymaja01.html,10,6-8,209,Portland Trail Blazers,regular season
136,122,Portland Trail Blazers,Meyers Leonard,Phoenix Suns,W,10/18/2017,10:36,2,4,0.5,0,1,0.0,2,4,0.5,1,3,4,0,0,0,1,1,6,-1.0,2018,507,C,https://www.basketball-reference.com/players/l/leoname01.html,11,7-0,260,Portland Trail Blazers,regular season
221,195,Portland Trail Blazers,Evan Turner,Indiana Pacers,W,10/20/2017,31:46,7,12,0.583,1,2,0.5,2,2,1.0,1,1,2,3,0,1,0,2,17,22.0,2018,514,SF,https://www.basketball-reference.com/players/t/turneev01.html,1,6-6,220,Portland Trail Blazers,regular season
222,196,Portland Trail Blazers,Pat Connaughton,Indiana Pacers,W,10/20/2017,22:05,3,4,0.75,2,3,0.667,0,0,,0,3,3,1,0,0,0,2,8,5.0,2018,503,SG,https://www.basketball-reference.com/players/c/connapa01.html,5,6-5,209,Portland Trail Blazers,regular season
223,197,Portland Trail Blazers,Ed Davis,Indiana Pacers,W,10/20/2017,19:59,3,4,0.75,0,0,,1,3,0.33299999999999996,3,6,9,1,0,0,0,3,7,12.0,2018,504,C,https://www.basketball-reference.com/players/d/davised01.html,17,6-9,218,Portland Trail Blazers,regular season
224,198,Portland Trail Blazers,Caleb Swanigan,Indiana Pacers,W,10/20/2017,8:48,0,4,0.0,0,0,,2,2,1.0,0,0,0,0,0,0,1,2,2,-4.0,2018,513,PF,https://www.basketball-reference.com/players/s/swanica01.html,50,6-9,260,Portland Trail Blazers,regular season
225,199,Portland Trail Blazers,Zach Collins,Indiana Pacers,W,10/20/2017,7:02,0,4,0.0,0,1,0.0,0,0,,2,0,2,0,0,0,1,2,0,-10.0,2018,502,C,https://www.basketball-reference.com/players/c/colliza01.html,33,6-11,250,Portland Trail Blazers,regular season
226,200,Portland Trail Blazers,Shabazz Napier,Indiana Pacers,W,10/20/2017,2:24,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-5.0,2018,510,PG,https://www.basketball-reference.com/players/n/napiesh01.html,6,6-0,175,Portland Trail Blazers,regular season
227,201,Portland Trail Blazers,Jake Layman,Indiana Pacers,W,10/20/2017,2:24,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-5.0,2018,506,SF,https://www.basketball-reference.com/players/l/laymaja01.html,10,6-8,209,Portland Trail Blazers,regular season
