,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
119,110,Portland Trail Blazers,Damian Lillard,Phoenix Suns,W,10/18/2017,29:39,10,20,0.5,4,6,0.667,3,3,1.0,3,2,5,5,1,3,0,1,27,34,2018,508,PG,https://www.basketball-reference.com/players/l/lillada01.html,0,6-2,195,Portland Trail Blazers,regular season
120,111,Portland Trail Blazers,Al-Farouq Aminu,Phoenix Suns,W,10/18/2017,27:42,2,4,0.5,1,2,0.5,0,0,,3,9,12,2,0,1,1,1,5,34,2018,500,PF,https://www.basketball-reference.com/players/a/aminual01.html,8,6-8,220,Portland Trail Blazers,regular season
121,112,Portland Trail Blazers,Maurice Harkless,Phoenix Suns,W,10/18/2017,25:33,3,9,0.33299999999999996,0,1,0.0,2,2,1.0,3,2,5,2,0,1,2,3,8,22,2018,505,SF,https://www.basketball-reference.com/players/h/harklma01.html,4,6-7,220,Portland Trail Blazers,regular season
122,113,Portland Trail Blazers,Evan Turner,Phoenix Suns,W,10/18/2017,25:20,4,8,0.5,1,1,1.0,3,4,0.75,1,3,4,3,1,1,2,2,12,43,2018,514,SF,https://www.basketball-reference.com/players/t/turneev01.html,1,6-6,220,Portland Trail Blazers,regular season
123,114,Portland Trail Blazers,Jusuf Nurkic,Phoenix Suns,W,10/18/2017,23:01,2,7,0.28600000000000003,0,1,0.0,7,10,0.7,0,11,11,1,1,0,5,3,11,20,2018,511,C,https://www.basketball-reference.com/players/n/nurkiju01.html,27,7-0,290,Portland Trail Blazers,regular season
185,170,Portland Trail Blazers,Al-Farouq Aminu,Indiana Pacers,W,10/20/2017,34:34,7,13,0.5379999999999999,2,4,0.5,0,0,,4,12,16,2,1,1,0,2,16,27,2018,500,PF,https://www.basketball-reference.com/players/a/aminual01.html,8,6-8,220,Portland Trail Blazers,regular season
186,171,Portland Trail Blazers,Damian Lillard,Indiana Pacers,W,10/20/2017,32:59,7,17,0.41200000000000003,0,3,0.0,4,4,1.0,0,7,7,7,1,1,0,2,18,25,2018,508,PG,https://www.basketball-reference.com/players/l/lillada01.html,0,6-2,195,Portland Trail Blazers,regular season
187,172,Portland Trail Blazers,CJ McCollum,Indiana Pacers,W,10/20/2017,32:17,12,18,0.667,3,4,0.75,1,2,0.5,0,7,7,1,1,1,0,2,28,3,2018,509,SG,https://www.basketball-reference.com/players/m/mccolcj01.html,3,6-3,190,Portland Trail Blazers,regular season
188,173,Portland Trail Blazers,Jusuf Nurkic,Indiana Pacers,W,10/20/2017,25:37,4,13,0.308,0,0,,3,4,0.75,1,1,2,3,1,1,6,5,11,11,2018,511,C,https://www.basketball-reference.com/players/n/nurkiju01.html,27,7-0,290,Portland Trail Blazers,regular season
189,174,Portland Trail Blazers,Maurice Harkless,Indiana Pacers,W,10/20/2017,20:05,2,5,0.4,1,2,0.5,0,0,,0,3,3,0,1,1,1,2,5,9,2018,505,SF,https://www.basketball-reference.com/players/h/harklma01.html,4,6-7,220,Portland Trail Blazers,regular season
