,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
151,134,Sacramento Kings,Garrett Temple,Houston Rockets,L,10/18/2017,29:54,1,7,0.14300000000000002,1,6,0.16699999999999998,2,2,1.0,0,1,1,3,4,0,0,2,5,1.0,2018,533,SG,https://www.basketball-reference.com/players/t/templga01.html,17,6-5,195,Sacramento Kings,regular season
152,135,Sacramento Kings,De'Aaron Fox,Houston Rockets,L,10/18/2017,23:36,7,15,0.467,0,2,0.0,0,0,,2,2,4,5,0,0,3,2,14,-7.0,2018,521,PG,https://www.basketball-reference.com/players/f/foxde01.html,5,6-3,185,Sacramento Kings,regular season
153,136,Sacramento Kings,Kosta Koufos,Houston Rockets,L,10/18/2017,17:33,1,4,0.25,0,0,,0,0,,0,6,6,0,0,1,1,3,2,-5.0,2018,526,C,https://www.basketball-reference.com/players/k/koufoko01.html,41,7-0,245,Sacramento Kings,regular season
154,137,Sacramento Kings,Vince Carter,Houston Rockets,L,10/18/2017,14:11,2,3,0.667,2,3,0.667,0,0,,0,1,1,2,0,0,1,1,6,-6.0,2018,518,SF,https://www.basketball-reference.com/players/c/cartevi01.html,15,6-6,220,Sacramento Kings,regular season
155,138,Sacramento Kings,Malachi Richardson,Houston Rockets,L,10/18/2017,5:32,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-3.0,2018,531,SG,https://www.basketball-reference.com/players/r/richama01.html,23,6-6,205,Sacramento Kings,regular season
156,138,Sacramento Kings,Malachi Richardson,Houston Rockets,L,10/18/2017,5:32,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-3.0,2018,564,SG,https://www.basketball-reference.com/players/r/richama01.html,22,6-6,205,Toronto Raptors,regular season
305,270,Sacramento Kings,Garrett Temple,Dallas Mavericks,W,10/20/2017,28:29,3,6,0.5,2,3,0.667,0,0,,1,5,6,3,2,0,1,0,8,0.0,2018,533,SG,https://www.basketball-reference.com/players/t/templga01.html,17,6-5,195,Sacramento Kings,regular season
306,271,Sacramento Kings,De'Aaron Fox,Dallas Mavericks,W,10/20/2017,26:19,4,13,0.308,1,1,1.0,0,0,,1,5,6,10,1,0,2,3,9,-7.0,2018,521,PG,https://www.basketball-reference.com/players/f/foxde01.html,5,6-3,185,Sacramento Kings,regular season
307,272,Sacramento Kings,Kosta Koufos,Dallas Mavericks,W,10/20/2017,21:09,1,4,0.25,0,0,,1,2,0.5,3,2,5,0,1,1,2,3,3,-9.0,2018,526,C,https://www.basketball-reference.com/players/k/koufoko01.html,41,7-0,245,Sacramento Kings,regular season
308,273,Sacramento Kings,Vince Carter,Dallas Mavericks,W,10/20/2017,17:20,2,6,0.33299999999999996,2,4,0.5,0,0,,0,3,3,0,0,0,0,2,6,-8.0,2018,518,SF,https://www.basketball-reference.com/players/c/cartevi01.html,15,6-6,220,Sacramento Kings,regular season
309,274,Sacramento Kings,Skal Labissiere,Dallas Mavericks,W,10/20/2017,12:57,4,9,0.444,0,0,,0,0,,1,4,5,0,0,1,1,1,8,-1.0,2018,527,PF,https://www.basketball-reference.com/players/l/labissk01.html,7,6-10,235,Sacramento Kings,regular season
449,399,Sacramento Kings,De'Aaron Fox,Denver Nuggets,L,10/21/2017,28:51,8,13,0.615,1,1,1.0,1,1,1.0,2,3,5,1,0,0,2,4,18,-6.0,2018,521,PG,https://www.basketball-reference.com/players/f/foxde01.html,5,6-3,185,Sacramento Kings,regular season
450,400,Sacramento Kings,Skal Labissiere,Denver Nuggets,L,10/21/2017,25:01,6,12,0.5,1,2,0.5,0,0,,2,2,4,4,2,1,1,3,13,5.0,2018,527,PF,https://www.basketball-reference.com/players/l/labissk01.html,7,6-10,235,Sacramento Kings,regular season
