,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
123,109,San Antonio Spurs,Rudy Gay,Minnesota Timberwolves,W,10/18/2017,23:42,5,9,0.556,0,1,0.0,4,4,1.0,1,4,5,2,1,0,0,3,14,3.0,2018,540,PF,https://www.basketball-reference.com/players/g/gayru01.html,22,6-8,250,San Antonio Spurs,regular season
124,110,San Antonio Spurs,Patty Mills,Minnesota Timberwolves,W,10/18/2017,22:26,1,4,0.25,1,2,0.5,0,0,,0,2,2,2,2,1,1,3,3,6.0,2018,546,PG,https://www.basketball-reference.com/players/m/millspa02.html,8,6-1,180,San Antonio Spurs,regular season
125,111,San Antonio Spurs,Manu Ginobili,Minnesota Timberwolves,W,10/18/2017,20:48,2,7,0.28600000000000003,1,4,0.25,4,4,1.0,0,3,3,4,1,1,1,2,9,6.0,2018,541,SG,https://www.basketball-reference.com/players/g/ginobma01.html,20,6-6,205,San Antonio Spurs,regular season
126,112,San Antonio Spurs,Joffrey Lauvergne,Minnesota Timberwolves,W,10/18/2017,12:54,2,6,0.33299999999999996,0,0,,0,0,,2,1,3,1,0,0,1,0,4,0.0,2018,544,C,https://www.basketball-reference.com/players/l/lauvejo01.html,77,6-11,220,San Antonio Spurs,regular season
127,113,San Antonio Spurs,Davis Bertans,Minnesota Timberwolves,W,10/18/2017,4:16,0,1,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,0,0,0,-6.0,2018,536,PF,https://www.basketball-reference.com/players/b/bertada01.html,42,6-10,225,San Antonio Spurs,regular season
128,114,San Antonio Spurs,Derrick White,Minnesota Timberwolves,W,10/18/2017,0:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.0,2018,550,PG,https://www.basketball-reference.com/players/w/whitede01.html,4,6-4,190,San Antonio Spurs,regular season
129,115,San Antonio Spurs,Brandon Paul,Minnesota Timberwolves,W,10/18/2017,0:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.0,2018,549,SG,https://www.basketball-reference.com/players/p/paulbr01.html,3,6-4,200,San Antonio Spurs,regular season
130,116,San Antonio Spurs,Bryn Forbes,Minnesota Timberwolves,W,10/18/2017,0:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.0,2018,538,SG,https://www.basketball-reference.com/players/f/forbebr01.html,11,6-2,205,San Antonio Spurs,regular season
357,317,San Antonio Spurs,Manu Ginobili,Chicago Bulls,W,10/21/2017,22:35,2,7,0.28600000000000003,0,3,0.0,1,2,0.5,0,1,1,3,2,1,0,3,5,3.0,2018,541,SG,https://www.basketball-reference.com/players/g/ginobma01.html,20,6-6,205,San Antonio Spurs,regular season
358,318,San Antonio Spurs,Rudy Gay,Chicago Bulls,W,10/21/2017,22:31,6,13,0.462,0,2,0.0,0,3,0.0,1,2,3,1,2,0,1,2,12,18.0,2018,540,PF,https://www.basketball-reference.com/players/g/gayru01.html,22,6-8,250,San Antonio Spurs,regular season
359,319,San Antonio Spurs,Patty Mills,Chicago Bulls,W,10/21/2017,21:33,1,2,0.5,0,0,,0,0,,0,2,2,3,0,0,3,4,2,-5.0,2018,546,PG,https://www.basketball-reference.com/players/m/millspa02.html,8,6-1,180,San Antonio Spurs,regular season
360,320,San Antonio Spurs,Joffrey Lauvergne,Chicago Bulls,W,10/21/2017,17:28,2,6,0.33299999999999996,0,0,,1,2,0.5,0,6,6,1,0,0,0,0,5,-3.0,2018,544,C,https://www.basketball-reference.com/players/l/lauvejo01.html,77,6-11,220,San Antonio Spurs,regular season
361,321,San Antonio Spurs,Bryn Forbes,Chicago Bulls,W,10/21/2017,16:09,2,7,0.28600000000000003,0,1,0.0,0,0,,1,1,2,0,0,0,0,2,4,-1.0,2018,538,SG,https://www.basketball-reference.com/players/f/forbebr01.html,11,6-2,205,San Antonio Spurs,regular season
362,322,San Antonio Spurs,Brandon Paul,Chicago Bulls,W,10/21/2017,0:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2018,549,SG,https://www.basketball-reference.com/players/p/paulbr01.html,3,6-4,200,San Antonio Spurs,regular season
607,534,San Antonio Spurs,Rudy Gay,Toronto Raptors,W,10/23/2017,21:55,5,8,0.625,1,2,0.5,0,0,,2,3,5,0,1,1,2,3,11,1.0,2018,540,PF,https://www.basketball-reference.com/players/g/gayru01.html,22,6-8,250,San Antonio Spurs,regular season
608,535,San Antonio Spurs,Manu Ginobili,Toronto Raptors,W,10/23/2017,21:15,4,8,0.5,1,2,0.5,0,0,,1,1,2,1,1,0,2,2,9,-11.0,2018,541,SG,https://www.basketball-reference.com/players/g/ginobma01.html,20,6-6,205,San Antonio Spurs,regular season
609,536,San Antonio Spurs,Patty Mills,Toronto Raptors,W,10/23/2017,20:38,3,6,0.5,0,3,0.0,0,0,,0,0,0,2,0,0,1,1,6,-7.0,2018,546,PG,https://www.basketball-reference.com/players/m/millspa02.html,8,6-1,180,San Antonio Spurs,regular season
610,537,San Antonio Spurs,Joffrey Lauvergne,Toronto Raptors,W,10/23/2017,16:19,4,9,0.444,0,1,0.0,1,1,1.0,4,3,7,0,1,0,2,3,9,-15.0,2018,544,C,https://www.basketball-reference.com/players/l/lauvejo01.html,77,6-11,220,San Antonio Spurs,regular season
611,538,San Antonio Spurs,Brandon Paul,Toronto Raptors,W,10/23/2017,7:18,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,2,0,2.0,2018,549,SG,https://www.basketball-reference.com/players/p/paulbr01.html,3,6-4,200,San Antonio Spurs,regular season
612,539,San Antonio Spurs,Bryn Forbes,Toronto Raptors,W,10/23/2017,4:06,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,6.0,2018,538,SG,https://www.basketball-reference.com/players/f/forbebr01.html,11,6-2,205,San Antonio Spurs,regular season
773,680,San Antonio Spurs,Rudy Gay,Miami Heat,W,10/25/2017,26:29,6,8,0.75,1,2,0.5,9,11,0.818,2,1,3,4,2,0,3,0,22,16.0,2018,540,PF,https://www.basketball-reference.com/players/g/gayru01.html,22,6-8,250,San Antonio Spurs,regular season
774,681,San Antonio Spurs,Patty Mills,Miami Heat,W,10/25/2017,25:55,1,4,0.25,1,2,0.5,0,0,,0,1,1,4,0,0,3,1,3,3.0,2018,546,PG,https://www.basketball-reference.com/players/m/millspa02.html,8,6-1,180,San Antonio Spurs,regular season
775,682,San Antonio Spurs,Manu Ginobili,Miami Heat,W,10/25/2017,21:48,6,12,0.5,2,5,0.4,0,0,,0,3,3,1,0,0,0,2,14,9.0,2018,541,SG,https://www.basketball-reference.com/players/g/ginobma01.html,20,6-6,205,San Antonio Spurs,regular season
776,683,San Antonio Spurs,Brandon Paul,Miami Heat,W,10/25/2017,19:19,2,3,0.667,2,2,1.0,1,2,0.5,1,0,1,0,0,0,0,3,7,12.0,2018,549,SG,https://www.basketball-reference.com/players/p/paulbr01.html,3,6-4,200,San Antonio Spurs,regular season
777,684,San Antonio Spurs,Bryn Forbes,Miami Heat,W,10/25/2017,3:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-6.0,2018,538,SG,https://www.basketball-reference.com/players/f/forbebr01.html,11,6-2,205,San Antonio Spurs,regular season
908,801,San Antonio Spurs,Rudy Gay,Orlando Magic,L,10/27/2017,23:53,1,6,0.16699999999999998,0,2,0.0,0,0,,2,5,7,4,0,4,2,2,2,-16.0,2018,540,PF,https://www.basketball-reference.com/players/g/gayru01.html,22,6-8,250,San Antonio Spurs,regular season
909,802,San Antonio Spurs,Brandon Paul,Orlando Magic,L,10/27/2017,21:26,2,3,0.667,0,1,0.0,1,2,0.5,0,2,2,1,1,1,1,3,5,-7.0,2018,549,SG,https://www.basketball-reference.com/players/p/paulbr01.html,3,6-4,200,San Antonio Spurs,regular season
910,803,San Antonio Spurs,Patty Mills,Orlando Magic,L,10/27/2017,20:37,4,14,0.28600000000000003,1,4,0.25,3,3,1.0,0,2,2,3,1,0,3,1,12,-19.0,2018,546,PG,https://www.basketball-reference.com/players/m/millspa02.html,8,6-1,180,San Antonio Spurs,regular season
911,804,San Antonio Spurs,Bryn Forbes,Orlando Magic,L,10/27/2017,17:24,2,9,0.222,1,4,0.25,0,0,,1,0,1,1,0,1,0,2,5,-12.0,2018,538,SG,https://www.basketball-reference.com/players/f/forbebr01.html,11,6-2,205,San Antonio Spurs,regular season
912,805,San Antonio Spurs,Davis Bertans,Orlando Magic,L,10/27/2017,15:14,2,7,0.28600000000000003,1,4,0.25,1,1,1.0,0,1,1,0,0,1,0,2,6,0.0,2018,536,PF,https://www.basketball-reference.com/players/b/bertada01.html,42,6-10,225,San Antonio Spurs,regular season
913,806,San Antonio Spurs,Manu Ginobili,Orlando Magic,L,10/27/2017,14:00,1,9,0.111,0,4,0.0,4,4,1.0,0,0,0,0,1,0,1,3,6,-15.0,2018,541,SG,https://www.basketball-reference.com/players/g/ginobma01.html,20,6-6,205,San Antonio Spurs,regular season
914,807,San Antonio Spurs,Derrick White,Orlando Magic,L,10/27/2017,12:00,0,2,0.0,0,0,,1,2,0.5,1,2,3,2,0,0,0,1,1,4.0,2018,550,PG,https://www.basketball-reference.com/players/w/whitede01.html,4,6-4,190,San Antonio Spurs,regular season
1125,985,San Antonio Spurs,Patty Mills,Indiana Pacers,L,10/29/2017,27:47,4,14,0.28600000000000003,2,9,0.222,0,0,,0,0,0,2,1,0,1,0,10,5.0,2018,546,PG,https://www.basketball-reference.com/players/m/millspa02.html,8,6-1,180,San Antonio Spurs,regular season
1126,986,San Antonio Spurs,Rudy Gay,Indiana Pacers,L,10/29/2017,23:50,3,8,0.375,1,2,0.5,3,4,0.75,1,5,6,2,2,0,2,1,10,5.0,2018,540,PF,https://www.basketball-reference.com/players/g/gayru01.html,22,6-8,250,San Antonio Spurs,regular season
1127,987,San Antonio Spurs,Manu Ginobili,Indiana Pacers,L,10/29/2017,21:20,0,6,0.0,0,2,0.0,3,4,0.75,0,2,2,5,0,0,2,1,3,7.0,2018,541,SG,https://www.basketball-reference.com/players/g/ginobma01.html,20,6-6,205,San Antonio Spurs,regular season
1128,988,San Antonio Spurs,Brandon Paul,Indiana Pacers,L,10/29/2017,21:02,2,4,0.5,2,4,0.5,0,0,,0,2,2,0,3,0,3,3,6,2.0,2018,549,SG,https://www.basketball-reference.com/players/p/paulbr01.html,3,6-4,200,San Antonio Spurs,regular season
1129,989,San Antonio Spurs,Bryn Forbes,Indiana Pacers,L,10/29/2017,3:24,0,1,0.0,0,1,0.0,0,0,,1,0,1,0,0,0,0,0,0,5.0,2018,538,SG,https://www.basketball-reference.com/players/f/forbebr01.html,11,6-2,205,San Antonio Spurs,regular season
1130,990,San Antonio Spurs,Davis Bertans,Indiana Pacers,L,10/29/2017,3:19,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,1,0,0,0,0,1.0,2018,536,PF,https://www.basketball-reference.com/players/b/bertada01.html,42,6-10,225,San Antonio Spurs,regular season
1210,1057,San Antonio Spurs,Brandon Paul,Boston Celtics,L,10/30/2017,29:40,6,8,0.75,3,4,0.75,3,3,1.0,0,5,5,1,1,1,2,3,18,-4.0,2018,549,SG,https://www.basketball-reference.com/players/p/paulbr01.html,3,6-4,200,San Antonio Spurs,regular season
1211,1058,San Antonio Spurs,Bryn Forbes,Boston Celtics,L,10/30/2017,23:47,3,6,0.5,2,4,0.5,0,0,,0,2,2,3,1,0,1,0,8,17.0,2018,538,SG,https://www.basketball-reference.com/players/f/forbebr01.html,11,6-2,205,San Antonio Spurs,regular season
1212,1059,San Antonio Spurs,Rudy Gay,Boston Celtics,L,10/30/2017,21:08,5,12,0.41700000000000004,2,3,0.667,2,2,1.0,0,3,3,0,0,1,0,2,14,0.0,2018,540,PF,https://www.basketball-reference.com/players/g/gayru01.html,22,6-8,250,San Antonio Spurs,regular season
1213,1060,San Antonio Spurs,Patty Mills,Boston Celtics,L,10/30/2017,17:40,3,10,0.3,1,4,0.25,0,0,,0,1,1,4,0,0,1,3,7,4.0,2018,546,PG,https://www.basketball-reference.com/players/m/millspa02.html,8,6-1,180,San Antonio Spurs,regular season
1214,1061,San Antonio Spurs,Davis Bertans,Boston Celtics,L,10/30/2017,7:52,1,2,0.5,0,1,0.0,1,2,0.5,0,2,2,3,0,0,0,0,3,5.0,2018,536,PF,https://www.basketball-reference.com/players/b/bertada01.html,42,6-10,225,San Antonio Spurs,regular season
1215,1062,San Antonio Spurs,Derrick White,Boston Celtics,L,10/30/2017,5:04,0,0,,0,0,,0,0,,1,1,2,0,1,1,0,0,0,3.0,2018,550,PG,https://www.basketball-reference.com/players/w/whitede01.html,4,6-4,190,San Antonio Spurs,regular season
1564,1372,San Antonio Spurs,Brandon Paul,Golden State Warriors,L,11/02/2017,20:35,0,6,0.0,0,2,0.0,1,2,0.5,0,1,1,0,0,0,1,0,1,-18.0,2018,549,SG,https://www.basketball-reference.com/players/p/paulbr01.html,3,6-4,200,San Antonio Spurs,regular season
1565,1373,San Antonio Spurs,Dejounte Murray,Golden State Warriors,L,11/02/2017,19:51,2,5,0.4,0,0,,0,0,,1,5,6,2,1,0,3,0,4,-7.0,2018,547,PG,https://www.basketball-reference.com/players/m/murrade01.html,5,6-4,180,San Antonio Spurs,regular season
1566,1374,San Antonio Spurs,Manu Ginobili,Golden State Warriors,L,11/02/2017,18:47,2,6,0.33299999999999996,1,2,0.5,1,2,0.5,0,2,2,0,0,0,3,1,6,-14.0,2018,541,SG,https://www.basketball-reference.com/players/g/ginobma01.html,20,6-6,205,San Antonio Spurs,regular season
1567,1375,San Antonio Spurs,Rudy Gay,Golden State Warriors,L,11/02/2017,18:06,3,10,0.3,1,3,0.33299999999999996,2,2,1.0,3,3,6,1,0,1,3,2,9,-16.0,2018,540,PF,https://www.basketball-reference.com/players/g/gayru01.html,22,6-8,250,San Antonio Spurs,regular season
1568,1376,San Antonio Spurs,Bryn Forbes,Golden State Warriors,L,11/02/2017,9:19,3,4,0.75,0,1,0.0,1,1,1.0,0,0,0,1,0,0,0,0,7,-10.0,2018,538,SG,https://www.basketball-reference.com/players/f/forbebr01.html,11,6-2,205,San Antonio Spurs,regular season
1569,1377,San Antonio Spurs,Derrick White,Golden State Warriors,L,11/02/2017,3:22,0,0,,0,0,,0,2,0.0,0,1,1,0,0,0,0,0,0,-3.0,2018,550,PG,https://www.basketball-reference.com/players/w/whitede01.html,4,6-4,190,San Antonio Spurs,regular season
1570,1378,San Antonio Spurs,Davis Bertans,Golden State Warriors,L,11/02/2017,3:22,0,1,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,1,0,0,-3.0,2018,536,PF,https://www.basketball-reference.com/players/b/bertada01.html,42,6-10,225,San Antonio Spurs,regular season
1678,1471,San Antonio Spurs,Rudy Gay,Charlotte Hornets,W,11/03/2017,27:06,8,15,0.5329999999999999,1,3,0.33299999999999996,3,3,1.0,0,7,7,3,2,0,2,3,20,20.0,2018,540,PF,https://www.basketball-reference.com/players/g/gayru01.html,22,6-8,250,San Antonio Spurs,regular season
1679,1472,San Antonio Spurs,Manu Ginobili,Charlotte Hornets,W,11/03/2017,26:34,3,9,0.33299999999999996,0,4,0.0,4,6,0.667,0,4,4,5,2,0,3,3,10,14.0,2018,541,SG,https://www.basketball-reference.com/players/g/ginobma01.html,20,6-6,205,San Antonio Spurs,regular season
1680,1473,San Antonio Spurs,Bryn Forbes,Charlotte Hornets,W,11/03/2017,22:00,8,11,0.727,3,5,0.6,3,4,0.75,1,2,3,2,1,0,0,3,22,18.0,2018,538,SG,https://www.basketball-reference.com/players/f/forbebr01.html,11,6-2,205,San Antonio Spurs,regular season
1681,1474,San Antonio Spurs,Dejounte Murray,Charlotte Hornets,W,11/03/2017,19:31,4,6,0.667,0,0,,2,2,1.0,0,1,1,3,1,0,0,1,10,12.0,2018,547,PG,https://www.basketball-reference.com/players/m/murrade01.html,5,6-4,180,San Antonio Spurs,regular season
1682,1475,San Antonio Spurs,Brandon Paul,Charlotte Hornets,W,11/03/2017,6:28,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,1,1,2,2.0,2018,549,SG,https://www.basketball-reference.com/players/p/paulbr01.html,3,6-4,200,San Antonio Spurs,regular season
