,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
110,99,Utah Jazz,Thabo Sefolosha,Denver Nuggets,W,10/18/2017,20:30,3,7,0.429,0,2,0.0,1,1,1.0,0,2,2,2,2,0,0,0,7,25.0,2018,586,SF,https://www.basketball-reference.com/players/s/sefolth01.html,22,6-6,215,Utah Jazz,regular season
111,100,Utah Jazz,Joe Johnson,Denver Nuggets,W,10/18/2017,19:33,5,10,0.5,1,4,0.25,2,2,1.0,2,2,4,1,1,0,1,3,13,6.0,2018,218,SF,https://www.basketball-reference.com/players/j/johnsjo02.html,7,6-7,240,Houston Rockets,regular season
112,100,Utah Jazz,Joe Johnson,Denver Nuggets,W,10/18/2017,19:33,5,10,0.5,1,4,0.25,2,2,1.0,2,2,4,1,1,0,1,3,13,6.0,2018,578,SF,https://www.basketball-reference.com/players/j/johnsjo02.html,6,6-7,240,Utah Jazz,regular season
113,101,Utah Jazz,Rodney Hood,Denver Nuggets,W,10/18/2017,17:40,2,4,0.5,2,3,0.667,0,0,,0,2,2,0,0,0,0,1,6,-13.0,2018,109,SG,https://www.basketball-reference.com/players/h/hoodro01.html,1,6-8,208,Cleveland Cavaliers,regular season
114,101,Utah Jazz,Rodney Hood,Denver Nuggets,W,10/18/2017,17:40,2,4,0.5,2,3,0.667,0,0,,0,2,2,0,0,0,0,1,6,-13.0,2018,575,SG,https://www.basketball-reference.com/players/h/hoodro01.html,5,6-8,208,Utah Jazz,regular season
115,102,Utah Jazz,Alec Burks,Denver Nuggets,W,10/18/2017,15:22,7,10,0.7,2,2,1.0,0,0,,0,1,1,0,1,0,0,1,16,16.0,2018,570,SG,https://www.basketball-reference.com/players/b/burksal01.html,10,6-6,214,Utah Jazz,regular season
116,103,Utah Jazz,Ekpe Udoh,Denver Nuggets,W,10/18/2017,12:59,0,1,0.0,0,0,,2,2,1.0,1,1,2,0,0,3,1,0,2,24.0,2018,588,C,https://www.basketball-reference.com/players/u/udohek01.html,33,6-10,245,Utah Jazz,regular season
293,260,Utah Jazz,Thabo Sefolosha,Minnesota Timberwolves,L,10/20/2017,24:39,4,4,1.0,1,1,1.0,0,0,,0,5,5,0,1,0,1,2,9,-2.0,2018,586,SF,https://www.basketball-reference.com/players/s/sefolth01.html,22,6-6,215,Utah Jazz,regular season
294,261,Utah Jazz,Donovan Mitchell,Minnesota Timberwolves,L,10/20/2017,20:00,1,7,0.14300000000000002,0,2,0.0,0,1,0.0,0,0,0,2,0,2,1,2,2,-1.0,2018,580,SG,https://www.basketball-reference.com/players/m/mitchdo01.html,45,6-1,215,Utah Jazz,regular season
295,262,Utah Jazz,Joe Johnson,Minnesota Timberwolves,L,10/20/2017,19:16,2,7,0.28600000000000003,0,3,0.0,0,0,,0,1,1,1,1,0,2,1,4,-17.0,2018,218,SF,https://www.basketball-reference.com/players/j/johnsjo02.html,7,6-7,240,Houston Rockets,regular season
