,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
104,95,Utah Jazz,Rudy Gobert,Denver Nuggets,W,10/18/2017,35:01,7,9,0.778,0,0,,4,4,1.0,3,7,10,1,0,1,6,4,18,-14,2018,574,C,https://www.basketball-reference.com/players/g/goberru01.html,27,7-1,258,Utah Jazz,regular season
105,96,Utah Jazz,Joe Ingles,Denver Nuggets,W,10/18/2017,32:38,4,6,0.667,3,5,0.6,0,0,,0,5,5,6,2,0,0,3,11,-6,2018,576,SF,https://www.basketball-reference.com/players/i/inglejo01.html,2,6-7,220,Utah Jazz,regular season
106,97,Utah Jazz,Ricky Rubio,Denver Nuggets,W,10/18/2017,31:46,3,9,0.33299999999999996,1,5,0.2,2,3,0.667,0,5,5,10,2,0,3,1,9,-14,2018,585,PG,https://www.basketball-reference.com/players/r/rubiori01.html,3,6-3,190,Utah Jazz,regular season
107,98,Utah Jazz,Derrick Favors,Denver Nuggets,W,10/18/2017,28:27,7,14,0.5,0,1,0.0,0,0,,0,4,4,4,1,0,1,4,14,4,2018,573,C,https://www.basketball-reference.com/players/f/favorde01.html,15,6-9,265,Utah Jazz,regular season
108,99,Utah Jazz,Donovan Mitchell,Denver Nuggets,W,10/18/2017,26:04,3,11,0.273,0,2,0.0,4,4,1.0,0,1,1,4,0,1,3,1,10,22,2018,580,SG,https://www.basketball-reference.com/players/m/mitchdo01.html,45,6-1,215,Utah Jazz,regular season
241,220,Utah Jazz,Joe Ingles,Minnesota Timberwolves,L,10/20/2017,34:23,5,8,0.625,4,5,0.8,0,0,,0,3,3,3,2,0,1,2,14,-3,2018,576,SF,https://www.basketball-reference.com/players/i/inglejo01.html,2,6-7,220,Utah Jazz,regular season
242,221,Utah Jazz,Rudy Gobert,Minnesota Timberwolves,L,10/20/2017,32:58,5,10,0.5,0,0,,0,0,,4,9,13,0,2,2,3,2,10,-15,2018,574,C,https://www.basketball-reference.com/players/g/goberru01.html,27,7-1,258,Utah Jazz,regular season
243,222,Utah Jazz,Ricky Rubio,Minnesota Timberwolves,L,10/20/2017,32:40,4,10,0.4,1,3,0.33299999999999996,10,11,0.909,1,4,5,10,2,0,4,5,19,-8,2018,585,PG,https://www.basketball-reference.com/players/r/rubiori01.html,3,6-3,190,Utah Jazz,regular season
244,223,Utah Jazz,Derrick Favors,Minnesota Timberwolves,L,10/20/2017,28:44,8,15,0.5329999999999999,0,1,0.0,0,0,,0,4,4,3,0,1,4,2,16,14,2018,573,C,https://www.basketball-reference.com/players/f/favorde01.html,15,6-9,265,Utah Jazz,regular season
245,224,Utah Jazz,Rodney Hood,Minnesota Timberwolves,L,10/20/2017,23:45,7,12,0.583,3,7,0.429,3,3,1.0,0,1,1,4,1,0,2,2,20,10,2018,109,SG,https://www.basketball-reference.com/players/h/hoodro01.html,1,6-8,208,Cleveland Cavaliers,regular season
246,224,Utah Jazz,Rodney Hood,Minnesota Timberwolves,L,10/20/2017,23:45,7,12,0.583,3,7,0.429,3,3,1.0,0,1,1,4,1,0,2,2,20,10,2018,575,SG,https://www.basketball-reference.com/players/h/hoodro01.html,5,6-8,208,Utah Jazz,regular season
389,355,Utah Jazz,Ricky Rubio,Oklahoma City Thunder,W,10/21/2017,36:58,5,14,0.35700000000000004,2,8,0.25,4,4,1.0,0,6,6,5,1,0,6,3,16,13,2018,585,PG,https://www.basketball-reference.com/players/r/rubiori01.html,3,6-3,190,Utah Jazz,regular season
390,356,Utah Jazz,Rudy Gobert,Oklahoma City Thunder,W,10/21/2017,32:30,8,11,0.727,0,0,,0,0,,3,10,13,2,1,0,1,4,16,-2,2018,574,C,https://www.basketball-reference.com/players/g/goberru01.html,27,7-1,258,Utah Jazz,regular season
391,357,Utah Jazz,Joe Ingles,Oklahoma City Thunder,W,10/21/2017,26:52,7,12,0.583,5,9,0.556,0,0,,0,3,3,2,2,1,3,3,19,3,2018,576,SF,https://www.basketball-reference.com/players/i/inglejo01.html,2,6-7,220,Utah Jazz,regular season
392,358,Utah Jazz,Derrick Favors,Oklahoma City Thunder,W,10/21/2017,25:27,4,6,0.667,0,1,0.0,5,6,0.833,2,1,3,1,1,0,1,1,13,3,2018,573,C,https://www.basketball-reference.com/players/f/favorde01.html,15,6-9,265,Utah Jazz,regular season
393,359,Utah Jazz,Donovan Mitchell,Oklahoma City Thunder,W,10/21/2017,21:56,1,7,0.14300000000000002,0,3,0.0,0,0,,0,2,2,6,1,0,0,4,2,3,2018,580,SG,https://www.basketball-reference.com/players/m/mitchdo01.html,45,6-1,215,Utah Jazz,regular season
578,530,Utah Jazz,Rudy Gobert,Los Angeles Clippers,L,10/24/2017,31:17,5,5,1.0,0,0,,2,3,0.667,2,5,7,2,0,3,1,1,12,-26,2018,574,C,https://www.basketball-reference.com/players/g/goberru01.html,27,7-1,258,Utah Jazz,regular season
579,531,Utah Jazz,Ricky Rubio,Los Angeles Clippers,L,10/24/2017,31:17,5,10,0.5,0,2,0.0,0,0,,1,4,5,5,1,0,3,1,10,-26,2018,585,PG,https://www.basketball-reference.com/players/r/rubiori01.html,3,6-3,190,Utah Jazz,regular season
580,532,Utah Jazz,Donovan Mitchell,Los Angeles Clippers,L,10/24/2017,29:55,7,20,0.35,3,9,0.33299999999999996,2,2,1.0,1,1,2,1,1,0,4,4,19,-5,2018,580,SG,https://www.basketball-reference.com/players/m/mitchdo01.html,45,6-1,215,Utah Jazz,regular season
581,533,Utah Jazz,Derrick Favors,Los Angeles Clippers,L,10/24/2017,24:14,3,7,0.429,0,0,,0,0,,0,3,3,2,0,0,1,2,6,-9,2018,573,C,https://www.basketball-reference.com/players/f/favorde01.html,15,6-9,265,Utah Jazz,regular season
582,534,Utah Jazz,Joe Ingles,Los Angeles Clippers,L,10/24/2017,18:11,1,5,0.2,1,5,0.2,0,0,,0,2,2,1,1,0,4,3,3,-14,2018,576,SF,https://www.basketball-reference.com/players/i/inglejo01.html,2,6-7,220,Utah Jazz,regular season
664,610,Utah Jazz,Rudy Gobert,Phoenix Suns,L,10/25/2017,36:13,5,9,0.556,0,0,,6,8,0.75,1,13,14,1,0,5,4,2,16,0,2018,574,C,https://www.basketball-reference.com/players/g/goberru01.html,27,7-1,258,Utah Jazz,regular season
665,611,Utah Jazz,Rodney Hood,Phoenix Suns,L,10/25/2017,35:14,7,16,0.43799999999999994,2,7,0.28600000000000003,6,6,1.0,0,1,1,2,0,0,3,1,22,-7,2018,109,SG,https://www.basketball-reference.com/players/h/hoodro01.html,1,6-8,208,Cleveland Cavaliers,regular season
666,611,Utah Jazz,Rodney Hood,Phoenix Suns,L,10/25/2017,35:14,7,16,0.43799999999999994,2,7,0.28600000000000003,6,6,1.0,0,1,1,2,0,0,3,1,22,-7,2018,575,SG,https://www.basketball-reference.com/players/h/hoodro01.html,5,6-8,208,Utah Jazz,regular season
667,612,Utah Jazz,Ricky Rubio,Phoenix Suns,L,10/25/2017,34:10,6,15,0.4,1,4,0.25,2,2,1.0,2,2,4,11,4,1,6,3,15,3,2018,585,PG,https://www.basketball-reference.com/players/r/rubiori01.html,3,6-3,190,Utah Jazz,regular season
668,613,Utah Jazz,Derrick Favors,Phoenix Suns,L,10/25/2017,30:47,7,9,0.778,0,2,0.0,1,5,0.2,2,5,7,1,0,0,1,2,15,-7,2018,573,C,https://www.basketball-reference.com/players/f/favorde01.html,15,6-9,265,Utah Jazz,regular season
669,614,Utah Jazz,Joe Ingles,Phoenix Suns,L,10/25/2017,30:12,4,10,0.4,2,4,0.5,1,1,1.0,0,6,6,0,3,0,1,3,11,-5,2018,576,SF,https://www.basketball-reference.com/players/i/inglejo01.html,2,6-7,220,Utah Jazz,regular season
881,815,Utah Jazz,Rudy Gobert,Los Angeles Lakers,W,10/28/2017,35:27,3,5,0.6,0,0,,0,2,0.0,3,5,8,0,0,3,1,3,6,22,2018,574,C,https://www.basketball-reference.com/players/g/goberru01.html,27,7-1,258,Utah Jazz,regular season
882,816,Utah Jazz,Ricky Rubio,Los Angeles Lakers,W,10/28/2017,32:35,6,13,0.462,4,7,0.5710000000000001,5,6,0.833,3,4,7,4,1,0,5,3,21,8,2018,585,PG,https://www.basketball-reference.com/players/r/rubiori01.html,3,6-3,190,Utah Jazz,regular season
883,817,Utah Jazz,Joe Ingles,Los Angeles Lakers,W,10/28/2017,31:58,5,12,0.41700000000000004,3,7,0.429,0,0,,1,4,5,4,3,0,0,3,13,25,2018,576,SF,https://www.basketball-reference.com/players/i/inglejo01.html,2,6-7,220,Utah Jazz,regular season
884,818,Utah Jazz,Derrick Favors,Los Angeles Lakers,W,10/28/2017,29:33,7,11,0.636,0,1,0.0,0,0,,3,7,10,1,1,1,4,2,14,8,2018,573,C,https://www.basketball-reference.com/players/f/favorde01.html,15,6-9,265,Utah Jazz,regular season
885,819,Utah Jazz,Rodney Hood,Los Angeles Lakers,W,10/28/2017,28:44,5,14,0.35700000000000004,3,7,0.429,0,0,,0,3,3,2,0,0,3,2,13,4,2018,109,SG,https://www.basketball-reference.com/players/h/hoodro01.html,1,6-8,208,Cleveland Cavaliers,regular season
886,819,Utah Jazz,Rodney Hood,Los Angeles Lakers,W,10/28/2017,28:44,5,14,0.35700000000000004,3,7,0.429,0,0,,0,3,3,2,0,0,3,2,13,4,2018,575,SG,https://www.basketball-reference.com/players/h/hoodro01.html,5,6-8,208,Utah Jazz,regular season
1051,975,Utah Jazz,Ricky Rubio,Dallas Mavericks,W,10/30/2017,33:34,8,15,0.5329999999999999,4,8,0.5,0,0,,0,2,2,6,4,0,3,1,20,19,2018,585,PG,https://www.basketball-reference.com/players/r/rubiori01.html,3,6-3,190,Utah Jazz,regular season
1052,976,Utah Jazz,Rudy Gobert,Dallas Mavericks,W,10/30/2017,33:14,4,6,0.667,0,0,,9,12,0.75,3,9,12,6,2,6,3,2,17,32,2018,574,C,https://www.basketball-reference.com/players/g/goberru01.html,27,7-1,258,Utah Jazz,regular season
1053,977,Utah Jazz,Joe Ingles,Dallas Mavericks,W,10/30/2017,32:55,1,5,0.2,1,4,0.25,0,0,,0,6,6,6,3,0,2,0,3,30,2018,576,SF,https://www.basketball-reference.com/players/i/inglejo01.html,2,6-7,220,Utah Jazz,regular season
