,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Team,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameType
0,0,0,0,0,Boston Celtics,Cleveland Cavaliers,L,10/17/2017,240,36,88,0.409,8,32,0.25,19,25,0.76,9,37,46,24,11,4,10,24,99,-3,regular season
1,1,1,1,1,Cleveland Cavaliers,Boston Celtics,W,10/17/2017,240,38,83,0.458,5,22,0.227,21,25,0.84,9,41,50,19,3,4,17,25,102,3,regular season
2,2,2,2,2,Houston Rockets,Golden State Warriors,W,10/17/2017,240,47,97,0.485,15,41,0.366,13,19,0.684,10,33,43,28,9,5,12,16,122,1,regular season
3,3,3,3,3,Golden State Warriors,Houston Rockets,L,10/17/2017,240,43,80,0.5379999999999999,16,30,0.5329999999999999,19,21,0.905,6,35,41,34,5,9,17,25,121,-1,regular season
4,4,4,4,4,Charlotte Hornets,Detroit Pistons,L,10/18/2017,240,29,73,0.397,9,30,0.3,23,29,0.7929999999999999,3,44,47,16,4,3,17,15,90,-12,regular season
5,5,5,5,5,Detroit Pistons,Charlotte Hornets,W,10/18/2017,240,41,96,0.4270000000000001,9,26,0.34600000000000003,11,12,0.917,9,38,47,24,14,3,8,21,102,12,regular season
6,6,6,6,6,Brooklyn Nets,Indiana Pacers,L,10/18/2017,240,45,94,0.479,12,30,0.4,29,32,0.906,11,32,43,22,7,2,20,25,131,-9,regular season
7,7,7,7,7,Indiana Pacers,Brooklyn Nets,W,10/18/2017,240,53,102,0.52,9,34,0.265,25,32,0.7809999999999999,14,33,47,29,12,9,14,25,140,9,regular season
8,8,8,8,8,Miami Heat,Orlando Magic,L,10/18/2017,240,44,101,0.436,8,30,0.267,13,17,0.765,11,33,44,27,6,4,13,20,109,-7,regular season
9,9,9,9,9,Orlando Magic,Miami Heat,W,10/18/2017,240,43,90,0.478,8,21,0.381,22,29,0.759,11,39,50,22,8,9,14,18,116,7,regular season
10,10,10,10,10,Philadelphia 76ers,Washington Wizards,L,10/18/2017,240,43,93,0.462,15,35,0.429,14,19,0.737,11,37,48,25,6,6,17,28,115,-5,regular season
11,11,11,11,11,Washington Wizards,Philadelphia 76ers,W,10/18/2017,240,42,97,0.433,6,22,0.273,30,38,0.789,16,36,52,21,8,10,9,20,120,5,regular season
12,12,12,12,12,Milwaukee Bucks,Boston Celtics,W,10/18/2017,240,38,76,0.5,7,21,0.333,25,30,0.833,6,39,45,19,6,4,15,22,108,8,regular season
13,13,13,13,13,Boston Celtics,Milwaukee Bucks,L,10/18/2017,240,39,91,0.429,11,28,0.393,11,21,0.524,11,32,43,23,12,2,12,27,100,-8,regular season
14,14,14,14,14,New Orleans Pelicans,Memphis Grizzlies,L,10/18/2017,240,30,79,0.38,7,25,0.28,24,29,0.828,16,35,51,15,4,12,17,31,91,-12,regular season
15,15,15,15,15,Memphis Grizzlies,New Orleans Pelicans,W,10/18/2017,240,39,92,0.424,9,29,0.31,16,28,0.5710000000000001,15,30,45,19,9,8,11,29,103,12,regular season
16,16,16,16,16,Atlanta Hawks,Dallas Mavericks,W,10/18/2017,240,48,94,0.511,9,18,0.5,12,15,0.8,14,36,50,20,11,6,13,18,117,6,regular season
17,17,17,17,17,Dallas Mavericks,Atlanta Hawks,L,10/18/2017,240,38,86,0.442,17,45,0.378,18,21,0.857,9,32,41,27,5,4,15,19,111,-6,regular season
