,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Thu, Oct 19, 2017",10/19/2017,Toronto Raptors,L,100,117,0,1,L 1,regular season
1,2,"Sat, Oct 21, 2017",10/21/2017,San Antonio Spurs,L,77,87,0,2,L 2,regular season
2,3,"Tue, Oct 24, 2017",10/24/2017,Cleveland Cavaliers,L,112,119,0,3,L 3,regular season
3,4,"Thu, Oct 26, 2017",10/26/2017,Atlanta Hawks,W,91,86,1,3,W 1,regular season
4,5,"Sat, Oct 28, 2017",10/28/2017,Oklahoma City Thunder,L,69,101,1,4,L 1,regular season
5,6,"Wed, Nov 1, 2017",11/01/2017,Miami Heat,L,91,97,1,5,L 2,regular season
6,7,"Fri, Nov 3, 2017",11/03/2017,Orlando Magic,W,105,83,2,5,W 1,regular season
7,8,"Sat, Nov 4, 2017",11/04/2017,New Orleans Pelicans,L,90,96,2,6,L 1,regular season
8,9,"Tue, Nov 7, 2017",11/07/2017,Toronto Raptors,L,114,119,2,7,L 2,regular season
9,10,"Fri, Nov 10, 2017",11/10/2017,Indiana Pacers,L,87,105,2,8,L 3,regular season
10,11,"Sat, Nov 11, 2017",11/11/2017,San Antonio Spurs,L,94,133,2,9,L 4,regular season
11,12,"Wed, Nov 15, 2017",11/15/2017,Oklahoma City Thunder,L,79,92,2,10,L 5,regular season
12,13,"Fri, Nov 17, 2017",11/17/2017,Charlotte Hornets,W,123,120,3,10,W 1,regular season
13,14,"Sun, Nov 19, 2017",11/19/2017,Phoenix Suns,L,105,113,3,11,L 1,regular season
14,15,"Tue, Nov 21, 2017",11/21/2017,Los Angeles Lakers,L,94,103,3,12,L 2,regular season
15,16,"Wed, Nov 22, 2017",11/22/2017,Utah Jazz,L,80,110,3,13,L 3,regular season
16,17,"Fri, Nov 24, 2017",11/24/2017,Golden State Warriors,L,94,143,3,14,L 4,regular season
17,18,"Sun, Nov 26, 2017",11/26/2017,Miami Heat,L,93,100,3,15,L 5,regular season
18,19,"Tue, Nov 28, 2017",11/28/2017,Phoenix Suns,L,99,104,3,16,L 6,regular season
19,20,"Thu, Nov 30, 2017",11/30/2017,Denver Nuggets,L,110,111,3,17,L 7,regular season
20,21,"Fri, Dec 1, 2017",12/01/2017,Sacramento Kings,L,106,107,3,18,L 8,regular season
21,22,"Mon, Dec 4, 2017",12/04/2017,Cleveland Cavaliers,L,91,113,3,19,L 9,regular season
22,23,"Wed, Dec 6, 2017",12/06/2017,Indiana Pacers,L,96,98,3,20,L 10,regular season
23,24,"Fri, Dec 8, 2017",12/08/2017,Charlotte Hornets,W,119,111,4,20,W 1,regular season
24,25,"Sat, Dec 9, 2017",12/09/2017,New York Knicks,W,104,102,5,20,W 2,regular season
25,26,"Mon, Dec 11, 2017",12/11/2017,Boston Celtics,W,108,85,6,20,W 3,regular season
26,27,"Wed, Dec 13, 2017",12/13/2017,Utah Jazz,W,103,100,7,20,W 4,regular season
27,28,"Fri, Dec 15, 2017",12/15/2017,Milwaukee Bucks,W,115,109,8,20,W 5,regular season
28,29,"Mon, Dec 18, 2017",12/18/2017,Philadelphia 76ers,W,117,115,9,20,W 6,regular season
29,30,"Wed, Dec 20, 2017",12/20/2017,Orlando Magic,W,112,94,10,20,W 7,regular season
30,31,"Thu, Dec 21, 2017",12/21/2017,Cleveland Cavaliers,L,112,115,10,21,L 1,regular season
31,32,"Sat, Dec 23, 2017",12/23/2017,Boston Celtics,L,92,117,10,22,L 2,regular season
32,33,"Tue, Dec 26, 2017",12/26/2017,Milwaukee Bucks,W,115,106,11,22,W 1,regular season
33,34,"Wed, Dec 27, 2017",12/27/2017,New York Knicks,W,92,87,12,22,W 2,regular season
34,35,"Fri, Dec 29, 2017",12/29/2017,Indiana Pacers,W,119,107,13,22,W 3,regular season
35,36,"Sun, Dec 31, 2017",12/31/2017,Washington Wizards,L,110,114,13,23,L 1,regular season
36,37,"Mon, Jan 1, 2018",01/01/2018,Portland Trail Blazers,L,120,124,13,24,L 2,regular season
37,38,"Wed, Jan 3, 2018",01/03/2018,Toronto Raptors,L,115,124,13,25,L 3,regular season
38,39,"Fri, Jan 5, 2018",01/05/2018,Dallas Mavericks,W,127,124,14,25,W 1,regular season
