,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Tue, Oct 17, 2017",10/17/2017,Houston Rockets,L,121,122,0,1,L 1,regular season
1,2,"Fri, Oct 20, 2017",10/20/2017,New Orleans Pelicans,W,128,120,1,1,W 1,regular season
2,3,"Sat, Oct 21, 2017",10/21/2017,Memphis Grizzlies,L,101,111,1,2,L 1,regular season
3,4,"Mon, Oct 23, 2017",10/23/2017,Dallas Mavericks,W,133,103,2,2,W 1,regular season
4,5,"Wed, Oct 25, 2017",10/25/2017,Toronto Raptors,W,117,112,3,2,W 2,regular season
5,6,"Fri, Oct 27, 2017",10/27/2017,Washington Wizards,W,120,117,4,2,W 3,regular season
6,7,"Sun, Oct 29, 2017",10/29/2017,Detroit Pistons,L,107,115,4,3,L 1,regular season
7,8,"Mon, Oct 30, 2017",10/30/2017,Los Angeles Clippers,W,141,113,5,3,W 1,regular season
8,9,"Thu, Nov 2, 2017",11/02/2017,San Antonio Spurs,W,112,92,6,3,W 2,regular season
9,10,"Sat, Nov 4, 2017",11/04/2017,Denver Nuggets,W,127,108,7,3,W 3,regular season
10,11,"Mon, Nov 6, 2017",11/06/2017,Miami Heat,W,97,80,8,3,W 4,regular season
11,12,"Wed, Nov 8, 2017",11/08/2017,Minnesota Timberwolves,W,125,101,9,3,W 5,regular season
12,13,"Sat, Nov 11, 2017",11/11/2017,Philadelphia 76ers,W,135,114,10,3,W 6,regular season
13,14,"Mon, Nov 13, 2017",11/13/2017,Orlando Magic,W,110,100,11,3,W 7,regular season
14,15,"Thu, Nov 16, 2017",11/16/2017,Boston Celtics,L,88,92,11,4,L 1,regular season
15,16,"Sat, Nov 18, 2017",11/18/2017,Philadelphia 76ers,W,124,116,12,4,W 1,regular season
16,17,"Sun, Nov 19, 2017",11/19/2017,Brooklyn Nets,W,118,111,13,4,W 2,regular season
17,18,"Wed, Nov 22, 2017",11/22/2017,Oklahoma City Thunder,L,91,108,13,5,L 1,regular season
18,19,"Fri, Nov 24, 2017",11/24/2017,Chicago Bulls,W,143,94,14,5,W 1,regular season
19,20,"Sat, Nov 25, 2017",11/25/2017,New Orleans Pelicans,W,110,95,15,5,W 2,regular season
20,21,"Mon, Nov 27, 2017",11/27/2017,Sacramento Kings,L,106,110,15,6,L 1,regular season
21,22,"Wed, Nov 29, 2017",11/29/2017,Los Angeles Lakers,W,127,123,16,6,W 1,regular season
22,23,"Fri, Dec 1, 2017",12/01/2017,Orlando Magic,W,133,112,17,6,W 2,regular season
23,24,"Sun, Dec 3, 2017",12/03/2017,Miami Heat,W,123,95,18,6,W 3,regular season
24,25,"Mon, Dec 4, 2017",12/04/2017,New Orleans Pelicans,W,125,115,19,6,W 4,regular season
25,26,"Wed, Dec 6, 2017",12/06/2017,Charlotte Hornets,W,101,87,20,6,W 5,regular season
26,27,"Fri, Dec 8, 2017",12/08/2017,Detroit Pistons,W,102,98,21,6,W 6,regular season
27,28,"Mon, Dec 11, 2017",12/11/2017,Portland Trail Blazers,W,111,104,22,6,W 7,regular season
28,29,"Thu, Dec 14, 2017",12/14/2017,Dallas Mavericks,W,112,97,23,6,W 8,regular season
29,30,"Mon, Dec 18, 2017",12/18/2017,Los Angeles Lakers,W,116,114,24,6,W 9,regular season
30,31,"Wed, Dec 20, 2017",12/20/2017,Memphis Grizzlies,W,97,84,25,6,W 10,regular season
31,32,"Fri, Dec 22, 2017",12/22/2017,Los Angeles Lakers,W,113,106,26,6,W 11,regular season
32,33,"Sat, Dec 23, 2017",12/23/2017,Denver Nuggets,L,81,96,26,7,L 1,regular season
33,34,"Mon, Dec 25, 2017",12/25/2017,Cleveland Cavaliers,W,99,92,27,7,W 1,regular season
34,35,"Wed, Dec 27, 2017",12/27/2017,Utah Jazz,W,126,101,28,7,W 2,regular season
35,36,"Fri, Dec 29, 2017",12/29/2017,Charlotte Hornets,L,100,111,28,8,L 1,regular season
36,37,"Sat, Dec 30, 2017",12/30/2017,Memphis Grizzlies,W,141,128,29,8,W 1,regular season
37,38,"Wed, Jan 3, 2018",01/03/2018,Dallas Mavericks,W,125,122,30,8,W 2,regular season
38,39,"Thu, Jan 4, 2018",01/04/2018,Houston Rockets,W,124,114,31,8,W 3,regular season
39,40,"Sat, Jan 6, 2018",01/06/2018,Los Angeles Clippers,W,121,105,32,8,W 4,regular season
40,41,"Mon, Jan 8, 2018",01/08/2018,Denver Nuggets,W,124,114,33,8,W 5,regular season
41,42,"Wed, Jan 10, 2018",01/10/2018,Los Angeles Clippers,L,106,125,33,9,L 1,regular season
42,43,"Fri, Jan 12, 2018",01/12/2018,Milwaukee Bucks,W,108,94,34,9,W 1,regular season
43,44,"Sat, Jan 13, 2018",01/13/2018,Toronto Raptors,W,127,125,35,9,W 2,regular season
44,45,"Mon, Jan 15, 2018",01/15/2018,Cleveland Cavaliers,W,118,108,36,9,W 3,regular season
45,46,"Wed, Jan 17, 2018",01/17/2018,Chicago Bulls,W,119,112,37,9,W 4,regular season
46,47,"Sat, Jan 20, 2018",01/20/2018,Houston Rockets,L,108,116,37,10,L 1,regular season
47,48,"Tue, Jan 23, 2018",01/23/2018,New York Knicks,W,123,112,38,10,W 1,regular season
48,49,"Thu, Jan 25, 2018",01/25/2018,Minnesota Timberwolves,W,126,113,39,10,W 2,regular season
49,50,"Sat, Jan 27, 2018",01/27/2018,Boston Celtics,W,109,105,40,10,W 3,regular season
50,51,"Tue, Jan 30, 2018",01/30/2018,Utah Jazz,L,99,129,40,11,L 1,regular season
51,52,"Fri, Feb 2, 2018",02/02/2018,Sacramento Kings,W,119,104,41,11,W 1,regular season
52,53,"Sat, Feb 3, 2018",02/03/2018,Denver Nuggets,L,108,115,41,12,L 1,regular season
53,54,"Tue, Feb 6, 2018",02/06/2018,Oklahoma City Thunder,L,105,125,41,13,L 2,regular season
54,55,"Thu, Feb 8, 2018",02/08/2018,Dallas Mavericks,W,121,103,42,13,W 1,regular season
55,56,"Sat, Feb 10, 2018",02/10/2018,San Antonio Spurs,W,122,105,43,13,W 2,regular season
56,57,"Mon, Feb 12, 2018",02/12/2018,Phoenix Suns,W,129,83,44,13,W 3,regular season
57,58,"Wed, Feb 14, 2018",02/14/2018,Portland Trail Blazers,L,117,123,44,14,L 1,regular season
58,59,"Thu, Feb 22, 2018",02/22/2018,Los Angeles Clippers,W,134,127,45,14,W 1,regular season
59,60,"Sat, Feb 24, 2018",02/24/2018,Oklahoma City Thunder,W,112,80,46,14,W 2,regular season
60,61,"Mon, Feb 26, 2018",02/26/2018,New York Knicks,W,125,111,47,14,W 3,regular season
61,62,"Wed, Feb 28, 2018",02/28/2018,Washington Wizards,W,109,101,48,14,W 4,regular season
62,63,"Fri, Mar 2, 2018",03/02/2018,Atlanta Hawks,W,114,109,49,14,W 5,regular season
63,64,"Tue, Mar 6, 2018",03/06/2018,Brooklyn Nets,W,114,101,50,14,W 6,regular season
64,65,"Thu, Mar 8, 2018",03/08/2018,San Antonio Spurs,W,110,107,51,14,W 7,regular season
65,66,"Fri, Mar 9, 2018",03/09/2018,Portland Trail Blazers,L,108,125,51,15,L 1,regular season
66,67,"Sun, Mar 11, 2018",03/11/2018,Minnesota Timberwolves,L,103,109,51,16,L 2,regular season
67,68,"Wed, Mar 14, 2018",03/14/2018,Los Angeles Lakers,W,117,106,52,16,W 1,regular season
68,69,"Fri, Mar 16, 2018",03/16/2018,Sacramento Kings,L,93,98,52,17,L 1,regular season
69,70,"Sat, Mar 17, 2018",03/17/2018,Phoenix Suns,W,124,109,53,17,W 1,regular season
70,71,"Mon, Mar 19, 2018",03/19/2018,San Antonio Spurs,L,75,89,53,18,L 1,regular season
71,72,"Fri, Mar 23, 2018",03/23/2018,Atlanta Hawks,W,106,94,54,18,W 1,regular season
72,73,"Sun, Mar 25, 2018",03/25/2018,Utah Jazz,L,91,110,54,19,L 1,regular season
73,74,"Tue, Mar 27, 2018",03/27/2018,Indiana Pacers,L,81,92,54,20,L 2,regular season
74,75,"Thu, Mar 29, 2018",03/29/2018,Milwaukee Bucks,L,107,116,54,21,L 3,regular season
75,76,"Sat, Mar 31, 2018",03/31/2018,Sacramento Kings,W,112,96,55,21,W 1,regular season
76,77,"Sun, Apr 1, 2018",04/01/2018,Phoenix Suns,W,117,107,56,21,W 2,regular season
77,78,"Tue, Apr 3, 2018",04/03/2018,Oklahoma City Thunder,W,111,107,57,21,W 3,regular season
78,79,"Thu, Apr 5, 2018",04/05/2018,Indiana Pacers,L,106,126,57,22,L 1,regular season
79,80,"Sat, Apr 7, 2018",04/07/2018,New Orleans Pelicans,L,120,126,57,23,L 2,regular season
80,81,"Sun, Apr 8, 2018",04/08/2018,Phoenix Suns,W,117,100,58,23,W 1,regular season
81,82,"Tue, Apr 10, 2018",04/10/2018,Utah Jazz,L,79,119,58,24,L 1,regular season
82,1,"Sat, Apr 14, 2018",04/14/2018,San Antonio Spurs,W,113,92,1,0,W 1,playoffs
83,2,"Mon, Apr 16, 2018",04/16/2018,San Antonio Spurs,W,116,101,2,0,W 2,playoffs
84,3,"Thu, Apr 19, 2018",04/19/2018,San Antonio Spurs,W,110,97,3,0,W 3,playoffs
85,4,"Sun, Apr 22, 2018",04/22/2018,San Antonio Spurs,L,90,103,3,1,L 1,playoffs
86,5,"Tue, Apr 24, 2018",04/24/2018,San Antonio Spurs,W,99,91,4,1,W 1,playoffs
87,6,"Sat, Apr 28, 2018",04/28/2018,New Orleans Pelicans,W,123,101,5,1,W 2,playoffs
88,7,"Tue, May 1, 2018",05/01/2018,New Orleans Pelicans,W,121,116,6,1,W 3,playoffs
89,8,"Fri, May 4, 2018",05/04/2018,New Orleans Pelicans,L,100,119,6,2,L 1,playoffs
90,9,"Sun, May 6, 2018",05/06/2018,New Orleans Pelicans,W,118,92,7,2,W 1,playoffs
91,10,"Tue, May 8, 2018",05/08/2018,New Orleans Pelicans,W,113,104,8,2,W 2,playoffs
92,11,"Mon, May 14, 2018",05/14/2018,Houston Rockets,W,119,106,9,2,W 3,playoffs
93,12,"Wed, May 16, 2018",05/16/2018,Houston Rockets,L,105,127,9,3,L 1,playoffs
94,13,"Sun, May 20, 2018",05/20/2018,Houston Rockets,W,126,85,10,3,W 1,playoffs
95,14,"Tue, May 22, 2018",05/22/2018,Houston Rockets,L,92,95,10,4,L 1,playoffs
96,15,"Thu, May 24, 2018",05/24/2018,Houston Rockets,L,94,98,10,5,L 2,playoffs
97,16,"Sat, May 26, 2018",05/26/2018,Houston Rockets,W,115,86,11,5,W 1,playoffs
98,17,"Mon, May 28, 2018",05/28/2018,Houston Rockets,W,101,92,12,5,W 2,playoffs
99,18,"Thu, May 31, 2018",05/31/2018,Cleveland Cavaliers,W,124,114,13,5,W 3,playoffs
100,19,"Sun, Jun 3, 2018",06/03/2018,Cleveland Cavaliers,W,122,103,14,5,W 4,playoffs
101,20,"Wed, Jun 6, 2018",06/06/2018,Cleveland Cavaliers,W,110,102,15,5,W 5,playoffs
102,21,"Fri, Jun 8, 2018",06/08/2018,Cleveland Cavaliers,W,108,85,16,5,W 6,playoffs
