,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Thu, Oct 19, 2017",10/19/2017,Oklahoma City Thunder,L,84,105,0,1,L 1,regular season
1,2,"Sat, Oct 21, 2017",10/21/2017,Detroit Pistons,L,107,111,0,2,L 2,regular season
2,3,"Tue, Oct 24, 2017",10/24/2017,Boston Celtics,L,89,110,0,3,L 3,regular season
3,4,"Fri, Oct 27, 2017",10/27/2017,Brooklyn Nets,W,107,86,1,3,W 1,regular season
4,5,"Sun, Oct 29, 2017",10/29/2017,Cleveland Cavaliers,W,114,95,2,3,W 2,regular season
5,6,"Mon, Oct 30, 2017",10/30/2017,Denver Nuggets,W,116,110,3,3,W 3,regular season
6,7,"Wed, Nov 1, 2017",11/01/2017,Houston Rockets,L,97,119,3,4,L 1,regular season
7,8,"Fri, Nov 3, 2017",11/03/2017,Phoenix Suns,W,120,107,4,4,W 1,regular season
8,9,"Sun, Nov 5, 2017",11/05/2017,Indiana Pacers,W,108,101,5,4,W 2,regular season
9,10,"Tue, Nov 7, 2017",11/07/2017,Charlotte Hornets,W,118,113,6,4,W 3,regular season
10,11,"Wed, Nov 8, 2017",11/08/2017,Orlando Magic,L,99,112,6,5,L 1,regular season
11,12,"Sat, Nov 11, 2017",11/11/2017,Sacramento Kings,W,118,91,7,5,W 1,regular season
12,13,"Mon, Nov 13, 2017",11/13/2017,Cleveland Cavaliers,L,101,104,7,6,L 1,regular season
13,14,"Wed, Nov 15, 2017",11/15/2017,Utah Jazz,W,106,101,8,6,W 1,regular season
14,15,"Fri, Nov 17, 2017",11/17/2017,Toronto Raptors,L,84,107,8,7,L 1,regular season
15,16,"Mon, Nov 20, 2017",11/20/2017,Los Angeles Clippers,W,107,85,9,7,W 1,regular season
16,17,"Wed, Nov 22, 2017",11/22/2017,Toronto Raptors,W,108,100,10,7,W 2,regular season
17,18,"Fri, Nov 24, 2017",11/24/2017,Atlanta Hawks,L,104,116,10,8,L 1,regular season
18,19,"Sat, Nov 25, 2017",11/25/2017,Houston Rockets,L,102,117,10,9,L 2,regular season
19,20,"Mon, Nov 27, 2017",11/27/2017,Portland Trail Blazers,L,91,103,10,10,L 3,regular season
20,21,"Wed, Nov 29, 2017",11/29/2017,Miami Heat,W,115,86,11,10,W 1,regular season
21,22,"Sun, Dec 3, 2017",12/03/2017,Orlando Magic,L,100,105,11,11,L 1,regular season
22,23,"Mon, Dec 4, 2017",12/04/2017,Indiana Pacers,L,97,115,11,12,L 2,regular season
23,24,"Wed, Dec 6, 2017",12/06/2017,Memphis Grizzlies,W,99,88,12,12,W 1,regular season
24,25,"Sat, Dec 9, 2017",12/09/2017,Chicago Bulls,L,102,104,12,13,L 1,regular season
25,26,"Sun, Dec 10, 2017",12/10/2017,Atlanta Hawks,W,111,107,13,13,W 1,regular season
26,27,"Tue, Dec 12, 2017",12/12/2017,Los Angeles Lakers,W,113,109,14,13,W 2,regular season
27,28,"Thu, Dec 14, 2017",12/14/2017,Brooklyn Nets,W,111,104,15,13,W 3,regular season
28,29,"Sat, Dec 16, 2017",12/16/2017,Oklahoma City Thunder,W,111,96,16,13,W 4,regular season
29,30,"Mon, Dec 18, 2017",12/18/2017,Charlotte Hornets,L,91,109,16,14,L 1,regular season
30,31,"Thu, Dec 21, 2017",12/21/2017,Boston Celtics,W,102,93,17,14,W 1,regular season
31,32,"Fri, Dec 22, 2017",12/22/2017,Detroit Pistons,L,101,104,17,15,L 1,regular season
32,33,"Mon, Dec 25, 2017",12/25/2017,Philadelphia 76ers,L,98,105,17,16,L 2,regular season
33,34,"Wed, Dec 27, 2017",12/27/2017,Chicago Bulls,L,87,92,17,17,L 3,regular season
34,35,"Thu, Dec 28, 2017",12/28/2017,San Antonio Spurs,L,107,119,17,18,L 4,regular season
35,36,"Sat, Dec 30, 2017",12/30/2017,New Orleans Pelicans,W,105,103,18,18,W 1,regular season
36,37,"Tue, Jan 2, 2018",01/02/2018,San Antonio Spurs,L,91,100,18,19,L 1,regular season
37,38,"Wed, Jan 3, 2018",01/03/2018,Washington Wizards,L,103,121,18,20,L 2,regular season
38,39,"Fri, Jan 5, 2018",01/05/2018,Miami Heat,L,103,107,18,21,L 3,regular season
39,40,"Sun, Jan 7, 2018",01/07/2018,Dallas Mavericks,W,100,96,19,21,W 1,regular season
40,41,"Wed, Jan 10, 2018",01/10/2018,Chicago Bulls,L,119,122,19,22,L 1,regular season
41,42,"Fri, Jan 12, 2018",01/12/2018,Minnesota Timberwolves,L,108,118,19,23,L 2,regular season
42,43,"Sun, Jan 14, 2018",01/14/2018,New Orleans Pelicans,L,118,123,19,24,L 3,regular season
43,44,"Mon, Jan 15, 2018",01/15/2018,Brooklyn Nets,W,119,104,20,24,W 1,regular season
44,45,"Wed, Jan 17, 2018",01/17/2018,Memphis Grizzlies,L,99,105,20,25,L 1,regular season
45,46,"Fri, Jan 19, 2018",01/19/2018,Utah Jazz,W,117,115,21,25,W 1,regular season
46,47,"Sun, Jan 21, 2018",01/21/2018,Los Angeles Lakers,L,107,127,21,26,L 1,regular season
47,48,"Tue, Jan 23, 2018",01/23/2018,Golden State Warriors,L,112,123,21,27,L 2,regular season
48,49,"Thu, Jan 25, 2018",01/25/2018,Denver Nuggets,L,118,130,21,28,L 3,regular season
49,50,"Fri, Jan 26, 2018",01/26/2018,Phoenix Suns,W,107,85,22,28,W 1,regular season
50,51,"Tue, Jan 30, 2018",01/30/2018,Brooklyn Nets,W,111,95,23,28,W 2,regular season
51,52,"Wed, Jan 31, 2018",01/31/2018,Boston Celtics,L,73,103,23,29,L 1,regular season
52,53,"Fri, Feb 2, 2018",02/02/2018,Milwaukee Bucks,L,90,92,23,30,L 2,regular season
