,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 18, 2017",10/18/2017,Miami Heat,W,116,109,1,0,W 1,regular season
1,2,"Fri, Oct 20, 2017",10/20/2017,Brooklyn Nets,L,121,126,1,1,L 1,regular season
2,3,"Sat, Oct 21, 2017",10/21/2017,Cleveland Cavaliers,W,114,93,2,1,W 1,regular season
3,4,"Tue, Oct 24, 2017",10/24/2017,Brooklyn Nets,W,125,121,3,1,W 2,regular season
4,5,"Fri, Oct 27, 2017",10/27/2017,San Antonio Spurs,W,114,87,4,1,W 3,regular season
5,6,"Sun, Oct 29, 2017",10/29/2017,Charlotte Hornets,L,113,120,4,2,L 1,regular season
6,7,"Mon, Oct 30, 2017",10/30/2017,New Orleans Pelicans,W,115,99,5,2,W 1,regular season
7,8,"Wed, Nov 1, 2017",11/01/2017,Memphis Grizzlies,W,101,99,6,2,W 2,regular season
8,9,"Fri, Nov 3, 2017",11/03/2017,Chicago Bulls,L,83,105,6,3,L 1,regular season
9,10,"Sun, Nov 5, 2017",11/05/2017,Boston Celtics,L,88,104,6,4,L 2,regular season
10,11,"Wed, Nov 8, 2017",11/08/2017,New York Knicks,W,112,99,7,4,W 1,regular season
11,12,"Fri, Nov 10, 2017",11/10/2017,Phoenix Suns,W,128,112,8,4,W 2,regular season
12,13,"Sat, Nov 11, 2017",11/11/2017,Denver Nuggets,L,107,125,8,5,L 1,regular season
13,14,"Mon, Nov 13, 2017",11/13/2017,Golden State Warriors,L,100,110,8,6,L 2,regular season
14,15,"Wed, Nov 15, 2017",11/15/2017,Portland Trail Blazers,L,94,99,8,7,L 3,regular season
15,16,"Sat, Nov 18, 2017",11/18/2017,Utah Jazz,L,85,125,8,8,L 4,regular season
16,17,"Mon, Nov 20, 2017",11/20/2017,Indiana Pacers,L,97,105,8,9,L 5,regular season
17,18,"Wed, Nov 22, 2017",11/22/2017,Minnesota Timberwolves,L,118,124,8,10,L 6,regular season
18,19,"Fri, Nov 24, 2017",11/24/2017,Boston Celtics,L,103,118,8,11,L 7,regular season
19,20,"Sat, Nov 25, 2017",11/25/2017,Philadelphia 76ers,L,111,130,8,12,L 8,regular season
20,21,"Mon, Nov 27, 2017",11/27/2017,Indiana Pacers,L,109,121,8,13,L 9,regular season
21,22,"Wed, Nov 29, 2017",11/29/2017,Oklahoma City Thunder,W,121,108,9,13,W 1,regular season
22,23,"Fri, Dec 1, 2017",12/01/2017,Golden State Warriors,L,112,133,9,14,L 1,regular season
23,24,"Sun, Dec 3, 2017",12/03/2017,New York Knicks,W,105,100,10,14,W 1,regular season
24,25,"Mon, Dec 4, 2017",12/04/2017,Charlotte Hornets,L,94,104,10,15,L 1,regular season
25,26,"Wed, Dec 6, 2017",12/06/2017,Atlanta Hawks,W,110,106,11,15,W 1,regular season
26,27,"Fri, Dec 8, 2017",12/08/2017,Denver Nuggets,L,89,103,11,16,L 1,regular season
27,28,"Sat, Dec 9, 2017",12/09/2017,Atlanta Hawks,L,110,117,11,17,L 2,regular season
28,29,"Wed, Dec 13, 2017",12/13/2017,Los Angeles Clippers,L,95,106,11,18,L 3,regular season
29,30,"Fri, Dec 15, 2017",12/15/2017,Portland Trail Blazers,L,88,95,11,19,L 4,regular season
30,31,"Sun, Dec 17, 2017",12/17/2017,Detroit Pistons,L,110,114,11,20,L 5,regular season
31,32,"Wed, Dec 20, 2017",12/20/2017,Chicago Bulls,L,94,112,11,21,L 6,regular season
32,33,"Fri, Dec 22, 2017",12/22/2017,New Orleans Pelicans,L,97,111,11,22,L 7,regular season
33,34,"Sat, Dec 23, 2017",12/23/2017,Washington Wizards,L,103,130,11,23,L 8,regular season
34,35,"Tue, Dec 26, 2017",12/26/2017,Miami Heat,L,89,107,11,24,L 9,regular season
35,36,"Thu, Dec 28, 2017",12/28/2017,Detroit Pistons,W,102,89,12,24,W 1,regular season
36,37,"Sat, Dec 30, 2017",12/30/2017,Miami Heat,L,111,117,12,25,L 1,regular season
