,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 18, 2017",10/18/2017,Washington Wizards,L,115,120,0,1,L 1,regular season
1,2,"Fri, Oct 20, 2017",10/20/2017,Boston Celtics,L,92,102,0,2,L 2,regular season
2,3,"Sat, Oct 21, 2017",10/21/2017,Toronto Raptors,L,94,128,0,3,L 3,regular season
3,4,"Mon, Oct 23, 2017",10/23/2017,Detroit Pistons,W,97,86,1,3,W 1,regular season
4,5,"Wed, Oct 25, 2017",10/25/2017,Houston Rockets,L,104,105,1,4,L 1,regular season
5,6,"Sat, Oct 28, 2017",10/28/2017,Dallas Mavericks,W,112,110,2,4,W 1,regular season
6,7,"Mon, Oct 30, 2017",10/30/2017,Houston Rockets,W,115,107,3,4,W 2,regular season
7,8,"Wed, Nov 1, 2017",11/01/2017,Atlanta Hawks,W,119,109,4,4,W 3,regular season
8,9,"Fri, Nov 3, 2017",11/03/2017,Indiana Pacers,W,121,110,5,4,W 4,regular season
9,10,"Tue, Nov 7, 2017",11/07/2017,Utah Jazz,W,104,97,6,4,W 5,regular season
10,11,"Thu, Nov 9, 2017",11/09/2017,Sacramento Kings,L,108,109,6,5,L 1,regular season
11,12,"Sat, Nov 11, 2017",11/11/2017,Golden State Warriors,L,114,135,6,6,L 2,regular season
12,13,"Mon, Nov 13, 2017",11/13/2017,Los Angeles Clippers,W,109,105,7,6,W 1,regular season
13,14,"Wed, Nov 15, 2017",11/15/2017,Los Angeles Lakers,W,115,109,8,6,W 2,regular season
14,15,"Sat, Nov 18, 2017",11/18/2017,Golden State Warriors,L,116,124,8,7,L 1,regular season
15,16,"Mon, Nov 20, 2017",11/20/2017,Utah Jazz,W,107,86,9,7,W 1,regular season
16,17,"Wed, Nov 22, 2017",11/22/2017,Portland Trail Blazers,W,101,81,10,7,W 2,regular season
17,18,"Sat, Nov 25, 2017",11/25/2017,Orlando Magic,W,130,111,11,7,W 3,regular season
18,19,"Mon, Nov 27, 2017",11/27/2017,Cleveland Cavaliers,L,91,113,11,8,L 1,regular season
19,20,"Wed, Nov 29, 2017",11/29/2017,Washington Wizards,W,118,113,12,8,W 1,regular season
20,21,"Thu, Nov 30, 2017",11/30/2017,Boston Celtics,L,97,108,12,9,L 1,regular season
21,22,"Sat, Dec 2, 2017",12/02/2017,Detroit Pistons,W,108,103,13,9,W 1,regular season
22,23,"Mon, Dec 4, 2017",12/04/2017,Phoenix Suns,L,101,115,13,10,L 1,regular season
23,24,"Thu, Dec 7, 2017",12/07/2017,Los Angeles Lakers,L,104,107,13,11,L 2,regular season
24,25,"Sat, Dec 9, 2017",12/09/2017,Cleveland Cavaliers,L,98,105,13,12,L 3,regular season
25,26,"Sun, Dec 10, 2017",12/10/2017,New Orleans Pelicans,L,124,131,13,13,L 4,regular season
26,27,"Tue, Dec 12, 2017",12/12/2017,Minnesota Timberwolves,W,118,112,14,13,W 1,regular season
27,28,"Fri, Dec 15, 2017",12/15/2017,Oklahoma City Thunder,L,117,119,14,14,L 1,regular season
28,29,"Mon, Dec 18, 2017",12/18/2017,Chicago Bulls,L,115,117,14,15,L 2,regular season
29,30,"Tue, Dec 19, 2017",12/19/2017,Sacramento Kings,L,95,101,14,16,L 3,regular season
30,31,"Thu, Dec 21, 2017",12/21/2017,Toronto Raptors,L,109,114,14,17,L 4,regular season
31,32,"Sat, Dec 23, 2017",12/23/2017,Toronto Raptors,L,86,102,14,18,L 5,regular season
32,33,"Mon, Dec 25, 2017",12/25/2017,New York Knicks,W,105,98,15,18,W 1,regular season
33,34,"Thu, Dec 28, 2017",12/28/2017,Portland Trail Blazers,L,110,114,15,19,L 1,regular season
34,35,"Sat, Dec 30, 2017",12/30/2017,Denver Nuggets,W,107,102,16,19,W 1,regular season
35,36,"Sun, Dec 31, 2017",12/31/2017,Phoenix Suns,W,123,110,17,19,W 2,regular season
36,37,"Wed, Jan 3, 2018",01/03/2018,San Antonio Spurs,W,112,106,18,19,W 3,regular season
37,38,"Fri, Jan 5, 2018",01/05/2018,Detroit Pistons,W,114,78,19,19,W 4,regular season
38,39,"Thu, Jan 11, 2018",01/11/2018,Boston Celtics,L,103,114,19,20,L 1,regular season
39,40,"Mon, Jan 15, 2018",01/15/2018,Toronto Raptors,W,117,111,20,20,W 1,regular season
40,41,"Thu, Jan 18, 2018",01/18/2018,Boston Celtics,W,89,80,21,20,W 2,regular season
41,42,"Sat, Jan 20, 2018",01/20/2018,Milwaukee Bucks,W,116,94,22,20,W 3,regular season
42,43,"Mon, Jan 22, 2018",01/22/2018,Memphis Grizzlies,L,101,105,22,21,L 1,regular season
43,44,"Wed, Jan 24, 2018",01/24/2018,Chicago Bulls,W,115,101,23,21,W 1,regular season
44,45,"Fri, Jan 26, 2018",01/26/2018,San Antonio Spurs,W,97,78,24,21,W 2,regular season
45,46,"Sun, Jan 28, 2018",01/28/2018,Oklahoma City Thunder,L,112,122,24,22,L 1,regular season
46,47,"Mon, Jan 29, 2018",01/29/2018,Milwaukee Bucks,L,95,107,24,23,L 2,regular season
47,48,"Wed, Jan 31, 2018",01/31/2018,Brooklyn Nets,L,108,116,24,24,L 3,regular season
48,49,"Fri, Feb 2, 2018",02/02/2018,Miami Heat,W,103,97,25,24,W 1,regular season
49,50,"Sat, Feb 3, 2018",02/03/2018,Indiana Pacers,L,92,100,25,25,L 1,regular season
50,51,"Tue, Feb 6, 2018",02/06/2018,Washington Wizards,W,115,102,26,25,W 1,regular season
51,52,"Fri, Feb 9, 2018",02/09/2018,New Orleans Pelicans,W,100,82,27,25,W 2,regular season
52,53,"Sat, Feb 10, 2018",02/10/2018,Los Angeles Clippers,W,112,98,28,25,W 3,regular season
53,54,"Mon, Feb 12, 2018",02/12/2018,New York Knicks,W,108,92,29,25,W 4,regular season
54,55,"Wed, Feb 14, 2018",02/14/2018,Miami Heat,W,104,102,30,25,W 5,regular season
55,56,"Thu, Feb 22, 2018",02/22/2018,Chicago Bulls,W,116,115,31,25,W 6,regular season
56,57,"Sat, Feb 24, 2018",02/24/2018,Orlando Magic,W,116,105,32,25,W 7,regular season
57,58,"Sun, Feb 25, 2018",02/25/2018,Washington Wizards,L,94,109,32,26,L 1,regular season
58,59,"Tue, Feb 27, 2018",02/27/2018,Miami Heat,L,101,102,32,27,L 2,regular season
59,60,"Thu, Mar 1, 2018",03/01/2018,Cleveland Cavaliers,W,108,97,33,27,W 1,regular season
60,61,"Fri, Mar 2, 2018",03/02/2018,Charlotte Hornets,W,110,99,34,27,W 2,regular season
61,62,"Sun, Mar 4, 2018",03/04/2018,Milwaukee Bucks,L,110,118,34,28,L 1,regular season
62,63,"Tue, Mar 6, 2018",03/06/2018,Charlotte Hornets,W,128,114,35,28,W 1,regular season
63,64,"Thu, Mar 8, 2018",03/08/2018,Miami Heat,L,99,108,35,29,L 1,regular season
64,65,"Sun, Mar 11, 2018",03/11/2018,Brooklyn Nets,W,120,97,36,29,W 1,regular season
65,66,"Tue, Mar 13, 2018",03/13/2018,Indiana Pacers,L,98,101,36,30,L 1,regular season
66,67,"Thu, Mar 15, 2018",03/15/2018,New York Knicks,W,118,110,37,30,W 1,regular season
67,68,"Fri, Mar 16, 2018",03/16/2018,Brooklyn Nets,W,120,116,38,30,W 2,regular season
68,69,"Mon, Mar 19, 2018",03/19/2018,Charlotte Hornets,W,108,94,39,30,W 3,regular season
69,70,"Wed, Mar 21, 2018",03/21/2018,Memphis Grizzlies,W,119,105,40,30,W 4,regular season
70,71,"Thu, Mar 22, 2018",03/22/2018,Orlando Magic,W,118,98,41,30,W 5,regular season
71,72,"Sat, Mar 24, 2018",03/24/2018,Minnesota Timberwolves,W,120,108,42,30,W 6,regular season
72,73,"Mon, Mar 26, 2018",03/26/2018,Denver Nuggets,W,123,104,43,30,W 7,regular season
73,74,"Wed, Mar 28, 2018",03/28/2018,New York Knicks,W,118,101,44,30,W 8,regular season
74,75,"Fri, Mar 30, 2018",03/30/2018,Atlanta Hawks,W,101,91,45,30,W 9,regular season
75,76,"Sun, Apr 1, 2018",04/01/2018,Charlotte Hornets,W,119,102,46,30,W 10,regular season
76,77,"Tue, Apr 3, 2018",04/03/2018,Brooklyn Nets,W,121,95,47,30,W 11,regular season
77,78,"Wed, Apr 4, 2018",04/04/2018,Detroit Pistons,W,115,108,48,30,W 12,regular season
78,79,"Fri, Apr 6, 2018",04/06/2018,Cleveland Cavaliers,W,132,130,49,30,W 13,regular season
79,80,"Sun, Apr 8, 2018",04/08/2018,Dallas Mavericks,W,109,97,50,30,W 14,regular season
80,81,"Tue, Apr 10, 2018",04/10/2018,Atlanta Hawks,W,121,113,51,30,W 15,regular season
81,82,"Wed, Apr 11, 2018",04/11/2018,Milwaukee Bucks,W,130,95,52,30,W 16,regular season
82,1,"Sat, Apr 14, 2018",04/14/2018,Miami Heat,W,130,103,1,0,W 1,playoffs
83,2,"Mon, Apr 16, 2018",04/16/2018,Miami Heat,L,103,113,1,1,L 1,playoffs
84,3,"Thu, Apr 19, 2018",04/19/2018,Miami Heat,W,128,108,2,1,W 1,playoffs
85,4,"Sat, Apr 21, 2018",04/21/2018,Miami Heat,W,106,102,3,1,W 2,playoffs
86,5,"Tue, Apr 24, 2018",04/24/2018,Miami Heat,W,104,91,4,1,W 3,playoffs
87,6,"Mon, Apr 30, 2018",04/30/2018,Boston Celtics,L,101,117,4,2,L 1,playoffs
88,7,"Thu, May 3, 2018",05/03/2018,Boston Celtics,L,103,108,4,3,L 2,playoffs
89,8,"Sat, May 5, 2018",05/05/2018,Boston Celtics,L,98,101,4,4,L 3,playoffs
90,9,"Mon, May 7, 2018",05/07/2018,Boston Celtics,W,103,92,5,4,W 1,playoffs
91,10,"Wed, May 9, 2018",05/09/2018,Boston Celtics,L,112,114,5,5,L 1,playoffs
