,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 18, 2017",10/18/2017,Phoenix Suns,W,124,76,1,0,W 1,regular season
1,2,"Fri, Oct 20, 2017",10/20/2017,Indiana Pacers,W,114,96,2,0,W 2,regular season
2,3,"Sat, Oct 21, 2017",10/21/2017,Milwaukee Bucks,L,110,113,2,1,L 1,regular season
3,4,"Tue, Oct 24, 2017",10/24/2017,New Orleans Pelicans,W,103,93,3,1,W 1,regular season
4,5,"Thu, Oct 26, 2017",10/26/2017,Los Angeles Clippers,L,103,104,3,2,L 1,regular season
5,6,"Sat, Oct 28, 2017",10/28/2017,Phoenix Suns,W,114,107,4,2,W 1,regular season
6,7,"Mon, Oct 30, 2017",10/30/2017,Toronto Raptors,L,85,99,4,3,L 1,regular season
7,8,"Wed, Nov 1, 2017",11/01/2017,Utah Jazz,L,103,112,4,4,L 2,regular season
8,9,"Thu, Nov 2, 2017",11/02/2017,Los Angeles Lakers,W,113,110,5,4,W 1,regular season
9,10,"Sun, Nov 5, 2017",11/05/2017,Oklahoma City Thunder,W,103,99,6,4,W 2,regular season
10,11,"Tue, Nov 7, 2017",11/07/2017,Memphis Grizzlies,L,97,98,6,5,L 1,regular season
11,12,"Fri, Nov 10, 2017",11/10/2017,Brooklyn Nets,L,97,101,6,6,L 2,regular season
12,13,"Mon, Nov 13, 2017",11/13/2017,Denver Nuggets,W,99,82,7,6,W 1,regular season
13,14,"Wed, Nov 15, 2017",11/15/2017,Orlando Magic,W,99,94,8,6,W 2,regular season
14,15,"Fri, Nov 17, 2017",11/17/2017,Sacramento Kings,L,82,86,8,7,L 1,regular season
15,16,"Sat, Nov 18, 2017",11/18/2017,Sacramento Kings,W,102,90,9,7,W 1,regular season
16,17,"Mon, Nov 20, 2017",11/20/2017,Memphis Grizzlies,W,100,92,10,7,W 2,regular season
17,18,"Wed, Nov 22, 2017",11/22/2017,Philadelphia 76ers,L,81,101,10,8,L 1,regular season
18,19,"Fri, Nov 24, 2017",11/24/2017,Brooklyn Nets,W,127,125,11,8,W 1,regular season
19,20,"Sat, Nov 25, 2017",11/25/2017,Washington Wizards,W,108,105,12,8,W 2,regular season
20,21,"Mon, Nov 27, 2017",11/27/2017,New York Knicks,W,103,91,13,8,W 3,regular season
21,22,"Thu, Nov 30, 2017",11/30/2017,Milwaukee Bucks,L,91,103,13,9,L 1,regular season
22,23,"Sat, Dec 2, 2017",12/02/2017,New Orleans Pelicans,L,116,123,13,10,L 2,regular season
23,24,"Tue, Dec 5, 2017",12/05/2017,Washington Wizards,L,92,106,13,11,L 3,regular season
24,25,"Sat, Dec 9, 2017",12/09/2017,Houston Rockets,L,117,124,13,12,L 4,regular season
25,26,"Mon, Dec 11, 2017",12/11/2017,Golden State Warriors,L,104,111,13,13,L 5,regular season
26,27,"Wed, Dec 13, 2017",12/13/2017,Miami Heat,W,102,95,14,13,W 1,regular season
27,28,"Fri, Dec 15, 2017",12/15/2017,Orlando Magic,W,95,88,15,13,W 2,regular season
28,29,"Sat, Dec 16, 2017",12/16/2017,Charlotte Hornets,W,93,91,16,13,W 3,regular season
29,30,"Mon, Dec 18, 2017",12/18/2017,Minnesota Timberwolves,L,107,108,16,14,L 1,regular season
30,31,"Wed, Dec 20, 2017",12/20/2017,San Antonio Spurs,L,91,93,16,15,L 2,regular season
31,32,"Fri, Dec 22, 2017",12/22/2017,Denver Nuggets,L,85,102,16,16,L 3,regular season
32,33,"Sat, Dec 23, 2017",12/23/2017,Los Angeles Lakers,W,95,92,17,16,W 1,regular season
33,34,"Thu, Dec 28, 2017",12/28/2017,Philadelphia 76ers,W,114,110,18,16,W 2,regular season
34,35,"Sat, Dec 30, 2017",12/30/2017,Atlanta Hawks,L,89,104,18,17,L 1,regular season
35,36,"Mon, Jan 1, 2018",01/01/2018,Chicago Bulls,W,124,120,19,17,W 1,regular season
36,37,"Tue, Jan 2, 2018",01/02/2018,Cleveland Cavaliers,L,110,127,19,18,L 1,regular season
37,38,"Fri, Jan 5, 2018",01/05/2018,Atlanta Hawks,W,110,89,20,18,W 1,regular season
38,39,"Sun, Jan 7, 2018",01/07/2018,San Antonio Spurs,W,111,110,21,18,W 2,regular season
39,40,"Tue, Jan 9, 2018",01/09/2018,Oklahoma City Thunder,W,117,106,22,18,W 3,regular season
40,41,"Wed, Jan 10, 2018",01/10/2018,Houston Rockets,L,112,121,22,19,L 1,regular season
41,42,"Fri, Jan 12, 2018",01/12/2018,New Orleans Pelicans,L,113,119,22,20,L 2,regular season
42,43,"Sun, Jan 14, 2018",01/14/2018,Minnesota Timberwolves,L,103,120,22,21,L 3,regular season
43,44,"Tue, Jan 16, 2018",01/16/2018,Phoenix Suns,W,118,111,23,21,W 1,regular season
44,45,"Thu, Jan 18, 2018",01/18/2018,Indiana Pacers,W,100,86,24,21,W 2,regular season
45,46,"Sat, Jan 20, 2018",01/20/2018,Dallas Mavericks,W,117,108,25,21,W 3,regular season
46,47,"Mon, Jan 22, 2018",01/22/2018,Denver Nuggets,L,101,104,25,22,L 1,regular season
47,48,"Wed, Jan 24, 2018",01/24/2018,Minnesota Timberwolves,W,123,114,26,22,W 1,regular season
48,49,"Fri, Jan 26, 2018",01/26/2018,Dallas Mavericks,W,107,93,27,22,W 2,regular season
49,50,"Tue, Jan 30, 2018",01/30/2018,Los Angeles Clippers,W,104,96,28,22,W 3,regular season
50,51,"Wed, Jan 31, 2018",01/31/2018,Chicago Bulls,W,124,108,29,22,W 4,regular season
51,52,"Fri, Feb 2, 2018",02/02/2018,Toronto Raptors,L,105,130,29,23,L 1,regular season
52,53,"Sun, Feb 4, 2018",02/04/2018,Boston Celtics,L,96,97,29,24,L 2,regular season
53,54,"Mon, Feb 5, 2018",02/05/2018,Detroit Pistons,L,91,111,29,25,L 3,regular season
54,55,"Thu, Feb 8, 2018",02/08/2018,Charlotte Hornets,W,109,103,30,25,W 1,regular season
55,56,"Fri, Feb 9, 2018",02/09/2018,Sacramento Kings,W,118,100,31,25,W 2,regular season
56,57,"Sun, Feb 11, 2018",02/11/2018,Utah Jazz,L,96,115,31,26,L 1,regular season
57,58,"Wed, Feb 14, 2018",02/14/2018,Golden State Warriors,W,123,117,32,26,W 1,regular season
58,59,"Fri, Feb 23, 2018",02/23/2018,Utah Jazz,W,100,81,33,26,W 2,regular season
59,60,"Sat, Feb 24, 2018",02/24/2018,Phoenix Suns,W,106,104,34,26,W 3,regular season
60,61,"Tue, Feb 27, 2018",02/27/2018,Sacramento Kings,W,116,99,35,26,W 4,regular season
61,62,"Thu, Mar 1, 2018",03/01/2018,Minnesota Timberwolves,W,108,99,36,26,W 5,regular season
62,63,"Sat, Mar 3, 2018",03/03/2018,Oklahoma City Thunder,W,108,100,37,26,W 6,regular season
63,64,"Mon, Mar 5, 2018",03/05/2018,Los Angeles Lakers,W,108,103,38,26,W 7,regular season
64,65,"Tue, Mar 6, 2018",03/06/2018,New York Knicks,W,111,87,39,26,W 8,regular season
65,66,"Fri, Mar 9, 2018",03/09/2018,Golden State Warriors,W,125,108,40,26,W 9,regular season
66,67,"Mon, Mar 12, 2018",03/12/2018,Miami Heat,W,115,99,41,26,W 10,regular season
67,68,"Thu, Mar 15, 2018",03/15/2018,Cleveland Cavaliers,W,113,105,42,26,W 11,regular season
68,69,"Sat, Mar 17, 2018",03/17/2018,Detroit Pistons,W,100,87,43,26,W 12,regular season
69,70,"Sun, Mar 18, 2018",03/18/2018,Los Angeles Clippers,W,122,109,44,26,W 13,regular season
70,71,"Tue, Mar 20, 2018",03/20/2018,Houston Rockets,L,111,115,44,27,L 1,regular season
71,72,"Fri, Mar 23, 2018",03/23/2018,Boston Celtics,L,100,105,44,28,L 2,regular season
72,73,"Sun, Mar 25, 2018",03/25/2018,Oklahoma City Thunder,W,108,105,45,28,W 1,regular season
73,74,"Tue, Mar 27, 2018",03/27/2018,New Orleans Pelicans,W,107,103,46,28,W 2,regular season
74,75,"Wed, Mar 28, 2018",03/28/2018,Memphis Grizzlies,L,103,108,46,29,L 1,regular season
75,76,"Fri, Mar 30, 2018",03/30/2018,Los Angeles Clippers,W,105,96,47,29,W 1,regular season
76,77,"Sun, Apr 1, 2018",04/01/2018,Memphis Grizzlies,W,113,98,48,29,W 2,regular season
77,78,"Tue, Apr 3, 2018",04/03/2018,Dallas Mavericks,L,109,115,48,30,L 1,regular season
78,79,"Thu, Apr 5, 2018",04/05/2018,Houston Rockets,L,94,96,48,31,L 2,regular season
79,80,"Sat, Apr 7, 2018",04/07/2018,San Antonio Spurs,L,105,116,48,32,L 3,regular season
80,81,"Mon, Apr 9, 2018",04/09/2018,Denver Nuggets,L,82,88,48,33,L 4,regular season
81,82,"Wed, Apr 11, 2018",04/11/2018,Utah Jazz,W,102,93,49,33,W 1,regular season
82,1,"Sat, Apr 14, 2018",04/14/2018,New Orleans Pelicans,L,95,97,0,1,L 1,playoffs
83,2,"Tue, Apr 17, 2018",04/17/2018,New Orleans Pelicans,L,102,111,0,2,L 2,playoffs
84,3,"Thu, Apr 19, 2018",04/19/2018,New Orleans Pelicans,L,102,119,0,3,L 3,playoffs
85,4,"Sat, Apr 21, 2018",04/21/2018,New Orleans Pelicans,L,123,131,0,4,L 4,playoffs
