,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Thu, Oct 19, 2017",10/19/2017,Chicago Bulls,W,117,100,1,0,W 1,regular season
1,2,"Sat, Oct 21, 2017",10/21/2017,Philadelphia 76ers,W,128,94,2,0,W 2,regular season
2,3,"Mon, Oct 23, 2017",10/23/2017,San Antonio Spurs,L,97,101,2,1,L 1,regular season
3,4,"Wed, Oct 25, 2017",10/25/2017,Golden State Warriors,L,112,117,2,2,L 2,regular season
4,5,"Fri, Oct 27, 2017",10/27/2017,Los Angeles Lakers,W,101,92,3,2,W 1,regular season
5,6,"Mon, Oct 30, 2017",10/30/2017,Portland Trail Blazers,W,99,85,4,2,W 2,regular season
6,7,"Wed, Nov 1, 2017",11/01/2017,Denver Nuggets,L,111,129,4,3,L 1,regular season
7,8,"Fri, Nov 3, 2017",11/03/2017,Utah Jazz,W,109,100,5,3,W 1,regular season
8,9,"Sun, Nov 5, 2017",11/05/2017,Washington Wizards,L,96,107,5,4,L 1,regular season
9,10,"Tue, Nov 7, 2017",11/07/2017,Chicago Bulls,W,119,114,6,4,W 1,regular season
10,11,"Thu, Nov 9, 2017",11/09/2017,New Orleans Pelicans,W,122,118,7,4,W 2,regular season
11,12,"Sun, Nov 12, 2017",11/12/2017,Boston Celtics,L,94,95,7,5,L 1,regular season
12,13,"Tue, Nov 14, 2017",11/14/2017,Houston Rockets,W,129,113,8,5,W 1,regular season
13,14,"Wed, Nov 15, 2017",11/15/2017,New Orleans Pelicans,W,125,116,9,5,W 2,regular season
14,15,"Fri, Nov 17, 2017",11/17/2017,New York Knicks,W,107,84,10,5,W 3,regular season
15,16,"Sun, Nov 19, 2017",11/19/2017,Washington Wizards,W,100,91,11,5,W 4,regular season
16,17,"Wed, Nov 22, 2017",11/22/2017,New York Knicks,L,100,108,11,6,L 1,regular season
17,18,"Fri, Nov 24, 2017",11/24/2017,Indiana Pacers,L,104,107,11,7,L 2,regular season
18,19,"Sat, Nov 25, 2017",11/25/2017,Atlanta Hawks,W,112,78,12,7,W 1,regular season
19,20,"Wed, Nov 29, 2017",11/29/2017,Charlotte Hornets,W,126,113,13,7,W 2,regular season
20,21,"Fri, Dec 1, 2017",12/01/2017,Indiana Pacers,W,120,115,14,7,W 3,regular season
21,22,"Tue, Dec 5, 2017",12/05/2017,Phoenix Suns,W,126,113,15,7,W 4,regular season
22,23,"Fri, Dec 8, 2017",12/08/2017,Memphis Grizzlies,W,116,107,16,7,W 5,regular season
23,24,"Sun, Dec 10, 2017",12/10/2017,Sacramento Kings,W,102,87,17,7,W 6,regular season
24,25,"Mon, Dec 11, 2017",12/11/2017,Los Angeles Clippers,L,91,96,17,8,L 1,regular season
25,26,"Wed, Dec 13, 2017",12/13/2017,Phoenix Suns,W,115,109,18,8,W 1,regular season
26,27,"Fri, Dec 15, 2017",12/15/2017,Brooklyn Nets,W,120,87,19,8,W 2,regular season
27,28,"Sun, Dec 17, 2017",12/17/2017,Sacramento Kings,W,108,93,20,8,W 3,regular season
28,29,"Wed, Dec 20, 2017",12/20/2017,Charlotte Hornets,W,129,111,21,8,W 4,regular season
29,30,"Thu, Dec 21, 2017",12/21/2017,Philadelphia 76ers,W,114,109,22,8,W 5,regular season
30,31,"Sat, Dec 23, 2017",12/23/2017,Philadelphia 76ers,W,102,86,23,8,W 6,regular season
31,32,"Tue, Dec 26, 2017",12/26/2017,Dallas Mavericks,L,93,98,23,9,L 1,regular season
32,33,"Wed, Dec 27, 2017",12/27/2017,Oklahoma City Thunder,L,107,124,23,10,L 2,regular season
33,34,"Fri, Dec 29, 2017",12/29/2017,Atlanta Hawks,W,111,98,24,10,W 1,regular season
34,35,"Mon, Jan 1, 2018",01/01/2018,Milwaukee Bucks,W,131,127,25,10,W 2,regular season
35,36,"Wed, Jan 3, 2018",01/03/2018,Chicago Bulls,W,124,115,26,10,W 3,regular season
36,37,"Fri, Jan 5, 2018",01/05/2018,Milwaukee Bucks,W,129,110,27,10,W 4,regular season
37,38,"Mon, Jan 8, 2018",01/08/2018,Brooklyn Nets,W,114,113,28,10,W 5,regular season
38,39,"Tue, Jan 9, 2018",01/09/2018,Miami Heat,L,89,90,28,11,L 1,regular season
39,40,"Thu, Jan 11, 2018",01/11/2018,Cleveland Cavaliers,W,133,99,29,11,W 1,regular season
40,41,"Sat, Jan 13, 2018",01/13/2018,Golden State Warriors,L,125,127,29,12,L 1,regular season
41,42,"Mon, Jan 15, 2018",01/15/2018,Philadelphia 76ers,L,111,117,29,13,L 2,regular season
42,43,"Wed, Jan 17, 2018",01/17/2018,Detroit Pistons,W,96,91,30,13,W 1,regular season
43,44,"Fri, Jan 19, 2018",01/19/2018,San Antonio Spurs,W,86,83,31,13,W 2,regular season
44,45,"Sat, Jan 20, 2018",01/20/2018,Minnesota Timberwolves,L,109,115,31,14,L 1,regular season
45,46,"Wed, Jan 24, 2018",01/24/2018,Atlanta Hawks,W,108,93,32,14,W 1,regular season
46,47,"Fri, Jan 26, 2018",01/26/2018,Utah Jazz,L,93,97,32,15,L 1,regular season
47,48,"Sun, Jan 28, 2018",01/28/2018,Los Angeles Lakers,W,123,111,33,15,W 1,regular season
48,49,"Tue, Jan 30, 2018",01/30/2018,Minnesota Timberwolves,W,109,104,34,15,W 2,regular season
49,50,"Thu, Feb 1, 2018",02/01/2018,Washington Wizards,L,119,122,34,16,L 1,regular season
50,51,"Fri, Feb 2, 2018",02/02/2018,Portland Trail Blazers,W,130,105,35,16,W 1,regular season
51,52,"Sun, Feb 4, 2018",02/04/2018,Memphis Grizzlies,W,101,86,36,16,W 2,regular season
52,53,"Tue, Feb 6, 2018",02/06/2018,Boston Celtics,W,111,91,37,16,W 3,regular season
53,54,"Thu, Feb 8, 2018",02/08/2018,New York Knicks,W,113,88,38,16,W 4,regular season
54,55,"Sun, Feb 11, 2018",02/11/2018,Charlotte Hornets,W,123,103,39,16,W 5,regular season
55,56,"Tue, Feb 13, 2018",02/13/2018,Miami Heat,W,115,112,40,16,W 6,regular season
56,57,"Wed, Feb 14, 2018",02/14/2018,Chicago Bulls,W,122,98,41,16,W 7,regular season
57,58,"Fri, Feb 23, 2018",02/23/2018,Milwaukee Bucks,L,119,122,41,17,L 1,regular season
58,59,"Mon, Feb 26, 2018",02/26/2018,Detroit Pistons,W,123,94,42,17,W 1,regular season
