,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
7,6,Boston Celtics,Terry Rozier,Philadelphia 76ers,W,10/16/2018,26:31,5,10,0.5,1,2,0.5,0,0,,0,8,8,1,0,1,1,0,11,22.0,2019,32,PG,https://www.basketball-reference.com/players/r/roziete01.html,12,6-1,190,Boston Celtics,regular season
8,7,Boston Celtics,Marcus Smart,Philadelphia 76ers,W,10/16/2018,25:01,2,4,0.5,2,4,0.5,1,2,0.5,0,3,3,3,0,0,2,2,7,3.0,2019,33,SG,https://www.basketball-reference.com/players/s/smartma01.html,36,6-3,220,Boston Celtics,regular season
9,8,Boston Celtics,Marcus Morris,Philadelphia 76ers,W,10/16/2018,20:30,7,12,0.583,2,7,0.28600000000000003,0,0,,2,8,10,0,2,0,1,5,16,3.0,2019,30,PF,https://www.basketball-reference.com/players/m/morrima03.html,13,6-8,218,Boston Celtics,regular season
10,9,Boston Celtics,Aron Baynes,Philadelphia 76ers,W,10/16/2018,19:14,3,7,0.429,2,4,0.5,0,0,,3,1,4,3,0,0,1,3,8,8.0,2019,22,C,https://www.basketball-reference.com/players/b/baynear01.html,46,6-10,260,Boston Celtics,regular season
11,10,Boston Celtics,Daniel Theis,Philadelphia 76ers,W,10/16/2018,4:08,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,3.0,2019,35,C,https://www.basketball-reference.com/players/t/theisda01.html,27,6-8,245,Boston Celtics,regular season
12,11,Boston Celtics,Semi Ojeleye,Philadelphia 76ers,W,10/16/2018,1:27,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,2.0,2019,31,PF,https://www.basketball-reference.com/players/o/ojelese01.html,37,6-6,240,Boston Celtics,regular season
13,12,Boston Celtics,Guerschon Yabusele,Philadelphia 76ers,W,10/16/2018,1:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2.0,2019,38,PF,https://www.basketball-reference.com/players/y/yabusgu01.html,30,6-8,260,Boston Celtics,regular season
14,13,Boston Celtics,Brad Wanamaker,Philadelphia 76ers,W,10/16/2018,0:49,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,2019,36,PG,https://www.basketball-reference.com/players/w/wanambr01.html,9,6-3,210,Boston Celtics,regular season
291,249,Boston Celtics,Marcus Morris,Toronto Raptors,L,10/19/2018,25:45,3,7,0.429,2,4,0.5,0,0,,0,2,2,1,0,1,2,4,8,-1.0,2019,30,PF,https://www.basketball-reference.com/players/m/morrima03.html,13,6-8,218,Boston Celtics,regular season
292,250,Boston Celtics,Terry Rozier,Toronto Raptors,L,10/19/2018,23:13,2,7,0.28600000000000003,2,3,0.667,2,2,1.0,2,3,5,3,1,0,0,4,8,-4.0,2019,32,PG,https://www.basketball-reference.com/players/r/roziete01.html,12,6-1,190,Boston Celtics,regular season
293,251,Boston Celtics,Marcus Smart,Toronto Raptors,L,10/19/2018,21:52,1,6,0.16699999999999998,0,2,0.0,0,0,,0,2,2,6,0,1,0,3,2,-2.0,2019,33,SG,https://www.basketball-reference.com/players/s/smartma01.html,36,6-3,220,Boston Celtics,regular season
294,252,Boston Celtics,Aron Baynes,Toronto Raptors,L,10/19/2018,14:34,2,8,0.25,0,2,0.0,1,2,0.5,4,2,6,0,0,1,1,1,5,-2.0,2019,22,C,https://www.basketball-reference.com/players/b/baynear01.html,46,6-10,260,Boston Celtics,regular season
378,322,Boston Celtics,Marcus Smart,New York Knicks,W,10/20/2018,28:01,2,5,0.4,0,2,0.0,4,6,0.667,2,2,4,5,2,0,3,4,8,7.0,2019,33,SG,https://www.basketball-reference.com/players/s/smartma01.html,36,6-3,220,Boston Celtics,regular season
