,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
7,5,Boston Celtics,Al Horford,Philadelphia 76ers,W,10/16/2018,29:57,4,7,0.5710000000000001,0,1,0.0,1,1,1.0,0,4,4,2,0,4,3,1,9,9,2019,26,C,https://www.basketball-reference.com/players/h/horfoal01.html,42,6-9,240,Boston Celtics,regular season
8,6,Boston Celtics,Kyrie Irving,Philadelphia 76ers,W,10/16/2018,29:00,2,14,0.14300000000000002,1,8,0.125,2,2,1.0,0,4,4,7,0,0,3,1,7,9,2019,28,PG,https://www.basketball-reference.com/players/i/irvinky01.html,11,6-2,195,Boston Celtics,regular season
9,7,Boston Celtics,Jayson Tatum,Philadelphia 76ers,W,10/16/2018,28:56,9,17,0.529,1,5,0.2,4,5,0.8,2,7,9,3,1,0,1,2,23,6,2019,34,SF,https://www.basketball-reference.com/players/t/tatumja01.html,0,6-8,210,Boston Celtics,regular season
10,8,Boston Celtics,Jaylen Brown,Philadelphia 76ers,W,10/16/2018,28:23,5,13,0.385,1,3,0.33299999999999996,1,2,0.5,3,2,5,2,0,0,2,4,12,11,2019,23,SG,https://www.basketball-reference.com/players/b/brownja02.html,7,6-6,223,Boston Celtics,regular season
11,9,Boston Celtics,Gordon Hayward,Philadelphia 76ers,W,10/16/2018,24:37,4,12,0.33299999999999996,1,3,0.33299999999999996,1,2,0.5,2,3,5,0,4,0,0,1,10,10,2019,25,PF,https://www.basketball-reference.com/players/h/haywago01.html,20,6-7,225,Boston Celtics,regular season
251,210,Boston Celtics,Jayson Tatum,Toronto Raptors,L,10/19/2018,36:47,6,16,0.375,2,6,0.33299999999999996,2,2,1.0,0,9,9,2,1,1,5,5,16,-14,2019,34,SF,https://www.basketball-reference.com/players/t/tatumja01.html,0,6-8,210,Boston Celtics,regular season
252,211,Boston Celtics,Kyrie Irving,Toronto Raptors,L,10/19/2018,35:56,10,20,0.5,1,3,0.33299999999999996,0,0,,2,2,4,6,0,1,1,3,21,-16,2019,28,PG,https://www.basketball-reference.com/players/i/irvinky01.html,11,6-2,195,Boston Celtics,regular season
253,212,Boston Celtics,Al Horford,Toronto Raptors,L,10/19/2018,33:26,5,12,0.41700000000000004,3,7,0.429,1,1,1.0,5,5,10,9,1,1,3,3,14,-10,2019,26,C,https://www.basketball-reference.com/players/h/horfoal01.html,42,6-9,240,Boston Celtics,regular season
254,213,Boston Celtics,Gordon Hayward,Toronto Raptors,L,10/19/2018,24:17,6,13,0.462,1,3,0.33299999999999996,1,1,1.0,2,5,7,2,1,0,1,0,14,-11,2019,25,PF,https://www.basketball-reference.com/players/h/haywago01.html,20,6-7,225,Boston Celtics,regular season
255,214,Boston Celtics,Jaylen Brown,Toronto Raptors,L,10/19/2018,24:10,5,10,0.5,3,6,0.5,0,2,0.0,1,3,4,0,0,0,1,4,13,0,2019,23,SG,https://www.basketball-reference.com/players/b/brownja02.html,7,6-6,223,Boston Celtics,regular season
316,270,Boston Celtics,Jaylen Brown,New York Knicks,W,10/20/2018,38:27,2,9,0.222,0,2,0.0,3,3,1.0,2,3,5,2,1,0,2,3,7,1,2019,23,SG,https://www.basketball-reference.com/players/b/brownja02.html,7,6-6,223,Boston Celtics,regular season
317,271,Boston Celtics,Jayson Tatum,New York Knicks,W,10/20/2018,35:11,8,15,0.5329999999999999,2,3,0.667,6,6,1.0,1,13,14,0,2,0,4,2,24,19,2019,34,SF,https://www.basketball-reference.com/players/t/tatumja01.html,0,6-8,210,Boston Celtics,regular season
318,272,Boston Celtics,Kyrie Irving,New York Knicks,W,10/20/2018,32:06,5,16,0.313,0,3,0.0,6,7,0.857,0,1,1,5,2,0,2,3,16,-13,2019,28,PG,https://www.basketball-reference.com/players/i/irvinky01.html,11,6-2,195,Boston Celtics,regular season
