,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
27,25,Charlotte Hornets,Kemba Walker,Milwaukee Bucks,L,10/17/2018,38:39,15,29,0.517,7,13,0.5379999999999999,4,5,0.8,1,1,2,4,2,0,3,0,41,-1,2019,72,PG,https://www.basketball-reference.com/players/w/walkeke02.html,15,6-0,184,Charlotte Hornets,regular season
28,26,Charlotte Hornets,Nicolas Batum,Milwaukee Bucks,L,10/17/2018,31:49,2,8,0.25,1,4,0.25,0,0,,1,6,7,3,2,2,2,1,5,-4,2019,59,SF,https://www.basketball-reference.com/players/b/batumni01.html,5,6-9,230,Charlotte Hornets,regular season
29,27,Charlotte Hornets,Marvin Williams,Milwaukee Bucks,L,10/17/2018,25:51,2,7,0.28600000000000003,1,6,0.16699999999999998,0,2,0.0,1,8,9,1,0,4,1,2,5,-4,2019,73,PF,https://www.basketball-reference.com/players/w/willima02.html,2,6-8,237,Charlotte Hornets,regular season
30,28,Charlotte Hornets,Cody Zeller,Milwaukee Bucks,L,10/17/2018,21:06,1,1,1.0,1,1,1.0,2,2,1.0,0,3,3,1,1,0,0,3,5,-11,2019,74,C,https://www.basketball-reference.com/players/z/zelleco01.html,40,7-0,240,Charlotte Hornets,regular season
31,29,Charlotte Hornets,Jeremy Lamb,Milwaukee Bucks,L,10/17/2018,20:48,4,11,0.364,2,4,0.5,0,0,,2,0,2,1,1,0,0,2,10,-6,2019,67,SG,https://www.basketball-reference.com/players/l/lambje01.html,3,6-5,180,Charlotte Hornets,regular season
191,160,Charlotte Hornets,Nicolas Batum,Orlando Magic,W,10/19/2018,29:59,6,8,0.75,3,4,0.75,0,0,,0,6,6,5,2,0,2,0,15,32,2019,59,SF,https://www.basketball-reference.com/players/b/batumni01.html,5,6-9,230,Charlotte Hornets,regular season
192,161,Charlotte Hornets,Kemba Walker,Orlando Magic,W,10/19/2018,26:46,8,16,0.5,5,10,0.5,5,5,1.0,0,2,2,5,1,0,3,0,26,34,2019,72,PG,https://www.basketball-reference.com/players/w/walkeke02.html,15,6-0,184,Charlotte Hornets,regular season
193,162,Charlotte Hornets,Jeremy Lamb,Orlando Magic,W,10/19/2018,25:05,2,7,0.28600000000000003,0,2,0.0,4,4,1.0,1,6,7,1,1,1,0,0,8,19,2019,67,SG,https://www.basketball-reference.com/players/l/lambje01.html,3,6-5,180,Charlotte Hornets,regular season
194,163,Charlotte Hornets,Cody Zeller,Orlando Magic,W,10/19/2018,22:45,3,8,0.375,0,0,,2,2,1.0,3,5,8,2,1,0,0,2,8,17,2019,74,C,https://www.basketball-reference.com/players/z/zelleco01.html,40,7-0,240,Charlotte Hornets,regular season
195,164,Charlotte Hornets,Marvin Williams,Orlando Magic,W,10/19/2018,20:29,3,7,0.429,2,6,0.33299999999999996,0,0,,1,3,4,0,0,0,1,0,8,13,2019,73,PF,https://www.basketball-reference.com/players/w/willima02.html,2,6-8,237,Charlotte Hornets,regular season
356,300,Charlotte Hornets,Nicolas Batum,Miami Heat,W,10/20/2018,41:44,2,10,0.2,2,7,0.28600000000000003,2,2,1.0,1,3,4,4,1,0,1,3,8,0,2019,59,SF,https://www.basketball-reference.com/players/b/batumni01.html,5,6-9,230,Charlotte Hornets,regular season
357,301,Charlotte Hornets,Kemba Walker,Miami Heat,W,10/20/2018,40:02,14,31,0.452,7,15,0.467,4,7,0.5710000000000001,0,5,5,7,0,0,2,4,39,1,2019,72,PG,https://www.basketball-reference.com/players/w/walkeke02.html,15,6-0,184,Charlotte Hornets,regular season
358,302,Charlotte Hornets,Marvin Williams,Miami Heat,W,10/20/2018,30:09,5,10,0.5,2,5,0.4,1,2,0.5,1,5,6,1,0,3,1,2,13,9,2019,73,PF,https://www.basketball-reference.com/players/w/willima02.html,2,6-8,237,Charlotte Hornets,regular season
359,303,Charlotte Hornets,Jeremy Lamb,Miami Heat,W,10/20/2018,28:06,4,12,0.33299999999999996,2,6,0.33299999999999996,2,2,1.0,1,4,5,4,3,2,1,6,12,10,2019,67,SG,https://www.basketball-reference.com/players/l/lambje01.html,3,6-5,180,Charlotte Hornets,regular season
360,304,Charlotte Hornets,Cody Zeller,Miami Heat,W,10/20/2018,24:32,5,7,0.7140000000000001,0,0,,1,1,1.0,4,4,8,2,1,0,2,3,11,11,2019,74,C,https://www.basketball-reference.com/players/z/zelleco01.html,40,7-0,240,Charlotte Hornets,regular season
471,400,Charlotte Hornets,Nicolas Batum,Toronto Raptors,L,10/22/2018,35:57,4,10,0.4,3,7,0.429,2,2,1.0,2,3,5,1,0,0,2,2,13,-22,2019,59,SF,https://www.basketball-reference.com/players/b/batumni01.html,5,6-9,230,Charlotte Hornets,regular season
472,401,Charlotte Hornets,Kemba Walker,Toronto Raptors,L,10/22/2018,33:34,11,22,0.5,2,7,0.28600000000000003,2,2,1.0,0,5,5,5,1,0,1,2,26,-22,2019,72,PG,https://www.basketball-reference.com/players/w/walkeke02.html,15,6-0,184,Charlotte Hornets,regular season
473,402,Charlotte Hornets,Jeremy Lamb,Toronto Raptors,L,10/22/2018,23:18,5,14,0.35700000000000004,1,4,0.25,5,6,0.833,1,3,4,0,0,1,1,1,16,-9,2019,67,SG,https://www.basketball-reference.com/players/l/lambje01.html,3,6-5,180,Charlotte Hornets,regular season
474,403,Charlotte Hornets,Marvin Williams,Toronto Raptors,L,10/22/2018,20:41,2,6,0.33299999999999996,0,2,0.0,0,0,,1,1,2,1,1,0,0,1,4,-11,2019,73,PF,https://www.basketball-reference.com/players/w/willima02.html,2,6-8,237,Charlotte Hornets,regular season
475,404,Charlotte Hornets,Cody Zeller,Toronto Raptors,L,10/22/2018,15:16,1,2,0.5,0,0,,0,0,,2,3,5,3,0,1,1,1,2,-7,2019,74,C,https://www.basketball-reference.com/players/z/zelleco01.html,40,7-0,240,Charlotte Hornets,regular season
658,550,Charlotte Hornets,Nicolas Batum,Chicago Bulls,L,10/24/2018,37:36,6,15,0.4,1,6,0.16699999999999998,0,1,0.0,0,3,3,4,1,1,3,0,13,14,2019,59,SF,https://www.basketball-reference.com/players/b/batumni01.html,5,6-9,230,Charlotte Hornets,regular season
659,551,Charlotte Hornets,Kemba Walker,Chicago Bulls,L,10/24/2018,35:33,5,14,0.35700000000000004,3,9,0.33299999999999996,10,11,0.909,0,3,3,6,1,1,1,2,23,0,2019,72,PG,https://www.basketball-reference.com/players/w/walkeke02.html,15,6-0,184,Charlotte Hornets,regular season
660,552,Charlotte Hornets,Marvin Williams,Chicago Bulls,L,10/24/2018,33:02,4,12,0.33299999999999996,1,6,0.16699999999999998,2,2,1.0,3,5,8,1,2,1,0,1,11,4,2019,73,PF,https://www.basketball-reference.com/players/w/willima02.html,2,6-8,237,Charlotte Hornets,regular season
661,553,Charlotte Hornets,Jeremy Lamb,Chicago Bulls,L,10/24/2018,28:08,5,9,0.556,2,3,0.667,0,0,,0,3,3,3,1,1,0,2,12,-7,2019,67,SG,https://www.basketball-reference.com/players/l/lambje01.html,3,6-5,180,Charlotte Hornets,regular season
662,554,Charlotte Hornets,Cody Zeller,Chicago Bulls,L,10/24/2018,21:19,5,8,0.625,0,0,,4,4,1.0,3,3,6,2,0,0,0,0,14,7,2019,74,C,https://www.basketball-reference.com/players/z/zelleco01.html,40,7-0,240,Charlotte Hornets,regular season
796,665,Charlotte Hornets,Nicolas Batum,Chicago Bulls,W,10/26/2018,30:31,4,5,0.8,2,3,0.667,0,0,,1,7,8,5,2,1,1,3,10,27,2019,59,SF,https://www.basketball-reference.com/players/b/batumni01.html,5,6-9,230,Charlotte Hornets,regular season
797,666,Charlotte Hornets,Kemba Walker,Chicago Bulls,W,10/26/2018,26:13,11,18,0.611,5,10,0.5,3,3,1.0,1,5,6,7,0,0,2,3,30,20,2019,72,PG,https://www.basketball-reference.com/players/w/walkeke02.html,15,6-0,184,Charlotte Hornets,regular season
798,667,Charlotte Hornets,Jeremy Lamb,Chicago Bulls,W,10/26/2018,23:45,3,7,0.429,2,4,0.5,2,2,1.0,1,3,4,2,1,0,1,2,10,16,2019,67,SG,https://www.basketball-reference.com/players/l/lambje01.html,3,6-5,180,Charlotte Hornets,regular season
799,668,Charlotte Hornets,Cody Zeller,Chicago Bulls,W,10/26/2018,20:22,6,9,0.667,0,0,,2,2,1.0,2,4,6,1,0,1,1,1,14,15,2019,74,C,https://www.basketball-reference.com/players/z/zelleco01.html,40,7-0,240,Charlotte Hornets,regular season
800,669,Charlotte Hornets,Marvin Williams,Chicago Bulls,W,10/26/2018,17:17,2,6,0.33299999999999996,0,2,0.0,0,0,,1,4,5,0,0,2,0,1,4,15,2019,73,PF,https://www.basketball-reference.com/players/w/willima02.html,2,6-8,237,Charlotte Hornets,regular season
922,770,Charlotte Hornets,Kemba Walker,Philadelphia 76ers,L,10/27/2018,34:55,11,31,0.355,3,15,0.2,12,14,0.857,1,5,6,6,1,2,2,1,37,6,2019,72,PG,https://www.basketball-reference.com/players/w/walkeke02.html,15,6-0,184,Charlotte Hornets,regular season
923,771,Charlotte Hornets,Nicolas Batum,Philadelphia 76ers,L,10/27/2018,31:08,1,5,0.2,0,2,0.0,0,0,,2,8,10,4,0,2,1,1,2,12,2019,59,SF,https://www.basketball-reference.com/players/b/batumni01.html,5,6-9,230,Charlotte Hornets,regular season
924,772,Charlotte Hornets,Jeremy Lamb,Philadelphia 76ers,L,10/27/2018,28:33,5,12,0.41700000000000004,1,2,0.5,1,1,1.0,0,3,3,1,0,0,0,3,12,0,2019,67,SG,https://www.basketball-reference.com/players/l/lambje01.html,3,6-5,180,Charlotte Hornets,regular season
