,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
175,153,Chicago Bulls,Antonio Blakeney,Philadelphia 76ers,L,10/18/2018,30:27,6,16,0.375,1,3,0.33299999999999996,2,3,0.667,0,5,5,2,0,0,1,2,15,6.0,2019,77,SG,https://www.basketball-reference.com/players/b/blakean01.html,9,6-4,192,Chicago Bulls,regular season
176,154,Chicago Bulls,Ryan Arcidiacono,Philadelphia 76ers,L,10/18/2018,28:16,3,4,0.75,2,3,0.667,0,0,,0,4,4,8,0,0,0,0,8,-5.0,2019,76,PG,https://www.basketball-reference.com/players/a/arcidry01.html,51,6-3,195,Chicago Bulls,regular season
177,155,Chicago Bulls,Jabari Parker,Philadelphia 76ers,L,10/18/2018,25:12,7,16,0.43799999999999994,1,4,0.25,0,0,,1,4,5,1,1,0,2,3,15,-14.0,2019,89,PF,https://www.basketball-reference.com/players/p/parkeja01.html,2,6-8,245,Chicago Bulls,regular season
178,155,Chicago Bulls,Jabari Parker,Philadelphia 76ers,L,10/18/2018,25:12,7,16,0.43799999999999994,1,4,0.25,0,0,,1,4,5,1,1,0,2,3,15,-14.0,2019,611,PF,https://www.basketball-reference.com/players/p/parkeja01.html,12,6-8,245,Washington Wizards,regular season
179,156,Chicago Bulls,Robin Lopez,Philadelphia 76ers,L,10/18/2018,17:43,1,4,0.25,0,0,,0,0,,1,0,1,3,1,1,2,2,2,-3.0,2019,86,C,https://www.basketball-reference.com/players/l/lopezro01.html,42,7-0,281,Chicago Bulls,regular season
180,157,Chicago Bulls,Chandler Hutchison,Philadelphia 76ers,L,10/18/2018,2:49,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.0,2019,83,SF,https://www.basketball-reference.com/players/h/hutchch01.html,15,6-7,210,Chicago Bulls,regular season
181,158,Chicago Bulls,Tyler Ulis,Philadelphia 76ers,L,10/18/2018,0:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2019,96,PG,https://www.basketball-reference.com/players/u/ulisty01.html,0,5-10,160,Chicago Bulls,regular season
408,350,Chicago Bulls,Robin Lopez,Detroit Pistons,L,10/20/2018,25:17,3,6,0.5,0,0,,1,1,1.0,0,2,2,3,0,1,3,4,7,-3.0,2019,86,C,https://www.basketball-reference.com/players/l/lopezro01.html,42,7-0,281,Chicago Bulls,regular season
409,351,Chicago Bulls,Jabari Parker,Detroit Pistons,L,10/20/2018,23:42,5,13,0.385,2,3,0.667,1,2,0.5,2,4,6,1,0,0,0,3,13,-7.0,2019,89,PF,https://www.basketball-reference.com/players/p/parkeja01.html,2,6-8,245,Chicago Bulls,regular season
410,351,Chicago Bulls,Jabari Parker,Detroit Pistons,L,10/20/2018,23:42,5,13,0.385,2,3,0.667,1,2,0.5,2,4,6,1,0,0,0,3,13,-7.0,2019,611,PF,https://www.basketball-reference.com/players/p/parkeja01.html,12,6-8,245,Washington Wizards,regular season
411,352,Chicago Bulls,Antonio Blakeney,Detroit Pistons,L,10/20/2018,21:30,5,6,0.833,0,0,,0,0,,0,4,4,0,1,0,0,0,10,0.0,2019,77,SG,https://www.basketball-reference.com/players/b/blakean01.html,9,6-4,192,Chicago Bulls,regular season
412,353,Chicago Bulls,Ryan Arcidiacono,Detroit Pistons,L,10/20/2018,19:39,1,3,0.33299999999999996,1,2,0.5,0,0,,0,1,1,7,0,0,1,0,3,-4.0,2019,76,PG,https://www.basketball-reference.com/players/a/arcidry01.html,51,6-3,195,Chicago Bulls,regular season
581,503,Chicago Bulls,Jabari Parker,Dallas Mavericks,L,10/22/2018,24:02,8,14,0.5710000000000001,2,3,0.667,2,3,0.667,2,1,3,1,1,0,1,2,20,-11.0,2019,89,PF,https://www.basketball-reference.com/players/p/parkeja01.html,2,6-8,245,Chicago Bulls,regular season
582,503,Chicago Bulls,Jabari Parker,Dallas Mavericks,L,10/22/2018,24:02,8,14,0.5710000000000001,2,3,0.667,2,3,0.667,2,1,3,1,1,0,1,2,20,-11.0,2019,611,PF,https://www.basketball-reference.com/players/p/parkeja01.html,12,6-8,245,Washington Wizards,regular season
583,504,Chicago Bulls,Cameron Payne,Dallas Mavericks,L,10/22/2018,17:42,3,7,0.429,0,0,,0,0,,0,2,2,2,0,0,2,3,6,-5.0,2019,90,PG,https://www.basketball-reference.com/players/p/payneca01.html,22,6-3,190,Chicago Bulls,regular season
584,504,Chicago Bulls,Cameron Payne,Dallas Mavericks,L,10/22/2018,17:42,3,7,0.429,0,0,,0,0,,0,2,2,2,0,0,2,3,6,-5.0,2019,117,PG,https://www.basketball-reference.com/players/p/payneca01.html,3,6-3,190,Cleveland Cavaliers,regular season
585,505,Chicago Bulls,Chandler Hutchison,Dallas Mavericks,L,10/22/2018,17:37,1,2,0.5,0,1,0.0,1,2,0.5,1,3,4,0,1,0,0,2,3,-5.0,2019,83,SF,https://www.basketball-reference.com/players/h/hutchch01.html,15,6-7,210,Chicago Bulls,regular season
586,506,Chicago Bulls,Robin Lopez,Dallas Mavericks,L,10/22/2018,9:30,1,2,0.5,0,0,,0,0,,0,1,1,1,0,0,1,5,2,-6.0,2019,86,C,https://www.basketball-reference.com/players/l/lopezro01.html,42,7-0,281,Chicago Bulls,regular season
587,507,Chicago Bulls,Antonio Blakeney,Dallas Mavericks,L,10/22/2018,4:32,1,2,0.5,1,1,1.0,0,2,0.0,0,0,0,0,0,0,0,0,3,6.0,2019,77,SG,https://www.basketball-reference.com/players/b/blakean01.html,9,6-4,192,Chicago Bulls,regular season
756,649,Chicago Bulls,Jabari Parker,Charlotte Hornets,W,10/24/2018,30:40,3,7,0.429,0,2,0.0,5,5,1.0,0,9,9,4,2,0,3,0,11,9.0,2019,89,PF,https://www.basketball-reference.com/players/p/parkeja01.html,2,6-8,245,Chicago Bulls,regular season
757,649,Chicago Bulls,Jabari Parker,Charlotte Hornets,W,10/24/2018,30:40,3,7,0.429,0,2,0.0,5,5,1.0,0,9,9,4,2,0,3,0,11,9.0,2019,611,PF,https://www.basketball-reference.com/players/p/parkeja01.html,12,6-8,245,Washington Wizards,regular season
758,650,Chicago Bulls,Ryan Arcidiacono,Charlotte Hornets,W,10/24/2018,17:15,2,3,0.667,1,2,0.5,5,5,1.0,0,1,1,2,0,0,2,3,10,2.0,2019,76,PG,https://www.basketball-reference.com/players/a/arcidry01.html,51,6-3,195,Chicago Bulls,regular season
759,651,Chicago Bulls,Cristiano Felicio,Charlotte Hornets,W,10/24/2018,15:45,3,4,0.75,0,0,,3,4,0.75,2,3,5,0,1,0,0,1,9,11.0,2019,80,C,https://www.basketball-reference.com/players/f/feliccr01.html,6,6-10,270,Chicago Bulls,regular season
760,652,Chicago Bulls,Chandler Hutchison,Charlotte Hornets,W,10/24/2018,13:00,4,5,0.8,0,1,0.0,0,0,,0,1,1,0,0,0,1,0,8,5.0,2019,83,SF,https://www.basketball-reference.com/players/h/hutchch01.html,15,6-7,210,Chicago Bulls,regular season
761,653,Chicago Bulls,Antonio Blakeney,Charlotte Hornets,W,10/24/2018,8:53,1,2,0.5,0,1,0.0,2,3,0.667,0,0,0,1,0,0,0,1,4,12.0,2019,77,SG,https://www.basketball-reference.com/players/b/blakean01.html,9,6-4,192,Chicago Bulls,regular season
892,768,Chicago Bulls,Cristiano Felicio,Charlotte Hornets,L,10/26/2018,30:03,3,6,0.5,0,0,,3,4,0.75,2,5,7,1,0,0,2,1,9,-8.0,2019,80,C,https://www.basketball-reference.com/players/f/feliccr01.html,6,6-10,270,Chicago Bulls,regular season
893,769,Chicago Bulls,Jabari Parker,Charlotte Hornets,L,10/26/2018,25:41,7,14,0.5,2,5,0.4,3,3,1.0,2,0,2,1,0,1,3,1,19,-18.0,2019,89,PF,https://www.basketball-reference.com/players/p/parkeja01.html,2,6-8,245,Chicago Bulls,regular season
894,769,Chicago Bulls,Jabari Parker,Charlotte Hornets,L,10/26/2018,25:41,7,14,0.5,2,5,0.4,3,3,1.0,2,0,2,1,0,1,3,1,19,-18.0,2019,611,PF,https://www.basketball-reference.com/players/p/parkeja01.html,12,6-8,245,Washington Wizards,regular season
895,770,Chicago Bulls,Ryan Arcidiacono,Charlotte Hornets,L,10/26/2018,24:53,3,5,0.6,2,4,0.5,0,0,,1,0,1,4,0,0,1,3,8,-9.0,2019,76,PG,https://www.basketball-reference.com/players/a/arcidry01.html,51,6-3,195,Chicago Bulls,regular season
896,771,Chicago Bulls,Antonio Blakeney,Charlotte Hornets,L,10/26/2018,22:10,5,10,0.5,2,5,0.4,1,2,0.5,0,2,2,0,0,2,0,2,13,-6.0,2019,77,SG,https://www.basketball-reference.com/players/b/blakean01.html,9,6-4,192,Chicago Bulls,regular season
897,772,Chicago Bulls,Shaquille Harrison,Charlotte Hornets,L,10/26/2018,13:53,3,8,0.375,2,3,0.667,2,2,1.0,2,2,4,3,1,0,2,2,10,-1.0,2019,81,SG,https://www.basketball-reference.com/players/h/harrish01.html,3,6-7,190,Chicago Bulls,regular season
1027,884,Chicago Bulls,Jabari Parker,Atlanta Hawks,W,10/27/2018,34:06,7,16,0.43799999999999994,3,6,0.5,1,2,0.5,2,6,8,3,1,2,3,1,18,8.0,2019,89,PF,https://www.basketball-reference.com/players/p/parkeja01.html,2,6-8,245,Chicago Bulls,regular season
