,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
91,82,Cleveland Cavaliers,Jordan Clarkson,Toronto Raptors,L,10/17/2018,23:09,7,15,0.467,1,4,0.25,0,0,,0,3,3,0,0,0,0,3,15,-8.0,2019,101,SG,https://www.basketball-reference.com/players/c/clarkjo01.html,8,6-4,194,Cleveland Cavaliers,regular season
92,83,Cleveland Cavaliers,Collin Sexton,Toronto Raptors,L,10/17/2018,17:43,2,7,0.28600000000000003,0,1,0.0,5,5,1.0,1,2,3,0,0,0,4,4,9,0.0,2019,118,PG,https://www.basketball-reference.com/players/s/sextoco01.html,2,6-1,190,Cleveland Cavaliers,regular season
93,84,Cleveland Cavaliers,Sam Dekker,Toronto Raptors,L,10/17/2018,16:16,1,2,0.5,0,1,0.0,2,4,0.5,1,5,6,0,1,0,1,1,4,-10.0,2019,102,PF,https://www.basketball-reference.com/players/d/dekkesa01.html,15,6-9,230,Cleveland Cavaliers,regular season
94,84,Cleveland Cavaliers,Sam Dekker,Toronto Raptors,L,10/17/2018,16:16,1,2,0.5,0,1,0.0,2,4,0.5,1,5,6,0,1,0,1,1,4,-10.0,2019,602,PF,https://www.basketball-reference.com/players/d/dekkesa01.html,8,6-9,230,Washington Wizards,regular season
95,85,Cleveland Cavaliers,Ante Zizic,Toronto Raptors,L,10/17/2018,14:24,2,2,1.0,0,0,,1,2,0.5,0,3,3,2,0,0,0,2,5,11.0,2019,123,C,https://www.basketball-reference.com/players/z/zizican01.html,41,6-10,266,Cleveland Cavaliers,regular season
96,86,Cleveland Cavaliers,Kyle Korver,Toronto Raptors,L,10/17/2018,14:01,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,0,1,3,13.0,2019,111,PF,https://www.basketball-reference.com/players/k/korveky01.html,26,6-7,212,Cleveland Cavaliers,regular season
97,86,Cleveland Cavaliers,Kyle Korver,Toronto Raptors,L,10/17/2018,14:01,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,0,1,3,13.0,2019,588,SG,https://www.basketball-reference.com/players/k/korveky01.html,26,6-7,212,Utah Jazz,regular season
98,87,Cleveland Cavaliers,David Nwaba,Toronto Raptors,L,10/17/2018,1:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.0,2019,115,SG,https://www.basketball-reference.com/players/n/nwabada01.html,12,6-5,219,Cleveland Cavaliers,regular season
99,88,Cleveland Cavaliers,John Holland,Toronto Raptors,L,10/17/2018,0:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1.0,2019,107,SF,https://www.basketball-reference.com/players/h/hollajo02.html,10,6-5,205,Cleveland Cavaliers,regular season
260,224,Cleveland Cavaliers,Jordan Clarkson,Minnesota Timberwolves,L,10/19/2018,23:42,8,14,0.5710000000000001,0,2,0.0,3,3,1.0,1,3,4,1,1,1,3,1,19,-8.0,2019,101,SG,https://www.basketball-reference.com/players/c/clarkjo01.html,8,6-4,194,Cleveland Cavaliers,regular season
261,225,Cleveland Cavaliers,Collin Sexton,Minnesota Timberwolves,L,10/19/2018,23:03,6,9,0.667,0,0,,2,2,1.0,0,2,2,1,0,0,0,1,14,-15.0,2019,118,PG,https://www.basketball-reference.com/players/s/sextoco01.html,2,6-1,190,Cleveland Cavaliers,regular season
262,226,Cleveland Cavaliers,Ante Zizic,Minnesota Timberwolves,L,10/19/2018,10:51,2,3,0.667,0,0,,3,4,0.75,1,0,1,2,1,0,0,1,7,-7.0,2019,123,C,https://www.basketball-reference.com/players/z/zizican01.html,41,6-10,266,Cleveland Cavaliers,regular season
263,227,Cleveland Cavaliers,Sam Dekker,Minnesota Timberwolves,L,10/19/2018,8:54,1,3,0.33299999999999996,1,2,0.5,2,2,1.0,1,0,1,1,1,0,1,3,5,-13.0,2019,102,PF,https://www.basketball-reference.com/players/d/dekkesa01.html,15,6-9,230,Cleveland Cavaliers,regular season
264,227,Cleveland Cavaliers,Sam Dekker,Minnesota Timberwolves,L,10/19/2018,8:54,1,3,0.33299999999999996,1,2,0.5,2,2,1.0,1,0,1,1,1,0,1,3,5,-13.0,2019,602,PF,https://www.basketball-reference.com/players/d/dekkesa01.html,8,6-9,230,Washington Wizards,regular season
265,228,Cleveland Cavaliers,Kyle Korver,Minnesota Timberwolves,L,10/19/2018,5:14,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-8.0,2019,111,PF,https://www.basketball-reference.com/players/k/korveky01.html,26,6-7,212,Cleveland Cavaliers,regular season
266,228,Cleveland Cavaliers,Kyle Korver,Minnesota Timberwolves,L,10/19/2018,5:14,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-8.0,2019,588,SG,https://www.basketball-reference.com/players/k/korveky01.html,26,6-7,212,Utah Jazz,regular season
267,229,Cleveland Cavaliers,J.R. Smith,Minnesota Timberwolves,L,10/19/2018,3:40,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,0,0,-8.0,2019,120,SG,https://www.basketball-reference.com/players/s/smithjr01.html,5,6-6,225,Cleveland Cavaliers,regular season
484,418,Cleveland Cavaliers,Collin Sexton,Atlanta Hawks,L,10/21/2018,27:33,2,11,0.182,0,1,0.0,0,0,,1,1,2,2,0,0,2,4,4,-23.0,2019,118,PG,https://www.basketball-reference.com/players/s/sextoco01.html,2,6-1,190,Cleveland Cavaliers,regular season
485,419,Cleveland Cavaliers,Jordan Clarkson,Atlanta Hawks,L,10/21/2018,23:02,7,12,0.583,3,5,0.6,2,3,0.667,0,3,3,2,0,0,1,2,19,-25.0,2019,101,SG,https://www.basketball-reference.com/players/c/clarkjo01.html,8,6-4,194,Cleveland Cavaliers,regular season
486,420,Cleveland Cavaliers,Larry Nance,Atlanta Hawks,L,10/21/2018,17:18,3,6,0.5,0,0,,3,5,0.6,2,2,4,4,0,0,1,3,9,-18.0,2019,114,C,https://www.basketball-reference.com/players/n/nancela02.html,22,6-7,245,Cleveland Cavaliers,regular season
487,421,Cleveland Cavaliers,Sam Dekker,Atlanta Hawks,L,10/21/2018,14:29,3,5,0.6,1,2,0.5,0,0,,1,4,5,1,1,0,1,1,7,-9.0,2019,102,PF,https://www.basketball-reference.com/players/d/dekkesa01.html,15,6-9,230,Cleveland Cavaliers,regular season
488,421,Cleveland Cavaliers,Sam Dekker,Atlanta Hawks,L,10/21/2018,14:29,3,5,0.6,1,2,0.5,0,0,,1,4,5,1,1,0,1,1,7,-9.0,2019,602,PF,https://www.basketball-reference.com/players/d/dekkesa01.html,8,6-9,230,Washington Wizards,regular season
489,422,Cleveland Cavaliers,Ante Zizic,Atlanta Hawks,L,10/21/2018,3:25,2,4,0.5,0,0,,0,0,,2,1,3,0,0,0,2,1,4,-4.0,2019,123,C,https://www.basketball-reference.com/players/z/zizican01.html,41,6-10,266,Cleveland Cavaliers,regular season
714,614,Cleveland Cavaliers,Collin Sexton,Brooklyn Nets,L,10/24/2018,25:01,6,10,0.6,0,1,0.0,2,2,1.0,0,3,3,1,0,0,2,2,14,1.0,2019,118,PG,https://www.basketball-reference.com/players/s/sextoco01.html,2,6-1,190,Cleveland Cavaliers,regular season
715,615,Cleveland Cavaliers,Jordan Clarkson,Brooklyn Nets,L,10/24/2018,22:35,4,14,0.28600000000000003,0,4,0.0,6,6,1.0,2,3,5,3,0,0,4,1,14,7.0,2019,101,SG,https://www.basketball-reference.com/players/c/clarkjo01.html,8,6-4,194,Cleveland Cavaliers,regular season
716,616,Cleveland Cavaliers,Larry Nance,Brooklyn Nets,L,10/24/2018,20:22,2,7,0.28600000000000003,0,1,0.0,0,0,,1,5,6,4,2,0,2,2,4,-9.0,2019,114,C,https://www.basketball-reference.com/players/n/nancela02.html,22,6-7,245,Cleveland Cavaliers,regular season
717,617,Cleveland Cavaliers,Kyle Korver,Brooklyn Nets,L,10/24/2018,18:54,1,2,0.5,0,0,,0,0,,0,1,1,3,1,0,1,2,2,-5.0,2019,111,PF,https://www.basketball-reference.com/players/k/korveky01.html,26,6-7,212,Cleveland Cavaliers,regular season
718,617,Cleveland Cavaliers,Kyle Korver,Brooklyn Nets,L,10/24/2018,18:54,1,2,0.5,0,0,,0,0,,0,1,1,3,1,0,1,2,2,-5.0,2019,588,SG,https://www.basketball-reference.com/players/k/korveky01.html,26,6-7,212,Utah Jazz,regular season
719,618,Cleveland Cavaliers,J.R. Smith,Brooklyn Nets,L,10/24/2018,18:06,3,5,0.6,0,1,0.0,1,1,1.0,0,1,1,0,1,0,0,2,7,-4.0,2019,120,SG,https://www.basketball-reference.com/players/s/smithjr01.html,5,6-6,225,Cleveland Cavaliers,regular season
720,619,Cleveland Cavaliers,Ante Zizic,Brooklyn Nets,L,10/24/2018,4:02,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,0,0,7.0,2019,123,C,https://www.basketball-reference.com/players/z/zizican01.html,41,6-10,266,Cleveland Cavaliers,regular season
721,620,Cleveland Cavaliers,Sam Dekker,Brooklyn Nets,L,10/24/2018,3:50,2,2,1.0,0,0,,0,0,,0,1,1,0,0,0,0,0,4,7.0,2019,102,PF,https://www.basketball-reference.com/players/d/dekkesa01.html,15,6-9,230,Cleveland Cavaliers,regular season
722,620,Cleveland Cavaliers,Sam Dekker,Brooklyn Nets,L,10/24/2018,3:50,2,2,1.0,0,0,,0,0,,0,1,1,0,0,0,0,0,4,7.0,2019,602,PF,https://www.basketball-reference.com/players/d/dekkesa01.html,8,6-9,230,Washington Wizards,regular season
