,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
136,120,Dallas Mavericks,Wesley Matthews,Phoenix Suns,L,10/17/2018,34:21,4,10,0.4,2,7,0.28600000000000003,5,6,0.833,1,1,2,5,1,0,2,0,15,-15,2019,139,SF,https://www.basketball-reference.com/players/m/matthwe02.html,23,6-4,220,Dallas Mavericks,regular season
137,120,Dallas Mavericks,Wesley Matthews,Phoenix Suns,L,10/17/2018,34:21,4,10,0.4,2,7,0.28600000000000003,5,6,0.833,1,1,2,5,1,0,2,0,15,-15,2019,231,SG,https://www.basketball-reference.com/players/m/matthwe02.html,23,6-4,220,Indiana Pacers,regular season
138,120,Dallas Mavericks,Wesley Matthews,Phoenix Suns,L,10/17/2018,34:21,4,10,0.4,2,7,0.28600000000000003,5,6,0.833,1,1,2,5,1,0,2,0,15,-15,2019,410,SG,https://www.basketball-reference.com/players/m/matthwe02.html,23,6-4,220,New York Knicks,regular season
139,121,Dallas Mavericks,Luka Doncic,Phoenix Suns,L,10/17/2018,31:47,5,16,0.313,0,5,0.0,0,2,0.0,2,6,8,4,0,0,4,3,10,-18,2019,130,SG,https://www.basketball-reference.com/players/d/doncilu01.html,77,6-7,230,Dallas Mavericks,regular season
140,122,Dallas Mavericks,DeAndre Jordan,Phoenix Suns,L,10/17/2018,30:31,5,9,0.556,0,0,,1,1,1.0,4,8,12,1,1,1,0,5,11,-21,2019,135,C,https://www.basketball-reference.com/players/j/jordade01.html,6,6-11,265,Dallas Mavericks,regular season
141,122,Dallas Mavericks,DeAndre Jordan,Phoenix Suns,L,10/17/2018,30:31,5,9,0.556,0,0,,1,1,1.0,4,8,12,1,1,1,0,5,11,-21,2019,405,C,https://www.basketball-reference.com/players/j/jordade01.html,6,6-11,265,New York Knicks,regular season
142,123,Dallas Mavericks,Dorian Finney-Smith,Phoenix Suns,L,10/17/2018,30:21,4,7,0.5710000000000001,2,5,0.4,2,2,1.0,0,3,3,1,0,3,0,2,12,-16,2019,131,SF,https://www.basketball-reference.com/players/f/finnedo01.html,10,6-7,220,Dallas Mavericks,regular season
143,124,Dallas Mavericks,Dennis Smith,Phoenix Suns,L,10/17/2018,27:55,6,19,0.316,1,4,0.25,0,0,,1,1,2,5,3,0,1,2,13,-19,2019,143,PG,https://www.basketball-reference.com/players/s/smithde03.html,1,6-2,205,Dallas Mavericks,regular season
144,124,Dallas Mavericks,Dennis Smith,Phoenix Suns,L,10/17/2018,27:55,6,19,0.316,1,4,0.25,0,0,,1,1,2,5,3,0,1,2,13,-19,2019,414,PG,https://www.basketball-reference.com/players/s/smithde03.html,5,6-2,205,New York Knicks,regular season
371,315,Dallas Mavericks,Luka Doncic,Minnesota Timberwolves,W,10/20/2018,36:14,8,16,0.5,4,9,0.444,6,9,0.667,1,5,6,3,2,1,6,3,26,6,2019,130,SG,https://www.basketball-reference.com/players/d/doncilu01.html,77,6-7,230,Dallas Mavericks,regular season
372,316,Dallas Mavericks,Wesley Matthews,Minnesota Timberwolves,W,10/20/2018,35:26,7,19,0.368,4,11,0.364,1,3,0.33299999999999996,2,2,4,2,0,0,2,5,19,4,2019,139,SF,https://www.basketball-reference.com/players/m/matthwe02.html,23,6-4,220,Dallas Mavericks,regular season
