,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
146,128,Denver Nuggets,Trey Lyles,Los Angeles Clippers,W,10/17/2018,18:47,3,6,0.5,0,1,0.0,4,6,0.667,0,7,7,0,1,0,1,2,10,-10.0,2019,154,PF,https://www.basketball-reference.com/players/l/lylestr01.html,7,6-9,234,Denver Nuggets,regular season
147,129,Denver Nuggets,Monte Morris,Los Angeles Clippers,W,10/17/2018,16:23,3,9,0.33299999999999996,1,2,0.5,0,0,,1,1,2,4,1,0,0,0,7,-9.0,2019,156,PG,https://www.basketball-reference.com/players/m/morrimo01.html,11,6-2,183,Denver Nuggets,regular season
148,130,Denver Nuggets,Juan Hernangomez,Los Angeles Clippers,W,10/17/2018,15:03,2,3,0.667,1,1,1.0,0,0,,2,4,6,1,1,1,0,1,5,-8.0,2019,151,PF,https://www.basketball-reference.com/players/h/hernaju01.html,41,6-9,214,Denver Nuggets,regular season
149,131,Denver Nuggets,Mason Plumlee,Los Angeles Clippers,W,10/17/2018,13:22,1,3,0.33299999999999996,0,0,,0,2,0.0,1,2,3,2,0,3,1,5,2,0.0,2019,158,C,https://www.basketball-reference.com/players/p/plumlma01.html,24,6-11,254,Denver Nuggets,regular season
150,132,Denver Nuggets,Malik Beasley,Los Angeles Clippers,W,10/17/2018,11:45,2,6,0.33299999999999996,1,3,0.33299999999999996,0,0,,0,1,1,1,0,0,1,1,5,1.0,2019,147,SG,https://www.basketball-reference.com/players/b/beaslma01.html,25,6-4,187,Denver Nuggets,regular season
151,133,Denver Nuggets,Thomas Welsh,Los Angeles Clippers,W,10/17/2018,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2019,161,C,https://www.basketball-reference.com/players/w/welshth01.html,45,7-0,255,Denver Nuggets,regular season
441,380,Denver Nuggets,Trey Lyles,Phoenix Suns,W,10/20/2018,16:37,0,4,0.0,0,0,,2,4,0.5,0,3,3,1,0,0,6,3,2,-5.0,2019,154,PF,https://www.basketball-reference.com/players/l/lylestr01.html,7,6-9,234,Denver Nuggets,regular season
442,381,Denver Nuggets,Torrey Craig,Phoenix Suns,W,10/20/2018,15:10,1,3,0.33299999999999996,0,2,0.0,0,0,,0,1,1,1,0,1,1,6,2,22.0,2019,148,SF,https://www.basketball-reference.com/players/c/craigto01.html,3,6-7,221,Denver Nuggets,regular season
443,382,Denver Nuggets,Juan Hernangomez,Phoenix Suns,W,10/20/2018,14:48,1,5,0.2,0,3,0.0,0,0,,2,4,6,0,0,0,1,1,2,-16.0,2019,151,PF,https://www.basketball-reference.com/players/h/hernaju01.html,41,6-9,214,Denver Nuggets,regular season
444,383,Denver Nuggets,Mason Plumlee,Phoenix Suns,W,10/20/2018,13:49,2,4,0.5,0,1,0.0,0,1,0.0,3,4,7,0,1,0,1,3,4,-8.0,2019,158,C,https://www.basketball-reference.com/players/p/plumlma01.html,24,6-11,254,Denver Nuggets,regular season
