,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
20,19,Golden State Warriors,Kevon Looney,Oklahoma City Thunder,W,10/16/2018,18:04,5,11,0.455,0,0,,0,0,,8,2,10,2,1,2,1,4,10,23.0,2019,197,C,https://www.basketball-reference.com/players/l/looneke01.html,5,6-9,222,Golden State Warriors,regular season
21,20,Golden State Warriors,Shaun Livingston,Oklahoma City Thunder,W,10/16/2018,14:34,3,5,0.6,0,0,,0,0,,2,1,3,1,1,0,1,2,6,-3.0,2019,196,PG,https://www.basketball-reference.com/players/l/livinsh01.html,34,6-7,192,Golden State Warriors,regular season
22,21,Golden State Warriors,Quinn Cook,Oklahoma City Thunder,W,10/16/2018,13:12,1,2,0.5,1,1,1.0,0,0,,1,1,2,1,0,0,2,2,3,-7.0,2019,185,PG,https://www.basketball-reference.com/players/c/cookqu01.html,4,6-1,180,Golden State Warriors,regular season
23,22,Golden State Warriors,Andre Iguodala,Oklahoma City Thunder,W,10/16/2018,10:23,1,2,0.5,0,1,0.0,0,0,,0,2,2,2,0,0,0,0,2,2.0,2019,192,SF,https://www.basketball-reference.com/players/i/iguodan01.html,9,6-6,215,Golden State Warriors,regular season
24,23,Golden State Warriors,Jordan Bell,Oklahoma City Thunder,W,10/16/2018,6:39,0,0,,0,0,,0,0,,1,1,2,0,0,1,0,1,0,-6.0,2019,183,C,https://www.basketball-reference.com/players/b/belljo01.html,2,6-8,216,Golden State Warriors,regular season
25,24,Golden State Warriors,Jonas Jerebko,Oklahoma City Thunder,W,10/16/2018,6:10,0,0,,0,0,,0,0,,0,3,3,0,0,0,1,2,0,0.0,2019,193,PF,https://www.basketball-reference.com/players/j/jerebjo01.html,21,6-10,231,Golden State Warriors,regular season
26,25,Golden State Warriors,Alfonzo McKinnie,Oklahoma City Thunder,W,10/16/2018,2:21,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-1.0,2019,198,SF,https://www.basketball-reference.com/players/m/mckinal01.html,28,6-7,215,Golden State Warriors,regular season
334,286,Golden State Warriors,Jonas Jerebko,Utah Jazz,W,10/19/2018,23:45,4,5,0.8,2,3,0.667,0,0,,2,4,6,1,1,0,1,2,10,2.0,2019,193,PF,https://www.basketball-reference.com/players/j/jerebjo01.html,21,6-10,231,Golden State Warriors,regular season
335,287,Golden State Warriors,Kevon Looney,Utah Jazz,W,10/19/2018,18:36,2,3,0.667,0,0,,0,0,,0,2,2,1,1,0,0,1,4,-4.0,2019,197,C,https://www.basketball-reference.com/players/l/looneke01.html,5,6-9,222,Golden State Warriors,regular season
336,288,Golden State Warriors,Shaun Livingston,Utah Jazz,W,10/19/2018,18:17,3,4,0.75,0,0,,2,2,1.0,1,2,3,2,1,0,1,0,8,15.0,2019,196,PG,https://www.basketball-reference.com/players/l/livinsh01.html,34,6-7,192,Golden State Warriors,regular season
337,289,Golden State Warriors,Alfonzo McKinnie,Utah Jazz,W,10/19/2018,12:21,1,2,0.5,1,1,1.0,0,0,,0,2,2,0,1,0,1,2,3,-4.0,2019,198,SF,https://www.basketball-reference.com/players/m/mckinal01.html,28,6-7,215,Golden State Warriors,regular season
338,290,Golden State Warriors,Quinn Cook,Utah Jazz,W,10/19/2018,3:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,0.0,2019,185,PG,https://www.basketball-reference.com/players/c/cookqu01.html,4,6-1,180,Golden State Warriors,regular season
504,435,Golden State Warriors,Andre Iguodala,Denver Nuggets,L,10/21/2018,25:33,2,2,1.0,0,0,,0,0,,0,3,3,3,1,1,2,3,4,-5.0,2019,192,SF,https://www.basketball-reference.com/players/i/iguodan01.html,9,6-6,215,Golden State Warriors,regular season
505,436,Golden State Warriors,Kevon Looney,Denver Nuggets,L,10/21/2018,19:03,4,4,1.0,0,0,,2,2,1.0,3,3,6,1,0,2,2,3,10,-8.0,2019,197,C,https://www.basketball-reference.com/players/l/looneke01.html,5,6-9,222,Golden State Warriors,regular season
506,437,Golden State Warriors,Jonas Jerebko,Denver Nuggets,L,10/21/2018,11:28,1,3,0.33299999999999996,0,1,0.0,3,3,1.0,1,1,2,0,0,0,1,2,5,4.0,2019,193,PF,https://www.basketball-reference.com/players/j/jerebjo01.html,21,6-10,231,Golden State Warriors,regular season
507,438,Golden State Warriors,Quinn Cook,Denver Nuggets,L,10/21/2018,10:51,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-8.0,2019,185,PG,https://www.basketball-reference.com/players/c/cookqu01.html,4,6-1,180,Golden State Warriors,regular season
508,439,Golden State Warriors,Jordan Bell,Denver Nuggets,L,10/21/2018,3:29,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,0,1,2,1.0,2019,183,C,https://www.basketball-reference.com/players/b/belljo01.html,2,6-8,216,Golden State Warriors,regular season
