,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
115,103,Houston Rockets,Eric Gordon,New Orleans Pelicans,L,10/17/2018,29:21,7,14,0.5,2,9,0.222,5,5,1.0,0,3,3,1,0,0,0,0,21,-11.0,2019,209,SG,https://www.basketball-reference.com/players/g/gordoer01.html,10,6-3,215,Houston Rockets,regular season
116,104,Houston Rockets,Carmelo Anthony,New Orleans Pelicans,L,10/17/2018,27:00,3,10,0.3,1,5,0.2,2,4,0.5,1,3,4,0,0,1,2,4,9,-20.0,2019,200,PF,https://www.basketball-reference.com/players/a/anthoca01.html,7,6-8,238,Houston Rockets,regular season
117,105,Houston Rockets,Michael Carter-Williams,New Orleans Pelicans,L,10/17/2018,17:44,4,10,0.4,1,3,0.33299999999999996,1,2,0.5,1,3,4,2,0,2,3,3,10,3.0,2019,202,PG,https://www.basketball-reference.com/players/c/cartemi01.html,1,6-5,190,Houston Rockets,regular season
118,105,Houston Rockets,Michael Carter-Williams,New Orleans Pelicans,L,10/17/2018,17:44,4,10,0.4,1,3,0.33299999999999996,1,2,0.5,1,3,4,2,0,2,3,3,10,3.0,2019,440,PG,https://www.basketball-reference.com/players/c/cartemi01.html,7,6-5,190,Orlando Magic,regular season
119,106,Houston Rockets,Gerald Green,New Orleans Pelicans,L,10/17/2018,10:28,0,4,0.0,0,4,0.0,0,0,,0,1,1,0,1,1,0,1,0,3.0,2019,210,SG,https://www.basketball-reference.com/players/g/greenge01.html,14,6-6,205,Houston Rockets,regular season
120,107,Houston Rockets,Gary Clark,New Orleans Pelicans,L,10/17/2018,1:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2.0,2019,205,PF,https://www.basketball-reference.com/players/c/clarkga01.html,6,6-6,225,Houston Rockets,regular season
121,108,Houston Rockets,Isaiah Hartenstein,New Orleans Pelicans,L,10/17/2018,1:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2.0,2019,212,PF,https://www.basketball-reference.com/players/h/harteis01.html,55,7-0,249,Houston Rockets,regular season
468,404,Houston Rockets,Eric Gordon,Los Angeles Lakers,W,10/20/2018,31:37,4,13,0.308,0,4,0.0,1,1,1.0,0,1,1,1,0,2,1,1,9,18.0,2019,209,SG,https://www.basketball-reference.com/players/g/gordoer01.html,10,6-3,215,Houston Rockets,regular season
469,405,Houston Rockets,Carmelo Anthony,Los Angeles Lakers,W,10/20/2018,29:06,3,10,0.3,1,7,0.14300000000000002,0,0,,1,9,10,1,1,0,2,3,7,23.0,2019,200,PF,https://www.basketball-reference.com/players/a/anthoca01.html,7,6-8,238,Houston Rockets,regular season
470,406,Houston Rockets,Gerald Green,Los Angeles Lakers,W,10/20/2018,17:51,5,6,0.833,3,4,0.75,0,0,,1,1,2,0,1,0,0,0,13,11.0,2019,210,SG,https://www.basketball-reference.com/players/g/greenge01.html,14,6-6,205,Houston Rockets,regular season
471,407,Houston Rockets,Michael Carter-Williams,Los Angeles Lakers,W,10/20/2018,2:29,0,2,0.0,0,0,,0,2,0.0,1,0,1,0,0,0,0,2,0,-5.0,2019,202,PG,https://www.basketball-reference.com/players/c/cartemi01.html,1,6-5,190,Houston Rockets,regular season
472,407,Houston Rockets,Michael Carter-Williams,Los Angeles Lakers,W,10/20/2018,2:29,0,2,0.0,0,0,,0,2,0.0,1,0,1,0,0,0,0,2,0,-5.0,2019,440,PG,https://www.basketball-reference.com/players/c/cartemi01.html,7,6-5,190,Orlando Magic,regular season
515,446,Houston Rockets,Carmelo Anthony,Los Angeles Clippers,L,10/21/2018,26:46,3,8,0.375,1,3,0.33299999999999996,2,2,1.0,0,6,6,1,0,0,1,2,9,-18.0,2019,200,PF,https://www.basketball-reference.com/players/a/anthoca01.html,7,6-8,238,Houston Rockets,regular season
516,447,Houston Rockets,Gerald Green,Los Angeles Clippers,L,10/21/2018,21:20,4,8,0.5,2,6,0.33299999999999996,1,1,1.0,2,2,4,1,0,0,2,1,11,-8.0,2019,210,SG,https://www.basketball-reference.com/players/g/greenge01.html,14,6-6,205,Houston Rockets,regular season
517,448,Houston Rockets,Michael Carter-Williams,Los Angeles Clippers,L,10/21/2018,13:39,1,4,0.25,0,0,,0,0,,0,3,3,3,1,1,2,1,2,-15.0,2019,202,PG,https://www.basketball-reference.com/players/c/cartemi01.html,1,6-5,190,Houston Rockets,regular season
518,448,Houston Rockets,Michael Carter-Williams,Los Angeles Clippers,L,10/21/2018,13:39,1,4,0.25,0,0,,0,0,,0,3,3,3,1,1,2,1,2,-15.0,2019,440,PG,https://www.basketball-reference.com/players/c/cartemi01.html,7,6-5,190,Orlando Magic,regular season
519,449,Houston Rockets,Isaiah Hartenstein,Los Angeles Clippers,L,10/21/2018,9:23,3,3,1.0,0,0,,0,0,,0,1,1,0,1,1,2,3,6,-7.0,2019,212,PF,https://www.basketball-reference.com/players/h/harteis01.html,55,7-0,249,Houston Rockets,regular season
520,450,Houston Rockets,Gary Clark,Los Angeles Clippers,L,10/21/2018,2:31,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,3,0,-6.0,2019,205,PF,https://www.basketball-reference.com/players/c/clarkga01.html,6,6-6,225,Houston Rockets,regular season
771,661,Houston Rockets,Carmelo Anthony,Utah Jazz,L,10/24/2018,38:45,9,17,0.529,3,8,0.375,1,2,0.5,1,6,7,2,1,1,0,3,22,-5.0,2019,200,PF,https://www.basketball-reference.com/players/a/anthoca01.html,7,6-8,238,Houston Rockets,regular season
772,662,Houston Rockets,Gerald Green,Utah Jazz,L,10/24/2018,27:59,1,5,0.2,1,5,0.2,1,1,1.0,0,2,2,0,1,0,0,2,4,8.0,2019,210,SG,https://www.basketball-reference.com/players/g/greenge01.html,14,6-6,205,Houston Rockets,regular season
773,663,Houston Rockets,Isaiah Hartenstein,Utah Jazz,L,10/24/2018,2:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,4.0,2019,212,PF,https://www.basketball-reference.com/players/h/harteis01.html,55,7-0,249,Houston Rockets,regular season
774,664,Houston Rockets,Gary Clark,Utah Jazz,L,10/24/2018,2:25,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-2.0,2019,205,PF,https://www.basketball-reference.com/players/c/clarkga01.html,6,6-6,225,Houston Rockets,regular season
943,813,Houston Rockets,Gerald Green,Los Angeles Clippers,L,10/26/2018,22:50,7,14,0.5,4,9,0.444,1,1,1.0,0,5,5,1,0,0,2,5,19,-5.0,2019,210,SG,https://www.basketball-reference.com/players/g/greenge01.html,14,6-6,205,Houston Rockets,regular season
