,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
55,50,Miami Heat,Josh Richardson,Orlando Magic,L,10/17/2018,37:35,8,21,0.381,2,10,0.2,3,3,1.0,1,4,5,3,1,1,3,3,21,-5,2019,323,SG,https://www.basketball-reference.com/players/r/richajo01.html,0,6-5,200,Miami Heat,regular season
56,51,Miami Heat,Hassan Whiteside,Orlando Magic,L,10/17/2018,33:35,6,15,0.4,0,1,0.0,0,1,0.0,4,14,18,0,1,2,1,2,12,4,2019,328,C,https://www.basketball-reference.com/players/w/whiteha01.html,21,7-0,265,Miami Heat,regular season
57,52,Miami Heat,Goran Dragic,Orlando Magic,L,10/17/2018,32:54,9,14,0.643,3,7,0.429,5,7,0.7140000000000001,0,4,4,4,0,1,3,5,26,20,2019,314,PG,https://www.basketball-reference.com/players/d/dragigo01.html,7,6-3,190,Miami Heat,regular season
58,53,Miami Heat,Rodney McGruder,Orlando Magic,L,10/17/2018,31:30,2,9,0.222,2,5,0.4,2,3,0.667,0,3,3,3,0,1,1,3,8,4,2019,321,SG,https://www.basketball-reference.com/players/m/mcgruro01.html,17,6-4,205,Miami Heat,regular season
59,54,Miami Heat,Derrick Jones,Orlando Magic,L,10/17/2018,17:13,2,5,0.4,1,2,0.5,0,0,,1,1,2,2,0,0,2,6,5,4,2019,319,SF,https://www.basketball-reference.com/players/j/jonesde02.html,5,6-6,210,Miami Heat,regular season
169,140,Miami Heat,Josh Richardson,Washington Wizards,W,10/18/2018,38:25,8,21,0.381,5,11,0.455,7,8,0.875,2,2,4,5,1,1,2,1,28,0,2019,323,SG,https://www.basketball-reference.com/players/r/richajo01.html,0,6-5,200,Miami Heat,regular season
170,141,Miami Heat,Rodney McGruder,Washington Wizards,W,10/18/2018,34:08,7,12,0.583,3,7,0.429,3,3,1.0,1,7,8,6,0,1,2,5,20,-1,2019,321,SG,https://www.basketball-reference.com/players/m/mcgruro01.html,17,6-4,205,Miami Heat,regular season
171,142,Miami Heat,Goran Dragic,Washington Wizards,W,10/18/2018,31:15,3,18,0.16699999999999998,1,6,0.16699999999999998,1,1,1.0,3,3,6,8,1,1,3,3,8,0,2019,314,PG,https://www.basketball-reference.com/players/d/dragigo01.html,7,6-3,190,Miami Heat,regular season
172,143,Miami Heat,Hassan Whiteside,Washington Wizards,W,10/18/2018,28:59,3,6,0.5,0,0,,3,5,0.6,4,6,10,0,0,1,2,5,9,-4,2019,328,C,https://www.basketball-reference.com/players/w/whiteha01.html,21,7-0,265,Miami Heat,regular season
173,144,Miami Heat,Derrick Jones,Washington Wizards,W,10/18/2018,23:51,5,10,0.5,1,2,0.5,6,9,0.667,4,1,5,0,1,0,0,5,17,-3,2019,319,SF,https://www.basketball-reference.com/players/j/jonesde02.html,5,6-6,210,Miami Heat,regular season
361,305,Miami Heat,Rodney McGruder,Charlotte Hornets,L,10/20/2018,41:31,7,11,0.636,4,6,0.667,1,2,0.5,2,8,10,2,2,1,3,3,19,-1,2019,321,SG,https://www.basketball-reference.com/players/m/mcgruro01.html,17,6-4,205,Miami Heat,regular season
362,306,Miami Heat,Goran Dragic,Charlotte Hornets,L,10/20/2018,38:43,7,17,0.41200000000000003,2,6,0.33299999999999996,4,5,0.8,1,3,4,7,0,0,1,1,20,9,2019,314,PG,https://www.basketball-reference.com/players/d/dragigo01.html,7,6-3,190,Miami Heat,regular season
363,307,Miami Heat,Derrick Jones,Charlotte Hornets,L,10/20/2018,30:02,5,13,0.385,1,5,0.2,1,2,0.5,0,3,3,2,1,2,2,2,12,-1,2019,319,SF,https://www.basketball-reference.com/players/j/jonesde02.html,5,6-6,210,Miami Heat,regular season
364,308,Miami Heat,Josh Richardson,Charlotte Hornets,L,10/20/2018,26:50,3,11,0.273,1,6,0.16699999999999998,0,0,,1,3,4,2,0,0,3,5,7,-4,2019,323,SG,https://www.basketball-reference.com/players/r/richajo01.html,0,6-5,200,Miami Heat,regular season
365,309,Miami Heat,Hassan Whiteside,Charlotte Hornets,L,10/20/2018,24:50,3,6,0.5,0,0,,5,8,0.625,3,12,15,0,0,2,1,4,11,14,2019,328,C,https://www.basketball-reference.com/players/w/whiteha01.html,21,7-0,265,Miami Heat,regular season
