,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
122,109,Minnesota Timberwolves,Derrick Rose,San Antonio Spurs,L,10/17/2018,30:31,3,12,0.25,0,2,0.0,2,2,1.0,3,1,4,2,0,0,1,2,8,-1.0,2019,367,PG,https://www.basketball-reference.com/players/r/rosede01.html,25,6-2,200,Minnesota Timberwolves,regular season
123,110,Minnesota Timberwolves,Gorgui Dieng,San Antonio Spurs,L,10/17/2018,24:03,4,8,0.5,0,2,0.0,4,6,0.667,3,2,5,2,2,1,0,4,12,-1.0,2019,361,C,https://www.basketball-reference.com/players/d/dienggo01.html,5,6-10,252,Minnesota Timberwolves,regular season
124,111,Minnesota Timberwolves,Anthony Tolliver,San Antonio Spurs,L,10/17/2018,19:03,0,1,0.0,0,0,,0,0,,0,2,2,2,0,0,0,1,0,-3.0,2019,371,PF,https://www.basketball-reference.com/players/t/tollian01.html,43,6-8,240,Minnesota Timberwolves,regular season
125,112,Minnesota Timberwolves,Tyus Jones,San Antonio Spurs,L,10/17/2018,16:28,2,7,0.28600000000000003,0,0,,0,0,,1,0,1,1,0,0,1,2,4,1.0,2019,363,PG,https://www.basketball-reference.com/players/j/jonesty01.html,1,6-0,196,Minnesota Timberwolves,regular season
268,230,Minnesota Timberwolves,Derrick Rose,Cleveland Cavaliers,W,10/19/2018,23:23,3,6,0.5,0,1,0.0,6,6,1.0,1,3,4,8,0,0,0,2,12,20.0,2019,367,PG,https://www.basketball-reference.com/players/r/rosede01.html,25,6-2,200,Minnesota Timberwolves,regular season
269,231,Minnesota Timberwolves,Anthony Tolliver,Cleveland Cavaliers,W,10/19/2018,19:47,3,7,0.429,3,7,0.429,2,3,0.667,0,2,2,0,2,0,1,2,11,15.0,2019,371,PF,https://www.basketball-reference.com/players/t/tollian01.html,43,6-8,240,Minnesota Timberwolves,regular season
270,232,Minnesota Timberwolves,Tyus Jones,Cleveland Cavaliers,W,10/19/2018,16:35,3,6,0.5,2,4,0.5,0,0,,0,0,0,3,0,0,0,0,8,10.0,2019,363,PG,https://www.basketball-reference.com/players/j/jonesty01.html,1,6-0,196,Minnesota Timberwolves,regular season
271,233,Minnesota Timberwolves,Gorgui Dieng,Cleveland Cavaliers,W,10/19/2018,13:19,5,6,0.833,1,2,0.5,0,0,,0,4,4,1,0,1,2,5,11,6.0,2019,361,C,https://www.basketball-reference.com/players/d/dienggo01.html,5,6-10,252,Minnesota Timberwolves,regular season
422,362,Minnesota Timberwolves,Derrick Rose,Dallas Mavericks,L,10/20/2018,32:23,11,21,0.524,2,5,0.4,4,6,0.667,2,3,5,5,2,1,3,3,28,-10.0,2019,367,PG,https://www.basketball-reference.com/players/r/rosede01.html,25,6-2,200,Minnesota Timberwolves,regular season
423,363,Minnesota Timberwolves,Anthony Tolliver,Dallas Mavericks,L,10/20/2018,16:49,2,4,0.5,2,4,0.5,0,0,,0,1,1,0,0,0,0,3,6,-3.0,2019,371,PF,https://www.basketball-reference.com/players/t/tollian01.html,43,6-8,240,Minnesota Timberwolves,regular season
424,364,Minnesota Timberwolves,Gorgui Dieng,Dallas Mavericks,L,10/20/2018,14:24,3,4,0.75,0,0,,4,4,1.0,1,5,6,1,1,0,1,2,10,1.0,2019,361,C,https://www.basketball-reference.com/players/d/dienggo01.html,5,6-10,252,Minnesota Timberwolves,regular season
425,365,Minnesota Timberwolves,Tyus Jones,Dallas Mavericks,L,10/20/2018,13:53,2,4,0.5,1,1,1.0,0,0,,0,0,0,1,1,0,0,0,5,3.0,2019,363,PG,https://www.basketball-reference.com/players/j/jonesty01.html,1,6-0,196,Minnesota Timberwolves,regular season
426,366,Minnesota Timberwolves,C.J. Williams,Dallas Mavericks,L,10/20/2018,7:48,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,2,2,0,-9.0,2019,374,SG,https://www.basketball-reference.com/players/w/willicj01.html,12,6-5,226,Minnesota Timberwolves,regular season
576,498,Minnesota Timberwolves,Derrick Rose,Indiana Pacers,W,10/22/2018,26:54,4,12,0.33299999999999996,0,4,0.0,3,3,1.0,0,2,2,5,1,0,1,0,11,3.0,2019,367,PG,https://www.basketball-reference.com/players/r/rosede01.html,25,6-2,200,Minnesota Timberwolves,regular season
577,499,Minnesota Timberwolves,Josh Okogie,Indiana Pacers,W,10/22/2018,24:26,5,13,0.385,1,6,0.16699999999999998,1,1,1.0,1,3,4,0,3,0,2,1,12,8.0,2019,365,SG,https://www.basketball-reference.com/players/o/okogijo01.html,20,6-4,213,Minnesota Timberwolves,regular season
578,500,Minnesota Timberwolves,Tyus Jones,Indiana Pacers,W,10/22/2018,17:04,3,10,0.3,2,6,0.33299999999999996,0,0,,0,4,4,4,3,1,0,1,8,10.0,2019,363,PG,https://www.basketball-reference.com/players/j/jonesty01.html,1,6-0,196,Minnesota Timberwolves,regular season
