,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
108,96,New Orleans Pelicans,Julius Randle,Houston Rockets,W,10/17/2018,23:49,9,15,0.6,2,4,0.5,5,6,0.833,2,6,8,3,0,0,0,4,25,5.0,2019,391,PF,https://www.basketball-reference.com/players/r/randlju01.html,30,6-8,250,New Orleans Pelicans,regular season
109,97,New Orleans Pelicans,Darius Miller,Houston Rockets,W,10/17/2018,19:56,0,2,0.0,0,1,0.0,0,0,,0,0,0,1,1,0,2,2,0,-5.0,2019,386,SF,https://www.basketball-reference.com/players/m/milleda01.html,21,6-6,225,New Orleans Pelicans,regular season
110,98,New Orleans Pelicans,Solomon Hill,Houston Rockets,W,10/17/2018,12:02,1,3,0.33299999999999996,1,1,1.0,0,0,,0,2,2,1,0,0,0,2,3,-13.0,2019,381,SF,https://www.basketball-reference.com/players/h/hillso01.html,44,6-6,226,New Orleans Pelicans,regular season
111,99,New Orleans Pelicans,Kenrich Williams,Houston Rockets,W,10/17/2018,1:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.0,2019,393,SF,https://www.basketball-reference.com/players/w/willike04.html,34,6-6,210,New Orleans Pelicans,regular season
112,100,New Orleans Pelicans,Frank Jackson,Houston Rockets,W,10/17/2018,1:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.0,2019,383,PG,https://www.basketball-reference.com/players/j/jacksfr01.html,15,6-3,205,New Orleans Pelicans,regular season
113,101,New Orleans Pelicans,Jahlil Okafor,Houston Rockets,W,10/17/2018,1:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,0,0,-2.0,2019,389,C,https://www.basketball-reference.com/players/o/okafoja01.html,8,6-10,270,New Orleans Pelicans,regular season
114,102,New Orleans Pelicans,Cheick Diallo,Houston Rockets,W,10/17/2018,1:35,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-2.0,2019,378,PF,https://www.basketball-reference.com/players/d/diallch01.html,13,6-8,219,New Orleans Pelicans,regular season
282,241,New Orleans Pelicans,Julius Randle,Sacramento Kings,W,10/19/2018,24:25,6,12,0.5,1,2,0.5,0,4,0.0,0,14,14,0,0,0,1,4,13,14.0,2019,391,PF,https://www.basketball-reference.com/players/r/randlju01.html,30,6-8,250,New Orleans Pelicans,regular season
283,242,New Orleans Pelicans,Darius Miller,Sacramento Kings,W,10/19/2018,22:45,3,7,0.429,3,7,0.429,1,1,1.0,0,1,1,2,0,0,1,3,10,9.0,2019,386,SF,https://www.basketball-reference.com/players/m/milleda01.html,21,6-6,225,New Orleans Pelicans,regular season
284,243,New Orleans Pelicans,Solomon Hill,Sacramento Kings,W,10/19/2018,20:21,1,2,0.5,1,2,0.5,0,0,,0,1,1,2,0,0,1,3,3,7.0,2019,381,SF,https://www.basketball-reference.com/players/h/hillso01.html,44,6-6,226,New Orleans Pelicans,regular season
