,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
70,65,New York Knicks,Frank Ntilikina,Atlanta Hawks,W,10/17/2018,33:38,2,7,0.28600000000000003,1,2,0.5,0,0,,0,5,5,1,3,1,1,1,5,-2,2019,412,PG,https://www.basketball-reference.com/players/n/ntilila01.html,11,6-4,200,New York Knicks,regular season
71,66,New York Knicks,Tim Hardaway,Atlanta Hawks,W,10/17/2018,28:51,10,22,0.455,3,9,0.33299999999999996,8,8,1.0,1,5,6,5,2,0,0,2,31,14,2019,132,SG,https://www.basketball-reference.com/players/h/hardati02.html,11,6-5,205,Dallas Mavericks,regular season
72,66,New York Knicks,Tim Hardaway,Atlanta Hawks,W,10/17/2018,28:51,10,22,0.455,3,9,0.33299999999999996,8,8,1.0,1,5,6,5,2,0,0,2,31,14,2019,401,SG,https://www.basketball-reference.com/players/h/hardati02.html,3,6-5,205,New York Knicks,regular season
73,67,New York Knicks,Enes Kanter,Atlanta Hawks,W,10/17/2018,27:12,5,9,0.556,0,0,,6,7,0.857,3,8,11,3,1,1,1,2,16,7,2019,406,C,https://www.basketball-reference.com/players/k/kanteen01.html,00,6-10,250,New York Knicks,regular season
74,67,New York Knicks,Enes Kanter,Atlanta Hawks,W,10/17/2018,27:12,5,9,0.556,0,0,,6,7,0.857,3,8,11,3,1,1,1,2,16,7,2019,509,C,https://www.basketball-reference.com/players/k/kanteen01.html,00,6-10,250,Portland Trail Blazers,regular season
75,68,New York Knicks,Trey Burke,Atlanta Hawks,W,10/17/2018,20:34,6,11,0.545,2,3,0.667,1,2,0.5,1,2,3,4,0,0,2,2,15,14,2019,129,PG,https://www.basketball-reference.com/players/b/burketr01.html,23,6-0,185,Dallas Mavericks,regular season
76,68,New York Knicks,Trey Burke,Atlanta Hawks,W,10/17/2018,20:34,6,11,0.545,2,3,0.667,1,2,0.5,1,2,3,4,0,0,2,2,15,14,2019,397,PG,https://www.basketball-reference.com/players/b/burketr01.html,23,6-0,185,New York Knicks,regular season
77,69,New York Knicks,Lance Thomas,Atlanta Hawks,W,10/17/2018,15:30,1,2,0.5,1,1,1.0,0,0,,0,0,0,0,0,1,1,4,3,13,2019,415,PF,https://www.basketball-reference.com/players/t/thomala01.html,42,6-8,240,New York Knicks,regular season
201,170,New York Knicks,Tim Hardaway,Brooklyn Nets,L,10/19/2018,36:28,10,25,0.4,3,8,0.375,6,7,0.857,0,2,2,0,3,0,2,1,29,2,2019,132,SG,https://www.basketball-reference.com/players/h/hardati02.html,11,6-5,205,Dallas Mavericks,regular season
202,170,New York Knicks,Tim Hardaway,Brooklyn Nets,L,10/19/2018,36:28,10,25,0.4,3,8,0.375,6,7,0.857,0,2,2,0,3,0,2,1,29,2,2019,401,SG,https://www.basketball-reference.com/players/h/hardati02.html,3,6-5,205,New York Knicks,regular season
