,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
145,125,Phoenix Suns,Trevor Ariza,Dallas Mavericks,W,10/17/2018,37:01,7,12,0.583,5,9,0.556,2,2,1.0,0,8,8,7,1,0,0,2,21,25,2019,481,SF,https://www.basketball-reference.com/players/a/arizatr01.html,3,6-8,215,Phoenix Suns,regular season
146,125,Phoenix Suns,Trevor Ariza,Dallas Mavericks,W,10/17/2018,37:01,7,12,0.583,5,9,0.556,2,2,1.0,0,8,8,7,1,0,0,2,21,25,2019,597,SF,https://www.basketball-reference.com/players/a/arizatr01.html,1,6-8,215,Washington Wizards,regular season
147,126,Phoenix Suns,Deandre Ayton,Dallas Mavericks,W,10/17/2018,36:29,8,11,0.727,0,0,,2,2,1.0,1,9,10,6,1,1,0,2,18,17,2019,482,C,https://www.basketball-reference.com/players/a/aytonde01.html,22,6-11,250,Phoenix Suns,regular season
148,127,Phoenix Suns,Isaiah Canaan,Dallas Mavericks,W,10/17/2018,33:34,3,10,0.3,2,5,0.4,0,0,,0,6,6,7,0,0,1,4,8,7,2019,334,PG,https://www.basketball-reference.com/players/c/canaais01.html,7,6-0,201,Milwaukee Bucks,regular season
149,127,Phoenix Suns,Isaiah Canaan,Dallas Mavericks,W,10/17/2018,33:34,3,10,0.3,2,5,0.4,0,0,,0,6,6,7,0,0,1,4,8,7,2019,357,PG,https://www.basketball-reference.com/players/c/canaais01.html,7,6-0,201,Minnesota Timberwolves,regular season
150,127,Phoenix Suns,Isaiah Canaan,Dallas Mavericks,W,10/17/2018,33:34,3,10,0.3,2,5,0.4,0,0,,0,6,6,7,0,0,1,4,8,7,2019,486,PG,https://www.basketball-reference.com/players/c/canaais01.html,0,6-0,201,Phoenix Suns,regular season
151,128,Phoenix Suns,Devin Booker,Dallas Mavericks,W,10/17/2018,33:27,12,19,0.632,6,10,0.6,5,6,0.833,0,4,4,7,0,0,3,4,35,22,2019,484,SG,https://www.basketball-reference.com/players/b/bookede01.html,1,6-5,206,Phoenix Suns,regular season
152,129,Phoenix Suns,Ryan Anderson,Dallas Mavericks,W,10/17/2018,24:01,1,4,0.25,0,1,0.0,0,0,,3,4,7,3,0,0,1,0,2,22,2019,313,PF,https://www.basketball-reference.com/players/a/anderry01.html,31,6-9,240,Miami Heat,regular season
153,129,Phoenix Suns,Ryan Anderson,Dallas Mavericks,W,10/17/2018,24:01,1,4,0.25,0,1,0.0,0,0,,3,4,7,3,0,0,1,0,2,22,2019,480,PF,https://www.basketball-reference.com/players/a/anderry01.html,15,6-9,240,Phoenix Suns,regular season
380,320,Phoenix Suns,Devin Booker,Denver Nuggets,L,10/20/2018,36:27,5,15,0.33299999999999996,1,6,0.16699999999999998,14,17,0.8240000000000001,0,2,2,7,1,0,6,3,25,-24,2019,484,SG,https://www.basketball-reference.com/players/b/bookede01.html,1,6-5,206,Phoenix Suns,regular season
381,321,Phoenix Suns,Isaiah Canaan,Denver Nuggets,L,10/20/2018,29:55,5,8,0.625,3,5,0.6,2,3,0.667,2,2,4,2,1,0,2,3,15,-10,2019,334,PG,https://www.basketball-reference.com/players/c/canaais01.html,7,6-0,201,Milwaukee Bucks,regular season
382,321,Phoenix Suns,Isaiah Canaan,Denver Nuggets,L,10/20/2018,29:55,5,8,0.625,3,5,0.6,2,3,0.667,2,2,4,2,1,0,2,3,15,-10,2019,357,PG,https://www.basketball-reference.com/players/c/canaais01.html,7,6-0,201,Minnesota Timberwolves,regular season
383,321,Phoenix Suns,Isaiah Canaan,Denver Nuggets,L,10/20/2018,29:55,5,8,0.625,3,5,0.6,2,3,0.667,2,2,4,2,1,0,2,3,15,-10,2019,486,PG,https://www.basketball-reference.com/players/c/canaais01.html,0,6-0,201,Phoenix Suns,regular season
384,322,Phoenix Suns,Trevor Ariza,Denver Nuggets,L,10/20/2018,29:21,2,7,0.28600000000000003,1,6,0.16699999999999998,0,0,,1,2,3,1,0,1,3,2,5,-47,2019,481,SF,https://www.basketball-reference.com/players/a/arizatr01.html,3,6-8,215,Phoenix Suns,regular season
385,322,Phoenix Suns,Trevor Ariza,Denver Nuggets,L,10/20/2018,29:21,2,7,0.28600000000000003,1,6,0.16699999999999998,0,0,,1,2,3,1,0,1,3,2,5,-47,2019,597,SF,https://www.basketball-reference.com/players/a/arizatr01.html,1,6-8,215,Washington Wizards,regular season
386,323,Phoenix Suns,Deandre Ayton,Denver Nuggets,L,10/20/2018,22:33,2,7,0.28600000000000003,0,0,,1,2,0.5,1,7,8,1,0,0,2,5,5,3,2019,482,C,https://www.basketball-reference.com/players/a/aytonde01.html,22,6-11,250,Phoenix Suns,regular season
387,324,Phoenix Suns,Ryan Anderson,Denver Nuggets,L,10/20/2018,22:07,3,11,0.273,2,8,0.25,0,0,,1,0,1,2,0,0,0,1,8,-6,2019,313,PF,https://www.basketball-reference.com/players/a/anderry01.html,31,6-9,240,Miami Heat,regular season
388,324,Phoenix Suns,Ryan Anderson,Denver Nuggets,L,10/20/2018,22:07,3,11,0.273,2,8,0.25,0,0,,1,0,1,2,0,0,0,1,8,-6,2019,480,PF,https://www.basketball-reference.com/players/a/anderry01.html,15,6-9,240,Phoenix Suns,regular season
545,460,Phoenix Suns,Devin Booker,Golden State Warriors,L,10/22/2018,38:27,11,21,0.524,3,9,0.33299999999999996,3,3,1.0,1,4,5,6,2,0,9,5,28,-5,2019,484,SG,https://www.basketball-reference.com/players/b/bookede01.html,1,6-5,206,Phoenix Suns,regular season
546,461,Phoenix Suns,Trevor Ariza,Golden State Warriors,L,10/22/2018,35:01,2,12,0.16699999999999998,1,6,0.16699999999999998,1,1,1.0,0,5,5,2,0,0,1,0,6,-9,2019,481,SF,https://www.basketball-reference.com/players/a/arizatr01.html,3,6-8,215,Phoenix Suns,regular season
547,461,Phoenix Suns,Trevor Ariza,Golden State Warriors,L,10/22/2018,35:01,2,12,0.16699999999999998,1,6,0.16699999999999998,1,1,1.0,0,5,5,2,0,0,1,0,6,-9,2019,597,SF,https://www.basketball-reference.com/players/a/arizatr01.html,1,6-8,215,Washington Wizards,regular season
548,462,Phoenix Suns,Deandre Ayton,Golden State Warriors,L,10/22/2018,31:06,6,11,0.545,0,0,,8,8,1.0,4,10,14,5,1,0,2,2,20,-12,2019,482,C,https://www.basketball-reference.com/players/a/aytonde01.html,22,6-11,250,Phoenix Suns,regular season
549,463,Phoenix Suns,Isaiah Canaan,Golden State Warriors,L,10/22/2018,26:18,3,8,0.375,1,6,0.16699999999999998,0,0,,1,0,1,2,2,0,3,1,7,-25,2019,334,PG,https://www.basketball-reference.com/players/c/canaais01.html,7,6-0,201,Milwaukee Bucks,regular season
550,463,Phoenix Suns,Isaiah Canaan,Golden State Warriors,L,10/22/2018,26:18,3,8,0.375,1,6,0.16699999999999998,0,0,,1,0,1,2,2,0,3,1,7,-25,2019,357,PG,https://www.basketball-reference.com/players/c/canaais01.html,7,6-0,201,Minnesota Timberwolves,regular season
551,463,Phoenix Suns,Isaiah Canaan,Golden State Warriors,L,10/22/2018,26:18,3,8,0.375,1,6,0.16699999999999998,0,0,,1,0,1,2,2,0,3,1,7,-25,2019,486,PG,https://www.basketball-reference.com/players/c/canaais01.html,0,6-0,201,Phoenix Suns,regular season
552,464,Phoenix Suns,Ryan Anderson,Golden State Warriors,L,10/22/2018,20:40,1,4,0.25,0,3,0.0,1,2,0.5,3,0,3,2,0,0,1,2,3,-7,2019,313,PF,https://www.basketball-reference.com/players/a/anderry01.html,31,6-9,240,Miami Heat,regular season
553,464,Phoenix Suns,Ryan Anderson,Golden State Warriors,L,10/22/2018,20:40,1,4,0.25,0,3,0.0,1,2,0.5,3,0,3,2,0,0,1,2,3,-7,2019,480,PF,https://www.basketball-reference.com/players/a/anderry01.html,15,6-9,240,Phoenix Suns,regular season
709,595,Phoenix Suns,Trevor Ariza,Los Angeles Lakers,L,10/24/2018,33:47,4,9,0.444,3,6,0.5,3,4,0.75,1,1,2,4,0,0,2,2,14,-9,2019,481,SF,https://www.basketball-reference.com/players/a/arizatr01.html,3,6-8,215,Phoenix Suns,regular season
710,595,Phoenix Suns,Trevor Ariza,Los Angeles Lakers,L,10/24/2018,33:47,4,9,0.444,3,6,0.5,3,4,0.75,1,1,2,4,0,0,2,2,14,-9,2019,597,SF,https://www.basketball-reference.com/players/a/arizatr01.html,1,6-8,215,Washington Wizards,regular season
