,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
209,180,Portland Trail Blazers,Nik Stauskas,Los Angeles Lakers,W,10/18/2018,27:12,7,11,0.636,5,8,0.625,5,5,1.0,0,2,2,2,1,0,0,1,24,18.0,2019,121,SG,https://www.basketball-reference.com/players/s/stausni01.html,1,6-6,205,Cleveland Cavaliers,regular season
210,180,Portland Trail Blazers,Nik Stauskas,Los Angeles Lakers,W,10/18/2018,27:12,7,11,0.636,5,8,0.625,5,5,1.0,0,2,2,2,1,0,0,1,24,18.0,2019,517,SG,https://www.basketball-reference.com/players/s/stausni01.html,6,6-6,205,Portland Trail Blazers,regular season
211,181,Portland Trail Blazers,Zach Collins,Los Angeles Lakers,W,10/18/2018,26:19,3,4,0.75,0,1,0.0,0,0,,1,5,6,2,0,6,1,5,6,24.0,2019,505,C,https://www.basketball-reference.com/players/c/colliza01.html,33,6-11,250,Portland Trail Blazers,regular season
212,182,Portland Trail Blazers,Evan Turner,Los Angeles Lakers,W,10/18/2018,21:13,5,8,0.625,0,0,,3,4,0.75,1,2,3,6,2,0,3,2,13,17.0,2019,520,PG,https://www.basketball-reference.com/players/t/turneev01.html,1,6-6,220,Portland Trail Blazers,regular season
213,183,Portland Trail Blazers,Maurice Harkless,Los Angeles Lakers,W,10/18/2018,18:26,3,5,0.6,1,2,0.5,0,0,,2,4,6,2,0,3,1,3,7,-4.0,2019,507,SF,https://www.basketball-reference.com/players/h/harklma01.html,4,6-7,220,Portland Trail Blazers,regular season
214,184,Portland Trail Blazers,Seth Curry,Los Angeles Lakers,W,10/18/2018,15:34,2,6,0.33299999999999996,1,2,0.5,0,0,,1,4,5,0,0,0,1,2,5,18.0,2019,506,SG,https://www.basketball-reference.com/players/c/curryse01.html,31,6-2,185,Portland Trail Blazers,regular season
215,185,Portland Trail Blazers,Meyers Leonard,Los Angeles Lakers,W,10/18/2018,8:02,0,0,,0,0,,0,0,,1,3,4,4,1,0,1,1,0,8.0,2019,512,C,https://www.basketball-reference.com/players/l/leoname01.html,11,7-0,260,Portland Trail Blazers,regular season
458,396,Portland Trail Blazers,Evan Turner,San Antonio Spurs,W,10/20/2018,24:32,4,8,0.5,0,0,,0,0,,0,4,4,5,1,0,2,1,8,9.0,2019,520,PG,https://www.basketball-reference.com/players/t/turneev01.html,1,6-6,220,Portland Trail Blazers,regular season
459,397,Portland Trail Blazers,Nik Stauskas,San Antonio Spurs,W,10/20/2018,20:39,1,5,0.2,1,3,0.33299999999999996,0,0,,0,1,1,3,1,0,0,0,3,-5.0,2019,121,SG,https://www.basketball-reference.com/players/s/stausni01.html,1,6-6,205,Cleveland Cavaliers,regular season
460,397,Portland Trail Blazers,Nik Stauskas,San Antonio Spurs,W,10/20/2018,20:39,1,5,0.2,1,3,0.33299999999999996,0,0,,0,1,1,3,1,0,0,0,3,-5.0,2019,517,SG,https://www.basketball-reference.com/players/s/stausni01.html,6,6-6,205,Portland Trail Blazers,regular season
461,398,Portland Trail Blazers,Maurice Harkless,San Antonio Spurs,W,10/20/2018,20:21,2,5,0.4,1,3,0.33299999999999996,0,0,,1,7,8,1,1,0,1,1,5,7.0,2019,507,SF,https://www.basketball-reference.com/players/h/harklma01.html,4,6-7,220,Portland Trail Blazers,regular season
462,399,Portland Trail Blazers,Zach Collins,San Antonio Spurs,W,10/20/2018,15:23,4,5,0.8,2,3,0.667,1,2,0.5,1,4,5,0,1,0,2,4,11,11.0,2019,505,C,https://www.basketball-reference.com/players/c/colliza01.html,33,6-11,250,Portland Trail Blazers,regular season
463,400,Portland Trail Blazers,Seth Curry,San Antonio Spurs,W,10/20/2018,14:42,3,6,0.5,2,4,0.5,1,1,1.0,0,0,0,1,0,0,1,0,9,0.0,2019,506,SG,https://www.basketball-reference.com/players/c/curryse01.html,31,6-2,185,Portland Trail Blazers,regular season
464,401,Portland Trail Blazers,Meyers Leonard,San Antonio Spurs,W,10/20/2018,9:30,2,2,1.0,0,0,,1,1,1.0,1,1,2,0,0,0,0,1,5,0.0,2019,512,C,https://www.basketball-reference.com/players/l/leoname01.html,11,7-0,260,Portland Trail Blazers,regular season
