,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
119,105,Sacramento Kings,Willie Cauley-Stein,Utah Jazz,L,10/17/2018,38:25,10,15,0.667,0,0,,3,6,0.5,2,5,7,4,1,2,0,2,23,16,2019,527,C,https://www.basketball-reference.com/players/c/caulewi01.html,00,7-0,240,Sacramento Kings,regular season
120,106,Sacramento Kings,De'Aaron Fox,Utah Jazz,L,10/17/2018,37:30,8,16,0.5,0,2,0.0,5,7,0.7140000000000001,0,4,4,7,3,0,3,5,21,19,2019,529,PG,https://www.basketball-reference.com/players/f/foxde01.html,5,6-3,185,Sacramento Kings,regular season
121,107,Sacramento Kings,Buddy Hield,Utah Jazz,L,10/17/2018,31:50,9,18,0.5,1,4,0.25,0,1,0.0,1,5,6,1,1,1,4,6,19,9,2019,531,SG,https://www.basketball-reference.com/players/h/hieldbu01.html,24,6-4,220,Sacramento Kings,regular season
122,108,Sacramento Kings,Yogi Ferrell,Utah Jazz,L,10/17/2018,30:18,3,7,0.429,2,3,0.667,4,4,1.0,0,1,1,1,0,0,1,2,12,10,2019,528,PG,https://www.basketball-reference.com/players/f/ferreyo01.html,3,6-0,178,Sacramento Kings,regular season
123,109,Sacramento Kings,Nemanja Bjelica,Utah Jazz,L,10/17/2018,27:09,8,12,0.667,2,2,1.0,0,0,,1,7,8,2,1,0,0,2,18,12,2019,523,PF,https://www.basketball-reference.com/players/b/bjeline01.html,88,6-10,234,Sacramento Kings,regular season
240,200,Sacramento Kings,De'Aaron Fox,New Orleans Pelicans,L,10/19/2018,26:55,6,12,0.5,0,1,0.0,6,7,0.857,1,6,7,6,0,0,4,0,18,-8,2019,529,PG,https://www.basketball-reference.com/players/f/foxde01.html,5,6-3,185,Sacramento Kings,regular season
241,201,Sacramento Kings,Buddy Hield,New Orleans Pelicans,L,10/19/2018,26:50,7,11,0.636,3,4,0.75,0,0,,1,1,2,3,0,1,2,2,17,-18,2019,531,SG,https://www.basketball-reference.com/players/h/hieldbu01.html,24,6-4,220,Sacramento Kings,regular season
242,202,Sacramento Kings,Willie Cauley-Stein,New Orleans Pelicans,L,10/19/2018,25:57,9,14,0.643,0,0,,2,3,0.667,2,5,7,1,0,0,1,4,20,-4,2019,527,C,https://www.basketball-reference.com/players/c/caulewi01.html,00,7-0,240,Sacramento Kings,regular season
243,203,Sacramento Kings,Yogi Ferrell,New Orleans Pelicans,L,10/19/2018,21:05,2,3,0.667,1,2,0.5,2,2,1.0,0,2,2,2,1,0,1,0,7,-9,2019,528,PG,https://www.basketball-reference.com/players/f/ferreyo01.html,3,6-0,178,Sacramento Kings,regular season
244,204,Sacramento Kings,Nemanja Bjelica,New Orleans Pelicans,L,10/19/2018,10:51,2,5,0.4,0,2,0.0,0,0,,0,1,1,1,0,0,0,3,4,-1,2019,523,PF,https://www.basketball-reference.com/players/b/bjeline01.html,88,6-10,234,Sacramento Kings,regular season
427,360,Sacramento Kings,De'Aaron Fox,Oklahoma City Thunder,W,10/21/2018,41:59,7,12,0.583,1,4,0.25,7,9,0.778,1,3,4,10,1,1,4,4,22,16,2019,529,PG,https://www.basketball-reference.com/players/f/foxde01.html,5,6-3,185,Sacramento Kings,regular season
428,361,Sacramento Kings,Nemanja Bjelica,Oklahoma City Thunder,W,10/21/2018,30:43,5,6,0.833,2,2,1.0,0,0,,0,5,5,4,3,1,1,2,12,10,2019,523,PF,https://www.basketball-reference.com/players/b/bjeline01.html,88,6-10,234,Sacramento Kings,regular season
429,362,Sacramento Kings,Iman Shumpert,Oklahoma City Thunder,W,10/21/2018,30:12,9,13,0.6920000000000001,4,7,0.5710000000000001,4,5,0.8,0,3,3,4,3,2,2,4,26,9,2019,221,SG,https://www.basketball-reference.com/players/s/shumpim01.html,1,6-5,215,Houston Rockets,regular season
430,362,Sacramento Kings,Iman Shumpert,Oklahoma City Thunder,W,10/21/2018,30:12,9,13,0.6920000000000001,4,7,0.5710000000000001,4,5,0.8,0,3,3,4,3,2,2,4,26,9,2019,538,SG,https://www.basketball-reference.com/players/s/shumpim01.html,9,6-5,215,Sacramento Kings,regular season
431,363,Sacramento Kings,Buddy Hield,Oklahoma City Thunder,W,10/21/2018,23:24,6,11,0.545,2,4,0.5,3,3,1.0,0,5,5,2,0,0,2,3,17,8,2019,531,SG,https://www.basketball-reference.com/players/h/hieldbu01.html,24,6-4,220,Sacramento Kings,regular season
432,364,Sacramento Kings,Willie Cauley-Stein,Oklahoma City Thunder,W,10/21/2018,22:12,6,11,0.545,0,0,,1,2,0.5,4,3,7,2,1,0,1,4,13,5,2019,527,C,https://www.basketball-reference.com/players/c/caulewi01.html,00,7-0,240,Sacramento Kings,regular season
597,500,Sacramento Kings,Willie Cauley-Stein,Denver Nuggets,L,10/23/2018,23:33,5,7,0.7140000000000001,0,0,,1,2,0.5,3,3,6,3,1,0,0,1,11,-4,2019,527,C,https://www.basketball-reference.com/players/c/caulewi01.html,00,7-0,240,Sacramento Kings,regular season
598,501,Sacramento Kings,Buddy Hield,Denver Nuggets,L,10/23/2018,23:15,2,7,0.28600000000000003,1,3,0.33299999999999996,0,0,,2,3,5,1,0,0,2,1,5,-16,2019,531,SG,https://www.basketball-reference.com/players/h/hieldbu01.html,24,6-4,220,Sacramento Kings,regular season
599,502,Sacramento Kings,Nemanja Bjelica,Denver Nuggets,L,10/23/2018,20:58,4,7,0.5710000000000001,1,3,0.33299999999999996,1,2,0.5,1,1,2,3,0,0,3,3,10,-10,2019,523,PF,https://www.basketball-reference.com/players/b/bjeline01.html,88,6-10,234,Sacramento Kings,regular season
600,503,Sacramento Kings,De'Aaron Fox,Denver Nuggets,L,10/23/2018,20:33,2,8,0.25,0,1,0.0,2,5,0.4,0,1,1,4,2,0,1,4,6,-22,2019,529,PG,https://www.basketball-reference.com/players/f/foxde01.html,5,6-3,185,Sacramento Kings,regular season
