,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
126,113,San Antonio Spurs,Patty Mills,Minnesota Timberwolves,W,10/17/2018,29:53,2,7,0.28600000000000003,2,6,0.33299999999999996,0,0,,0,2,2,1,0,0,1,2,6,1.0,2019,551,PG,https://www.basketball-reference.com/players/m/millspa02.html,8,6-1,180,San Antonio Spurs,regular season
127,114,San Antonio Spurs,Pau Gasol,Minnesota Timberwolves,W,10/17/2018,22:41,1,4,0.25,1,1,1.0,2,2,1.0,3,4,7,6,0,0,1,2,5,-2.0,2019,341,C,https://www.basketball-reference.com/players/g/gasolpa01.html,17,7-0,250,Milwaukee Bucks,regular season
128,114,San Antonio Spurs,Pau Gasol,Minnesota Timberwolves,W,10/17/2018,22:41,1,4,0.25,1,1,1.0,2,2,1.0,3,4,7,6,0,0,1,2,5,-2.0,2019,548,C,https://www.basketball-reference.com/players/g/gasolpa01.html,16,7-0,250,San Antonio Spurs,regular season
129,115,San Antonio Spurs,Marco Belinelli,Minnesota Timberwolves,W,10/17/2018,21:47,3,6,0.5,2,4,0.5,2,2,1.0,0,4,4,2,0,0,1,1,10,3.0,2019,542,SG,https://www.basketball-reference.com/players/b/belinma01.html,18,6-5,220,San Antonio Spurs,regular season
130,116,San Antonio Spurs,Davis Bertans,Minnesota Timberwolves,W,10/17/2018,17:50,3,4,0.75,3,4,0.75,0,0,,0,1,1,2,0,0,0,0,9,3.0,2019,543,PF,https://www.basketball-reference.com/players/b/bertada01.html,42,6-10,225,San Antonio Spurs,regular season
131,117,San Antonio Spurs,Dante Cunningham,Minnesota Timberwolves,W,10/17/2018,6:36,0,2,0.0,0,0,,0,0,,0,1,1,1,0,0,1,1,0,-4.0,2019,544,PF,https://www.basketball-reference.com/players/c/cunnida01.html,33,6-8,230,San Antonio Spurs,regular season
449,388,San Antonio Spurs,Patty Mills,Portland Trail Blazers,L,10/20/2018,22:09,4,11,0.364,1,5,0.2,0,0,,0,3,3,1,1,1,1,1,9,-13.0,2019,551,PG,https://www.basketball-reference.com/players/m/millspa02.html,8,6-1,180,San Antonio Spurs,regular season
450,389,San Antonio Spurs,Davis Bertans,Portland Trail Blazers,L,10/20/2018,19:42,4,8,0.5,3,6,0.5,0,0,,3,1,4,2,0,1,1,1,11,-4.0,2019,543,PF,https://www.basketball-reference.com/players/b/bertada01.html,42,6-10,225,San Antonio Spurs,regular season
451,390,San Antonio Spurs,Pau Gasol,Portland Trail Blazers,L,10/20/2018,17:08,4,5,0.8,1,1,1.0,1,2,0.5,1,3,4,2,0,0,0,1,10,-6.0,2019,341,C,https://www.basketball-reference.com/players/g/gasolpa01.html,17,7-0,250,Milwaukee Bucks,regular season
452,390,San Antonio Spurs,Pau Gasol,Portland Trail Blazers,L,10/20/2018,17:08,4,5,0.8,1,1,1.0,1,2,0.5,1,3,4,2,0,0,0,1,10,-6.0,2019,548,C,https://www.basketball-reference.com/players/g/gasolpa01.html,16,7-0,250,San Antonio Spurs,regular season
453,391,San Antonio Spurs,Marco Belinelli,Portland Trail Blazers,L,10/20/2018,16:31,0,6,0.0,0,1,0.0,2,3,0.667,0,1,1,3,0,0,0,3,2,5.0,2019,542,SG,https://www.basketball-reference.com/players/b/belinma01.html,18,6-5,220,San Antonio Spurs,regular season
454,392,San Antonio Spurs,Dante Cunningham,Portland Trail Blazers,L,10/20/2018,16:06,1,4,0.25,1,2,0.5,0,0,,1,1,2,1,0,0,0,1,3,4.0,2019,544,PF,https://www.basketball-reference.com/players/c/cunnida01.html,33,6-8,230,San Antonio Spurs,regular season
455,393,San Antonio Spurs,Drew Eubanks,Portland Trail Blazers,L,10/20/2018,3:28,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,2,5.0,2019,546,PF,https://www.basketball-reference.com/players/e/eubandr01.html,14,6-9,245,San Antonio Spurs,regular season
456,394,San Antonio Spurs,Chimezie Metu,Portland Trail Blazers,L,10/20/2018,3:28,0,1,0.0,0,0,,2,2,1.0,0,2,2,0,0,1,0,0,2,5.0,2019,550,PF,https://www.basketball-reference.com/players/m/metuch01.html,7,6-9,225,San Antonio Spurs,regular season
457,395,San Antonio Spurs,Quincy Pondexter,Portland Trail Blazers,L,10/20/2018,3:28,0,2,0.0,0,1,0.0,0,0,,2,0,2,0,1,0,0,0,0,5.0,2019,554,SF,https://www.basketball-reference.com/players/p/pondequ01.html,3,6-7,230,San Antonio Spurs,regular season
