,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
100,89,Toronto Raptors,Serge Ibaka,Cleveland Cavaliers,W,10/17/2018,27:11,2,10,0.2,1,3,0.33299999999999996,4,6,0.667,4,3,7,1,2,3,2,6,9,-1.0,2019,562,C,https://www.basketball-reference.com/players/i/ibakase01.html,9,7-0,235,Toronto Raptors,regular season
101,90,Toronto Raptors,Fred VanVleet,Cleveland Cavaliers,W,10/17/2018,25:24,6,14,0.429,1,5,0.2,1,3,0.33299999999999996,0,2,2,5,0,0,1,4,14,-4.0,2019,577,PG,https://www.basketball-reference.com/players/v/vanvlfr01.html,23,6-1,197,Toronto Raptors,regular season
102,91,Toronto Raptors,OG Anunoby,Cleveland Cavaliers,W,10/17/2018,17:32,2,3,0.667,0,1,0.0,0,0,,0,0,0,0,1,0,1,1,4,-2.0,2019,557,SF,https://www.basketball-reference.com/players/a/anunoog01.html,3,6-7,232,Toronto Raptors,regular season
103,92,Toronto Raptors,Norman Powell,Cleveland Cavaliers,W,10/17/2018,12:25,2,3,0.667,1,2,0.5,0,0,,0,0,0,0,0,0,0,4,5,0.0,2019,573,SG,https://www.basketball-reference.com/players/p/powelno01.html,24,6-3,215,Toronto Raptors,regular season
104,93,Toronto Raptors,C.J. Miles,Cleveland Cavaliers,W,10/17/2018,10:23,1,3,0.33299999999999996,1,3,0.33299999999999996,0,2,0.0,0,1,1,0,0,0,0,3,3,4.0,2019,300,SF,https://www.basketball-reference.com/players/m/milescj01.html,6,6-6,220,Memphis Grizzlies,regular season
105,93,Toronto Raptors,C.J. Miles,Cleveland Cavaliers,W,10/17/2018,10:23,1,3,0.33299999999999996,1,3,0.33299999999999996,0,2,0.0,0,1,1,0,0,0,0,3,3,4.0,2019,569,SF,https://www.basketball-reference.com/players/m/milescj01.html,0,6-6,220,Toronto Raptors,regular season
106,94,Toronto Raptors,Lorenzo Brown,Cleveland Cavaliers,W,10/17/2018,0:44,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.0,2019,559,PG,https://www.basketball-reference.com/players/b/brownlo01.html,4,6-5,189,Toronto Raptors,regular season
107,95,Toronto Raptors,Malachi Richardson,Cleveland Cavaliers,W,10/17/2018,0:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2019,574,SG,https://www.basketball-reference.com/players/r/richama01.html,22,6-6,205,Toronto Raptors,regular season
295,253,Toronto Raptors,Fred VanVleet,Boston Celtics,W,10/19/2018,27:43,4,11,0.364,2,7,0.28600000000000003,1,3,0.33299999999999996,2,4,6,7,0,0,2,1,11,2.0,2019,577,PG,https://www.basketball-reference.com/players/v/vanvlfr01.html,23,6-1,197,Toronto Raptors,regular season
296,254,Toronto Raptors,OG Anunoby,Boston Celtics,W,10/19/2018,21:18,4,6,0.667,1,3,0.33299999999999996,0,0,,2,2,4,0,0,0,1,4,9,-1.0,2019,557,SF,https://www.basketball-reference.com/players/a/anunoog01.html,3,6-7,232,Toronto Raptors,regular season
