,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
85,75,Toronto Raptors,Kawhi Leonard,Cleveland Cavaliers,W,10/17/2018,37:15,9,22,0.409,1,3,0.33299999999999996,5,6,0.833,1,11,12,2,0,0,2,3,24,13,2019,563,SF,https://www.basketball-reference.com/players/l/leonaka01.html,2,6-7,225,Toronto Raptors,regular season
86,76,Toronto Raptors,Kyle Lowry,Cleveland Cavaliers,W,10/17/2018,35:35,10,12,0.833,5,6,0.833,2,3,0.667,0,1,1,8,1,1,3,1,27,12,2019,565,PG,https://www.basketball-reference.com/players/l/lowryky01.html,7,6-0,196,Toronto Raptors,regular season
87,77,Toronto Raptors,Danny Green,Cleveland Cavaliers,W,10/17/2018,32:45,4,9,0.444,3,7,0.429,0,0,,1,4,5,0,2,2,0,3,11,15,2019,561,SG,https://www.basketball-reference.com/players/g/greenda02.html,14,6-6,215,Toronto Raptors,regular season
88,78,Toronto Raptors,Jonas Valanciunas,Cleveland Cavaliers,W,10/17/2018,20:24,3,8,0.375,0,2,0.0,0,0,,2,10,12,3,0,0,0,2,6,13,2019,307,C,https://www.basketball-reference.com/players/v/valanjo01.html,17,6-11,265,Memphis Grizzlies,regular season
89,78,Toronto Raptors,Jonas Valanciunas,Cleveland Cavaliers,W,10/17/2018,20:24,3,8,0.375,0,2,0.0,0,0,,2,10,12,3,0,0,0,2,6,13,2019,576,C,https://www.basketball-reference.com/players/v/valanjo01.html,17,6-11,265,Toronto Raptors,regular season
90,79,Toronto Raptors,Pascal Siakam,Cleveland Cavaliers,W,10/17/2018,19:57,6,8,0.75,1,1,1.0,0,0,,0,2,2,2,0,1,0,2,13,11,2019,575,PF,https://www.basketball-reference.com/players/s/siakapa01.html,43,6-9,230,Toronto Raptors,regular season
256,215,Toronto Raptors,Kawhi Leonard,Boston Celtics,W,10/19/2018,35:52,10,25,0.4,2,5,0.4,9,9,1.0,2,8,10,3,1,0,3,1,31,17,2019,563,SF,https://www.basketball-reference.com/players/l/leonaka01.html,2,6-7,225,Toronto Raptors,regular season
257,216,Toronto Raptors,Kyle Lowry,Boston Celtics,W,10/19/2018,34:19,5,8,0.625,3,5,0.6,2,4,0.5,0,6,6,6,0,0,0,3,15,18,2019,565,PG,https://www.basketball-reference.com/players/l/lowryky01.html,7,6-0,196,Toronto Raptors,regular season
258,217,Toronto Raptors,Serge Ibaka,Boston Celtics,W,10/19/2018,33:32,10,14,0.7140000000000001,1,2,0.5,0,1,0.0,4,2,6,2,0,1,1,2,21,16,2019,562,C,https://www.basketball-reference.com/players/i/ibakase01.html,9,7-0,235,Toronto Raptors,regular season
259,218,Toronto Raptors,Danny Green,Boston Celtics,W,10/19/2018,32:28,5,8,0.625,4,7,0.5710000000000001,0,0,,1,4,5,3,1,1,1,1,14,25,2019,561,SG,https://www.basketball-reference.com/players/g/greenda02.html,14,6-6,215,Toronto Raptors,regular season
260,219,Toronto Raptors,Pascal Siakam,Boston Celtics,W,10/19/2018,17:36,2,6,0.33299999999999996,0,2,0.0,0,0,,0,5,5,2,0,0,2,1,4,0,2019,575,PF,https://www.basketball-reference.com/players/s/siakapa01.html,43,6-9,230,Toronto Raptors,regular season
