,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
132,118,Utah Jazz,Jae Crowder,Sacramento Kings,W,10/17/2018,33:13,2,5,0.4,2,4,0.5,7,9,0.778,0,5,5,0,0,0,0,2,13,17.0,2019,583,SF,https://www.basketball-reference.com/players/c/crowdja01.html,99,6-6,235,Utah Jazz,regular season
133,119,Utah Jazz,Dante Exum,Sacramento Kings,W,10/17/2018,26:07,4,9,0.444,1,3,0.33299999999999996,4,7,0.5710000000000001,1,3,4,4,0,0,1,1,13,22.0,2019,584,PG,https://www.basketball-reference.com/players/e/exumda01.html,11,6-5,214,Utah Jazz,regular season
134,120,Utah Jazz,Alec Burks,Sacramento Kings,W,10/17/2018,17:59,4,7,0.5710000000000001,3,3,1.0,2,2,1.0,0,3,3,4,1,0,1,1,13,25.0,2019,99,SG,https://www.basketball-reference.com/players/b/burksal01.html,10,6-6,214,Cleveland Cavaliers,regular season
135,120,Utah Jazz,Alec Burks,Sacramento Kings,W,10/17/2018,17:59,4,7,0.5710000000000001,3,3,1.0,2,2,1.0,0,3,3,4,1,0,1,1,13,25.0,2019,526,SG,https://www.basketball-reference.com/players/b/burksal01.html,13,6-6,214,Sacramento Kings,regular season
136,120,Utah Jazz,Alec Burks,Sacramento Kings,W,10/17/2018,17:59,4,7,0.5710000000000001,3,3,1.0,2,2,1.0,0,3,3,4,1,0,1,1,13,25.0,2019,581,SG,https://www.basketball-reference.com/players/b/burksal01.html,10,6-6,214,Utah Jazz,regular season
137,121,Utah Jazz,Royce O'Neale,Sacramento Kings,W,10/17/2018,6:36,0,4,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,0,0,0,6.0,2019,593,SF,https://www.basketball-reference.com/players/o/onealro01.html,23,6-4,226,Utah Jazz,regular season
138,122,Utah Jazz,Georges Niang,Sacramento Kings,W,10/17/2018,1:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.0,2019,592,PF,https://www.basketball-reference.com/players/n/niangge01.html,31,6-7,230,Utah Jazz,regular season
339,291,Utah Jazz,Jae Crowder,Golden State Warriors,L,10/19/2018,28:33,4,9,0.444,2,6,0.33299999999999996,7,7,1.0,1,6,7,4,2,0,0,1,17,10.0,2019,583,SF,https://www.basketball-reference.com/players/c/crowdja01.html,99,6-6,235,Utah Jazz,regular season
340,292,Utah Jazz,Dante Exum,Golden State Warriors,L,10/19/2018,18:12,4,5,0.8,1,1,1.0,4,4,1.0,0,2,2,0,0,0,1,1,13,-4.0,2019,584,PG,https://www.basketball-reference.com/players/e/exumda01.html,11,6-5,214,Utah Jazz,regular season
341,293,Utah Jazz,Alec Burks,Golden State Warriors,L,10/19/2018,11:43,1,7,0.14300000000000002,0,3,0.0,3,3,1.0,0,0,0,0,0,0,0,0,5,-2.0,2019,99,SG,https://www.basketball-reference.com/players/b/burksal01.html,10,6-6,214,Cleveland Cavaliers,regular season
342,293,Utah Jazz,Alec Burks,Golden State Warriors,L,10/19/2018,11:43,1,7,0.14300000000000002,0,3,0.0,3,3,1.0,0,0,0,0,0,0,0,0,5,-2.0,2019,526,SG,https://www.basketball-reference.com/players/b/burksal01.html,13,6-6,214,Sacramento Kings,regular season
343,293,Utah Jazz,Alec Burks,Golden State Warriors,L,10/19/2018,11:43,1,7,0.14300000000000002,0,3,0.0,3,3,1.0,0,0,0,0,0,0,0,0,5,-2.0,2019,581,SG,https://www.basketball-reference.com/players/b/burksal01.html,10,6-6,214,Utah Jazz,regular season
344,294,Utah Jazz,Royce O'Neale,Golden State Warriors,L,10/19/2018,10:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,3,0,-9.0,2019,593,SF,https://www.basketball-reference.com/players/o/onealro01.html,23,6-4,226,Utah Jazz,regular season
345,295,Utah Jazz,Georges Niang,Golden State Warriors,L,10/19/2018,8:41,3,7,0.429,2,5,0.4,0,0,,1,2,3,1,0,1,0,0,8,-5.0,2019,592,PF,https://www.basketball-reference.com/players/n/niangge01.html,31,6-7,230,Utah Jazz,regular season
346,296,Utah Jazz,Ekpe Udoh,Golden State Warriors,L,10/19/2018,3:07,0,0,,0,0,,0,0,,1,0,1,0,0,1,1,1,0,-4.0,2019,596,C,https://www.basketball-reference.com/players/u/udohek01.html,33,6-10,245,Utah Jazz,regular season
601,519,Utah Jazz,Jae Crowder,Memphis Grizzlies,L,10/22/2018,29:09,4,7,0.5710000000000001,2,4,0.5,5,7,0.7140000000000001,1,7,8,0,0,0,0,4,15,-5.0,2019,583,SF,https://www.basketball-reference.com/players/c/crowdja01.html,99,6-6,235,Utah Jazz,regular season
602,520,Utah Jazz,Dante Exum,Memphis Grizzlies,L,10/22/2018,13:31,2,11,0.182,0,4,0.0,0,0,,0,3,3,1,0,1,1,1,4,-8.0,2019,584,PG,https://www.basketball-reference.com/players/e/exumda01.html,11,6-5,214,Utah Jazz,regular season
603,521,Utah Jazz,Royce O'Neale,Memphis Grizzlies,L,10/22/2018,11:04,2,4,0.5,1,1,1.0,2,2,1.0,1,4,5,1,0,0,1,0,7,-12.0,2019,593,SF,https://www.basketball-reference.com/players/o/onealro01.html,23,6-4,226,Utah Jazz,regular season
604,522,Utah Jazz,Grayson Allen,Memphis Grizzlies,L,10/22/2018,10:31,2,2,1.0,1,1,1.0,2,2,1.0,0,0,0,0,0,0,0,2,7,6.0,2019,579,SG,https://www.basketball-reference.com/players/a/allengr01.html,24,6-4,198,Utah Jazz,regular season
605,523,Utah Jazz,Georges Niang,Memphis Grizzlies,L,10/22/2018,7:58,1,2,0.5,1,1,1.0,0,0,,0,1,1,0,0,0,0,1,3,-5.0,2019,592,PF,https://www.basketball-reference.com/players/n/niangge01.html,31,6-7,230,Utah Jazz,regular season
