,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
194,169,Washington Wizards,Jeff Green,Miami Heat,L,10/18/2018,32:30,6,12,0.5,2,4,0.5,3,3,1.0,1,3,4,1,1,1,2,3,17,0.0,2019,603,PF,https://www.basketball-reference.com/players/g/greenje02.html,32,6-8,235,Washington Wizards,regular season
195,170,Washington Wizards,Austin Rivers,Miami Heat,L,10/18/2018,25:00,4,7,0.5710000000000001,0,3,0.0,1,2,0.5,0,0,0,2,0,1,0,3,9,0.0,2019,220,SG,https://www.basketball-reference.com/players/r/riverau01.html,25,6-3,200,Houston Rockets,regular season
196,170,Washington Wizards,Austin Rivers,Miami Heat,L,10/18/2018,25:00,4,7,0.5710000000000001,0,3,0.0,1,2,0.5,0,0,0,2,0,1,0,3,9,0.0,2019,616,SG,https://www.basketball-reference.com/players/r/riverau01.html,1,6-3,200,Washington Wizards,regular season
197,171,Washington Wizards,Kelly Oubre,Miami Heat,L,10/18/2018,20:14,2,8,0.25,0,3,0.0,5,6,0.833,2,4,6,0,0,1,1,1,9,-3.0,2019,499,SF,https://www.basketball-reference.com/players/o/oubreke01.html,3,6-7,203,Phoenix Suns,regular season
198,171,Washington Wizards,Kelly Oubre,Miami Heat,L,10/18/2018,20:14,2,8,0.25,0,3,0.0,5,6,0.833,2,4,6,0,0,1,1,1,9,-3.0,2019,610,SF,https://www.basketball-reference.com/players/o/oubreke01.html,12,6-7,203,Washington Wizards,regular season
199,172,Washington Wizards,Jason Smith,Miami Heat,L,10/18/2018,14:54,2,3,0.667,0,0,,0,0,,0,6,6,0,0,0,2,4,4,-5.0,2019,350,PF,https://www.basketball-reference.com/players/s/smithja02.html,20,7-0,240,Milwaukee Bucks,regular season
200,172,Washington Wizards,Jason Smith,Miami Heat,L,10/18/2018,14:54,2,3,0.667,0,0,,0,0,,0,6,6,0,0,0,2,4,4,-5.0,2019,392,C,https://www.basketball-reference.com/players/s/smithja02.html,14,7-0,240,New Orleans Pelicans,regular season
201,172,Washington Wizards,Jason Smith,Miami Heat,L,10/18/2018,14:54,2,3,0.667,0,0,,0,0,,0,6,6,0,0,0,2,4,4,-5.0,2019,619,C,https://www.basketball-reference.com/players/s/smithja02.html,14,7-0,240,Washington Wizards,regular season
202,173,Washington Wizards,Tomas Satoransky,Miami Heat,L,10/18/2018,14:06,1,2,0.5,0,0,,2,2,1.0,0,3,3,3,0,1,1,2,4,0.0,2019,618,PG,https://www.basketball-reference.com/players/s/satorto01.html,31,6-7,210,Washington Wizards,regular season
203,174,Washington Wizards,Jordan McRae,Miami Heat,L,10/18/2018,0:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2019,608,SG,https://www.basketball-reference.com/players/m/mcraejo01.html,52,6-5,179,Washington Wizards,regular season
369,317,Washington Wizards,Austin Rivers,Toronto Raptors,L,10/20/2018,27:09,5,10,0.5,2,5,0.4,0,0,,1,1,2,2,0,1,1,2,12,-14.0,2019,220,SG,https://www.basketball-reference.com/players/r/riverau01.html,25,6-3,200,Houston Rockets,regular season
370,317,Washington Wizards,Austin Rivers,Toronto Raptors,L,10/20/2018,27:09,5,10,0.5,2,5,0.4,0,0,,1,1,2,2,0,1,1,2,12,-14.0,2019,616,SG,https://www.basketball-reference.com/players/r/riverau01.html,1,6-3,200,Washington Wizards,regular season
371,318,Washington Wizards,Jeff Green,Toronto Raptors,L,10/20/2018,20:37,1,8,0.125,0,4,0.0,0,0,,0,2,2,1,1,2,0,2,2,-8.0,2019,603,PF,https://www.basketball-reference.com/players/g/greenje02.html,32,6-8,235,Washington Wizards,regular season
372,319,Washington Wizards,Kelly Oubre,Toronto Raptors,L,10/20/2018,19:02,3,8,0.375,1,4,0.25,1,1,1.0,1,5,6,0,0,0,2,1,8,-3.0,2019,499,SF,https://www.basketball-reference.com/players/o/oubreke01.html,3,6-7,203,Phoenix Suns,regular season
373,319,Washington Wizards,Kelly Oubre,Toronto Raptors,L,10/20/2018,19:02,3,8,0.375,1,4,0.25,1,1,1.0,1,5,6,0,0,0,2,1,8,-3.0,2019,610,SF,https://www.basketball-reference.com/players/o/oubreke01.html,12,6-7,203,Washington Wizards,regular season
374,320,Washington Wizards,Jason Smith,Toronto Raptors,L,10/20/2018,17:22,1,4,0.25,0,1,0.0,4,4,1.0,1,4,5,0,0,0,1,3,6,-12.0,2019,350,PF,https://www.basketball-reference.com/players/s/smithja02.html,20,7-0,240,Milwaukee Bucks,regular season
375,320,Washington Wizards,Jason Smith,Toronto Raptors,L,10/20/2018,17:22,1,4,0.25,0,1,0.0,4,4,1.0,1,4,5,0,0,0,1,3,6,-12.0,2019,392,C,https://www.basketball-reference.com/players/s/smithja02.html,14,7-0,240,New Orleans Pelicans,regular season
376,320,Washington Wizards,Jason Smith,Toronto Raptors,L,10/20/2018,17:22,1,4,0.25,0,1,0.0,4,4,1.0,1,4,5,0,0,0,1,3,6,-12.0,2019,619,C,https://www.basketball-reference.com/players/s/smithja02.html,14,7-0,240,Washington Wizards,regular season
377,321,Washington Wizards,Tomas Satoransky,Toronto Raptors,L,10/20/2018,12:46,1,4,0.25,1,1,1.0,2,2,1.0,0,1,1,1,1,0,0,2,5,-7.0,2019,618,PG,https://www.basketball-reference.com/players/s/satorto01.html,31,6-7,210,Washington Wizards,regular season
609,525,Washington Wizards,Kelly Oubre,Portland Trail Blazers,W,10/22/2018,39:23,9,13,0.6920000000000001,3,3,1.0,1,1,1.0,1,5,6,0,1,1,0,5,22,6.0,2019,499,SF,https://www.basketball-reference.com/players/o/oubreke01.html,3,6-7,203,Phoenix Suns,regular season
610,525,Washington Wizards,Kelly Oubre,Portland Trail Blazers,W,10/22/2018,39:23,9,13,0.6920000000000001,3,3,1.0,1,1,1.0,1,5,6,0,1,1,0,5,22,6.0,2019,610,SF,https://www.basketball-reference.com/players/o/oubreke01.html,12,6-7,203,Washington Wizards,regular season
611,526,Washington Wizards,Jeff Green,Portland Trail Blazers,W,10/22/2018,24:12,5,10,0.5,0,5,0.0,2,2,1.0,0,6,6,1,0,0,2,2,12,3.0,2019,603,PF,https://www.basketball-reference.com/players/g/greenje02.html,32,6-8,235,Washington Wizards,regular season
612,527,Washington Wizards,Austin Rivers,Portland Trail Blazers,W,10/22/2018,21:53,1,5,0.2,1,3,0.33299999999999996,0,0,,0,2,2,3,1,1,1,3,3,7.0,2019,220,SG,https://www.basketball-reference.com/players/r/riverau01.html,25,6-3,200,Houston Rockets,regular season
613,527,Washington Wizards,Austin Rivers,Portland Trail Blazers,W,10/22/2018,21:53,1,5,0.2,1,3,0.33299999999999996,0,0,,0,2,2,3,1,1,1,3,3,7.0,2019,616,SG,https://www.basketball-reference.com/players/r/riverau01.html,1,6-3,200,Washington Wizards,regular season
614,528,Washington Wizards,Jason Smith,Portland Trail Blazers,W,10/22/2018,11:42,1,4,0.25,0,0,,1,2,0.5,3,2,5,1,0,1,0,1,3,-5.0,2019,350,PF,https://www.basketball-reference.com/players/s/smithja02.html,20,7-0,240,Milwaukee Bucks,regular season
615,528,Washington Wizards,Jason Smith,Portland Trail Blazers,W,10/22/2018,11:42,1,4,0.25,0,0,,1,2,0.5,3,2,5,1,0,1,0,1,3,-5.0,2019,392,C,https://www.basketball-reference.com/players/s/smithja02.html,14,7-0,240,New Orleans Pelicans,regular season
616,528,Washington Wizards,Jason Smith,Portland Trail Blazers,W,10/22/2018,11:42,1,4,0.25,0,0,,1,2,0.5,3,2,5,1,0,1,0,1,3,-5.0,2019,619,C,https://www.basketball-reference.com/players/s/smithja02.html,14,7-0,240,Washington Wizards,regular season
617,529,Washington Wizards,Tomas Satoransky,Portland Trail Blazers,W,10/22/2018,10:52,0,2,0.0,0,0,,0,0,,2,2,4,0,0,0,1,1,0,-11.0,2019,618,PG,https://www.basketball-reference.com/players/s/satorto01.html,31,6-7,210,Washington Wizards,regular season
830,712,Washington Wizards,Kelly Oubre,Golden State Warriors,L,10/24/2018,29:34,5,10,0.5,3,6,0.5,4,4,1.0,1,3,4,0,0,0,3,3,17,-26.0,2019,499,SF,https://www.basketball-reference.com/players/o/oubreke01.html,3,6-7,203,Phoenix Suns,regular season
831,712,Washington Wizards,Kelly Oubre,Golden State Warriors,L,10/24/2018,29:34,5,10,0.5,3,6,0.5,4,4,1.0,1,3,4,0,0,0,3,3,17,-26.0,2019,610,SF,https://www.basketball-reference.com/players/o/oubreke01.html,12,6-7,203,Washington Wizards,regular season
832,713,Washington Wizards,Austin Rivers,Golden State Warriors,L,10/24/2018,29:00,3,10,0.3,3,9,0.33299999999999996,0,0,,1,2,3,1,0,0,2,3,9,-9.0,2019,220,SG,https://www.basketball-reference.com/players/r/riverau01.html,25,6-3,200,Houston Rockets,regular season
833,713,Washington Wizards,Austin Rivers,Golden State Warriors,L,10/24/2018,29:00,3,10,0.3,3,9,0.33299999999999996,0,0,,1,2,3,1,0,0,2,3,9,-9.0,2019,616,SG,https://www.basketball-reference.com/players/r/riverau01.html,1,6-3,200,Washington Wizards,regular season
834,714,Washington Wizards,Jeff Green,Golden State Warriors,L,10/24/2018,28:07,3,6,0.5,0,2,0.0,4,4,1.0,0,3,3,1,2,0,1,3,10,-14.0,2019,603,PF,https://www.basketball-reference.com/players/g/greenje02.html,32,6-8,235,Washington Wizards,regular season
835,715,Washington Wizards,Tomas Satoransky,Golden State Warriors,L,10/24/2018,20:44,0,3,0.0,0,2,0.0,8,8,1.0,0,2,2,4,0,0,1,1,8,0.0,2019,618,PG,https://www.basketball-reference.com/players/s/satorto01.html,31,6-7,210,Washington Wizards,regular season
836,716,Washington Wizards,Jordan McRae,Golden State Warriors,L,10/24/2018,12:33,1,5,0.2,0,2,0.0,0,0,,0,3,3,1,0,0,0,0,2,-4.0,2019,608,SG,https://www.basketball-reference.com/players/m/mcraejo01.html,52,6-5,179,Washington Wizards,regular season
837,717,Washington Wizards,Thomas Bryant,Golden State Warriors,L,10/24/2018,9:20,1,5,0.2,0,2,0.0,4,4,1.0,2,2,4,0,0,0,0,0,6,1.0,2019,601,C,https://www.basketball-reference.com/players/b/bryanth01.html,13,6-10,248,Washington Wizards,regular season
838,718,Washington Wizards,Troy Brown,Golden State Warriors,L,10/24/2018,6:44,1,3,0.33299999999999996,0,0,,2,2,1.0,0,1,1,0,1,0,0,1,4,3.0,2019,600,SF,https://www.basketball-reference.com/players/b/browntr01.html,6,6-6,215,Washington Wizards,regular season
978,843,Washington Wizards,Kelly Oubre,Sacramento Kings,L,10/26/2018,28:53,8,13,0.615,5,8,0.625,1,1,1.0,1,8,9,2,1,1,1,2,22,0.0,2019,499,SF,https://www.basketball-reference.com/players/o/oubreke01.html,3,6-7,203,Phoenix Suns,regular season
979,843,Washington Wizards,Kelly Oubre,Sacramento Kings,L,10/26/2018,28:53,8,13,0.615,5,8,0.625,1,1,1.0,1,8,9,2,1,1,1,2,22,0.0,2019,610,SF,https://www.basketball-reference.com/players/o/oubreke01.html,12,6-7,203,Washington Wizards,regular season
980,844,Washington Wizards,Jeff Green,Sacramento Kings,L,10/26/2018,26:45,5,8,0.625,1,2,0.5,2,2,1.0,2,7,9,3,0,1,4,1,13,2.0,2019,603,PF,https://www.basketball-reference.com/players/g/greenje02.html,32,6-8,235,Washington Wizards,regular season
981,845,Washington Wizards,Austin Rivers,Sacramento Kings,L,10/26/2018,20:19,2,6,0.33299999999999996,2,5,0.4,0,0,,0,2,2,2,0,0,3,4,6,5.0,2019,220,SG,https://www.basketball-reference.com/players/r/riverau01.html,25,6-3,200,Houston Rockets,regular season
982,845,Washington Wizards,Austin Rivers,Sacramento Kings,L,10/26/2018,20:19,2,6,0.33299999999999996,2,5,0.4,0,0,,0,2,2,2,0,0,3,4,6,5.0,2019,616,SG,https://www.basketball-reference.com/players/r/riverau01.html,1,6-3,200,Washington Wizards,regular season
983,846,Washington Wizards,Tomas Satoransky,Sacramento Kings,L,10/26/2018,11:23,1,2,0.5,0,0,,0,0,,0,0,0,3,0,0,0,2,2,4.0,2019,618,PG,https://www.basketball-reference.com/players/s/satorto01.html,31,6-7,210,Washington Wizards,regular season
1166,1004,Washington Wizards,Kelly Oubre,Los Angeles Clippers,L,10/28/2018,25:42,2,12,0.16699999999999998,1,7,0.14300000000000002,4,4,1.0,0,4,4,1,0,0,3,1,9,-18.0,2019,499,SF,https://www.basketball-reference.com/players/o/oubreke01.html,3,6-7,203,Phoenix Suns,regular season
1167,1004,Washington Wizards,Kelly Oubre,Los Angeles Clippers,L,10/28/2018,25:42,2,12,0.16699999999999998,1,7,0.14300000000000002,4,4,1.0,0,4,4,1,0,0,3,1,9,-18.0,2019,610,SF,https://www.basketball-reference.com/players/o/oubreke01.html,12,6-7,203,Washington Wizards,regular season
1168,1005,Washington Wizards,Austin Rivers,Los Angeles Clippers,L,10/28/2018,22:06,3,6,0.5,1,2,0.5,2,3,0.667,0,1,1,3,1,1,2,2,9,-19.0,2019,220,SG,https://www.basketball-reference.com/players/r/riverau01.html,25,6-3,200,Houston Rockets,regular season
1169,1005,Washington Wizards,Austin Rivers,Los Angeles Clippers,L,10/28/2018,22:06,3,6,0.5,1,2,0.5,2,3,0.667,0,1,1,3,1,1,2,2,9,-19.0,2019,616,SG,https://www.basketball-reference.com/players/r/riverau01.html,1,6-3,200,Washington Wizards,regular season
1170,1006,Washington Wizards,Jeff Green,Los Angeles Clippers,L,10/28/2018,21:28,3,6,0.5,0,1,0.0,6,6,1.0,5,3,8,2,0,0,1,2,12,-13.0,2019,603,PF,https://www.basketball-reference.com/players/g/greenje02.html,32,6-8,235,Washington Wizards,regular season
1171,1007,Washington Wizards,Tomas Satoransky,Los Angeles Clippers,L,10/28/2018,15:46,4,7,0.5710000000000001,1,1,1.0,0,0,,0,1,1,3,0,0,0,2,9,-20.0,2019,618,PG,https://www.basketball-reference.com/players/s/satorto01.html,31,6-7,210,Washington Wizards,regular season
