,Unnamed: 0_x,Team,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Unnamed: 0_y,Position,player_url,number,height,weight,team,GameType
154,130,Chicago Bulls,Bobby Portis,Philadelphia 76ers,L,10/18/2018,33:06,8,15,0.5329999999999999,3,6,0.5,1,2,0.5,2,9,11,2,1,1,0,4,20,-3,2019,92,PF,https://www.basketball-reference.com/players/p/portibo01.html,5,6-10,250,Chicago Bulls,regular season
155,130,Chicago Bulls,Bobby Portis,Philadelphia 76ers,L,10/18/2018,33:06,8,15,0.5329999999999999,3,6,0.5,1,2,0.5,2,9,11,2,1,1,0,4,20,-3,2019,614,PF,https://www.basketball-reference.com/players/p/portibo01.html,5,6-10,250,Washington Wizards,regular season
156,131,Chicago Bulls,Zach LaVine,Philadelphia 76ers,L,10/18/2018,32:42,11,19,0.579,2,7,0.28600000000000003,6,7,0.857,0,5,5,3,0,3,5,5,30,-10,2019,84,SG,https://www.basketball-reference.com/players/l/lavinza01.html,8,6-6,200,Chicago Bulls,regular season
157,132,Chicago Bulls,Justin Holiday,Philadelphia 76ers,L,10/18/2018,27:23,4,12,0.33299999999999996,2,9,0.222,0,0,,0,4,4,1,0,0,0,2,10,-29,2019,82,SG,https://www.basketball-reference.com/players/h/holidju01.html,7,6-6,180,Chicago Bulls,regular season
158,132,Chicago Bulls,Justin Holiday,Philadelphia 76ers,L,10/18/2018,27:23,4,12,0.33299999999999996,2,9,0.222,0,0,,0,4,4,1,0,0,0,2,10,-29,2019,297,SG,https://www.basketball-reference.com/players/h/holidju01.html,7,6-6,180,Memphis Grizzlies,regular season
159,133,Chicago Bulls,Cameron Payne,Philadelphia 76ers,L,10/18/2018,21:34,0,4,0.0,0,1,0.0,0,0,,0,1,1,5,1,0,1,1,0,-18,2019,90,PG,https://www.basketball-reference.com/players/p/payneca01.html,22,6-3,190,Chicago Bulls,regular season
160,133,Chicago Bulls,Cameron Payne,Philadelphia 76ers,L,10/18/2018,21:34,0,4,0.0,0,1,0.0,0,0,,0,1,1,5,1,0,1,1,0,-18,2019,117,PG,https://www.basketball-reference.com/players/p/payneca01.html,3,6-3,190,Cleveland Cavaliers,regular season
161,134,Chicago Bulls,Wendell Carter,Philadelphia 76ers,L,10/18/2018,19:59,4,10,0.4,0,0,,0,0,,1,2,3,3,0,1,1,4,8,-18,2019,78,C,https://www.basketball-reference.com/players/c/cartewe01.html,34,6-9,270,Chicago Bulls,regular season
348,295,Chicago Bulls,Justin Holiday,Detroit Pistons,L,10/20/2018,37:33,6,8,0.75,2,3,0.667,5,5,1.0,0,6,6,2,2,0,0,1,19,10,2019,82,SG,https://www.basketball-reference.com/players/h/holidju01.html,7,6-6,180,Chicago Bulls,regular season
349,295,Chicago Bulls,Justin Holiday,Detroit Pistons,L,10/20/2018,37:33,6,8,0.75,2,3,0.667,5,5,1.0,0,6,6,2,2,0,0,1,19,10,2019,297,SG,https://www.basketball-reference.com/players/h/holidju01.html,7,6-6,180,Memphis Grizzlies,regular season
350,296,Chicago Bulls,Zach LaVine,Detroit Pistons,L,10/20/2018,36:57,12,21,0.5710000000000001,2,6,0.33299999999999996,7,9,0.778,0,3,3,3,0,0,2,3,33,-14,2019,84,SG,https://www.basketball-reference.com/players/l/lavinza01.html,8,6-6,200,Chicago Bulls,regular season
351,297,Chicago Bulls,Bobby Portis,Detroit Pistons,L,10/20/2018,29:21,2,12,0.16699999999999998,0,4,0.0,2,4,0.5,2,12,14,5,1,0,2,3,6,9,2019,92,PF,https://www.basketball-reference.com/players/p/portibo01.html,5,6-10,250,Chicago Bulls,regular season
352,297,Chicago Bulls,Bobby Portis,Detroit Pistons,L,10/20/2018,29:21,2,12,0.16699999999999998,0,4,0.0,2,4,0.5,2,12,14,5,1,0,2,3,6,9,2019,614,PF,https://www.basketball-reference.com/players/p/portibo01.html,5,6-10,250,Washington Wizards,regular season
353,298,Chicago Bulls,Cameron Payne,Detroit Pistons,L,10/20/2018,28:21,6,12,0.5,0,3,0.0,5,5,1.0,1,2,3,4,0,0,1,3,17,2,2019,90,PG,https://www.basketball-reference.com/players/p/payneca01.html,22,6-3,190,Chicago Bulls,regular season
354,298,Chicago Bulls,Cameron Payne,Detroit Pistons,L,10/20/2018,28:21,6,12,0.5,0,3,0.0,5,5,1.0,1,2,3,4,0,0,1,3,17,2,2019,117,PG,https://www.basketball-reference.com/players/p/payneca01.html,3,6-3,190,Cleveland Cavaliers,regular season
355,299,Chicago Bulls,Wendell Carter,Detroit Pistons,L,10/20/2018,17:40,4,6,0.667,0,0,,0,0,,0,2,2,1,0,2,2,3,8,-3,2019,78,C,https://www.basketball-reference.com/players/c/cartewe01.html,34,6-9,270,Chicago Bulls,regular season
505,430,Chicago Bulls,Zach LaVine,Dallas Mavericks,L,10/22/2018,37:06,11,15,0.733,5,7,0.7140000000000001,7,8,0.875,1,2,3,2,2,1,5,3,34,-3,2019,84,SG,https://www.basketball-reference.com/players/l/lavinza01.html,8,6-6,200,Chicago Bulls,regular season
506,431,Chicago Bulls,Justin Holiday,Dallas Mavericks,L,10/22/2018,36:59,5,9,0.556,4,6,0.667,2,3,0.667,0,0,0,1,2,0,1,1,16,-9,2019,82,SG,https://www.basketball-reference.com/players/h/holidju01.html,7,6-6,180,Chicago Bulls,regular season
507,431,Chicago Bulls,Justin Holiday,Dallas Mavericks,L,10/22/2018,36:59,5,9,0.556,4,6,0.667,2,3,0.667,0,0,0,1,2,0,1,1,16,-9,2019,297,SG,https://www.basketball-reference.com/players/h/holidju01.html,7,6-6,180,Memphis Grizzlies,regular season
508,432,Chicago Bulls,Wendell Carter,Dallas Mavericks,L,10/22/2018,31:41,2,7,0.28600000000000003,0,1,0.0,0,0,,2,7,9,4,0,1,3,3,4,5,2019,78,C,https://www.basketball-reference.com/players/c/cartewe01.html,34,6-9,270,Chicago Bulls,regular season
509,433,Chicago Bulls,Bobby Portis,Dallas Mavericks,L,10/22/2018,30:33,5,9,0.556,0,0,,2,3,0.667,1,7,8,0,0,2,2,4,12,-1,2019,92,PF,https://www.basketball-reference.com/players/p/portibo01.html,5,6-10,250,Chicago Bulls,regular season
510,433,Chicago Bulls,Bobby Portis,Dallas Mavericks,L,10/22/2018,30:33,5,9,0.556,0,0,,2,3,0.667,1,7,8,0,0,2,2,4,12,-1,2019,614,PF,https://www.basketball-reference.com/players/p/portibo01.html,5,6-10,250,Washington Wizards,regular season
511,434,Chicago Bulls,Kris Dunn,Dallas Mavericks,L,10/22/2018,30:18,4,13,0.308,1,4,0.25,0,0,,0,4,4,7,0,0,4,6,9,-1,2019,79,PG,https://www.basketball-reference.com/players/d/dunnkr01.html,32,6-3,205,Chicago Bulls,regular season
663,555,Chicago Bulls,Justin Holiday,Charlotte Hornets,W,10/24/2018,38:25,3,9,0.33299999999999996,1,6,0.16699999999999998,0,0,,0,6,6,2,0,1,0,4,7,-12,2019,82,SG,https://www.basketball-reference.com/players/h/holidju01.html,7,6-6,180,Chicago Bulls,regular season
664,555,Chicago Bulls,Justin Holiday,Charlotte Hornets,W,10/24/2018,38:25,3,9,0.33299999999999996,1,6,0.16699999999999998,0,0,,0,6,6,2,0,1,0,4,7,-12,2019,297,SG,https://www.basketball-reference.com/players/h/holidju01.html,7,6-6,180,Memphis Grizzlies,regular season
